Symbol,Date,Close,High,Low,Open,Volume
XBRU:PROX,2004-03-22,25.67,25.85,24.5,24.5,23445153
XBRU:PROX,2004-03-23,25.9,26.1,25.68,25.72,3767085
XBRU:PROX,2004-03-24,25.4,25.95,25.21,25.95,3057732
XBRU:PROX,2004-03-25,25.45,25.6,25.2,25.5,2971271
XBRU:PROX,2004-03-26,25.09,25.6,25.05,25.6,895416
XBRU:PROX,2004-03-29,25.4,25.55,25.05,25.1,2234470
XBRU:PROX,2004-03-30,25.1,25.35,25.04,25.26,1091652
XBRU:PROX,2004-03-31,25.7,25.9,25.15,25.15,1838465
XBRU:PROX,2004-04-01,25.5,25.79,25.4,25.79,1070556
XBRU:PROX,2004-04-02,26.05,26.2,25.55,25.65,3483242
XBRU:PROX,2004-04-05,26.0,26.25,25.9,26.25,1250045
XBRU:PROX,2004-04-06,26.25,26.25,26.0,26.05,1006289
XBRU:PROX,2004-04-07,25.75,26.39,25.75,26.03,1144796
XBRU:PROX,2004-04-08,26.02,26.24,25.97,26.0,510688
XBRU:PROX,2004-04-09,26.02,26.24,25.97,26.0,0
XBRU:PROX,2004-04-12,26.02,26.24,25.97,26.0,0
XBRU:PROX,2004-04-13,26.08,26.22,25.81,26.02,469167
XBRU:PROX,2004-04-14,25.79,26.1,25.59,26.02,513780
XBRU:PROX,2004-04-15,25.75,26.14,25.65,25.88,1006447
XBRU:PROX,2004-04-16,25.82,25.9,25.6,25.9,562500
XBRU:PROX,2004-04-19,25.6,25.81,25.56,25.62,946075
XBRU:PROX,2004-04-20,26.0,26.0,25.57,25.6,508730
XBRU:PROX,2004-04-21,25.7,25.87,25.45,25.7,811638
XBRU:PROX,2004-04-22,25.8,25.98,25.72,25.72,805715
XBRU:PROX,2004-04-23,25.51,25.95,25.41,25.95,715125
XBRU:PROX,2004-04-26,25.6,25.7,25.35,25.65,751833
XBRU:PROX,2004-04-27,25.56,25.75,25.42,25.42,458388
XBRU:PROX,2004-04-28,25.22,25.73,25.22,25.7,469214
XBRU:PROX,2004-04-29,25.34,25.47,25.1,25.26,811187
XBRU:PROX,2004-04-30,25.3,25.34,25.09,25.17,1170958
XBRU:PROX,2004-05-03,25.15,25.25,25.1,25.2,147266
XBRU:PROX,2004-05-04,25.44,25.54,25.1,25.1,628003
XBRU:PROX,2004-05-05,25.54,25.65,25.44,25.54,556985
XBRU:PROX,2004-05-06,25.22,25.58,25.15,25.5,660763
XBRU:PROX,2004-05-07,25.2,25.46,25.2,25.23,554020
XBRU:PROX,2004-05-10,24.5,25.19,24.5,25.15,1238888
XBRU:PROX,2004-05-11,25.1,25.47,24.5,24.54,874731
XBRU:PROX,2004-05-12,24.65,25.05,24.65,25.0,519552
XBRU:PROX,2004-05-13,25.14,25.18,24.65,24.65,274880
XBRU:PROX,2004-05-14,24.79,25.14,24.79,25.12,359989
XBRU:PROX,2004-05-17,24.34,24.7,24.34,24.66,791116
XBRU:PROX,2004-05-18,24.59,24.66,24.3,24.49,969681
XBRU:PROX,2004-05-19,24.68,24.84,24.45,24.75,678110
XBRU:PROX,2004-05-20,24.71,24.87,24.56,24.68,106262
XBRU:PROX,2004-05-21,24.93,25.08,24.61,24.87,225850
XBRU:PROX,2004-05-24,24.8,25.0,24.76,24.92,219931
XBRU:PROX,2004-05-25,24.5,24.78,24.5,24.75,278826
XBRU:PROX,2004-05-26,24.5,24.7,24.45,24.7,649940
XBRU:PROX,2004-05-27,24.5,24.66,24.36,24.62,1283695
XBRU:PROX,2004-05-28,24.8,24.8,24.5,24.59,902861
XBRU:PROX,2004-05-31,24.78,24.83,24.63,24.74,45891
XBRU:PROX,2004-06-01,24.4,24.75,24.4,24.75,496753
XBRU:PROX,2004-06-02,24.5,24.59,24.49,24.49,352323
XBRU:PROX,2004-06-03,24.8,24.88,24.63,24.63,827809
XBRU:PROX,2004-06-04,24.9,24.99,24.76,24.86,560038
XBRU:PROX,2004-06-07,24.82,24.98,24.62,24.95,628442
XBRU:PROX,2004-06-08,25.15,25.25,24.96,25.0,1075398
XBRU:PROX,2004-06-09,24.95,25.1,24.94,25.04,677309
XBRU:PROX,2004-06-10,24.75,24.95,24.61,24.95,544521
XBRU:PROX,2004-06-11,24.57,24.8,24.5,24.8,491517
XBRU:PROX,2004-06-14,24.5,24.74,24.43,24.55,466451
XBRU:PROX,2004-06-15,24.55,24.8,24.47,24.6,458550
XBRU:PROX,2004-06-16,24.55,24.72,24.48,24.58,708684
XBRU:PROX,2004-06-17,24.85,24.98,24.45,24.56,1032486
XBRU:PROX,2004-06-18,25.3,25.3,24.7,24.9,1045213
XBRU:PROX,2004-06-21,25.03,25.3,25.03,25.05,374303
XBRU:PROX,2004-06-22,24.99,25.0,24.65,24.95,539755
XBRU:PROX,2004-06-23,24.65,25.09,24.65,24.93,754175
XBRU:PROX,2004-06-24,25.4,25.4,24.7,24.78,735992
XBRU:PROX,2004-06-25,24.79,25.25,24.7,25.14,519756
XBRU:PROX,2004-06-28,24.9,24.95,24.74,24.79,925044
XBRU:PROX,2004-06-29,25.05,25.05,24.74,24.85,769546
XBRU:PROX,2004-06-30,25.02,25.09,24.82,25.05,747948
XBRU:PROX,2004-07-01,25.0,25.5,24.94,25.01,795821
XBRU:PROX,2004-07-02,25.0,25.27,24.9,24.98,364239
XBRU:PROX,2004-07-05,25.09,25.15,24.91,24.91,516814
