Date,Close,High,Low,Open,Symbol,Volume
2001-10-09,575.0,575.0,550.0,565.0,XBRU:REA,115
2001-10-10,579.0,580.0,550.0,550.0,XBRU:REA,85
2001-10-11,572.0,610.0,563.0,563.0,XBRU:REA,120
2001-10-12,575.0,600.0,550.0,572.0,XBRU:REA,92
2001-10-15,566.0,589.0,560.0,560.0,XBRU:REA,58
2001-10-16,558.0,560.0,550.0,555.0,XBRU:REA,60
2001-10-17,565.0,565.0,552.0,558.0,XBRU:REA,30
2001-10-18,550.0,565.0,550.0,555.0,XBRU:REA,106
2001-10-19,550.0,564.0,550.0,551.0,XBRU:REA,109
2001-10-22,549.0,550.0,540.0,550.0,XBRU:REA,45
2001-10-23,555.0,555.0,540.0,550.0,XBRU:REA,68
2001-10-24,540.0,560.0,540.0,560.0,XBRU:REA,224
2001-10-25,574.0,585.0,550.0,560.0,XBRU:REA,521
2001-10-26,550.0,590.0,550.0,570.0,XBRU:REA,310
2001-10-29,555.0,574.0,550.0,550.0,XBRU:REA,30
2001-10-30,557.0,560.0,548.0,551.0,XBRU:REA,58
2001-10-31,542.0,559.0,541.0,548.0,XBRU:REA,34
2001-11-01,550.0,565.0,550.0,550.0,XBRU:REA,135
2001-11-02,525.0,550.0,525.0,535.0,XBRU:REA,91
2001-11-05,524.0,529.0,501.0,525.0,XBRU:REA,99
2001-11-06,520.0,530.0,520.0,530.0,XBRU:REA,63
2001-11-07,510.0,515.0,500.0,515.0,XBRU:REA,90
2001-11-08,505.0,510.0,500.0,510.0,XBRU:REA,82
2001-11-09,503.0,510.0,500.0,501.0,XBRU:REA,33
2001-11-12,460.0,510.0,460.0,501.0,XBRU:REA,234
2001-11-13,481.0,505.0,460.0,460.0,XBRU:REA,216
2001-11-14,505.0,510.0,490.0,500.0,XBRU:REA,142
2001-11-15,521.0,530.0,495.0,505.0,XBRU:REA,239
2001-11-16,536.0,551.0,526.0,526.0,XBRU:REA,176
2001-11-19,598.0,609.0,560.0,562.0,XBRU:REA,962
2001-11-20,575.0,640.0,569.0,615.0,XBRU:REA,754
2001-11-21,552.0,570.0,550.0,569.0,XBRU:REA,152
2001-11-22,585.0,585.0,551.0,551.0,XBRU:REA,141
2001-11-23,580.0,598.0,561.0,598.0,XBRU:REA,124
2001-11-26,590.0,590.0,570.0,580.0,XBRU:REA,99
2001-11-27,570.0,585.0,570.0,585.0,XBRU:REA,33
2001-11-28,570.0,580.0,565.0,580.0,XBRU:REA,89
2001-11-29,561.0,570.0,561.0,565.0,XBRU:REA,30
2001-11-30,565.0,570.0,562.0,570.0,XBRU:REA,28
