Symbol,Date,Close,High,Low,Open,Volume
XBRU:REC,2000-01-04,7.9657,8.0964,7.9657,8.0964,36642
XBRU:REC,2000-01-05,7.9657,7.9657,7.933,7.933,5024
XBRU:REC,2000-01-06,7.9657,7.9657,7.9657,7.9657,10838
XBRU:REC,2000-01-07,7.982,8.1699,7.982,7.982,12744
XBRU:REC,2000-01-10,8.1699,8.1699,8.1127,8.1127,7784
XBRU:REC,2000-01-11,8.1699,8.1699,8.1699,8.1699,0
XBRU:REC,2000-01-12,8.5784,8.7663,8.1699,8.7663,10926
XBRU:REC,2000-01-13,8.3333,8.5784,8.2516,8.5784,3383
XBRU:REC,2000-01-14,8.1699,8.5784,8.1699,8.5703,11007
XBRU:REC,2000-01-17,8.1699,8.415,8.1699,8.415,6565
XBRU:REC,2000-01-18,8.1699,8.5784,8.1699,8.5784,11156
XBRU:REC,2000-01-19,8.0065,8.1699,7.9657,8.1699,4213
XBRU:REC,2000-01-20,8.0065,8.1699,8.0065,8.1699,10062
XBRU:REC,2000-01-21,8.1699,8.3333,8.0474,8.3333,15100
XBRU:REC,2000-01-24,8.1699,8.3333,8.1699,8.3333,8664
XBRU:REC,2000-01-25,8.1699,8.1699,8.1699,8.1699,13541
XBRU:REC,2000-01-26,8.1699,8.3252,8.1699,8.3252,11823
XBRU:REC,2000-01-27,8.1291,8.3333,8.1291,8.3333,24236
XBRU:REC,2000-01-28,8.8644,8.9869,8.5784,8.5784,59591
XBRU:REC,2000-01-31,8.9869,9.1912,8.9869,9.0278,32959
XBRU:REC,2000-02-01,8.8235,8.9052,8.6193,8.9052,11389
XBRU:REC,2000-02-02,8.7418,8.7827,8.6601,8.7827,8478
XBRU:REC,2000-02-03,8.5376,8.5784,8.3333,8.5784,36283
XBRU:REC,2000-02-04,8.5784,8.5784,8.5376,8.5376,3692
XBRU:REC,2000-02-07,8.3742,8.7827,8.3742,8.7827,6189
XBRU:REC,2000-02-08,8.3742,8.5376,8.3333,8.3333,8248
