Date,Close,High,Low,Open,Symbol,Volume
2000-01-04,60.15,64.2,60.15,64.2,XBRU:ROU,5382
2000-01-05,61.1,63.0,60.95,61.0,XBRU:ROU,3738
2000-01-06,62.95,63.0,62.5,63.0,XBRU:ROU,2357
2000-01-07,63.3,63.5,63.15,63.2,XBRU:ROU,4362
2000-01-10,69.0,70.5,64.0,64.0,XBRU:ROU,21398
2000-01-11,69.0,69.0,69.0,69.0,XBRU:ROU,0
2000-01-12,69.0,69.0,66.0,66.0,XBRU:ROU,21868
2000-01-13,72.5,73.0,67.8,70.0,XBRU:ROU,27943
2000-01-14,73.0,73.8,72.0,73.0,XBRU:ROU,14727
2000-01-17,73.0,73.5,73.0,73.0,XBRU:ROU,5034
2000-01-18,72.0,73.75,72.0,73.0,XBRU:ROU,12919
2000-01-19,74.0,74.0,71.0,71.5,XBRU:ROU,16330
2000-01-20,82.0,83.0,75.6,75.6,XBRU:ROU,27965
2000-01-21,79.75,82.0,79.6,82.0,XBRU:ROU,24434
2000-01-24,77.0,80.0,77.0,79.75,XBRU:ROU,13300
2000-01-25,73.0,75.0,73.0,73.5,XBRU:ROU,12176
2000-01-26,73.1,74.0,73.0,73.0,XBRU:ROU,2913
2000-01-27,73.5,75.0,73.0,73.1,XBRU:ROU,4801
2000-01-28,74.6,75.0,74.5,75.0,XBRU:ROU,7785
2000-01-31,74.5,75.0,73.6,75.0,XBRU:ROU,5866
2000-02-01,73.0,74.0,73.0,74.0,XBRU:ROU,8149
2000-02-02,74.0,74.0,73.0,73.5,XBRU:ROU,2486
2000-02-03,76.0,76.0,74.5,74.5,XBRU:ROU,8588
2000-02-04,78.0,78.4,75.5,76.9,XBRU:ROU,3837
2000-02-07,75.0,77.95,75.0,77.95,XBRU:ROU,11021
2000-02-08,73.1,75.0,73.05,73.05,XBRU:ROU,2212
2000-02-09,75.0,75.0,73.1,73.1,XBRU:ROU,4405
2000-02-10,75.0,76.0,73.5,76.0,XBRU:ROU,2623
2000-02-11,73.5,74.0,72.0,74.0,XBRU:ROU,2259
2000-02-14,74.0,75.0,74.0,74.0,XBRU:ROU,9419
2000-02-15,85.1,85.1,76.0,76.0,XBRU:ROU,91118
2000-02-16,86.0,88.0,86.0,87.0,XBRU:ROU,43276
2000-02-17,83.0,84.0,82.5,84.0,XBRU:ROU,14949
2000-02-18,85.0,85.0,81.0,83.0,XBRU:ROU,25454
2000-02-21,85.0,86.0,81.2,81.2,XBRU:ROU,8634
2000-02-22,85.0,86.5,84.9,85.0,XBRU:ROU,7503
2000-02-23,85.0,86.0,85.0,85.0,XBRU:ROU,8779
2000-02-24,85.0,86.0,85.0,85.0,XBRU:ROU,3902
2000-02-25,87.0,87.0,85.0,85.0,XBRU:ROU,10575
2000-02-28,86.0,86.0,85.0,85.5,XBRU:ROU,12755
2000-02-29,86.0,86.8,85.0,85.0,XBRU:ROU,18257
2000-03-01,86.85,88.0,86.5,87.0,XBRU:ROU,7360
2000-03-02,87.6,88.0,87.3,87.5,XBRU:ROU,3975
2000-03-03,92.0,92.0,87.95,87.95,XBRU:ROU,9601
2000-03-06,90.1,92.5,90.0,92.5,XBRU:ROU,9241
2000-03-07,91.0,92.0,89.0,91.0,XBRU:ROU,9125
2000-03-08,91.5,91.5,91.0,91.5,XBRU:ROU,2663
2000-03-09,93.0,93.0,91.5,92.5,XBRU:ROU,7772
2000-03-10,94.0,95.7,91.0,94.0,XBRU:ROU,5810
2000-03-13,94.0,94.0,94.0,94.0,XBRU:ROU,0
2000-03-14,90.0,91.0,83.0,83.0,XBRU:ROU,8151
2000-03-15,88.0,90.0,88.0,88.0,XBRU:ROU,1485
2000-03-16,87.0,88.0,84.5,88.0,XBRU:ROU,2733
2000-03-17,86.0,86.2,85.1,85.1,XBRU:ROU,5323
2000-03-20,86.0,87.5,86.0,87.5,XBRU:ROU,4979
2000-03-21,76.0,80.0,76.0,80.0,XBRU:ROU,29767
2000-03-22,80.5,83.8,77.0,77.0,XBRU:ROU,25043
2000-03-23,79.9,80.0,79.0,80.0,XBRU:ROU,18270
2000-03-24,80.05,81.0,79.8,80.0,XBRU:ROU,6161
2000-03-27,81.5,83.5,81.0,81.3,XBRU:ROU,1874
2000-03-28,83.0,83.5,81.0,81.0,XBRU:ROU,2155
2000-03-29,83.8,85.0,83.0,83.0,XBRU:ROU,57046
2000-03-30,81.0,82.95,80.5,82.95,XBRU:ROU,1733
2000-03-31,76.9,80.1,75.5,80.1,XBRU:ROU,6748
2000-04-03,75.0,79.8,75.0,79.8,XBRU:ROU,2074
2000-04-04,72.05,75.0,72.05,75.0,XBRU:ROU,4357
2000-04-05,66.6,73.0,66.6,72.0,XBRU:ROU,4642
2000-04-06,68.0,70.0,67.0,67.0,XBRU:ROU,2665
2000-04-07,70.0,70.0,69.0,70.0,XBRU:ROU,33077
2000-04-10,68.0,69.0,68.0,69.0,XBRU:ROU,2085
2000-04-11,66.75,67.0,66.5,67.0,XBRU:ROU,5069
2000-04-12,70.0,70.0,68.5,68.5,XBRU:ROU,2319
2000-04-13,69.5,70.0,69.0,69.0,XBRU:ROU,2960
2000-04-14,70.0,70.0,69.5,69.6,XBRU:ROU,4367
2000-04-17,69.0,69.0,67.0,68.0,XBRU:ROU,3749
2000-04-18,70.0,70.0,70.0,70.0,XBRU:ROU,4186
2000-04-19,71.0,73.9,71.0,73.9,XBRU:ROU,2570
2000-04-20,70.0,70.0,69.0,69.0,XBRU:ROU,2534
2000-04-21,70.0,70.0,70.0,70.0,XBRU:ROU,0
2000-04-24,70.0,70.0,70.0,70.0,XBRU:ROU,0
2000-04-25,69.0,69.5,69.0,69.0,XBRU:ROU,655
2000-04-26,69.0,69.5,69.0,69.0,XBRU:ROU,348
2000-04-27,66.0,69.0,66.0,69.0,XBRU:ROU,3222
2000-04-28,62.1,66.0,62.1,66.0,XBRU:ROU,4009
2000-05-01,62.1,62.1,62.1,62.1,XBRU:ROU,0
2000-05-02,62.1,63.0,61.0,62.0,XBRU:ROU,3407
2000-05-03,65.5,66.75,62.0,62.5,XBRU:ROU,2609
2000-05-04,69.7,71.5,65.0,65.0,XBRU:ROU,12759
2000-05-05,69.0,70.0,69.0,70.0,XBRU:ROU,2513
2000-05-08,69.0,69.9,66.0,67.0,XBRU:ROU,836
2000-05-09,69.0,69.0,69.0,69.0,XBRU:ROU,0
2000-05-10,67.0,69.9,67.0,69.9,XBRU:ROU,1080
2000-05-11,69.3,69.3,67.05,67.1,XBRU:ROU,865
2000-05-12,69.0,69.45,67.7,69.25,XBRU:ROU,6290
2000-05-15,68.5,69.0,68.0,69.0,XBRU:ROU,3518
2000-05-16,66.0,68.0,66.0,68.0,XBRU:ROU,2144
2000-05-17,67.0,68.0,66.0,66.55,XBRU:ROU,1573
2000-05-18,64.0,67.5,64.0,67.5,XBRU:ROU,11289
2000-05-19,65.0,67.75,65.0,67.5,XBRU:ROU,3393
2000-05-22,65.0,67.0,64.0,65.0,XBRU:ROU,16641
2000-05-23,66.5,68.0,65.0,65.0,XBRU:ROU,1030
2000-05-24,66.5,68.0,66.0,66.5,XBRU:ROU,7858
2000-05-25,66.5,67.5,66.5,67.0,XBRU:ROU,16017
2000-05-26,66.5,66.5,63.0,63.0,XBRU:ROU,1608
2000-05-29,64.1,66.15,63.2,63.2,XBRU:ROU,840
2000-05-30,66.0,66.95,64.25,64.25,XBRU:ROU,508
2000-05-31,66.5,67.0,66.5,66.5,XBRU:ROU,11860
2000-06-01,66.5,66.5,66.5,66.5,XBRU:ROU,0
2000-06-02,67.0,67.5,66.5,66.5,XBRU:ROU,1832
2000-06-05,67.0,67.9,66.5,66.5,XBRU:ROU,1231
2000-06-06,67.5,68.0,65.1,68.0,XBRU:ROU,470
2000-06-07,67.5,67.5,65.0,65.0,XBRU:ROU,687
2000-06-08,67.5,68.0,67.5,67.5,XBRU:ROU,775
2000-06-09,67.0,67.0,65.5,65.5,XBRU:ROU,145
2000-06-12,67.0,67.0,67.0,67.0,XBRU:ROU,0
2000-06-13,67.5,68.0,67.0,67.0,XBRU:ROU,12315
2000-06-14,67.5,67.5,67.5,67.5,XBRU:ROU,230
2000-06-15,67.5,69.0,67.5,68.0,XBRU:ROU,397
2000-06-16,67.5,67.5,67.5,67.5,XBRU:ROU,1566
2000-06-19,67.5,67.5,67.5,67.5,XBRU:ROU,0
2000-06-20,67.0,68.0,67.0,67.6,XBRU:ROU,10848
2000-06-21,67.0,67.0,67.0,67.0,XBRU:ROU,3126
2000-06-22,67.0,67.0,67.0,67.0,XBRU:ROU,1722
2000-06-23,66.0,66.55,65.0,66.0,XBRU:ROU,9558
2000-06-26,69.0,69.0,65.5,65.5,XBRU:ROU,7775
2000-06-27,69.0,69.2,69.0,69.0,XBRU:ROU,5826
2000-06-28,69.0,69.0,69.0,69.0,XBRU:ROU,1361
2000-06-29,69.75,69.75,69.0,69.05,XBRU:ROU,697
2000-06-30,69.0,70.0,69.0,70.0,XBRU:ROU,480
2000-07-03,68.0,68.0,67.5,67.5,XBRU:ROU,1220
2000-07-04,69.2,69.4,68.0,68.0,XBRU:ROU,3375
2000-07-05,69.0,69.4,69.0,69.0,XBRU:ROU,1984
2000-07-06,69.0,69.4,69.0,69.0,XBRU:ROU,2890
2000-07-07,69.0,69.0,69.0,69.0,XBRU:ROU,0
2000-07-10,68.0,69.0,67.5,68.0,XBRU:ROU,1558
2000-07-11,67.5,68.0,67.5,68.0,XBRU:ROU,3695
2000-07-12,66.0,67.5,66.0,66.0,XBRU:ROU,873
2000-07-13,67.5,67.5,66.0,66.0,XBRU:ROU,90
2000-07-14,69.0,69.0,66.5,67.0,XBRU:ROU,1082
2000-07-17,69.9,69.9,67.5,69.0,XBRU:ROU,1078
2000-07-18,67.5,67.5,67.5,67.5,XBRU:ROU,530
2000-07-19,67.5,68.5,66.5,66.5,XBRU:ROU,722
2000-07-20,66.8,66.8,66.8,66.8,XBRU:ROU,10
2000-07-21,66.8,66.8,66.8,66.8,XBRU:ROU,0
2000-07-24,66.8,66.8,66.8,66.8,XBRU:ROU,0
2000-07-25,68.5,68.5,67.05,67.5,XBRU:ROU,8690
2000-07-26,67.7,68.75,67.5,67.5,XBRU:ROU,4187
2000-07-27,67.7,67.7,67.7,67.7,XBRU:ROU,0
2000-07-28,69.5,69.5,68.0,68.0,XBRU:ROU,215
2000-07-31,68.0,69.8,67.55,69.5,XBRU:ROU,607
2000-08-01,67.6,68.0,67.55,67.55,XBRU:ROU,142
2000-08-02,67.6,67.6,67.55,67.55,XBRU:ROU,62
2000-08-03,69.8,70.0,68.1,68.5,XBRU:ROU,540
2000-08-04,68.0,68.0,68.0,68.0,XBRU:ROU,192
2000-08-07,69.7,70.0,67.55,68.0,XBRU:ROU,2401
2000-08-08,67.7,68.0,67.7,67.8,XBRU:ROU,1242
2000-08-09,67.7,67.7,67.7,67.7,XBRU:ROU,0
2000-08-10,67.5,67.7,67.5,67.7,XBRU:ROU,700
2000-08-11,67.0,67.5,67.0,67.5,XBRU:ROU,6535
