Date,Close,High,Low,Open,Symbol,Volume
2000-01-10,26.5,26.5,26.5,26.5,XBRU:SAB,110
2000-01-11,26.5,26.5,26.5,26.5,XBRU:SAB,0
2000-01-12,26.5,26.5,26.5,26.5,XBRU:SAB,0
2000-01-13,27.0,27.0,27.0,27.0,XBRU:SAB,40
2000-01-14,27.0,27.0,27.0,27.0,XBRU:SAB,140
2000-01-17,26.5,26.5,26.5,26.5,XBRU:SAB,25
2000-01-18,26.5,26.5,26.5,26.5,XBRU:SAB,0
2000-01-19,26.5,26.5,26.5,26.5,XBRU:SAB,20
2000-01-20,25.18,25.18,25.18,25.18,XBRU:SAB,500
2000-01-21,25.0,25.0,25.0,25.0,XBRU:SAB,50
2000-01-24,25.01,25.01,25.01,25.01,XBRU:SAB,200
2000-01-25,25.01,25.01,25.01,25.01,XBRU:SAB,0
2000-01-26,25.01,25.01,25.01,25.01,XBRU:SAB,0
2000-01-27,25.01,25.01,25.01,25.01,XBRU:SAB,0
2000-01-28,30.0,30.0,30.0,30.0,XBRU:SAB,775
2000-01-31,30.0,30.0,30.0,30.0,XBRU:SAB,0
2000-02-01,30.0,30.0,30.0,30.0,XBRU:SAB,0
2000-02-02,30.0,30.0,30.0,30.0,XBRU:SAB,0
2000-02-03,35.0,35.0,35.0,35.0,XBRU:SAB,925
2000-02-04,35.0,35.0,35.0,35.0,XBRU:SAB,375
2000-02-07,35.0,35.0,35.0,35.0,XBRU:SAB,250
2000-02-08,35.0,35.0,35.0,35.0,XBRU:SAB,0
2000-02-09,32.0,32.0,32.0,32.0,XBRU:SAB,50
2000-02-10,32.0,32.0,32.0,32.0,XBRU:SAB,0
2000-02-11,32.0,32.0,32.0,32.0,XBRU:SAB,0
2000-02-14,32.0,32.0,32.0,32.0,XBRU:SAB,0
2000-02-15,32.0,32.0,32.0,32.0,XBRU:SAB,0
2000-02-16,32.0,32.0,32.0,32.0,XBRU:SAB,0
2000-02-17,32.0,32.0,32.0,32.0,XBRU:SAB,0
2000-02-18,32.0,32.0,32.0,32.0,XBRU:SAB,0
2000-02-21,24.75,24.75,24.75,24.75,XBRU:SAB,440
2000-02-22,24.75,24.75,24.75,24.75,XBRU:SAB,0
2000-02-23,24.75,24.75,24.75,24.75,XBRU:SAB,0
2000-02-24,24.75,24.75,24.75,24.75,XBRU:SAB,0
2000-02-25,29.99,29.99,29.99,29.99,XBRU:SAB,190
2000-02-28,29.95,29.95,29.95,29.95,XBRU:SAB,100
2000-02-29,29.95,29.95,29.95,29.95,XBRU:SAB,0
2000-03-01,29.95,29.95,29.95,29.95,XBRU:SAB,0
2000-03-02,29.95,29.95,29.95,29.95,XBRU:SAB,0
2000-03-03,29.95,29.95,29.95,29.95,XBRU:SAB,0
2000-03-06,25.69,25.69,25.69,25.69,XBRU:SAB,90
2000-03-07,26.0,26.0,26.0,26.0,XBRU:SAB,70
2000-03-08,26.0,26.0,26.0,26.0,XBRU:SAB,100
2000-03-09,26.0,26.0,26.0,26.0,XBRU:SAB,0
2000-03-10,27.0,27.0,27.0,27.0,XBRU:SAB,110
2000-03-13,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-03-14,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-03-15,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-03-16,28.0,28.0,28.0,28.0,XBRU:SAB,40
2000-03-17,28.0,28.0,28.0,28.0,XBRU:SAB,0
2000-03-20,28.0,28.0,28.0,28.0,XBRU:SAB,0
2000-03-21,28.0,28.0,28.0,28.0,XBRU:SAB,0
2000-03-22,28.0,28.0,28.0,28.0,XBRU:SAB,0
2000-03-23,25.21,25.21,25.21,25.21,XBRU:SAB,427
2000-03-24,25.21,25.21,25.21,25.21,XBRU:SAB,0
2000-03-27,25.21,25.21,25.21,25.21,XBRU:SAB,0
2000-03-28,27.79,27.79,27.79,27.79,XBRU:SAB,40
2000-03-29,27.79,27.79,27.79,27.79,XBRU:SAB,0
2000-03-30,27.79,27.79,27.79,27.79,XBRU:SAB,0
2000-03-31,27.79,27.79,27.79,27.79,XBRU:SAB,0
2000-04-03,25.5,25.5,25.5,25.5,XBRU:SAB,175
2000-04-04,25.5,25.5,25.5,25.5,XBRU:SAB,0
2000-04-05,25.5,25.5,25.5,25.5,XBRU:SAB,0
2000-04-06,28.0,28.0,28.0,28.0,XBRU:SAB,110
2000-04-07,28.0,28.0,28.0,28.0,XBRU:SAB,0
2000-04-10,28.0,28.0,28.0,28.0,XBRU:SAB,0
2000-04-11,27.0,27.0,27.0,27.0,XBRU:SAB,200
2000-04-12,28.0,28.0,28.0,28.0,XBRU:SAB,250
2000-04-13,28.0,28.0,28.0,28.0,XBRU:SAB,0
2000-04-14,28.0,28.0,28.0,28.0,XBRU:SAB,0
2000-04-17,27.0,27.0,27.0,27.0,XBRU:SAB,110
2000-04-18,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-04-19,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-04-20,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-04-21,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-04-24,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-04-25,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-04-26,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-04-27,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-04-28,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-01,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-02,27.1,27.1,27.1,27.1,XBRU:SAB,68
2000-05-03,27.1,27.1,27.1,27.1,XBRU:SAB,0
2000-05-04,27.1,27.1,27.1,27.1,XBRU:SAB,0
2000-05-05,27.1,27.1,27.1,27.1,XBRU:SAB,0
2000-05-08,27.1,27.1,27.1,27.1,XBRU:SAB,0
2000-05-09,27.1,27.1,27.1,27.1,XBRU:SAB,0
2000-05-10,27.1,27.1,27.1,27.1,XBRU:SAB,0
2000-05-11,27.1,27.1,27.1,27.1,XBRU:SAB,0
2000-05-12,27.1,27.1,27.1,27.1,XBRU:SAB,0
2000-05-15,27.0,27.0,27.0,27.0,XBRU:SAB,35
2000-05-16,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-17,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-18,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-19,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-22,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-23,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-24,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-25,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-26,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-29,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-30,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-05-31,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-01,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-02,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-05,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-06,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-07,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-08,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-09,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-12,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-13,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-14,27.0,27.0,27.0,27.0,XBRU:SAB,0
2000-06-15,26.73,26.73,26.73,26.73,XBRU:SAB,50
2000-06-16,26.73,26.73,26.73,26.73,XBRU:SAB,0
2000-06-19,26.73,26.73,26.73,26.73,XBRU:SAB,0
2000-06-20,26.73,26.73,26.73,26.73,XBRU:SAB,0
2000-06-21,26.73,26.73,26.73,26.73,XBRU:SAB,3
2000-06-22,26.73,26.73,26.73,26.73,XBRU:SAB,0
2000-06-23,26.73,26.73,26.73,26.73,XBRU:SAB,0
2000-06-26,26.73,26.73,26.73,26.73,XBRU:SAB,0
2000-06-27,26.73,26.73,26.73,26.73,XBRU:SAB,0
2000-06-28,26.73,26.73,26.73,26.73,XBRU:SAB,0
2000-06-29,33.0,33.0,33.0,33.0,XBRU:SAB,280
2000-06-30,33.0,33.0,33.0,33.0,XBRU:SAB,105
2000-07-03,33.0,33.0,33.0,33.0,XBRU:SAB,950
2000-07-04,33.0,33.0,33.0,33.0,XBRU:SAB,0
2000-07-05,33.0,33.0,33.0,33.0,XBRU:SAB,40
2000-07-06,33.0,33.0,33.0,33.0,XBRU:SAB,50
2000-07-07,33.0,33.0,33.0,33.0,XBRU:SAB,0
2000-07-10,33.0,33.0,33.0,33.0,XBRU:SAB,0
2000-07-11,33.0,33.0,33.0,33.0,XBRU:SAB,0
2000-07-12,33.0,33.0,33.0,33.0,XBRU:SAB,0
2000-07-13,33.0,33.0,33.0,33.0,XBRU:SAB,0
2000-07-14,33.0,33.0,33.0,33.0,XBRU:SAB,0
2000-07-17,33.0,33.0,33.0,33.0,XBRU:SAB,0
2000-07-18,31.0,31.0,31.0,31.0,XBRU:SAB,124
2000-07-19,31.0,31.0,31.0,31.0,XBRU:SAB,0
2000-07-20,31.0,31.0,31.0,31.0,XBRU:SAB,0
2000-07-21,31.0,31.0,31.0,31.0,XBRU:SAB,0
2000-07-24,31.0,31.0,31.0,31.0,XBRU:SAB,0
2000-07-25,30.0,30.0,30.0,30.0,XBRU:SAB,26
2000-07-26,30.0,30.0,30.0,30.0,XBRU:SAB,0
2000-07-27,30.0,30.0,30.0,30.0,XBRU:SAB,0
2000-07-28,30.0,30.0,30.0,30.0,XBRU:SAB,0
2000-07-31,30.0,30.0,30.0,30.0,XBRU:SAB,0
2000-08-01,29.1,29.1,29.1,29.1,XBRU:SAB,60
2000-08-02,29.1,29.1,29.1,29.1,XBRU:SAB,0
2000-08-03,29.1,29.1,29.1,29.1,XBRU:SAB,0
2000-08-04,29.1,29.1,29.1,29.1,XBRU:SAB,0
2000-08-07,32.9,32.9,32.9,32.9,XBRU:SAB,151
2000-08-08,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-09,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-10,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-11,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-14,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-15,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-16,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-17,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-18,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-21,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-22,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-23,32.9,32.9,32.9,32.9,XBRU:SAB,0
2000-08-24,32.9,32.9,32.9,32.9,XBRU:SAB,0
