Date,Close,High,Low,Open,Symbol,Volume
2000-01-04,47.0,48.0,47.0,48.0,XBRU:SAP,279
2000-01-05,46.0,46.0,46.0,46.0,XBRU:SAP,119
2000-01-06,47.5,47.5,47.0,47.0,XBRU:SAP,145
2000-01-07,48.2,48.2,46.0,46.0,XBRU:SAP,150
2000-01-10,48.0,48.5,48.0,48.5,XBRU:SAP,600
2000-01-11,48.0,48.0,48.0,48.0,XBRU:SAP,0
2000-01-12,49.0,49.0,49.0,49.0,XBRU:SAP,1028
2000-01-13,49.5,49.5,49.34,49.34,XBRU:SAP,1100
2000-01-14,50.6,50.6,50.2,50.2,XBRU:SAP,2354
2000-01-17,51.2,51.2,51.0,51.0,XBRU:SAP,651
2000-01-18,51.5,51.5,51.45,51.45,XBRU:SAP,981
2000-01-19,51.75,51.75,51.75,51.75,XBRU:SAP,807
2000-01-20,51.45,51.8,51.45,51.8,XBRU:SAP,470
2000-01-21,51.0,51.8,51.0,51.8,XBRU:SAP,682
2000-01-24,50.0,51.0,50.0,51.0,XBRU:SAP,1207
2000-01-25,48.5,48.5,48.5,48.5,XBRU:SAP,668
2000-01-26,47.0,48.0,47.0,48.0,XBRU:SAP,920
2000-01-27,45.0,45.0,45.0,45.0,XBRU:SAP,266
2000-01-28,46.5,46.5,46.0,46.0,XBRU:SAP,494
2000-01-31,45.7,45.7,45.7,45.7,XBRU:SAP,15
2000-02-01,45.0,45.0,45.0,45.0,XBRU:SAP,200
2000-02-02,43.0,43.0,43.0,43.0,XBRU:SAP,760
2000-02-03,42.0,42.0,42.0,42.0,XBRU:SAP,300
2000-02-04,44.0,44.0,42.2,42.2,XBRU:SAP,355
2000-02-07,44.0,44.01,44.0,44.01,XBRU:SAP,580
2000-02-08,43.99,44.0,43.99,44.0,XBRU:SAP,200
2000-02-09,41.0,42.0,41.0,42.0,XBRU:SAP,1460
2000-02-10,40.0,40.59,40.0,40.59,XBRU:SAP,1365
2000-02-11,41.0,41.0,40.05,40.05,XBRU:SAP,294
2000-02-14,41.0,41.0,41.0,41.0,XBRU:SAP,80
2000-02-15,42.0,42.0,42.0,42.0,XBRU:SAP,55
2000-02-16,44.0,44.0,44.0,44.0,XBRU:SAP,260
2000-02-17,41.0,41.0,41.0,41.0,XBRU:SAP,0
2000-02-18,43.0,43.0,43.0,43.0,XBRU:SAP,215
2000-02-21,42.0,42.0,42.0,42.0,XBRU:SAP,213
2000-02-22,40.1,40.2,40.1,40.2,XBRU:SAP,700
2000-02-23,39.6,40.0,39.6,40.0,XBRU:SAP,303
2000-02-24,40.0,40.0,40.0,40.0,XBRU:SAP,100
2000-02-25,39.8,39.8,39.8,39.8,XBRU:SAP,114
2000-02-28,40.0,40.0,39.6,39.6,XBRU:SAP,242
2000-02-29,39.8,40.0,39.8,40.0,XBRU:SAP,0
2000-03-01,40.0,40.0,40.0,40.0,XBRU:SAP,210
2000-03-02,40.75,40.75,40.75,40.75,XBRU:SAP,22
2000-03-03,39.2,39.2,39.2,39.2,XBRU:SAP,420
2000-03-06,39.0,39.0,39.0,39.0,XBRU:SAP,258
2000-03-07,39.0,39.2,39.0,39.2,XBRU:SAP,239
2000-03-08,40.5,40.5,40.5,40.5,XBRU:SAP,240
2000-03-09,39.2,39.2,39.2,39.2,XBRU:SAP,20
2000-03-10,41.0,41.0,40.0,40.0,XBRU:SAP,197
2000-03-13,41.0,41.0,41.0,41.0,XBRU:SAP,120
2000-03-14,41.0,41.0,41.0,41.0,XBRU:SAP,277
2000-03-15,41.0,41.0,41.0,41.0,XBRU:SAP,40
2000-03-16,42.0,42.0,41.0,41.0,XBRU:SAP,598
2000-03-17,42.0,42.0,42.0,42.0,XBRU:SAP,230
2000-03-20,42.0,42.0,42.0,42.0,XBRU:SAP,100
2000-03-21,41.0,42.0,41.0,42.0,XBRU:SAP,0
2000-03-22,41.0,42.0,41.0,42.0,XBRU:SAP,0
2000-03-23,40.5,41.0,40.5,41.0,XBRU:SAP,240
2000-03-24,40.0,40.0,40.0,40.0,XBRU:SAP,107
2000-03-27,40.0,40.9,40.0,40.9,XBRU:SAP,0
