Symbol,Date,Close,High,Low,Open,Volume
XBRU:SIOE,2000-01-04,32.0,33.0,32.0,32.52,12586
XBRU:SIOE,2000-01-05,33.2,33.2,31.5,32.0,76727
XBRU:SIOE,2000-01-06,33.1,33.5,31.6,33.2,3746
XBRU:SIOE,2000-01-07,33.15,33.15,32.1,33.0,4167
XBRU:SIOE,2000-01-10,31.75,32.6,31.65,32.0,8014
XBRU:SIOE,2000-01-11,31.75,31.75,31.75,31.75,0
XBRU:SIOE,2000-01-12,32.0,32.0,31.5,32.0,7797
XBRU:SIOE,2000-01-13,32.45,32.45,31.5,31.5,5188
XBRU:SIOE,2000-01-14,32.18,32.7,31.79,32.7,9769
XBRU:SIOE,2000-01-17,30.1,32.18,30.1,32.18,21719
XBRU:SIOE,2000-01-18,30.55,30.6,30.0,30.1,20197
XBRU:SIOE,2000-01-19,30.0,30.98,30.0,30.0,13537
XBRU:SIOE,2000-01-20,30.0,30.9,30.0,30.1,12968
XBRU:SIOE,2000-01-21,30.4,30.4,30.0,30.05,9588
XBRU:SIOE,2000-01-24,30.0,30.5,30.0,30.05,7977
XBRU:SIOE,2000-01-25,29.5,30.3,29.5,30.3,6014
XBRU:SIOE,2000-01-26,29.5,30.0,29.0,29.0,16994
XBRU:SIOE,2000-01-27,30.99,30.99,29.8,30.0,23215
XBRU:SIOE,2000-01-28,28.9,30.95,28.9,30.94,71451
XBRU:SIOE,2000-01-31,28.1,30.0,28.1,29.9,6622
XBRU:SIOE,2000-02-01,28.2,29.45,28.11,28.8,6285
XBRU:SIOE,2000-02-02,28.15,29.05,28.1,28.14,9464
XBRU:SIOE,2000-02-03,27.0,28.5,27.0,28.1,10896
XBRU:SIOE,2000-02-04,29.35,29.35,27.5,28.0,9744
XBRU:SIOE,2000-02-07,27.51,29.5,27.5,29.4,8151
XBRU:SIOE,2000-02-08,28.0,28.7,27.75,28.49,12837
XBRU:SIOE,2000-02-09,27.0,28.0,26.5,27.5,16029
