Symbol,Date,Close,High,Low,Open,Volume
XBRU:SOFT,2000-01-04,34.6,37.0,34.5,36.95,10219
XBRU:SOFT,2000-01-05,33.6,34.31,33.0,34.31,7458
XBRU:SOFT,2000-01-06,34.0,35.0,33.3,33.6,7490
XBRU:SOFT,2000-01-07,34.04,35.6,34.0,34.6,4040
XBRU:SOFT,2000-01-10,34.99,35.6,34.52,35.59,3858
XBRU:SOFT,2000-01-11,34.99,34.99,34.99,34.99,0
XBRU:SOFT,2000-01-12,34.2,34.2,33.5,34.0,5405
XBRU:SOFT,2000-01-13,33.7,34.4,33.6,34.2,2664
XBRU:SOFT,2000-01-14,33.5,34.58,33.5,34.58,4663
XBRU:SOFT,2000-01-17,33.5,34.43,33.1,33.52,11188
XBRU:SOFT,2000-01-18,33.15,34.48,33.1,34.48,10313
XBRU:SOFT,2000-01-19,33.36,33.99,33.35,33.6,9108
XBRU:SOFT,2000-01-20,34.9,34.9,33.3,33.99,16410
XBRU:SOFT,2000-01-21,34.5,35.1,34.0,34.8,13363
XBRU:SOFT,2000-01-24,34.0,35.0,34.0,34.99,5262
XBRU:SOFT,2000-01-25,33.2,33.6,33.1,33.5,4870
XBRU:SOFT,2000-01-26,33.89,33.89,33.15,33.5,10670
XBRU:SOFT,2000-01-27,33.15,33.95,33.0,33.9,4823
XBRU:SOFT,2000-01-28,33.5,34.0,33.4,33.95,3668
XBRU:SOFT,2000-01-31,32.5,33.5,32.5,33.5,5207
XBRU:SOFT,2000-02-01,32.5,32.7,32.0,32.5,5861
XBRU:SOFT,2000-02-02,32.5,32.8,32.0,32.05,4516
XBRU:SOFT,2000-02-03,31.25,32.5,30.9,32.44,22092
XBRU:SOFT,2000-02-04,31.75,32.49,31.0,32.49,23113
XBRU:SOFT,2000-02-07,31.9,32.2,31.5,31.9,13555
XBRU:SOFT,2000-02-08,30.0,31.98,30.0,31.98,15054
XBRU:SOFT,2000-02-09,31.36,31.36,28.5,30.0,25112
XBRU:SOFT,2000-02-10,29.0,30.45,29.0,30.0,15114
XBRU:SOFT,2000-02-11,29.99,31.36,29.01,30.0,12735
XBRU:SOFT,2000-02-14,31.0,31.9,30.0,30.99,16980
XBRU:SOFT,2000-02-15,30.6,32.0,30.4,31.0,9901
XBRU:SOFT,2000-02-16,31.0,31.8,31.0,31.2,8264
XBRU:SOFT,2000-02-17,31.36,32.3,31.25,32.0,20632
XBRU:SOFT,2000-02-18,30.89,31.8,30.2,31.0,6589
XBRU:SOFT,2000-02-21,29.75,30.6,29.4,30.6,12980
XBRU:SOFT,2000-02-22,29.0,29.45,28.5,29.0,20602
XBRU:SOFT,2000-02-23,28.0,28.99,28.0,28.5,12045
XBRU:SOFT,2000-02-24,28.0,29.0,28.0,29.0,10076
XBRU:SOFT,2000-02-25,28.99,29.0,28.01,28.95,5308
XBRU:SOFT,2000-02-28,28.1,29.0,28.03,29.0,10659
XBRU:SOFT,2000-02-29,28.7,28.79,28.4,28.55,14316
XBRU:SOFT,2000-03-01,29.4,29.5,28.8,28.8,19316
XBRU:SOFT,2000-03-02,30.5,30.75,29.0,29.5,26280
XBRU:SOFT,2000-03-03,32.9,33.9,32.13,33.6,81689
XBRU:SOFT,2000-03-06,33.75,34.45,33.5,33.8,40613
XBRU:SOFT,2000-03-07,33.0,33.5,32.9,33.0,21869
XBRU:SOFT,2000-03-08,32.3,33.3,32.0,33.0,15782
XBRU:SOFT,2000-03-09,32.7,33.3,32.1,32.31,8409
XBRU:SOFT,2000-03-10,32.25,33.29,32.11,32.11,11358
XBRU:SOFT,2000-03-13,32.25,32.25,32.25,32.25,0
XBRU:SOFT,2000-03-14,32.2,33.0,32.2,32.3,12509
XBRU:SOFT,2000-03-15,32.5,33.0,32.12,32.14,10238
XBRU:SOFT,2000-03-16,33.5,34.25,33.0,33.0,14719
XBRU:SOFT,2000-03-17,33.5,34.0,33.0,33.5,7131
XBRU:SOFT,2000-03-20,33.0,33.5,33.0,33.5,5633
XBRU:SOFT,2000-03-21,32.5,33.0,32.0,33.0,5800
XBRU:SOFT,2000-03-22,32.5,32.8,31.5,32.01,8263
XBRU:SOFT,2000-03-23,32.0,32.84,31.5,32.8,9429
XBRU:SOFT,2000-03-24,31.2,32.0,31.2,31.6,6642
XBRU:SOFT,2000-03-27,30.0,31.01,30.0,31.0,9718
XBRU:SOFT,2000-03-28,30.54,31.5,30.53,31.5,4100
XBRU:SOFT,2000-03-29,31.5,31.7,30.8,31.0,2445
XBRU:SOFT,2000-03-30,31.8,31.8,31.0,31.79,4778
XBRU:SOFT,2000-03-31,31.0,32.0,31.0,31.8,7842
XBRU:SOFT,2000-04-03,30.0,31.9,30.0,31.8,7089
XBRU:SOFT,2000-04-04,29.25,30.0,29.01,29.99,7623
XBRU:SOFT,2000-04-05,28.5,29.4,28.3,29.0,5295
XBRU:SOFT,2000-04-06,28.9,29.39,28.03,28.03,4163
XBRU:SOFT,2000-04-07,29.3,29.3,28.5,29.0,4715
XBRU:SOFT,2000-04-10,28.5,29.39,28.5,29.3,8069
XBRU:SOFT,2000-04-11,28.95,28.98,28.0,28.5,4762
XBRU:SOFT,2000-04-12,28.65,28.97,28.05,28.3,6771
XBRU:SOFT,2000-04-13,28.35,28.45,28.0,28.0,11076
XBRU:SOFT,2000-04-14,28.05,28.4,27.6,28.4,7093
XBRU:SOFT,2000-04-17,27.5,27.8,26.5,27.0,6016
XBRU:SOFT,2000-04-18,28.0,28.5,27.5,28.1,3865
XBRU:SOFT,2000-04-19,28.3,28.5,27.5,28.2,4040
XBRU:SOFT,2000-04-20,28.69,28.8,28.5,28.8,4755
XBRU:SOFT,2000-04-21,28.69,28.69,28.69,28.69,0
