Date,Close,High,Low,Open,Symbol,Volume
2000-01-04,41.0,43.5,40.9,43.05,XBRU:UCB,265438
2000-01-05,39.78,40.5,38.5,40.0,XBRU:UCB,477370
2000-01-06,38.65,40.2,38.55,40.05,XBRU:UCB,315987
2000-01-07,39.85,40.25,38.81,40.2,XBRU:UCB,310816
2000-01-10,42.2,43.2,41.2,41.5,XBRU:UCB,221119
2000-01-11,42.2,42.2,42.2,42.2,XBRU:UCB,0
2000-01-12,40.9,41.9,40.9,41.8,XBRU:UCB,137050
2000-01-13,40.43,41.3,40.12,41.1,XBRU:UCB,443146
2000-01-14,40.0,41.0,39.5,40.45,XBRU:UCB,367166
2000-01-17,39.41,40.7,39.4,40.5,XBRU:UCB,307368
2000-01-18,38.8,39.76,37.55,39.5,XBRU:UCB,438248
2000-01-19,38.3,39.74,37.05,39.0,XBRU:UCB,440653
2000-01-20,37.5,39.3,37.35,38.9,XBRU:UCB,329399
2000-01-21,38.0,38.4,36.8,37.6,XBRU:UCB,405318
2000-01-24,36.9,38.5,36.1,38.5,XBRU:UCB,198887
2000-01-25,36.9,36.9,34.71,36.0,XBRU:UCB,462758
2000-01-26,36.0,36.8,35.7,36.8,XBRU:UCB,391888
2000-01-27,37.44,37.44,36.16,36.75,XBRU:UCB,198385
2000-01-28,37.0,37.35,36.8,37.0,XBRU:UCB,217357
2000-01-31,35.0,37.0,34.8,36.9,XBRU:UCB,335622
2000-02-01,35.0,36.0,34.75,35.94,XBRU:UCB,261444
2000-02-02,34.0,35.2,33.9,35.1,XBRU:UCB,406387
2000-02-03,36.01,36.01,35.05,35.4,XBRU:UCB,372627
2000-02-04,38.45,38.45,37.0,37.4,XBRU:UCB,524286
2000-02-07,38.62,39.45,38.55,39.01,XBRU:UCB,224109
2000-02-08,39.5,39.65,39.06,39.15,XBRU:UCB,332926
2000-02-09,36.2,39.5,35.75,39.11,XBRU:UCB,342167
2000-02-10,35.2,36.18,35.03,35.5,XBRU:UCB,582001
2000-02-11,35.62,36.8,34.36,36.0,XBRU:UCB,477773
2000-02-14,37.5,38.1,36.4,36.48,XBRU:UCB,309861
2000-02-15,37.5,38.99,37.05,38.0,XBRU:UCB,281042
2000-02-16,37.35,38.94,36.8,38.6,XBRU:UCB,244075
2000-02-17,36.99,37.8,36.4,37.8,XBRU:UCB,266650
2000-02-18,35.5,37.35,35.5,37.35,XBRU:UCB,670280
2000-02-21,35.49,36.4,34.65,35.95,XBRU:UCB,242409
2000-02-22,35.08,35.9,34.2,35.9,XBRU:UCB,170863
2000-02-23,34.7,35.0,33.5,35.0,XBRU:UCB,278672
2000-02-24,35.51,36.35,35.5,35.5,XBRU:UCB,188979
2000-02-25,35.9,36.45,35.25,35.51,XBRU:UCB,72684
2000-02-28,34.87,35.98,34.55,35.75,XBRU:UCB,306051
2000-02-29,35.45,35.72,34.03,35.0,XBRU:UCB,106135
2000-03-01,35.0,36.3,34.76,35.85,XBRU:UCB,168340
2000-03-02,35.28,35.5,35.0,35.5,XBRU:UCB,154320
2000-03-03,34.63,35.4,34.6,35.28,XBRU:UCB,111891
2000-03-06,34.05,34.99,33.85,34.8,XBRU:UCB,249655
2000-03-07,33.6,34.09,33.1,33.86,XBRU:UCB,236966
2000-03-08,33.99,34.25,33.41,33.42,XBRU:UCB,148389
2000-03-09,33.95,34.5,33.42,34.5,XBRU:UCB,135461
2000-03-10,33.44,34.0,33.0,34.0,XBRU:UCB,199267
2000-03-13,33.44,33.44,33.44,33.44,XBRU:UCB,0
2000-03-14,34.0,34.95,32.0,32.0,XBRU:UCB,221728
2000-03-15,36.0,36.75,33.8,33.8,XBRU:UCB,488124
2000-03-16,38.99,39.6,37.6,37.9,XBRU:UCB,625084
2000-03-17,38.0,39.4,36.25,39.4,XBRU:UCB,463704
2000-03-20,38.26,38.9,37.72,38.0,XBRU:UCB,233296
2000-03-21,37.99,38.35,37.05,38.35,XBRU:UCB,270834
2000-03-22,38.15,38.24,37.58,37.98,XBRU:UCB,466525
2000-03-23,37.7,38.24,37.7,38.24,XBRU:UCB,175996
2000-03-24,38.49,39.0,38.1,38.1,XBRU:UCB,221100
2000-03-27,37.45,38.9,37.2,38.9,XBRU:UCB,189936
2000-03-28,36.8,37.95,36.6,37.31,XBRU:UCB,186778
2000-03-29,38.33,38.33,36.51,36.51,XBRU:UCB,254078
2000-03-30,37.57,37.99,36.7,37.7,XBRU:UCB,261361
2000-03-31,38.0,38.0,36.75,36.82,XBRU:UCB,84232
2000-04-03,38.6,38.65,37.5,37.9,XBRU:UCB,188973
2000-04-04,38.45,39.5,38.0,38.85,XBRU:UCB,244316
2000-04-05,39.15,39.5,37.8,38.0,XBRU:UCB,217316
2000-04-06,39.35,39.5,38.9,39.0,XBRU:UCB,119346
2000-04-07,38.5,39.45,38.5,39.0,XBRU:UCB,67359
2000-04-10,38.15,38.98,37.7,38.1,XBRU:UCB,118811
2000-04-11,39.4,39.99,38.14,38.14,XBRU:UCB,224839
2000-04-12,39.05,40.5,38.72,39.98,XBRU:UCB,197410
2000-04-13,39.4,40.18,38.71,39.28,XBRU:UCB,130420
2000-04-14,38.01,40.06,38.01,40.0,XBRU:UCB,118786
2000-04-17,37.01,38.0,36.81,37.5,XBRU:UCB,164733
2000-04-18,37.1,38.47,36.6,37.95,XBRU:UCB,85283
2000-04-19,37.67,38.0,36.5,38.0,XBRU:UCB,106458
