Symbol,Date,Close,High,Low,Open,Volume
XBRU:WDP,2001-10-09,24.0194,24.0194,24.0194,24.0194,7
XBRU:WDP,2001-10-10,23.8904,24.0194,23.8209,23.8209,1410
XBRU:WDP,2001-10-11,24.0194,24.0194,23.8904,23.8904,654
XBRU:WDP,2001-10-12,24.0194,24.0194,24.0194,24.0194,50
XBRU:WDP,2001-10-15,24.0194,24.0194,24.0194,24.0194,60
XBRU:WDP,2001-10-16,23.8209,23.8209,23.8209,23.8209,5600
XBRU:WDP,2001-10-17,22.8284,23.8209,22.8284,23.8209,6260
XBRU:WDP,2001-10-18,24.2675,24.2675,23.7713,23.7713,15618
XBRU:WDP,2001-10-19,24.2179,24.2179,24.2179,24.2179,251
XBRU:WDP,2001-10-22,24.5653,24.5653,23.5728,23.5728,1573
XBRU:WDP,2001-10-23,24.5653,24.5653,24.2179,24.2179,343
XBRU:WDP,2001-10-24,24.5653,24.5653,24.2179,24.2179,311
XBRU:WDP,2001-10-25,24.4164,24.5157,24.4164,24.5157,584
XBRU:WDP,2001-10-26,24.5157,24.5157,24.5157,24.5157,282
XBRU:WDP,2001-10-29,24.5653,24.5653,24.5157,24.5157,105
XBRU:WDP,2001-10-30,24.5653,24.5653,24.5157,24.5157,0
XBRU:WDP,2001-10-31,24.6149,24.6149,24.5653,24.5653,1104
XBRU:WDP,2001-11-01,24.5157,24.5256,24.5157,24.5256,1259
XBRU:WDP,2001-11-02,24.5157,24.5256,24.5157,24.5256,0
XBRU:WDP,2001-11-05,24.5653,24.5653,24.5157,24.5157,1521
XBRU:WDP,2001-11-06,24.5653,24.5653,24.5653,24.5653,1370
XBRU:WDP,2001-11-07,23.8705,24.3172,23.8705,24.3172,3955
XBRU:WDP,2001-11-08,23.8705,24.3172,23.8705,24.3172,0
XBRU:WDP,2001-11-09,24.5653,24.5653,24.466,24.466,1017
XBRU:WDP,2001-11-12,24.5157,24.6149,24.5157,24.6149,1284
XBRU:WDP,2001-11-13,24.5157,24.6149,24.466,24.466,1622
XBRU:WDP,2001-11-14,24.6149,24.6149,24.5157,24.6149,931
XBRU:WDP,2001-11-15,24.5653,24.6149,24.5653,24.6149,1211
XBRU:WDP,2001-11-16,24.6645,24.7638,24.5653,24.5653,1433
XBRU:WDP,2001-11-19,24.6645,24.7638,24.5653,24.7638,809
XBRU:WDP,2001-11-20,24.6645,24.7638,24.5653,24.7638,809
XBRU:WDP,2001-11-21,24.7638,24.7638,24.7638,24.7638,191
XBRU:WDP,2001-11-22,24.7638,24.7638,24.466,24.7638,3526
XBRU:WDP,2001-11-23,24.7638,24.7638,24.466,24.7638,0
XBRU:WDP,2001-11-26,24.8134,24.8134,24.7638,24.7638,2654
XBRU:WDP,2001-11-27,25.0616,25.0616,24.8134,24.8134,1768
XBRU:WDP,2001-11-28,25.5578,25.5578,25.0616,25.0616,7400
XBRU:WDP,2001-11-29,25.5082,25.5578,25.5082,25.5578,414
XBRU:WDP,2001-11-30,24.8134,25.5082,24.8134,25.3097,3047
XBRU:WDP,2001-12-03,25.5082,25.5082,25.5082,25.5082,644
XBRU:WDP,2001-12-04,25.3097,25.4586,24.9127,24.9127,735
XBRU:WDP,2001-12-05,25.4586,25.4586,25.2104,25.2104,1123
XBRU:WDP,2001-12-06,25.3097,25.409,25.3097,25.409,1813
XBRU:WDP,2001-12-07,25.409,25.409,25.409,25.409,2203
XBRU:WDP,2001-12-10,25.409,25.409,25.3097,25.409,2884
XBRU:WDP,2001-12-11,25.5082,25.5082,25.409,25.409,3084
XBRU:WDP,2001-12-12,25.409,25.5082,25.409,25.5082,926
XBRU:WDP,2001-12-13,25.409,25.5082,25.409,25.5082,0
XBRU:WDP,2001-12-14,25.5082,25.5082,25.5082,25.5082,352
XBRU:WDP,2001-12-17,25.4586,25.5082,25.409,25.5082,985
XBRU:WDP,2001-12-18,25.409,25.5082,25.409,25.5082,604
XBRU:WDP,2001-12-19,25.5082,25.5082,25.3593,25.409,868
XBRU:WDP,2001-12-20,25.2601,25.5082,25.2601,25.5082,3426
XBRU:WDP,2001-12-21,25.5082,25.5082,25.2104,25.409,7215
XBRU:WDP,2001-12-24,25.806,25.806,25.5082,25.5082,2186
XBRU:WDP,2001-12-25,25.806,25.806,25.5082,25.5082,0
XBRU:WDP,2001-12-26,25.806,25.806,25.5082,25.5082,0
XBRU:WDP,2001-12-27,25.806,25.806,25.806,25.806,503
XBRU:WDP,2001-12-28,25.9449,25.9548,25.806,25.806,1178
XBRU:WDP,2001-12-31,25.9449,25.9548,25.806,25.806,0
XBRU:WDP,2002-01-01,25.9449,25.9548,25.806,25.806,0
XBRU:WDP,2002-01-02,26.1037,26.203,25.806,25.806,703
XBRU:WDP,2002-01-03,26.1037,26.1037,26.1037,26.1037,483
XBRU:WDP,2002-01-04,25.9548,25.9548,25.9052,25.9548,1360
XBRU:WDP,2002-01-07,25.7067,26.1037,25.6075,25.6075,2481
XBRU:WDP,2002-01-08,25.806,25.806,25.6075,25.6075,907
XBRU:WDP,2002-01-09,25.9052,25.9052,25.9052,25.9052,5
XBRU:WDP,2002-01-10,25.806,25.9151,25.806,25.8258,2024
XBRU:WDP,2002-01-11,25.9548,25.9548,25.9548,25.9548,503
XBRU:WDP,2002-01-14,26.6992,26.6992,26.0045,26.0045,2070
XBRU:WDP,2002-01-15,26.6496,26.6992,26.6496,26.6496,1395
XBRU:WDP,2002-01-16,26.6496,26.6992,26.3122,26.3122,1254
XBRU:WDP,2002-01-17,26.6,26.6496,26.6,26.6496,352
XBRU:WDP,2002-01-18,26.6,26.6496,26.6,26.6496,0
XBRU:WDP,2002-01-21,25.9052,26.5007,25.9052,26.4015,1209
XBRU:WDP,2002-01-22,25.9052,26.4015,25.9052,26.4015,1823
XBRU:WDP,2002-01-23,25.9052,26.4015,25.9052,26.4015,0
XBRU:WDP,2002-01-24,25.9548,25.9548,25.806,25.9548,256
XBRU:WDP,2002-01-25,25.9548,25.9548,25.806,25.9548,0
XBRU:WDP,2002-01-28,26.0541,26.064,25.806,26.0442,1730
XBRU:WDP,2002-01-29,26.0045,26.1037,25.806,26.1037,1633
XBRU:WDP,2002-01-30,25.9846,25.9945,25.806,25.806,1719
XBRU:WDP,2002-01-31,25.9846,26.0045,25.9846,26.0045,967
XBRU:WDP,2002-02-01,25.806,25.9945,25.806,25.9052,1852
