Date,Close,High,Low,Open,Symbol,Volume
2001-10-11,775.0,775.0,775.0,775.0,XBRU:WOLS,6
2001-10-12,775.0,775.0,775.0,775.0,XBRU:WOLS,0
2001-10-15,771.0,771.0,771.0,771.0,XBRU:WOLS,6
2001-10-16,777.0,777.0,777.0,777.0,XBRU:WOLS,16
2001-10-17,771.0,771.0,771.0,771.0,XBRU:WOLS,5
2001-10-18,760.5,760.5,760.5,760.5,XBRU:WOLS,20
2001-10-19,760.5,760.5,760.5,760.5,XBRU:WOLS,0
2001-10-22,765.0,765.0,765.0,765.0,XBRU:WOLS,10
2001-10-23,765.0,765.0,765.0,765.0,XBRU:WOLS,15
2001-10-24,765.0,765.0,765.0,765.0,XBRU:WOLS,0
2001-10-25,777.0,777.0,777.0,777.0,XBRU:WOLS,5
2001-10-26,765.0,765.0,765.0,765.0,XBRU:WOLS,31
2001-10-29,765.5,765.5,765.5,765.5,XBRU:WOLS,5
2001-10-30,765.5,765.5,765.5,765.5,XBRU:WOLS,0
2001-10-31,761.0,761.0,761.0,761.0,XBRU:WOLS,10
2001-11-01,761.0,761.0,761.0,761.0,XBRU:WOLS,0
2001-11-02,761.0,761.0,761.0,761.0,XBRU:WOLS,0
2001-11-05,765.5,765.5,765.5,765.5,XBRU:WOLS,5
2001-11-06,765.5,765.5,765.5,765.5,XBRU:WOLS,10
2001-11-07,765.5,765.5,765.5,765.5,XBRU:WOLS,0
2001-11-08,765.5,765.5,765.5,765.5,XBRU:WOLS,0
2001-11-09,768.0,768.0,768.0,768.0,XBRU:WOLS,26
2001-11-12,768.0,768.0,768.0,768.0,XBRU:WOLS,0
2001-11-13,765.0,765.0,765.0,765.0,XBRU:WOLS,23
2001-11-14,768.0,768.0,768.0,768.0,XBRU:WOLS,20
2001-11-15,768.0,768.0,768.0,768.0,XBRU:WOLS,0
2001-11-16,761.5,761.5,761.5,761.5,XBRU:WOLS,150
2001-11-19,770.0,770.0,770.0,770.0,XBRU:WOLS,16
2001-11-20,770.0,770.0,770.0,770.0,XBRU:WOLS,16
2001-11-21,770.0,770.0,770.0,770.0,XBRU:WOLS,0
2001-11-22,770.0,770.0,770.0,770.0,XBRU:WOLS,0
2001-11-23,770.0,770.0,770.0,770.0,XBRU:WOLS,0
2001-11-26,765.0,765.0,765.0,765.0,XBRU:WOLS,25
2001-11-27,765.0,765.0,765.0,765.0,XBRU:WOLS,3
2001-11-28,800.0,800.0,800.0,800.0,XBRU:WOLS,6
2001-11-29,766.0,766.0,766.0,766.0,XBRU:WOLS,26
2001-11-30,766.0,766.0,766.0,766.0,XBRU:WOLS,0
2001-12-03,800.0,800.0,800.0,800.0,XBRU:WOLS,19
2001-12-04,800.0,800.0,800.0,800.0,XBRU:WOLS,0
2001-12-05,800.0,800.0,800.0,800.0,XBRU:WOLS,0
2001-12-06,802.0,802.0,802.0,802.0,XBRU:WOLS,18
2001-12-07,802.0,802.0,802.0,802.0,XBRU:WOLS,0
2001-12-10,800.0,800.0,800.0,800.0,XBRU:WOLS,46
2001-12-11,800.0,800.0,800.0,800.0,XBRU:WOLS,0
2001-12-12,800.0,800.0,800.0,800.0,XBRU:WOLS,7
2001-12-13,800.0,800.0,800.0,800.0,XBRU:WOLS,0
2001-12-14,776.0,776.0,776.0,776.0,XBRU:WOLS,7
2001-12-17,776.0,776.0,776.0,776.0,XBRU:WOLS,0
2001-12-18,810.0,810.0,810.0,810.0,XBRU:WOLS,13
2001-12-19,810.0,810.0,810.0,810.0,XBRU:WOLS,5
2001-12-20,781.0,781.0,781.0,781.0,XBRU:WOLS,3
2001-12-21,781.0,781.0,781.0,781.0,XBRU:WOLS,0
2001-12-24,782.5,782.5,782.5,782.5,XBRU:WOLS,1
2001-12-25,782.5,782.5,782.5,782.5,XBRU:WOLS,0
2001-12-26,782.5,782.5,782.5,782.5,XBRU:WOLS,0
2001-12-27,783.0,783.0,783.0,783.0,XBRU:WOLS,5
2001-12-28,783.0,783.0,783.0,783.0,XBRU:WOLS,0
2001-12-31,783.0,783.0,783.0,783.0,XBRU:WOLS,0
2002-01-01,783.0,783.0,783.0,783.0,XBRU:WOLS,0
2002-01-02,783.0,783.0,783.0,783.0,XBRU:WOLS,0
2002-01-03,783.0,783.0,783.0,783.0,XBRU:WOLS,0
2002-01-04,785.0,785.0,785.0,785.0,XBRU:WOLS,25
2002-01-07,785.0,785.0,785.0,785.0,XBRU:WOLS,0
2002-01-08,785.0,785.0,785.0,785.0,XBRU:WOLS,0
2002-01-09,785.0,785.0,785.0,785.0,XBRU:WOLS,0
2002-01-10,785.0,785.0,785.0,785.0,XBRU:WOLS,0
2002-01-11,785.0,785.0,785.0,785.0,XBRU:WOLS,0
2002-01-14,787.5,787.5,787.5,787.5,XBRU:WOLS,10
2002-01-15,787.5,787.5,787.5,787.5,XBRU:WOLS,0
2002-01-16,787.5,787.5,787.5,787.5,XBRU:WOLS,0
2002-01-17,787.5,787.5,787.5,787.5,XBRU:WOLS,0
2002-01-18,787.5,787.5,787.5,787.5,XBRU:WOLS,0
2002-01-21,798.0,798.0,798.0,798.0,XBRU:WOLS,49
2002-01-22,798.0,798.0,798.0,798.0,XBRU:WOLS,6
2002-01-23,798.0,798.0,798.0,798.0,XBRU:WOLS,0
2002-01-24,859.0,859.0,859.0,859.0,XBRU:WOLS,4
2002-01-25,859.0,859.0,859.0,859.0,XBRU:WOLS,0
2002-01-28,804.0,804.0,804.0,804.0,XBRU:WOLS,20
2002-01-29,804.0,804.0,804.0,804.0,XBRU:WOLS,0
2002-01-30,800.0,800.0,800.0,800.0,XBRU:WOLS,15
2002-01-31,787.0,787.0,787.0,787.0,XBRU:WOLS,50
2002-02-01,790.0,790.0,790.0,790.0,XBRU:WOLS,1
2002-02-04,790.0,790.0,790.0,790.0,XBRU:WOLS,2
2002-02-05,790.0,790.0,790.0,790.0,XBRU:WOLS,5
2002-02-06,787.0,787.0,787.0,787.0,XBRU:WOLS,58
2002-02-07,787.0,787.0,787.0,787.0,XBRU:WOLS,0
2002-02-08,799.0,799.0,799.0,799.0,XBRU:WOLS,13
2002-02-11,800.0,800.0,800.0,800.0,XBRU:WOLS,7
2002-02-12,800.0,800.0,800.0,800.0,XBRU:WOLS,0
2002-02-13,800.0,800.0,800.0,800.0,XBRU:WOLS,0
2002-02-14,787.0,787.0,787.0,787.0,XBRU:WOLS,20
2002-02-15,787.0,787.0,787.0,787.0,XBRU:WOLS,0
2002-02-18,785.0,785.0,785.0,785.0,XBRU:WOLS,182
2002-02-19,785.5,785.5,785.5,785.5,XBRU:WOLS,100
2002-02-20,785.5,785.5,785.5,785.5,XBRU:WOLS,134
2002-02-21,785.0,785.0,785.0,785.0,XBRU:WOLS,88
2002-02-22,785.0,785.0,785.0,785.0,XBRU:WOLS,0
2002-02-25,780.0,780.0,780.0,780.0,XBRU:WOLS,223
2002-02-26,777.0,777.0,777.0,777.0,XBRU:WOLS,110
2002-02-27,776.0,776.0,776.0,776.0,XBRU:WOLS,10
2002-02-28,776.0,776.0,776.0,776.0,XBRU:WOLS,57
2002-03-01,776.0,776.0,776.0,776.0,XBRU:WOLS,302
2002-03-04,770.0,770.0,770.0,770.0,XBRU:WOLS,804
2002-03-05,800.0,800.0,800.0,800.0,XBRU:WOLS,39
2002-03-06,800.0,800.0,800.0,800.0,XBRU:WOLS,0
