Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,13.0,13.0,13.0,13.0,XPAR:ADVI,635
2000-01-04,12.5,13.0,12.5,13.0,XPAR:ADVI,2159
2000-01-05,12.4,12.4,12.0,12.0,XPAR:ADVI,953
2000-01-06,12.25,12.25,12.25,12.25,XPAR:ADVI,510
2000-01-07,12.4,12.4,12.3,12.3,XPAR:ADVI,545
2000-01-10,12.7,12.7,12.7,12.7,XPAR:ADVI,1050
2000-01-11,13.7,13.7,13.7,13.7,XPAR:ADVI,2855
2000-01-12,13.0,13.5,13.0,13.5,XPAR:ADVI,277
2000-01-13,13.1,13.1,13.1,13.1,XPAR:ADVI,90
2000-01-14,13.6,13.6,13.11,13.11,XPAR:ADVI,1050
2000-01-17,13.58,13.59,13.58,13.59,XPAR:ADVI,463
2000-01-18,13.2,13.2,13.2,13.2,XPAR:ADVI,1525
2000-01-19,12.5,12.8,12.5,12.8,XPAR:ADVI,649
2000-01-20,12.75,12.75,12.5,12.5,XPAR:ADVI,4116
2000-01-21,12.94,12.94,12.4,12.4,XPAR:ADVI,843
2000-01-24,12.5,12.5,12.5,12.5,XPAR:ADVI,295
2000-01-25,12.5,12.51,12.5,12.51,XPAR:ADVI,260
2000-01-26,12.35,12.41,12.35,12.41,XPAR:ADVI,530
2000-01-27,12.1,12.29,12.1,12.29,XPAR:ADVI,369
2000-01-28,12.3,12.3,12.13,12.13,XPAR:ADVI,100
2000-01-31,12.09,12.1,12.09,12.1,XPAR:ADVI,751
2000-02-01,12.0,12.0,12.0,12.0,XPAR:ADVI,284
2000-02-02,12.0,12.0,12.0,12.0,XPAR:ADVI,660
2000-02-03,12.01,12.01,12.0,12.0,XPAR:ADVI,480
2000-02-04,12.05,12.05,12.05,12.05,XPAR:ADVI,35
2000-02-07,12.0,12.2,12.0,12.2,XPAR:ADVI,330
2000-02-08,12.0,12.0,12.0,12.0,XPAR:ADVI,256
2000-02-09,12.1,12.19,12.1,12.19,XPAR:ADVI,208
2000-02-10,12.0,12.0,12.0,12.0,XPAR:ADVI,580
2000-02-11,11.88,12.01,11.88,12.01,XPAR:ADVI,390
2000-02-14,12.0,12.0,12.0,12.0,XPAR:ADVI,390
2000-02-15,11.88,12.09,11.88,12.09,XPAR:ADVI,630
2000-02-16,11.88,12.01,11.88,12.01,XPAR:ADVI,220
2000-02-17,12.0,12.0,12.0,12.0,XPAR:ADVI,25
2000-02-18,12.01,12.01,12.01,12.01,XPAR:ADVI,300
2000-02-21,12.09,12.09,12.09,12.09,XPAR:ADVI,651
2000-02-22,12.0,12.04,12.0,12.04,XPAR:ADVI,655
2000-02-23,12.0,12.0,12.0,12.0,XPAR:ADVI,100
2000-02-24,12.08,12.08,12.08,12.08,XPAR:ADVI,100
2000-02-25,12.0,12.0,12.0,12.0,XPAR:ADVI,25
2000-02-28,12.0,12.0,12.0,12.0,XPAR:ADVI,184
2000-02-29,11.88,11.91,11.88,11.91,XPAR:ADVI,375
2000-03-01,11.0,11.0,11.0,11.0,XPAR:ADVI,189
2000-03-02,11.89,11.89,11.89,11.89,XPAR:ADVI,170
2000-03-03,12.0,12.0,11.9,11.9,XPAR:ADVI,829
2000-03-06,12.5,12.6,12.5,12.6,XPAR:ADVI,2772
2000-03-07,12.7,12.7,12.15,12.15,XPAR:ADVI,600
2000-03-08,12.7,12.7,12.6,12.6,XPAR:ADVI,228
2000-03-09,12.55,12.6,12.55,12.6,XPAR:ADVI,422
2000-03-10,12.88,12.88,12.71,12.71,XPAR:ADVI,600
2000-03-13,12.87,12.9,12.87,12.9,XPAR:ADVI,1400
2000-03-14,13.3,13.3,13.05,13.05,XPAR:ADVI,905
2000-03-15,12.9,13.0,12.9,13.0,XPAR:ADVI,775
2000-03-16,13.2,13.2,13.0,13.0,XPAR:ADVI,1050
2000-03-17,13.2,13.21,13.2,13.21,XPAR:ADVI,368
2000-03-20,13.2,13.2,13.2,13.2,XPAR:ADVI,340
2000-03-21,13.45,13.45,13.45,13.45,XPAR:ADVI,310
2000-03-22,13.48,13.48,13.48,13.48,XPAR:ADVI,100
2000-03-23,13.2,13.2,12.99,12.99,XPAR:ADVI,430
2000-03-24,13.0,13.0,13.0,13.0,XPAR:ADVI,180
2000-03-27,12.9,13.1,12.9,13.1,XPAR:ADVI,700
2000-03-28,12.93,12.93,12.91,12.91,XPAR:ADVI,100
2000-03-29,12.92,12.92,12.9,12.9,XPAR:ADVI,390
2000-03-30,13.0,13.0,13.0,13.0,XPAR:ADVI,620
2000-03-31,12.6,12.6,12.5,12.5,XPAR:ADVI,890
2000-04-03,12.6,13.01,12.6,13.01,XPAR:ADVI,200
2000-04-04,13.0,13.09,13.0,13.09,XPAR:ADVI,454
2000-04-05,12.7,13.0,12.7,13.0,XPAR:ADVI,314
2000-04-06,12.9,12.9,12.6,12.6,XPAR:ADVI,70
2000-04-07,12.7,12.7,12.5,12.5,XPAR:ADVI,260
2000-04-10,12.5,12.95,12.5,12.95,XPAR:ADVI,395
2000-04-11,12.5,12.51,12.5,12.51,XPAR:ADVI,100
2000-04-12,12.7,12.7,12.7,12.7,XPAR:ADVI,100
2000-04-13,12.7,12.7,12.7,12.7,XPAR:ADVI,690
2000-04-14,12.7,13.24,12.7,13.24,XPAR:ADVI,487
2000-04-17,12.5,12.5,12.5,12.5,XPAR:ADVI,520
