Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,19.69,20.29,18.7,19.0,XPAR:AF,1630409
2000-01-04,20.58,20.59,19.21,19.79,XPAR:AF,1449856
2000-01-05,20.5,20.5,19.5,19.6,XPAR:AF,1054801
2000-01-06,21.0,21.0,19.95,19.95,XPAR:AF,937161
2000-01-07,20.89,21.34,20.72,20.8,XPAR:AF,716639
2000-01-10,21.25,21.52,20.91,21.0,XPAR:AF,595830
2000-01-11,20.33,21.38,20.21,21.0,XPAR:AF,540055
2000-01-12,19.9,20.3,19.82,20.05,XPAR:AF,293864
2000-01-13,19.65,19.98,19.45,19.91,XPAR:AF,391594
2000-01-14,19.4,19.8,19.25,19.6,XPAR:AF,200670
2000-01-17,19.4,19.4,19.2,19.3,XPAR:AF,189774
2000-01-18,18.98,19.4,18.75,19.3,XPAR:AF,287546
2000-01-19,18.7,19.06,18.52,18.95,XPAR:AF,241400
2000-01-20,18.95,19.24,18.56,18.58,XPAR:AF,123785
2000-01-21,18.25,19.03,18.25,19.0,XPAR:AF,226771
2000-01-24,18.04,18.2,17.91,18.15,XPAR:AF,214247
2000-01-25,17.8,18.15,17.61,18.0,XPAR:AF,142125
2000-01-26,18.25,18.25,17.76,17.9,XPAR:AF,102885
2000-01-27,18.5,18.5,17.75,18.25,XPAR:AF,82452
2000-01-28,18.15,18.5,18.0,18.29,XPAR:AF,119528
2000-01-31,18.1,18.15,17.81,18.05,XPAR:AF,109509
2000-02-01,18.95,19.0,17.86,17.86,XPAR:AF,128464
2000-02-02,18.75,18.95,18.68,18.68,XPAR:AF,206011
2000-02-03,18.11,18.65,17.9,18.29,XPAR:AF,240881
2000-02-04,17.45,18.0,17.45,17.86,XPAR:AF,216149
2000-02-07,16.8,17.25,16.55,17.2,XPAR:AF,348158
2000-02-08,16.6,16.8,16.5,16.8,XPAR:AF,255583
2000-02-09,16.1,16.79,16.1,16.62,XPAR:AF,242373
2000-02-10,16.01,16.4,15.8,16.11,XPAR:AF,450427
2000-02-11,16.5,17.1,16.2,16.5,XPAR:AF,237354
2000-02-14,16.05,17.05,16.05,16.79,XPAR:AF,207394
2000-02-15,15.5,16.59,15.4,16.5,XPAR:AF,514001
2000-02-16,15.68,16.05,15.55,16.05,XPAR:AF,212547
2000-02-17,15.2,15.7,14.95,15.7,XPAR:AF,847976
2000-02-18,15.2,15.78,15.1,15.55,XPAR:AF,486994
