Date,Close,High,Low,Open,Symbol,Volume
2001-07-03,9.68,9.68,9.68,9.68,XPAR:AFO,4144
2001-07-04,10.0,10.0,10.0,10.0,XPAR:AFO,2980
2001-07-05,9.9,9.9,9.9,9.9,XPAR:AFO,3250
2001-07-06,9.5,9.5,9.5,9.5,XPAR:AFO,1942
2001-07-09,9.5,9.5,9.5,9.5,XPAR:AFO,1082
2001-07-10,9.75,9.75,9.75,9.75,XPAR:AFO,1400
2001-07-11,9.7,9.7,9.7,9.7,XPAR:AFO,500
2001-07-12,9.69,9.69,9.69,9.69,XPAR:AFO,578
2001-07-13,9.69,9.69,9.69,9.69,XPAR:AFO,0
2001-07-16,9.49,9.49,9.49,9.49,XPAR:AFO,200
2001-07-17,9.49,9.49,9.49,9.49,XPAR:AFO,500
2001-07-18,9.45,9.45,9.45,9.45,XPAR:AFO,1140
2001-07-19,9.5,9.5,9.5,9.5,XPAR:AFO,1307
2001-07-20,9.7,9.7,9.7,9.7,XPAR:AFO,469
2001-07-23,9.7,9.7,9.7,9.7,XPAR:AFO,560
2001-07-24,9.75,9.75,9.75,9.75,XPAR:AFO,200
2001-07-25,10.4,10.4,10.4,10.4,XPAR:AFO,160
2001-07-26,10.6,10.6,10.6,10.6,XPAR:AFO,302
2001-07-27,11.49,11.49,11.49,11.49,XPAR:AFO,760
2001-07-30,11.4,11.4,11.4,11.4,XPAR:AFO,158
2001-07-31,11.4,11.4,11.4,11.4,XPAR:AFO,0
2001-08-01,10.8,10.8,10.8,10.8,XPAR:AFO,827
2001-08-02,10.8,10.8,10.8,10.8,XPAR:AFO,301
2001-08-03,11.5,11.5,11.5,11.5,XPAR:AFO,299
2001-08-06,11.51,11.51,11.51,11.51,XPAR:AFO,1566
2001-08-07,11.91,11.91,11.91,11.91,XPAR:AFO,750
2001-08-08,12.6,12.6,12.6,12.6,XPAR:AFO,10468
2001-08-09,12.6,12.6,12.6,12.6,XPAR:AFO,300
2001-08-10,12.0,12.0,12.0,12.0,XPAR:AFO,742
2001-08-13,12.6,12.6,12.6,12.6,XPAR:AFO,315
2001-08-14,13.8,13.8,13.8,13.8,XPAR:AFO,2280
2001-08-15,14.5,14.5,14.5,14.5,XPAR:AFO,1755
2001-08-16,14.39,14.39,14.39,14.39,XPAR:AFO,10
2001-08-17,13.9,13.9,13.9,13.9,XPAR:AFO,885
2001-08-20,13.9,13.9,13.9,13.9,XPAR:AFO,275
2001-08-21,13.25,13.25,13.25,13.25,XPAR:AFO,220
2001-08-22,13.8,13.8,13.8,13.8,XPAR:AFO,60
2001-08-23,13.8,13.8,13.8,13.8,XPAR:AFO,313
2001-08-24,13.75,13.75,13.75,13.75,XPAR:AFO,600
2001-08-27,13.8,13.8,13.8,13.8,XPAR:AFO,22250
2001-08-28,14.0,14.0,14.0,14.0,XPAR:AFO,6347
2001-08-29,14.1,14.1,14.1,14.1,XPAR:AFO,1100
2001-08-30,14.51,14.51,14.51,14.51,XPAR:AFO,8258
2001-08-31,15.1,15.1,15.1,15.1,XPAR:AFO,3242
2001-09-03,15.8,15.8,15.8,15.8,XPAR:AFO,672
2001-09-04,15.4,15.4,15.4,15.4,XPAR:AFO,1160
2001-09-05,15.7,15.7,15.7,15.7,XPAR:AFO,306
2001-09-06,14.15,14.15,14.15,14.15,XPAR:AFO,1041
2001-09-07,14.01,14.01,14.01,14.01,XPAR:AFO,2800
2001-09-10,15.0,15.0,15.0,15.0,XPAR:AFO,50
2001-09-11,14.7,14.7,14.7,14.7,XPAR:AFO,185
2001-09-12,13.23,13.23,13.23,13.23,XPAR:AFO,892
2001-09-13,13.23,13.23,13.23,13.23,XPAR:AFO,1000
2001-09-14,11.91,11.91,11.91,11.91,XPAR:AFO,3290
2001-09-17,12.0,12.0,12.0,12.0,XPAR:AFO,1800
