Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,3.4,3.4,3.4,3.4,XPAR:AGTA,30
2000-01-04,3.3,3.3,3.3,3.3,XPAR:AGTA,60
2000-01-05,3.301,3.301,3.301,3.301,XPAR:AGTA,10
2000-01-06,3.3,3.3,3.3,3.3,XPAR:AGTA,160
2000-01-07,3.3,3.3,3.3,3.3,XPAR:AGTA,100
2000-01-10,3.28,3.28,3.28,3.28,XPAR:AGTA,140
2000-01-11,3.28,3.28,3.28,3.28,XPAR:AGTA,120
2000-01-12,3.28,3.28,3.28,3.28,XPAR:AGTA,1510
2000-01-13,3.35,3.35,3.35,3.35,XPAR:AGTA,6230
2000-01-14,3.281,3.33,3.281,3.33,XPAR:AGTA,1030
2000-01-17,3.377,3.377,3.377,3.377,XPAR:AGTA,2010
2000-01-18,3.722,3.722,3.722,3.722,XPAR:AGTA,6240
2000-01-19,3.8,3.8,3.8,3.8,XPAR:AGTA,1040
2000-01-20,3.8,3.8,3.8,3.8,XPAR:AGTA,0
2000-01-21,4.617,4.617,4.617,4.617,XPAR:AGTA,26650
2000-01-24,4.6,4.6,4.525,4.525,XPAR:AGTA,17690
2000-01-25,4.65,4.65,4.65,4.65,XPAR:AGTA,8710
2000-01-26,4.88,4.88,4.65,4.65,XPAR:AGTA,4310
2000-01-27,4.75,4.87,4.75,4.87,XPAR:AGTA,3000
2000-01-28,4.8,4.8,4.7330000000000005,4.7330000000000005,XPAR:AGTA,4630
2000-01-31,4.8,4.8,4.8,4.8,XPAR:AGTA,10430
2000-02-01,4.8,4.8,4.8,4.8,XPAR:AGTA,1080
2000-02-02,4.8,4.8,4.8,4.8,XPAR:AGTA,1730
2000-02-03,4.8,4.8,4.8,4.8,XPAR:AGTA,1210
2000-02-04,5.2,5.2,5.0,5.0,XPAR:AGTA,24760
2000-02-07,5.36,5.36,5.27,5.27,XPAR:AGTA,4530
2000-02-08,5.45,5.45,5.445,5.445,XPAR:AGTA,5090
2000-02-09,5.5,5.5,5.5,5.5,XPAR:AGTA,2700
2000-02-10,5.52,5.52,5.51,5.51,XPAR:AGTA,2330
2000-02-11,5.81,5.81,5.81,5.81,XPAR:AGTA,10160
2000-02-14,6.405,6.405,6.405,6.405,XPAR:AGTA,18610
2000-02-15,6.3,6.3,6.3,6.3,XPAR:AGTA,1580
2000-02-16,6.3,6.3,6.295,6.295,XPAR:AGTA,6010
2000-02-17,6.09,6.1,6.09,6.1,XPAR:AGTA,5000
2000-02-18,6.075,6.075,6.075,6.075,XPAR:AGTA,11460
2000-02-21,6.35,6.35,6.35,6.35,XPAR:AGTA,6520
2000-02-22,6.61,6.61,6.61,6.61,XPAR:AGTA,15410
2000-02-23,6.92,6.94,6.92,6.94,XPAR:AGTA,7500
2000-02-24,6.94,6.94,6.94,6.94,XPAR:AGTA,15220
2000-02-25,6.94,6.94,6.94,6.94,XPAR:AGTA,15330
2000-02-28,7.21,7.21,7.21,7.21,XPAR:AGTA,13290
2000-02-29,7.945,7.945,7.945,7.945,XPAR:AGTA,18850
2000-03-01,7.9,7.9,7.9,7.9,XPAR:AGTA,8580
2000-03-02,7.9,7.9,7.9,7.9,XPAR:AGTA,18600
2000-03-03,7.9,7.9,7.9,7.9,XPAR:AGTA,14190
2000-03-06,7.94,7.94,7.6,7.6,XPAR:AGTA,2870
2000-03-07,7.89,7.89,7.89,7.89,XPAR:AGTA,130
2000-03-08,7.6,7.75,7.6,7.75,XPAR:AGTA,670
2000-03-09,7.1,7.1,7.1,7.1,XPAR:AGTA,570
2000-03-10,6.92,7.1,6.92,7.1,XPAR:AGTA,3600
2000-03-13,7.155,7.155,6.95,6.95,XPAR:AGTA,2110
2000-03-14,7.2,7.2,7.2,7.2,XPAR:AGTA,4080
2000-03-15,7.2,7.2,6.9,6.9,XPAR:AGTA,1180
2000-03-16,7.2,7.2,6.9,6.9,XPAR:AGTA,4380
2000-03-17,7.0,7.0,6.91,6.91,XPAR:AGTA,4180
2000-03-20,6.9,6.995,6.9,6.995,XPAR:AGTA,210
2000-03-21,6.9,6.9,6.9,6.9,XPAR:AGTA,3690
2000-03-22,6.9,6.9,6.9,6.9,XPAR:AGTA,910
2000-03-23,6.9,6.9,6.9,6.9,XPAR:AGTA,630
2000-03-24,6.89,6.9,6.89,6.9,XPAR:AGTA,6560
2000-03-27,7.035,7.035,6.89,6.89,XPAR:AGTA,3460
2000-03-28,6.8,6.8,6.8,6.8,XPAR:AGTA,3400
2000-03-29,6.8,6.8,6.705,6.705,XPAR:AGTA,9240
2000-03-30,7.0,7.0,6.925,6.925,XPAR:AGTA,3910
2000-03-31,6.8,6.8,6.8,6.8,XPAR:AGTA,3480
2000-04-03,7.0,7.0,7.0,7.0,XPAR:AGTA,610
2000-04-04,6.7,6.9,6.7,6.9,XPAR:AGTA,7380
2000-04-05,6.7,6.7,6.7,6.7,XPAR:AGTA,2500
2000-04-06,6.8,6.8,6.8,6.8,XPAR:AGTA,15250
2000-04-07,7.0,7.0,7.0,7.0,XPAR:AGTA,11420
2000-04-10,7.05,7.05,7.05,7.05,XPAR:AGTA,1320
2000-04-11,7.05,7.05,6.995,6.995,XPAR:AGTA,210
2000-04-12,7.2,7.2,7.2,7.2,XPAR:AGTA,24940
2000-04-13,7.19,7.19,7.19,7.19,XPAR:AGTA,700
2000-04-14,7.175,7.5,7.175,7.5,XPAR:AGTA,7000
2000-04-17,7.0,7.16,7.0,7.16,XPAR:AGTA,5900
2000-04-18,6.9,7.0,6.9,7.0,XPAR:AGTA,110
2000-04-19,6.905,6.905,6.905,6.905,XPAR:AGTA,10
2000-04-20,6.99,6.99,6.905,6.905,XPAR:AGTA,5010
2000-04-21,6.99,6.99,6.99,6.99,XPAR:AGTA,0
2000-04-24,6.99,6.99,6.99,6.99,XPAR:AGTA,0
2000-04-25,6.8,6.9,6.8,6.9,XPAR:AGTA,10010
2000-04-26,6.9,6.9,6.815,6.815,XPAR:AGTA,5200
2000-04-27,6.905,6.905,6.905,6.905,XPAR:AGTA,220
2000-04-28,7.6,7.6,7.245,7.245,XPAR:AGTA,1690
2000-05-01,7.6,7.6,7.6,7.6,XPAR:AGTA,0
2000-05-02,7.55,7.6,7.55,7.6,XPAR:AGTA,500
2000-05-03,7.555,7.555,7.555,7.555,XPAR:AGTA,10
2000-05-04,7.5,7.5,7.5,7.5,XPAR:AGTA,700
2000-05-05,7.4,7.4,7.4,7.4,XPAR:AGTA,200
2000-05-08,7.6,7.6,7.59,7.59,XPAR:AGTA,1710
2000-05-09,7.23,7.6,7.23,7.6,XPAR:AGTA,2250
2000-05-10,7.23,7.23,7.23,7.23,XPAR:AGTA,1720
2000-05-11,7.3,7.3,7.23,7.23,XPAR:AGTA,280
2000-05-12,7.3,7.3,7.3,7.3,XPAR:AGTA,50
2000-05-15,7.43,7.43,7.43,7.43,XPAR:AGTA,420
2000-05-16,7.43,7.43,7.43,7.43,XPAR:AGTA,10
2000-05-17,7.43,7.43,7.43,7.43,XPAR:AGTA,10
2000-05-18,7.36,7.36,7.36,7.36,XPAR:AGTA,30
2000-05-19,7.3,7.36,7.3,7.36,XPAR:AGTA,5160
2000-05-22,7.15,7.2,7.15,7.2,XPAR:AGTA,9800
2000-05-23,7.1,7.1,7.1,7.1,XPAR:AGTA,3930
2000-05-24,7.0,7.0,7.0,7.0,XPAR:AGTA,5220
2000-05-25,7.025,7.025,7.025,7.025,XPAR:AGTA,3000
2000-05-26,7.15,7.15,6.85,6.85,XPAR:AGTA,6210
2000-05-29,7.15,7.15,7.15,7.15,XPAR:AGTA,230
2000-05-30,7.3,7.3,7.3,7.3,XPAR:AGTA,410
2000-05-31,7.6,7.6,7.305,7.305,XPAR:AGTA,2500
2000-06-01,7.6,7.6,7.6,7.6,XPAR:AGTA,10
2000-06-02,7.6,7.6,7.6,7.6,XPAR:AGTA,10
2000-06-05,7.6,7.6,7.485,7.485,XPAR:AGTA,800
2000-06-06,7.6,7.6,7.3,7.3,XPAR:AGTA,4880
2000-06-07,7.595,7.595,7.595,7.595,XPAR:AGTA,10
2000-06-08,7.55,7.55,7.55,7.55,XPAR:AGTA,120
2000-06-09,7.4,7.4,7.4,7.4,XPAR:AGTA,710
2000-06-12,7.4,7.4,7.4,7.4,XPAR:AGTA,0
2000-06-13,7.4,7.4,7.4,7.4,XPAR:AGTA,10
2000-06-14,7.22,7.22,7.22,7.22,XPAR:AGTA,40
2000-06-15,7.3,7.3,7.225,7.225,XPAR:AGTA,410
2000-06-16,7.48,7.5,7.48,7.5,XPAR:AGTA,2510
2000-06-19,7.48,7.48,7.48,7.48,XPAR:AGTA,0
2000-06-20,7.5,7.5,7.395,7.395,XPAR:AGTA,160
2000-06-21,7.495,7.495,7.495,7.495,XPAR:AGTA,10
2000-06-22,7.495,7.495,7.495,7.495,XPAR:AGTA,10
2000-06-23,7.31,7.31,7.31,7.31,XPAR:AGTA,400
2000-06-26,7.1,7.25,7.1,7.25,XPAR:AGTA,710
2000-06-27,7.1,7.1,7.1,7.1,XPAR:AGTA,10
2000-06-28,7.1,7.1,7.1,7.1,XPAR:AGTA,10
2000-06-29,7.1,7.1,7.1,7.1,XPAR:AGTA,10
2000-06-30,7.1,7.1,7.1,7.1,XPAR:AGTA,10
2000-07-03,6.9,7.1,6.9,7.1,XPAR:AGTA,40
2000-07-04,6.85,6.85,6.85,6.85,XPAR:AGTA,220
2000-07-05,6.855,6.855,6.855,6.855,XPAR:AGTA,10
2000-07-06,6.905,6.905,6.905,6.905,XPAR:AGTA,10
2000-07-07,6.905,6.905,6.905,6.905,XPAR:AGTA,0
2000-07-10,6.9,6.9,6.9,6.9,XPAR:AGTA,10
2000-07-11,6.9,6.9,6.9,6.9,XPAR:AGTA,10
2000-07-12,6.905,6.905,6.9,6.9,XPAR:AGTA,110
2000-07-13,7.105,7.105,7.105,7.105,XPAR:AGTA,610
2000-07-14,7.105,7.105,7.105,7.105,XPAR:AGTA,0
2000-07-17,6.9,7.0,6.9,7.0,XPAR:AGTA,0
2000-07-18,6.9,6.9,6.9,6.9,XPAR:AGTA,1050
2000-07-19,6.9,7.0,6.9,7.0,XPAR:AGTA,1420
2000-07-20,6.9,6.9,6.9,6.9,XPAR:AGTA,130
2000-07-21,6.85,6.85,6.85,6.85,XPAR:AGTA,130
2000-07-24,6.855,6.855,6.855,6.855,XPAR:AGTA,10
2000-07-25,6.855,6.855,6.855,6.855,XPAR:AGTA,10
2000-07-26,6.85,6.85,6.85,6.85,XPAR:AGTA,9680
2000-07-27,6.85,6.85,6.85,6.85,XPAR:AGTA,0
2000-07-28,6.85,6.85,6.845,6.845,XPAR:AGTA,2020
2000-07-31,6.85,6.85,6.85,6.85,XPAR:AGTA,5000
2000-08-01,6.85,6.85,6.75,6.75,XPAR:AGTA,780
2000-08-02,6.905,6.905,6.905,6.905,XPAR:AGTA,10
2000-08-03,7.0,7.0,7.0,7.0,XPAR:AGTA,510
2000-08-04,7.005,7.005,7.005,7.005,XPAR:AGTA,10
2000-08-07,7.015,7.015,7.015,7.015,XPAR:AGTA,10
2000-08-08,7.01,7.015,7.01,7.015,XPAR:AGTA,270
2000-08-09,7.01,7.01,7.01,7.01,XPAR:AGTA,0
2000-08-10,7.015,7.015,7.015,7.015,XPAR:AGTA,10
2000-08-11,7.015,7.015,7.015,7.015,XPAR:AGTA,10
2000-08-14,7.015,7.015,7.015,7.015,XPAR:AGTA,10
2000-08-15,7.015,7.015,7.015,7.015,XPAR:AGTA,10
2000-08-16,7.01,7.01,7.01,7.01,XPAR:AGTA,40
2000-08-17,7.015,7.015,7.015,7.015,XPAR:AGTA,10
2000-08-18,7.01,7.01,7.01,7.01,XPAR:AGTA,1600
2000-08-21,7.22,7.22,7.015,7.015,XPAR:AGTA,530
2000-08-22,7.22,7.22,7.22,7.22,XPAR:AGTA,30
2000-08-23,7.3,7.3,7.22,7.22,XPAR:AGTA,1020
2000-08-24,7.365,7.365,7.365,7.365,XPAR:AGTA,220
2000-08-25,7.2,7.355,7.2,7.355,XPAR:AGTA,30
2000-08-28,7.2,7.205,7.2,7.205,XPAR:AGTA,1010
2000-08-29,7.2,7.205,7.2,7.205,XPAR:AGTA,110
2000-08-30,7.2,7.2,7.2,7.2,XPAR:AGTA,400
2000-08-31,7.0,7.0,7.0,7.0,XPAR:AGTA,3000
2000-09-01,6.85,6.85,6.85,6.85,XPAR:AGTA,3000
2000-09-04,7.0,7.0,6.935,6.935,XPAR:AGTA,210
2000-09-05,7.005,7.005,7.005,7.005,XPAR:AGTA,10
2000-09-06,6.93,7.005,6.93,7.005,XPAR:AGTA,1010
2000-09-07,6.91,6.91,6.91,6.91,XPAR:AGTA,2010
2000-09-08,7.1,7.1,7.1,7.1,XPAR:AGTA,200
