Date,Close,High,Low,Open,Symbol,Volume
2001-09-03,18.99,19.24,18.92,19.04,XPAR:AIR,322507
2001-09-04,19.94,19.94,19.06,19.38,XPAR:AIR,2124573
2001-09-05,19.7,19.93,19.67,19.7,XPAR:AIR,1135245
2001-09-06,19.06,19.7,19.06,19.55,XPAR:AIR,1730852
2001-09-07,18.11,19.35,18.02,19.15,XPAR:AIR,1660196
2001-09-10,17.14,17.98,16.9,17.9,XPAR:AIR,2361323
2001-09-11,15.16,17.89,14.1,17.29,XPAR:AIR,3285373
2001-09-12,13.96,15.12,12.8,14.2,XPAR:AIR,4221914
2001-09-13,14.23,14.65,13.57,14.05,XPAR:AIR,2033693
2001-09-14,12.95,14.6,12.95,14.45,XPAR:AIR,1881561
2001-09-17,12.22,13.08,10.56,13.0,XPAR:AIR,6345714
2001-09-18,11.05,12.01,10.86,12.0,XPAR:AIR,3341069
2001-09-19,11.14,11.47,10.2,11.1,XPAR:AIR,4203659
2001-09-20,10.21,11.6,9.7,11.4,XPAR:AIR,4100068
2001-09-21,9.65,10.8,9.14,9.82,XPAR:AIR,3182727
2001-09-24,10.6,10.69,10.05,10.35,XPAR:AIR,2695897
2001-09-25,11.05,11.8,10.66,10.9,XPAR:AIR,3076036
2001-09-26,11.68,12.09,11.01,11.45,XPAR:AIR,3460186
2001-09-27,11.54,11.84,11.21,11.5,XPAR:AIR,1765504
2001-09-28,11.54,11.84,11.21,11.5,XPAR:AIR,0
2001-10-01,11.05,12.15,11.0,12.15,XPAR:AIR,1365172
2001-10-02,10.64,11.15,10.12,11.13,XPAR:AIR,2842852
2001-10-03,10.6,10.62,9.9,10.58,XPAR:AIR,2586938
2001-10-04,11.69,11.69,10.95,11.2,XPAR:AIR,3006958
2001-10-05,11.3,11.89,10.96,11.35,XPAR:AIR,1917598
2001-10-08,10.65,11.19,10.54,11.1,XPAR:AIR,2821398
2001-10-09,11.16,11.16,10.36,10.78,XPAR:AIR,3685884
2001-10-10,11.75,11.85,10.65,11.0,XPAR:AIR,2451894
2001-10-11,12.49,12.63,11.85,11.9,XPAR:AIR,3384051
2001-10-12,12.61,13.05,11.7,12.75,XPAR:AIR,2288882
2001-10-15,12.1,12.55,11.85,12.52,XPAR:AIR,2181810
2001-10-16,12.1,12.55,11.85,12.52,XPAR:AIR,0
2001-10-17,12.61,12.8,12.2,12.5,XPAR:AIR,2637297
2001-10-18,12.7,12.8,11.75,11.75,XPAR:AIR,2279539
2001-10-19,12.08,12.64,11.9,12.25,XPAR:AIR,1024049
2001-10-22,12.46,12.49,12.01,12.17,XPAR:AIR,465825
2001-10-23,13.05,13.21,12.27,12.61,XPAR:AIR,2453969
2001-10-24,13.15,13.55,12.97,13.02,XPAR:AIR,2314642
2001-10-25,13.17,13.49,12.81,13.2,XPAR:AIR,1538720
2001-10-26,13.17,13.49,12.81,13.2,XPAR:AIR,0
