Date,Close,High,Low,Open,Symbol,Volume
2006-05-18,32.8375,33.0112,26.351,26.5441,XPAR:AKE,7375324
2006-05-19,30.1155,31.4475,29.4398,31.3993,XPAR:AKE,3644421
2006-05-22,27.7024,30.1058,27.3163,30.1058,XPAR:AKE,2672411
2006-05-23,27.991999999999997,28.8414,27.8568,27.9437,XPAR:AKE,2317069
2006-05-24,28.3298,28.3298,27.3163,27.3163,XPAR:AKE,1109278
2006-05-25,27.3935,28.0788,27.3742,28.0402,XPAR:AKE,832868
2006-05-26,28.7062,28.8124,27.3163,27.5093,XPAR:AKE,1547254
2006-05-29,29.0537,29.1502,28.8607,28.9668,XPAR:AKE,533208
2006-05-30,27.7217,28.9089,27.0267,28.7062,XPAR:AKE,1506154
2006-05-31,27.0267,27.8472,26.9302,27.0267,XPAR:AKE,2115328
2006-06-01,27.5093,27.5093,26.5924,27.0267,XPAR:AKE,1906254
2006-06-02,28.0402,28.7545,27.5093,27.5093,XPAR:AKE,1415748
2006-06-05,27.3163,28.1657,27.1329,28.1657,XPAR:AKE,409412
2006-06-06,27.0846,27.4128,26.8819,27.0267,XPAR:AKE,966343
2006-06-07,27.2391,27.6541,27.0267,27.0267,XPAR:AKE,599760
2006-06-08,26.9881,27.3742,26.4572,27.0267,XPAR:AKE,843825
2006-06-09,27.1908,27.6059,26.9302,27.2198,XPAR:AKE,1371469
2006-06-12,25.8298,27.0557,25.6464,26.8819,XPAR:AKE,708763
2006-06-13,24.324,24.9997,24.0731,24.3723,XPAR:AKE,1248517
2006-06-14,24.7294,25.0094,24.2951,24.4688,XPAR:AKE,532488
2006-06-15,24.7294,25.0094,24.2951,24.4688,XPAR:AKE,0
2006-06-16,24.7294,25.0094,24.2951,24.4688,XPAR:AKE,0
2006-06-19,27.6348,28.4746,27.5962,28.378,XPAR:AKE,1408135
2006-06-20,27.1812,27.4128,26.6117,27.0267,XPAR:AKE,1638399
2006-06-21,28.0402,28.3684,26.6406,26.8337,XPAR:AKE,889000
2006-06-22,28.5711,28.7159,27.991999999999997,27.991999999999997,XPAR:AKE,864455
2006-06-23,28.0499,28.6194,27.8472,28.1367,XPAR:AKE,482292
2006-06-26,28.6483,28.8124,28.378,28.378,XPAR:AKE,408187
2006-06-27,28.658,28.7641,28.2815,28.6483,XPAR:AKE,446828
