Date,Close,High,Low,Open,Symbol,Volume
2000-12-11,7.6531,7.8175,7.6531,7.8175,XPAR:ANF,441
2000-12-12,7.6531,7.8175,7.6531,7.8175,XPAR:ANF,0
2000-12-13,7.6417,7.6531,7.6417,7.6531,XPAR:ANF,1146
2000-12-14,7.2619,7.6361,7.2619,7.6361,XPAR:ANF,441
2000-12-15,7.0862,7.0862,7.0862,7.0862,XPAR:ANF,176
2000-12-18,7.3696,7.3696,7.3696,7.3696,XPAR:ANF,17
2000-12-19,7.2562,7.2562,7.2562,7.2562,XPAR:ANF,352
2000-12-20,7.0862,7.0862,7.0862,7.0862,XPAR:ANF,529
2000-12-21,7.1995,7.1995,7.1995,7.1995,XPAR:ANF,1411
2000-12-22,7.0918,7.1429,7.0918,7.1429,XPAR:ANF,1605
2000-12-25,7.0918,7.1429,7.0918,7.1429,XPAR:ANF,0
2000-12-26,7.0918,7.1429,7.0918,7.1429,XPAR:ANF,0
2000-12-27,7.0862,7.0862,7.0862,7.0862,XPAR:ANF,1764
2000-12-28,7.1429,7.1429,7.1429,7.1429,XPAR:ANF,299
2000-12-29,7.0862,7.0862,7.0862,7.0862,XPAR:ANF,970
2001-01-01,7.0862,7.0862,7.0862,7.0862,XPAR:ANF,0
2001-01-02,7.0862,7.0862,7.0862,7.0862,XPAR:ANF,0
2001-01-03,7.1995,7.4376,7.1995,7.4376,XPAR:ANF,1975
2001-01-04,7.4773,7.4773,7.4773,7.4773,XPAR:ANF,176
2001-01-05,7.4773,7.4773,7.4773,7.4773,XPAR:ANF,0
2001-01-08,7.0862,7.0862,7.0862,7.0862,XPAR:ANF,1058
2001-01-09,7.0862,7.0862,7.0862,7.0862,XPAR:ANF,0
2001-01-10,7.0862,7.0862,7.0862,7.0862,XPAR:ANF,4445
2001-01-11,7.0975,7.0975,7.0975,7.0975,XPAR:ANF,176
2001-01-12,7.0975,7.0975,7.0975,7.0975,XPAR:ANF,0
2001-01-15,7.0918,7.0918,7.0918,7.0918,XPAR:ANF,599
2001-01-16,7.0918,7.0918,7.0918,7.0918,XPAR:ANF,3580
2001-01-17,7.3073,7.3073,7.3073,7.3073,XPAR:ANF,105
2001-01-18,7.3073,7.3073,7.3073,7.3073,XPAR:ANF,0
2001-01-19,7.1429,7.1429,7.1429,7.1429,XPAR:ANF,829
2001-01-22,7.1429,7.1429,7.1429,7.1429,XPAR:ANF,0
2001-01-23,7.1429,7.1429,7.1429,7.1429,XPAR:ANF,0
2001-01-24,7.1429,7.1429,7.1429,7.1429,XPAR:ANF,0
2001-01-25,7.1429,7.1429,7.1429,7.1429,XPAR:ANF,0
2001-01-26,7.1429,7.1429,7.1429,7.1429,XPAR:ANF,0
2001-01-29,7.1429,7.1429,7.1429,7.1429,XPAR:ANF,211
2001-01-30,7.1429,7.1429,7.1429,7.1429,XPAR:ANF,0
2001-01-31,7.3129,7.3129,7.1429,7.1429,XPAR:ANF,1234
2001-02-01,7.4263,7.4263,7.4263,7.4263,XPAR:ANF,17
2001-02-02,7.4263,7.4263,7.4263,7.4263,XPAR:ANF,0
2001-02-05,7.4263,7.4263,7.4263,7.4263,XPAR:ANF,0
2001-02-06,7.4263,7.4263,7.4263,7.4263,XPAR:ANF,0
2001-02-07,7.1485,7.1485,7.1485,7.1485,XPAR:ANF,441
2001-02-08,6.7914,6.7914,6.7914,6.7914,XPAR:ANF,335
2001-02-09,7.3583,7.3583,7.0295,7.0295,XPAR:ANF,105
2001-02-12,7.0918,7.3639,7.0918,7.3639,XPAR:ANF,2046
2001-02-13,7.3639,7.3639,7.3639,7.3639,XPAR:ANF,441
2001-02-14,7.0918,7.0918,7.0918,7.0918,XPAR:ANF,1499
2001-02-15,7.381,7.381,7.381,7.381,XPAR:ANF,934
2001-02-16,7.0918,7.0918,7.0918,7.0918,XPAR:ANF,2381
2001-02-19,7.0918,7.3696,7.0918,7.3696,XPAR:ANF,2046
2001-02-20,7.4206,7.4206,7.381,7.381,XPAR:ANF,529
2001-02-21,7.2562,7.4206,7.2562,7.4206,XPAR:ANF,1940
2001-02-22,7.4717,7.4717,7.4206,7.4206,XPAR:ANF,246
2001-02-23,7.1485,7.1485,7.1485,7.1485,XPAR:ANF,299
2001-02-26,7.1485,7.1485,7.1485,7.1485,XPAR:ANF,0
2001-02-27,7.4717,7.4717,7.4717,7.4717,XPAR:ANF,317
2001-02-28,7.4717,7.4717,7.4717,7.4717,XPAR:ANF,0
2001-03-01,7.7664,7.7664,7.7664,7.7664,XPAR:ANF,88
2001-03-02,7.7664,7.7664,7.7664,7.7664,XPAR:ANF,0
2001-03-05,7.7664,7.7664,7.7664,7.7664,XPAR:ANF,0
2001-03-06,7.4717,7.4717,7.4717,7.4717,XPAR:ANF,264
2001-03-07,7.4717,7.4717,7.4263,7.4263,XPAR:ANF,599
2001-03-08,7.4717,7.4717,7.4717,7.4717,XPAR:ANF,176
2001-03-09,7.4717,7.4717,7.4717,7.4717,XPAR:ANF,352
2001-03-12,7.4717,7.4717,7.4717,7.4717,XPAR:ANF,0
2001-03-13,7.4717,7.4717,7.4717,7.4717,XPAR:ANF,0
2001-03-14,7.4717,7.4717,7.4717,7.4717,XPAR:ANF,0
2001-03-15,7.4717,7.4717,7.4717,7.4717,XPAR:ANF,0
2001-03-16,7.4717,7.4717,7.4717,7.4717,XPAR:ANF,0
2001-03-19,7.5964,7.5964,7.5964,7.5964,XPAR:ANF,352
2001-03-20,7.5964,7.5964,7.5964,7.5964,XPAR:ANF,0
2001-03-21,7.5907,7.5907,7.5907,7.5907,XPAR:ANF,264
2001-03-22,7.5907,7.5907,7.5907,7.5907,XPAR:ANF,0
2001-03-23,7.0918,7.0918,7.0918,7.0918,XPAR:ANF,564
2001-03-26,7.0975,7.0975,7.0975,7.0975,XPAR:ANF,176
2001-03-27,7.3696,7.3696,7.0918,7.0918,XPAR:ANF,723
2001-03-28,7.0295,7.0295,7.0295,7.0295,XPAR:ANF,17
2001-03-29,7.2562,7.2562,7.2562,7.2562,XPAR:ANF,17
2001-03-30,7.2562,7.2562,7.2562,7.2562,XPAR:ANF,0
2001-04-02,7.2562,7.2562,7.2562,7.2562,XPAR:ANF,0
2001-04-03,7.2562,7.2562,7.2562,7.2562,XPAR:ANF,0
2001-04-04,7.2562,7.2562,7.2562,7.2562,XPAR:ANF,0
2001-04-05,7.483,7.483,7.483,7.483,XPAR:ANF,617
2001-04-06,7.483,7.483,7.483,7.483,XPAR:ANF,0
2001-04-09,7.483,7.483,7.483,7.483,XPAR:ANF,123
2001-04-10,7.483,7.483,7.483,7.483,XPAR:ANF,0
2001-04-11,7.4263,7.4263,7.1712,7.1712,XPAR:ANF,564
2001-04-12,7.4263,7.4263,7.1995,7.1995,XPAR:ANF,529
2001-04-13,7.4263,7.4263,7.1995,7.1995,XPAR:ANF,0
2001-04-16,7.4263,7.4263,7.1995,7.1995,XPAR:ANF,0
2001-04-17,7.4263,7.4263,7.1995,7.1995,XPAR:ANF,0
2001-04-18,7.432,7.432,7.3696,7.3696,XPAR:ANF,352
2001-04-19,7.432,7.432,7.3696,7.3696,XPAR:ANF,0
2001-04-20,7.432,7.432,7.3696,7.3696,XPAR:ANF,0
2001-04-23,7.432,7.432,7.3696,7.3696,XPAR:ANF,0
2001-04-24,7.432,7.432,7.3696,7.3696,XPAR:ANF,0
2001-04-25,7.432,7.432,7.3696,7.3696,XPAR:ANF,0
2001-04-26,7.483,7.483,7.483,7.483,XPAR:ANF,52
2001-04-27,7.483,7.483,7.483,7.483,XPAR:ANF,0
2001-04-30,7.3696,7.3696,6.746,6.746,XPAR:ANF,352
2001-05-01,7.3696,7.3696,6.746,6.746,XPAR:ANF,0
2001-05-02,6.6327,6.6327,6.6327,6.6327,XPAR:ANF,17
2001-05-03,7.2562,7.2562,7.2562,7.2562,XPAR:ANF,17
2001-05-04,7.2562,7.2562,7.2562,7.2562,XPAR:ANF,0
2001-05-07,7.2562,7.2562,7.2562,7.2562,XPAR:ANF,0
2001-05-08,7.3753,7.3753,7.3753,7.3753,XPAR:ANF,1816
2001-05-09,7.2619,7.2619,7.2619,7.2619,XPAR:ANF,352
2001-05-10,7.3696,7.3696,7.3696,7.3696,XPAR:ANF,17
2001-05-11,7.3696,7.3696,7.3696,7.3696,XPAR:ANF,0
2001-05-14,7.3696,7.3696,7.3696,7.3696,XPAR:ANF,0
2001-05-15,7.3696,7.3696,7.3696,7.3696,XPAR:ANF,0
2001-05-16,7.1542,7.1542,7.1542,7.1542,XPAR:ANF,194
2001-05-17,7.7098,7.7098,7.7098,7.7098,XPAR:ANF,52
2001-05-18,7.8175,7.8175,7.8175,7.8175,XPAR:ANF,352
2001-05-21,7.8175,7.8175,7.8175,7.8175,XPAR:ANF,0
2001-05-22,7.8175,7.8175,7.8175,7.8175,XPAR:ANF,0
2001-05-23,7.6927,7.6927,7.6927,7.6927,XPAR:ANF,141
2001-05-24,7.9365,7.9365,7.7664,7.7664,XPAR:ANF,299
2001-05-25,7.9365,7.9365,7.7664,7.7664,XPAR:ANF,0
2001-05-28,7.9365,7.9365,7.7664,7.7664,XPAR:ANF,0
