Date,Close,High,Low,Open,Symbol,Volume
2007-06-25,14.3871,14.9371,14.3207,14.6052,XPAR:ARG,348876
2007-06-26,14.2163,14.5862,14.2163,14.5578,XPAR:ARG,95685
2007-06-27,14.0362,14.3112,13.9129,14.3112,XPAR:ARG,98639
2007-06-28,14.3681,14.3681,14.0551,14.130999999999998,XPAR:ARG,105579
2007-06-29,14.3207,14.3776,14.1405,14.3776,XPAR:ARG,71353
2007-07-02,14.2732,14.3776,14.1879,14.3681,XPAR:ARG,54122
2007-07-03,14.2638,14.3207,14.2258,14.3207,XPAR:ARG,13290
2007-07-04,14.15,14.2258,14.15,14.2258,XPAR:ARG,76751
2007-07-05,14.15,14.1784,14.1215,14.15,XPAR:ARG,40571
2007-07-06,14.15,14.2638,14.1405,14.1405,XPAR:ARG,35933
2007-07-09,14.2163,14.2163,14.130999999999998,14.1784,XPAR:ARG,23203
2007-07-10,14.2258,14.2543,14.1594,14.2069,XPAR:ARG,20167
2007-07-11,14.2163,14.2258,14.1594,14.2258,XPAR:ARG,10666
2007-07-12,14.2258,14.2543,14.1689,14.2163,XPAR:ARG,8242
2007-07-13,14.2258,14.2258,14.15,14.2258,XPAR:ARG,13196
2007-07-16,14.1879,14.3017,14.1879,14.2258,XPAR:ARG,5783
2007-07-17,14.2258,14.2732,14.15,14.2732,XPAR:ARG,16544
2007-07-18,14.5198,14.5483,14.2258,14.2543,XPAR:ARG,19880
2007-07-19,14.6052,14.6526,14.3871,14.5198,XPAR:ARG,14982
2007-07-20,14.5483,14.6052,14.2922,14.5103,XPAR:ARG,4098
2007-07-23,14.3965,14.4534,14.2448,14.2732,XPAR:ARG,4520
2007-07-24,14.2732,14.4534,14.2353,14.444,XPAR:ARG,9646
2007-07-25,14.2258,14.2922,14.15,14.2353,XPAR:ARG,14789
2007-07-26,14.2258,14.4155,14.112,14.4155,XPAR:ARG,6924
2007-07-27,14.0836,14.1025,13.9982,14.1025,XPAR:ARG,12267
2007-07-30,14.0836,14.0931,13.9603,14.0362,XPAR:ARG,5217
2007-07-31,14.0362,14.0836,13.9413,14.0836,XPAR:ARG,2174
2007-08-01,13.8465,14.0267,13.8465,14.0267,XPAR:ARG,4346
2007-08-02,13.8465,14.0362,13.8465,13.9413,XPAR:ARG,2862
2007-08-03,13.9318,13.9318,13.856,13.8939,XPAR:ARG,1349
2007-08-06,13.6568,13.8939,12.6041,13.8465,XPAR:ARG,22071
2007-08-07,13.6283,13.8844,13.3249,13.5999,XPAR:ARG,5818
2007-08-08,13.7516,13.7516,13.4197,13.4671,XPAR:ARG,3250
2007-08-09,13.7516,13.8085,13.4197,13.8085,XPAR:ARG,2392
2007-08-10,13.5145,13.7516,13.1352,13.4197,XPAR:ARG,7557
2007-08-13,13.4197,13.4197,13.0403,13.0403,XPAR:ARG,6840
2007-08-14,13.1826,13.2774,13.0119,13.2774,XPAR:ARG,3761
2007-08-15,13.1826,13.1826,13.0119,13.0878,XPAR:ARG,2401
2007-08-16,13.0403,13.1826,12.661,13.0403,XPAR:ARG,12409
2007-08-17,13.1162,13.1162,12.5187,12.6136,XPAR:ARG,5233
2007-08-20,12.9834,13.0878,12.8032,13.0878,XPAR:ARG,2172
2007-08-21,12.7274,12.9834,12.661,12.8032,XPAR:ARG,2399
2007-08-22,12.5946,12.6894,12.4334,12.6894,XPAR:ARG,8779
2007-08-23,12.9929,13.0024,12.4713,12.4808,XPAR:ARG,10723
2007-08-24,12.8981,12.9455,12.661,12.8127,XPAR:ARG,7320
2007-08-27,12.642000000000001,12.8981,12.6325,12.7179,XPAR:ARG,3995
2007-08-28,12.4808,12.7558,12.4808,12.6515,XPAR:ARG,2711
2007-08-29,12.2816,12.6325,12.1109,12.4808,XPAR:ARG,5789
2007-08-30,12.0445,12.4903,11.8643,12.3291,XPAR:ARG,10347
2007-08-31,12.3954,12.5187,12.0445,12.0445,XPAR:ARG,2201
2007-09-03,12.3954,12.4144,12.2342,12.3291,XPAR:ARG,1276
2007-09-04,12.4239,12.4998,12.2816,12.4049,XPAR:ARG,2233
2007-09-05,12.3385,12.3765,12.2911,12.2911,XPAR:ARG,1038
2007-09-06,12.642000000000001,12.8032,12.3101,12.4998,XPAR:ARG,13513
2007-09-07,12.4049,12.5187,12.2342,12.3291,XPAR:ARG,37023
2007-09-10,12.3291,12.3291,12.0445,12.2058,XPAR:ARG,4833
2007-09-11,12.3196,12.3291,12.0445,12.054,XPAR:ARG,3027
2007-09-12,12.4239,12.4239,12.054,12.054,XPAR:ARG,1959
2007-09-13,12.367,12.367,12.1868,12.3196,XPAR:ARG,547
2007-09-14,12.367,12.367,12.092,12.1963,XPAR:ARG,764
2007-09-17,12.2437,12.5187,12.2437,12.5187,XPAR:ARG,2863
2007-09-18,12.2816,12.4808,12.1394,12.2342,XPAR:ARG,37573
2007-09-19,12.7748,12.7748,12.3291,12.5187,XPAR:ARG,85541
2007-09-20,12.6989,12.8886,12.6136,12.7748,XPAR:ARG,5354
2007-09-21,12.7558,12.7938,12.5282,12.6136,XPAR:ARG,5891
2007-09-24,12.6705,12.7558,12.5282,12.7179,XPAR:ARG,2399
2007-09-25,12.6515,12.6705,12.5187,12.5851,XPAR:ARG,3694
2007-09-26,12.8981,12.8981,12.5851,12.5851,XPAR:ARG,5767
2007-09-27,12.8981,13.0688,12.6231,12.9171,XPAR:ARG,2753
2007-09-28,13.4671,13.7516,12.6894,12.6894,XPAR:ARG,24652
2007-10-01,13.5145,13.5145,13.0878,13.1826,XPAR:ARG,10601
2007-10-02,13.2774,13.4576,13.1636,13.1636,XPAR:ARG,3748
2007-10-03,13.1067,13.2774,13.1067,13.2774,XPAR:ARG,134
2007-10-04,13.4387,13.4671,13.1067,13.1826,XPAR:ARG,2461
2007-10-05,13.2774,13.4576,13.1826,13.3249,XPAR:ARG,6864
2007-10-08,13.23,13.2774,13.1826,13.23,XPAR:ARG,8735
2007-10-09,13.3723,13.3723,13.0972,13.0972,XPAR:ARG,4022
2007-10-10,13.2395,13.3723,13.2395,13.2774,XPAR:ARG,6683
2007-10-11,13.2869,13.2869,13.2774,13.2774,XPAR:ARG,1884
2007-10-12,13.4482,13.4482,13.2774,13.2869,XPAR:ARG,7127
2007-10-15,13.4576,13.562000000000001,13.2774,13.5051,XPAR:ARG,3552
2007-10-16,13.4671,13.562000000000001,13.2774,13.2774,XPAR:ARG,2659
2007-10-17,13.9887,14.130999999999998,13.5525,13.5525,XPAR:ARG,24356
2007-10-18,13.9034,14.2258,13.9034,13.9413,XPAR:ARG,8714
2007-10-19,14.2827,14.3207,13.9129,13.9129,XPAR:ARG,12672
2007-10-22,14.2448,14.2732,13.8275,13.9129,XPAR:ARG,5252
2007-10-23,14.2258,14.2638,13.9887,14.1784,XPAR:ARG,35792
2007-10-24,14.0077,14.2543,13.9982,13.9982,XPAR:ARG,23713
2007-10-25,13.9982,14.1784,13.9982,13.9982,XPAR:ARG,4355
2007-10-26,14.1879,14.1879,13.856,13.9792,XPAR:ARG,6658
2007-10-29,14.130999999999998,14.1689,13.9982,14.0077,XPAR:ARG,1405
2007-10-30,14.1784,14.1879,13.8465,14.1215,XPAR:ARG,3622
2007-10-31,14.2069,14.2163,13.856,13.856,XPAR:ARG,2089
2007-11-01,13.9603,14.15,13.8749,13.9413,XPAR:ARG,1512
2007-11-02,13.9223,14.2069,13.9223,13.9603,XPAR:ARG,3240
2007-11-05,14.0172,14.130999999999998,13.9223,13.9223,XPAR:ARG,712
2007-11-06,13.9223,14.130999999999998,13.9223,14.130999999999998,XPAR:ARG,2500
2007-11-07,13.7516,14.130999999999998,13.7516,13.9223,XPAR:ARG,8880
2007-11-08,13.6568,13.7516,13.23,13.7516,XPAR:ARG,2012
2007-11-09,13.6094,14.1215,13.2964,13.3723,XPAR:ARG,3658
2007-11-12,13.249,13.6094,13.23,13.6094,XPAR:ARG,4704
2007-11-13,13.562000000000001,13.562000000000001,13.1352,13.2774,XPAR:ARG,3853
2007-11-14,13.562000000000001,13.6568,13.2774,13.6568,XPAR:ARG,1572
2007-11-15,13.2869,13.5145,13.2774,13.5145,XPAR:ARG,1086
2007-11-16,13.2869,13.3249,13.2869,13.3059,XPAR:ARG,2098
2007-11-19,13.23,13.249,13.1542,13.249,XPAR:ARG,2467
2007-11-20,13.1731,13.249,13.0878,13.1447,XPAR:ARG,3171
2007-11-21,12.9929,13.1352,12.9929,13.0403,XPAR:ARG,10605
2007-11-22,12.7558,12.8032,12.5187,12.8032,XPAR:ARG,2594
2007-11-23,12.8032,12.8032,12.7084,12.7084,XPAR:ARG,2018
2007-11-26,12.7938,12.8032,12.6325,12.7084,XPAR:ARG,920
2007-11-27,12.6325,12.8032,12.6325,12.7084,XPAR:ARG,1160
2007-11-28,12.6136,12.7938,12.5756,12.642000000000001,XPAR:ARG,18107
2007-11-29,12.7938,12.8317,12.6325,12.6325,XPAR:ARG,3747
2007-11-30,13.2869,13.7516,12.6325,12.6325,XPAR:ARG,20481
2007-12-03,13.2774,13.7516,13.2395,13.2395,XPAR:ARG,111904
2007-12-04,13.1826,13.6189,12.9929,13.1826,XPAR:ARG,434
