Date,Close,High,Low,Open,Symbol,Volume
2002-12-12,70.2,70.4,70.2,70.4,XPAR:ARTE,15
2002-12-13,70.2,88.0,70.2,88.0,XPAR:ARTE,0
2002-12-16,71.0,71.0,71.0,71.0,XPAR:ARTE,1
2002-12-17,71.0,71.0,71.0,71.0,XPAR:ARTE,3
2002-12-18,71.0,75.0,71.0,75.0,XPAR:ARTE,0
2002-12-19,71.0,71.0,71.0,71.0,XPAR:ARTE,0
2002-12-20,71.0,71.0,71.0,71.0,XPAR:ARTE,0
2002-12-23,71.0,71.0,71.0,71.0,XPAR:ARTE,0
2002-12-24,71.0,71.0,71.0,71.0,XPAR:ARTE,18
2002-12-25,71.0,71.0,71.0,71.0,XPAR:ARTE,0
2002-12-26,71.0,71.0,71.0,71.0,XPAR:ARTE,0
2002-12-27,71.0,71.0,71.0,71.0,XPAR:ARTE,0
2002-12-30,71.0,71.0,71.0,71.0,XPAR:ARTE,4
2002-12-31,71.2,71.2,71.2,71.2,XPAR:ARTE,3
2003-01-01,71.0,75.0,71.0,75.0,XPAR:ARTE,0
2003-01-02,75.0,87.8,75.0,87.8,XPAR:ARTE,0
2003-01-03,75.0,75.0,75.0,75.0,XPAR:ARTE,0
2003-01-06,75.0,87.8,75.0,87.8,XPAR:ARTE,0
2003-01-07,75.0,87.8,75.0,87.8,XPAR:ARTE,0
2003-01-08,87.8,87.8,87.8,87.8,XPAR:ARTE,2
2003-01-09,82.0,87.8,82.0,87.8,XPAR:ARTE,0
2003-01-10,82.0,82.0,82.0,82.0,XPAR:ARTE,0
2003-01-13,87.6,87.6,82.0,82.0,XPAR:ARTE,5
2003-01-14,87.6,87.6,82.0,82.0,XPAR:ARTE,0
2003-01-15,87.6,87.6,87.6,87.6,XPAR:ARTE,0
2003-01-16,87.6,87.6,87.6,87.6,XPAR:ARTE,0
2003-01-17,87.6,87.6,87.6,87.6,XPAR:ARTE,0
2003-01-20,105.8,105.8,105.8,105.8,XPAR:ARTE,17
2003-01-21,105.8,105.8,105.8,105.8,XPAR:ARTE,0
2003-01-22,105.8,105.8,105.8,105.8,XPAR:ARTE,0
2003-01-23,105.8,105.8,105.8,105.8,XPAR:ARTE,0
2003-01-24,105.8,105.8,105.8,105.8,XPAR:ARTE,0
2003-01-27,88.0,88.0,88.0,88.0,XPAR:ARTE,2
2003-01-28,88.0,88.0,88.0,88.0,XPAR:ARTE,0
2003-01-29,88.0,88.0,88.0,88.0,XPAR:ARTE,0
2003-01-30,88.0,88.0,88.0,88.0,XPAR:ARTE,0
2003-01-31,88.0,88.0,88.0,88.0,XPAR:ARTE,0
2003-02-03,88.0,88.0,88.0,88.0,XPAR:ARTE,0
