Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,44.0,45.0,42.9,42.9,XPAR:ASY,1816
2000-01-04,43.5,44.0,43.0,44.0,XPAR:ASY,1177
2000-01-05,42.0,43.0,40.1,43.0,XPAR:ASY,3733
2000-01-06,41.5,41.5,38.0,38.0,XPAR:ASY,616
2000-01-07,41.48,41.48,40.1,41.48,XPAR:ASY,475
2000-01-10,42.55,43.0,41.5,41.5,XPAR:ASY,1857
2000-01-11,45.5,45.8,42.6,43.0,XPAR:ASY,6179
2000-01-12,45.45,45.8,44.5,45.5,XPAR:ASY,2655
2000-01-13,44.5,46.47,43.5,45.0,XPAR:ASY,16650
2000-01-14,48.0,48.2,43.2,44.9,XPAR:ASY,4579
2000-01-17,50.3,50.3,48.6,49.8,XPAR:ASY,7261
2000-01-18,49.9,51.0,48.78,50.0,XPAR:ASY,12193
2000-01-19,47.1,50.0,45.05,50.0,XPAR:ASY,4433
2000-01-20,47.75,49.0,47.75,49.0,XPAR:ASY,5063
2000-01-21,49.5,49.75,47.8,48.21,XPAR:ASY,4893
2000-01-24,49.5,50.0,48.6,49.5,XPAR:ASY,2240
2000-01-25,49.7,50.5,49.5,49.5,XPAR:ASY,49179
2000-01-26,49.8,50.6,49.8,50.4,XPAR:ASY,3126
2000-01-27,49.0,49.8,49.0,49.6,XPAR:ASY,1374
2000-01-28,48.6,49.6,48.6,48.6,XPAR:ASY,1201
2000-01-31,50.5,50.5,48.3,49.9,XPAR:ASY,3911
2000-02-01,51.0,51.0,49.0,49.0,XPAR:ASY,1857
2000-02-02,49.2,51.0,49.1,49.2,XPAR:ASY,1064
2000-02-03,49.0,50.05,48.0,49.1,XPAR:ASY,43296
2000-02-04,49.1,50.45,45.0,48.5,XPAR:ASY,10923
2000-02-07,48.7,48.7,45.0,45.0,XPAR:ASY,1530
2000-02-08,49.0,50.0,45.9,49.0,XPAR:ASY,5547
2000-02-09,48.8,49.0,46.1,46.5,XPAR:ASY,2599
2000-02-10,48.5,48.5,45.7,46.4,XPAR:ASY,2244
2000-02-11,48.99,49.0,46.12,48.0,XPAR:ASY,1816
2000-02-14,48.89,49.0,47.0,48.99,XPAR:ASY,2280
2000-02-15,47.65,48.89,47.15,47.3,XPAR:ASY,19755
2000-02-16,54.1,56.4,47.3,48.0,XPAR:ASY,146497
2000-02-17,59.15,59.95,53.0,54.0,XPAR:ASY,18020
2000-02-18,59.3,59.3,57.6,59.0,XPAR:ASY,7998
2000-02-21,59.3,59.3,58.2,58.2,XPAR:ASY,7343
2000-02-22,59.5,59.5,58.1,59.3,XPAR:ASY,11004
2000-02-23,59.0,59.5,57.0,57.0,XPAR:ASY,2417
2000-02-24,58.9,58.9,56.45,57.0,XPAR:ASY,1603
2000-02-25,59.0,59.5,57.0,59.5,XPAR:ASY,3444
2000-02-28,59.0,59.5,57.8,59.5,XPAR:ASY,1354
2000-02-29,59.0,59.1,58.5,58.5,XPAR:ASY,2003
2000-03-01,61.0,64.3,59.0,59.0,XPAR:ASY,14912
2000-03-02,59.5,61.0,58.4,61.0,XPAR:ASY,3210
2000-03-03,59.0,59.95,58.4,59.5,XPAR:ASY,2715
2000-03-06,58.0,60.8,58.0,59.05,XPAR:ASY,6724
2000-03-07,60.0,60.0,57.0,58.0,XPAR:ASY,10689
2000-03-08,60.0,60.0,58.5,60.0,XPAR:ASY,2040
2000-03-09,60.0,60.0,57.1,57.1,XPAR:ASY,2119
2000-03-10,61.0,61.0,58.6,60.0,XPAR:ASY,4284
2000-03-13,60.0,61.0,58.7,60.0,XPAR:ASY,675
2000-03-14,59.55,60.0,58.5,58.5,XPAR:ASY,700
2000-03-15,54.9,58.3,52.3,58.3,XPAR:ASY,2153
2000-03-16,51.0,54.0,50.0,50.0,XPAR:ASY,3787
2000-03-17,53.4,56.1,51.0,51.05,XPAR:ASY,7431
2000-03-20,50.1,52.9,50.1,52.9,XPAR:ASY,5270
2000-03-21,49.0,50.0,49.0,50.0,XPAR:ASY,4901
2000-03-22,47.99,49.4,46.05,49.0,XPAR:ASY,6975
2000-03-23,46.95,48.0,46.0,48.0,XPAR:ASY,7037
2000-03-24,46.15,47.0,45.0,46.0,XPAR:ASY,8549
2000-03-27,43.95,46.0,42.0,42.0,XPAR:ASY,2706
2000-03-28,46.99,46.99,44.0,44.0,XPAR:ASY,9275
2000-03-29,45.95,47.8,45.5,47.8,XPAR:ASY,547
2000-03-30,44.25,45.0,42.0,45.0,XPAR:ASY,1299
2000-03-31,44.0,44.0,41.2,43.0,XPAR:ASY,2228
2000-04-03,43.6,45.94,43.5,44.0,XPAR:ASY,421
2000-04-04,42.6,43.5,42.1,42.1,XPAR:ASY,801
2000-04-05,40.0,41.8,37.0,41.0,XPAR:ASY,8304
2000-04-06,42.6,42.6,39.5,39.5,XPAR:ASY,5521
2000-04-07,42.5,44.0,42.5,42.6,XPAR:ASY,3273
2000-04-10,47.9,47.9,44.0,44.0,XPAR:ASY,1061
2000-04-11,44.9,44.9,44.0,44.9,XPAR:ASY,1369
2000-04-12,45.47,47.01,43.9,45.02,XPAR:ASY,4284
2000-04-13,44.64,44.99,41.1,43.9,XPAR:ASY,5923
2000-04-14,43.0,43.9,41.5,43.9,XPAR:ASY,2350
2000-04-17,42.7,42.8,38.01,38.01,XPAR:ASY,1965
2000-04-18,44.9,44.9,42.85,42.9,XPAR:ASY,16271
2000-04-19,48.8,48.9,47.5,47.5,XPAR:ASY,8587
2000-04-20,51.0,51.0,49.0,49.0,XPAR:ASY,7651
2000-04-21,51.0,51.0,51.0,51.0,XPAR:ASY,0
2000-04-24,51.0,51.0,51.0,51.0,XPAR:ASY,0
2000-04-25,49.9,50.9,49.0,50.0,XPAR:ASY,3820
2000-04-26,50.7,50.7,47.5,48.2,XPAR:ASY,3417
2000-04-27,51.9,51.9,49.85,50.8,XPAR:ASY,5442
2000-04-28,54.5,54.8,52.0,52.0,XPAR:ASY,7521
2000-05-01,54.5,54.5,54.5,54.5,XPAR:ASY,0
2000-05-02,54.85,55.85,53.0,53.0,XPAR:ASY,7325
2000-05-03,57.8,58.0,55.0,55.0,XPAR:ASY,28713
2000-05-04,58.0,59.0,57.0,58.0,XPAR:ASY,3763
2000-05-05,58.5,58.8,57.3,58.3,XPAR:ASY,26720
2000-05-08,60.95,61.0,58.8,58.8,XPAR:ASY,11186
2000-05-09,60.95,60.95,60.95,60.95,XPAR:ASY,0
2000-05-10,61.5,64.0,60.0,62.0,XPAR:ASY,35208
2000-05-11,60.0,61.5,59.2,61.5,XPAR:ASY,11434
2000-05-12,60.9,61.0,58.6,60.5,XPAR:ASY,9385
2000-05-15,64.9,64.9,61.0,61.0,XPAR:ASY,19235
2000-05-16,65.5,65.9,62.5,62.5,XPAR:ASY,7276
2000-05-17,67.8,67.8,64.0,65.5,XPAR:ASY,17067
