Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,37.0,37.74,35.2,35.9,XPAR:ATE,59065
2000-01-04,36.2,37.6,36.02,37.6,XPAR:ATE,79495
2000-01-05,32.72,33.52,32.72,33.04,XPAR:ATE,34650
2000-01-06,30.72,31.58,30.62,30.84,XPAR:ATE,105675
2000-01-07,31.58,32.2,30.82,31.0,XPAR:ATE,58340
2000-01-10,31.62,32.8,31.62,32.0,XPAR:ATE,190865
2000-01-11,33.2,33.2,32.62,32.8,XPAR:ATE,49255
2000-01-12,34.36,34.4,33.3,33.9,XPAR:ATE,28560
2000-01-13,34.42,34.6,34.0,34.2,XPAR:ATE,25395
2000-01-14,36.6,36.6,35.0,35.4,XPAR:ATE,64280
2000-01-17,38.0,38.98,36.0,37.0,XPAR:ATE,61835
2000-01-18,38.8,39.26,37.8,38.0,XPAR:ATE,49590
2000-01-19,40.0,40.6,39.4,39.4,XPAR:ATE,75010
2000-01-20,44.0,44.0,40.02,40.2,XPAR:ATE,37555
2000-01-21,43.78,46.04,43.12,46.04,XPAR:ATE,35520
2000-01-24,41.0,43.6,40.0,43.6,XPAR:ATE,41495
2000-01-25,41.0,41.0,39.22,40.0,XPAR:ATE,106740
2000-01-26,42.0,42.0,40.78,41.2,XPAR:ATE,73205
2000-01-27,41.7,42.0,41.1,42.0,XPAR:ATE,17440
2000-01-28,42.0,42.0,41.42,41.42,XPAR:ATE,29095
2000-01-31,40.0,41.78,39.9,41.2,XPAR:ATE,21490
2000-02-01,40.0,41.0,38.8,39.5,XPAR:ATE,23365
2000-02-02,41.4,42.0,40.04,40.38,XPAR:ATE,29855
2000-02-03,43.1,43.2,41.2,41.6,XPAR:ATE,20465
2000-02-04,44.0,44.4,43.0,43.1,XPAR:ATE,31695
2000-02-07,45.92,46.2,45.0,45.02,XPAR:ATE,121550
2000-02-08,48.2,48.2,44.2,47.0,XPAR:ATE,34055
2000-02-09,51.8,53.0,50.0,51.8,XPAR:ATE,46130
2000-02-10,51.8,52.0,49.0,52.0,XPAR:ATE,50140
2000-02-11,53.8,55.0,51.8,52.0,XPAR:ATE,35610
2000-02-14,53.6,53.6,50.2,50.2,XPAR:ATE,50680
2000-02-15,58.0,58.0,52.7,53.8,XPAR:ATE,37345
2000-02-16,60.2,62.2,58.22,60.0,XPAR:ATE,49450
2000-02-17,57.9,62.0,57.2,62.0,XPAR:ATE,53305
2000-02-18,55.4,57.5,55.02,57.0,XPAR:ATE,36155
2000-02-21,52.2,53.8,50.1,53.8,XPAR:ATE,43815
2000-02-22,53.98,54.0,50.12,51.4,XPAR:ATE,47525
2000-02-23,51.98,54.0,51.98,54.0,XPAR:ATE,24640
2000-02-24,53.8,53.9,52.0,52.98,XPAR:ATE,50000
2000-02-25,53.6,54.0,53.02,53.58,XPAR:ATE,93170
2000-02-28,52.38,53.78,51.2,53.78,XPAR:ATE,42005
2000-02-29,51.8,52.98,50.6,52.98,XPAR:ATE,56785
2000-03-01,52.2,52.98,52.2,52.2,XPAR:ATE,90915
2000-03-02,53.6,53.98,53.0,53.98,XPAR:ATE,52755
2000-03-03,54.0,54.2,52.8,53.0,XPAR:ATE,61780
2000-03-06,56.4,56.6,53.6,54.0,XPAR:ATE,71135
2000-03-07,57.8,58.0,56.0,56.6,XPAR:ATE,58430
2000-03-08,55.26,57.2,54.02,57.2,XPAR:ATE,30390
2000-03-09,53.7,55.7,52.6,55.2,XPAR:ATE,31454
2000-03-10,52.04,54.0,51.8,53.78,XPAR:ATE,35775
2000-03-13,50.2,52.0,50.12,52.0,XPAR:ATE,57055
2000-03-14,47.1,50.2,46.6,50.0,XPAR:ATE,53085
2000-03-15,47.1,50.2,46.6,50.0,XPAR:ATE,0
2000-03-16,42.0,42.9,41.66,42.6,XPAR:ATE,103155
2000-03-17,42.0,44.0,42.0,42.2,XPAR:ATE,154320
2000-03-20,41.28,42.6,41.0,42.0,XPAR:ATE,74390
2000-03-21,37.72,41.2,37.3,40.6,XPAR:ATE,103010
2000-03-22,40.0,41.58,38.0,38.4,XPAR:ATE,94705
2000-03-23,38.6,40.0,38.2,40.0,XPAR:ATE,27035
2000-03-24,40.5,40.5,38.2,38.2,XPAR:ATE,109195
2000-03-27,40.3,40.4,39.72,40.0,XPAR:ATE,55150
2000-03-28,40.7,41.6,39.9,40.0,XPAR:ATE,83265
2000-03-29,41.04,41.7,40.0,40.58,XPAR:ATE,42305
2000-03-30,40.32,40.34,40.02,40.3,XPAR:ATE,59255
2000-03-31,39.24,39.24,37.0,37.8,XPAR:ATE,56865
2000-04-03,39.2,41.0,38.42,39.54,XPAR:ATE,34835
2000-04-04,35.42,35.8,35.42,35.42,XPAR:ATE,58255
2000-04-05,32.76,33.76,32.76,33.6,XPAR:ATE,32340
2000-04-06,35.84,35.98,34.08,34.08,XPAR:ATE,100480
2000-04-07,39.52,39.52,37.62,37.62,XPAR:ATE,78295
2000-04-10,42.18,42.18,41.0,41.5,XPAR:ATE,40910
2000-04-11,38.7,39.98,38.12,39.34,XPAR:ATE,49125
2000-04-12,36.02,38.6,36.02,37.4,XPAR:ATE,30720
2000-04-13,35.6,36.0,34.22,35.84,XPAR:ATE,49850
2000-04-14,33.98,36.0,33.0,35.0,XPAR:ATE,20600
2000-04-17,30.46,30.6,29.4,30.0,XPAR:ATE,80090
2000-04-18,29.4,32.28,28.9,31.62,XPAR:ATE,46210
2000-04-19,32.2,32.4,29.82,30.1,XPAR:ATE,35375
2000-04-20,35.5,35.5,33.22,33.8,XPAR:ATE,57080
2000-04-21,35.5,35.5,33.22,33.8,XPAR:ATE,0
2000-04-24,35.5,35.5,33.22,33.8,XPAR:ATE,0
