Date,Close,High,Low,Open,Symbol,Volume
2000-01-07,8.3,8.3,8.25,8.25,XPAR:AURE,26
2000-01-10,8.3,8.3,8.25,8.25,XPAR:AURE,0
2000-01-11,8.3,8.3,8.25,8.25,XPAR:AURE,0
2000-01-12,8.3,8.3,8.25,8.25,XPAR:AURE,0
2000-01-13,8.3,8.3,8.25,8.25,XPAR:AURE,0
2000-01-14,8.3,8.3,8.25,8.25,XPAR:AURE,0
2000-01-17,8.3,8.3,8.25,8.25,XPAR:AURE,0
2000-01-18,8.3,8.3,8.25,8.25,XPAR:AURE,0
2000-01-19,8.3,8.3,8.25,8.25,XPAR:AURE,0
2000-01-20,8.31,8.31,8.31,8.31,XPAR:AURE,10
2000-01-21,8.31,8.31,8.31,8.31,XPAR:AURE,31
2000-01-24,8.31,8.31,8.31,8.31,XPAR:AURE,200
2000-01-25,8.31,8.31,8.31,8.31,XPAR:AURE,0
2000-01-26,8.31,8.31,8.31,8.31,XPAR:AURE,0
2000-01-27,8.31,8.31,8.31,8.31,XPAR:AURE,0
2000-01-28,10.0,10.0,10.0,10.0,XPAR:AURE,50
2000-01-31,10.0,10.0,10.0,10.0,XPAR:AURE,0
2000-02-01,10.0,10.0,10.0,10.0,XPAR:AURE,0
2000-02-02,10.0,10.0,10.0,10.0,XPAR:AURE,0
2000-02-03,10.0,10.0,10.0,10.0,XPAR:AURE,0
2000-02-04,8.31,8.31,8.31,8.31,XPAR:AURE,92
2000-02-07,8.31,8.31,8.31,8.31,XPAR:AURE,0
2000-02-08,8.31,8.31,8.31,8.31,XPAR:AURE,20
2000-02-09,8.31,8.31,8.31,8.31,XPAR:AURE,0
2000-02-10,8.31,8.31,8.31,8.31,XPAR:AURE,0
2000-02-11,8.31,8.31,8.31,8.31,XPAR:AURE,0
2000-02-14,8.31,8.31,8.31,8.31,XPAR:AURE,0
2000-02-15,9.77,9.77,9.77,9.77,XPAR:AURE,50
2000-02-16,9.77,9.77,9.77,9.77,XPAR:AURE,0
2000-02-17,9.99,10.0,9.99,10.0,XPAR:AURE,147
2000-02-18,9.99,10.0,9.99,10.0,XPAR:AURE,0
2000-02-21,9.99,10.0,9.99,10.0,XPAR:AURE,0
2000-02-22,8.32,8.32,8.32,8.32,XPAR:AURE,150
2000-02-23,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-02-24,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-02-25,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-02-28,8.32,8.32,8.32,8.32,XPAR:AURE,51
2000-02-29,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-01,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-02,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-03,9.4,9.4,9.4,9.4,XPAR:AURE,155
2000-03-06,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-03-07,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-03-08,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-03-09,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-03-10,8.32,8.32,8.32,8.32,XPAR:AURE,350
2000-03-13,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-14,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-15,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-16,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-17,8.32,8.32,8.32,8.32,XPAR:AURE,195
2000-03-20,8.32,8.32,8.32,8.32,XPAR:AURE,505
2000-03-21,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-22,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-23,8.32,8.32,8.32,8.32,XPAR:AURE,483
2000-03-24,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-27,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-28,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-29,8.32,8.32,8.32,8.32,XPAR:AURE,0
2000-03-30,8.5,8.5,8.5,8.5,XPAR:AURE,211
2000-03-31,8.5,8.5,8.5,8.5,XPAR:AURE,0
2000-04-03,8.5,8.5,8.5,8.5,XPAR:AURE,0
2000-04-04,8.5,8.5,8.5,8.5,XPAR:AURE,0
2000-04-05,9.0,9.0,9.0,9.0,XPAR:AURE,150
2000-04-06,9.0,9.0,9.0,9.0,XPAR:AURE,0
2000-04-07,9.0,9.0,9.0,9.0,XPAR:AURE,0
2000-04-10,9.35,9.35,9.35,9.35,XPAR:AURE,5
2000-04-11,9.35,9.35,9.35,9.35,XPAR:AURE,0
2000-04-12,9.35,9.35,9.35,9.35,XPAR:AURE,0
2000-04-13,9.35,9.35,9.35,9.35,XPAR:AURE,0
2000-04-14,9.35,9.35,9.35,9.35,XPAR:AURE,0
2000-04-17,9.35,9.35,9.35,9.35,XPAR:AURE,0
2000-04-18,9.35,9.35,9.35,9.35,XPAR:AURE,0
2000-04-19,7.75,7.75,7.75,7.75,XPAR:AURE,40
2000-04-20,7.75,7.75,7.75,7.75,XPAR:AURE,0
2000-04-21,7.75,7.75,7.75,7.75,XPAR:AURE,0
2000-04-24,7.75,7.75,7.75,7.75,XPAR:AURE,0
2000-04-25,7.75,7.75,7.75,7.75,XPAR:AURE,0
2000-04-26,7.75,7.75,7.75,7.75,XPAR:AURE,0
2000-04-27,7.75,7.75,7.75,7.75,XPAR:AURE,7
2000-04-28,7.75,7.75,7.75,7.75,XPAR:AURE,0
2000-05-01,7.75,7.75,7.75,7.75,XPAR:AURE,0
2000-05-02,7.75,7.75,7.75,7.75,XPAR:AURE,0
2000-05-03,7.0,7.15,7.0,7.15,XPAR:AURE,145
2000-05-04,7.0,7.15,7.0,7.15,XPAR:AURE,0
2000-05-05,7.75,7.75,7.75,7.75,XPAR:AURE,95
2000-05-08,8.15,8.15,8.15,8.15,XPAR:AURE,150
2000-05-09,8.15,8.15,8.15,8.15,XPAR:AURE,0
2000-05-10,8.15,8.15,8.15,8.15,XPAR:AURE,0
2000-05-11,8.15,8.15,8.15,8.15,XPAR:AURE,0
2000-05-12,8.15,8.15,8.15,8.15,XPAR:AURE,0
2000-05-15,8.15,8.15,8.15,8.15,XPAR:AURE,0
2000-05-16,8.15,8.15,8.15,8.15,XPAR:AURE,0
2000-05-17,8.15,8.15,8.15,8.15,XPAR:AURE,0
2000-05-18,8.15,8.15,8.15,8.15,XPAR:AURE,0
2000-05-19,8.15,8.15,8.15,8.15,XPAR:AURE,47
2000-05-22,8.15,8.15,8.15,8.15,XPAR:AURE,0
2000-05-23,8.15,8.15,8.15,8.15,XPAR:AURE,0
2000-05-24,9.4,9.4,9.4,9.4,XPAR:AURE,50
2000-05-25,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-05-26,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-05-29,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-05-30,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-05-31,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-01,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-02,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-05,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-06,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-07,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-08,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-09,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-12,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-13,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-14,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-15,9.4,9.4,9.4,9.4,XPAR:AURE,0
2000-06-16,9.5,9.5,9.5,9.5,XPAR:AURE,84
2000-06-19,9.5,9.5,9.5,9.5,XPAR:AURE,0
2000-06-20,9.5,9.5,9.5,9.5,XPAR:AURE,0
2000-06-21,9.5,9.5,9.5,9.5,XPAR:AURE,0
2000-06-22,9.5,9.5,9.5,9.5,XPAR:AURE,0
2000-06-23,9.7,9.7,9.7,9.7,XPAR:AURE,58
2000-06-26,9.7,9.7,9.7,9.7,XPAR:AURE,0
2000-06-27,9.7,9.7,9.7,9.7,XPAR:AURE,0
2000-06-28,9.7,9.7,9.7,9.7,XPAR:AURE,0
2000-06-29,9.7,9.7,9.7,9.7,XPAR:AURE,0
2000-06-30,10.18,10.18,10.18,10.18,XPAR:AURE,310
2000-07-03,10.18,10.18,10.18,10.18,XPAR:AURE,0
2000-07-04,10.18,10.18,10.18,10.18,XPAR:AURE,0
2000-07-05,10.5,10.5,10.5,10.5,XPAR:AURE,100
2000-07-06,10.5,10.5,10.5,10.5,XPAR:AURE,0
2000-07-07,10.5,10.5,10.5,10.5,XPAR:AURE,0
2000-07-10,10.5,10.5,10.5,10.5,XPAR:AURE,0
2000-07-11,10.5,10.5,10.5,10.5,XPAR:AURE,0
2000-07-12,10.5,10.5,10.5,10.5,XPAR:AURE,0
2000-07-13,8.4,8.4,8.4,8.4,XPAR:AURE,45
2000-07-14,8.4,8.4,8.4,8.4,XPAR:AURE,0
2000-07-17,8.4,8.4,8.4,8.4,XPAR:AURE,0
2000-07-18,8.4,8.4,8.4,8.4,XPAR:AURE,40
2000-07-19,8.4,8.4,8.4,8.4,XPAR:AURE,0
2000-07-20,8.4,8.4,8.4,8.4,XPAR:AURE,0
2000-07-21,8.4,8.4,8.4,8.4,XPAR:AURE,0
2000-07-24,8.4,8.4,8.4,8.4,XPAR:AURE,0
2000-07-25,8.4,8.4,8.4,8.4,XPAR:AURE,0
2000-07-26,10.45,10.45,10.45,10.45,XPAR:AURE,70
2000-07-27,10.0,10.0,10.0,10.0,XPAR:AURE,100
2000-07-28,10.0,10.0,10.0,10.0,XPAR:AURE,0
2000-07-31,10.0,10.0,10.0,10.0,XPAR:AURE,0
2000-08-01,10.0,10.0,10.0,10.0,XPAR:AURE,0
2000-08-02,10.0,10.0,10.0,10.0,XPAR:AURE,0
2000-08-03,9.51,9.51,9.51,9.51,XPAR:AURE,40
2000-08-04,9.91,9.91,9.91,9.91,XPAR:AURE,100
2000-08-07,10.0,10.0,10.0,10.0,XPAR:AURE,150
2000-08-08,9.9,9.9,9.9,9.9,XPAR:AURE,55
2000-08-09,9.9,9.9,9.9,9.9,XPAR:AURE,0
2000-08-10,9.9,9.9,9.9,9.9,XPAR:AURE,0
2000-08-11,10.0,10.0,9.9,9.9,XPAR:AURE,400
2000-08-14,10.0,10.0,10.0,10.0,XPAR:AURE,200
2000-08-15,10.0,10.0,10.0,10.0,XPAR:AURE,100
2000-08-16,9.8,9.8,9.8,9.8,XPAR:AURE,150
2000-08-17,9.8,9.8,9.8,9.8,XPAR:AURE,0
2000-08-18,9.8,9.8,9.8,9.8,XPAR:AURE,100
2000-08-21,9.8,9.8,9.8,9.8,XPAR:AURE,0
2000-08-22,9.8,9.8,9.8,9.8,XPAR:AURE,100
2000-08-23,9.8,9.8,9.8,9.8,XPAR:AURE,0
2000-08-24,9.8,9.8,9.8,9.8,XPAR:AURE,0
2000-08-25,9.8,9.8,9.8,9.8,XPAR:AURE,0
