Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,9.5615,9.5615,9.5615,9.5615,XPAR:BELI,159
2000-01-04,9.5521,9.5521,9.1017,9.1017,XPAR:BELI,639
2000-01-05,9.0079,9.0079,9.0079,9.0079,XPAR:BELI,532
2000-01-06,8.5387,8.5387,8.5387,8.5387,XPAR:BELI,673
2000-01-07,9.1017,9.1017,9.1017,9.1017,XPAR:BELI,351
2000-01-10,9.1017,9.1017,9.1017,9.1017,XPAR:BELI,426
2000-01-11,8.6795,8.6795,8.6795,8.6795,XPAR:BELI,424
2000-01-12,8.6795,9.1017,8.6795,9.1017,XPAR:BELI,575
2000-01-13,8.4918,8.4918,8.4918,8.4918,XPAR:BELI,3996
2000-01-14,9.1017,9.1017,9.1017,9.1017,XPAR:BELI,49
2000-01-17,8.9141,8.9141,8.9141,8.9141,XPAR:BELI,852
2000-01-18,9.1017,9.1017,9.1017,9.1017,XPAR:BELI,63
2000-01-19,8.6795,9.1017,8.6795,9.1017,XPAR:BELI,426
2000-01-20,8.8202,8.8202,8.8202,8.8202,XPAR:BELI,723
2000-01-21,8.7264,9.1017,8.7264,9.1017,XPAR:BELI,166
2000-01-24,8.9141,8.9141,8.9141,8.9141,XPAR:BELI,425
2000-01-25,9.3363,9.3363,9.3363,9.3363,XPAR:BELI,53
2000-01-26,9.3363,9.3363,9.3363,9.3363,XPAR:BELI,118
2000-01-27,8.5387,8.5387,8.5387,8.5387,XPAR:BELI,2203
2000-01-28,8.4449,8.4449,8.4449,8.4449,XPAR:BELI,4463
2000-01-31,8.2948,8.2948,8.2948,8.2948,XPAR:BELI,610
2000-02-01,8.2573,8.4449,8.2573,8.4449,XPAR:BELI,2000
2000-02-02,7.4597,7.8444,7.4597,7.8444,XPAR:BELI,1998
2000-02-03,7.4597,7.4597,7.4597,7.4597,XPAR:BELI,0
2000-02-04,7.4409,7.4409,7.4409,7.4409,XPAR:BELI,8533
2000-02-07,7.4972,7.4972,7.4597,7.4597,XPAR:BELI,3899
2000-02-08,7.8069,7.8069,7.6004,7.6004,XPAR:BELI,2605
2000-02-09,7.9195,7.9195,7.9195,7.9195,XPAR:BELI,365
2000-02-10,8.7264,8.7264,8.7264,8.7264,XPAR:BELI,1145
2000-02-11,9.402000000000001,9.402000000000001,9.402000000000001,9.402000000000001,XPAR:BELI,1252
2000-02-14,9.6647,9.6647,9.6647,9.6647,XPAR:BELI,5874
2000-02-15,9.4771,9.6647,9.4771,9.6647,XPAR:BELI,3535
2000-02-16,9.6647,9.6647,9.3832,9.3832,XPAR:BELI,1796
2000-02-17,9.402000000000001,9.402000000000001,9.402000000000001,9.402000000000001,XPAR:BELI,111
2000-02-18,9.7586,9.7586,9.524,9.524,XPAR:BELI,863
2000-02-21,10.7532,10.7532,10.7532,10.7532,XPAR:BELI,14084
2000-02-22,10.6031,10.725,10.6031,10.725,XPAR:BELI,4781
2000-02-23,10.6969,10.6969,10.5655,10.5655,XPAR:BELI,1305
2000-02-24,10.3216,10.5655,10.3216,10.5655,XPAR:BELI,4623
2000-02-25,10.3216,10.3216,10.3216,10.3216,XPAR:BELI,2793
2000-02-28,9.8524,9.8524,9.8524,9.8524,XPAR:BELI,4571
2000-02-29,9.4958,9.4958,9.4771,9.4771,XPAR:BELI,1764
2000-03-01,9.8993,9.8993,9.8993,9.8993,XPAR:BELI,873
2000-03-02,9.8524,9.8524,9.7586,9.7586,XPAR:BELI,2380
2000-03-03,10.3403,10.3403,10.3403,10.3403,XPAR:BELI,6572
2000-03-06,11.3537,11.3537,11.3537,11.3537,XPAR:BELI,16625
2000-03-07,11.729000000000001,11.729000000000001,11.729000000000001,11.729000000000001,XPAR:BELI,31107
2000-03-08,11.4476,11.6352,11.4476,11.6352,XPAR:BELI,17942
2000-03-09,11.2505,11.2787,11.2505,11.2787,XPAR:BELI,5645
2000-03-10,10.8846,11.2599,10.8846,11.2599,XPAR:BELI,1973
2000-03-13,10.7907,10.7907,10.7907,10.7907,XPAR:BELI,4916
2000-03-14,10.3122,10.4998,10.3122,10.4998,XPAR:BELI,22207
2000-03-15,10.3122,10.3122,10.3122,10.3122,XPAR:BELI,8880
2000-03-16,10.3216,10.7344,10.3216,10.7344,XPAR:BELI,2252
2000-03-17,11.2505,11.2505,11.2505,11.2505,XPAR:BELI,2493
2000-03-20,11.2599,11.2599,11.2505,11.2505,XPAR:BELI,10870
2000-03-21,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,7848
2000-03-22,11.4476,11.4476,11.4476,11.4476,XPAR:BELI,6713
2000-03-23,11.6352,11.6352,11.5414,11.5414,XPAR:BELI,931
2000-03-24,11.6352,11.6352,11.6352,11.6352,XPAR:BELI,964
2000-03-27,11.6821,11.7197,11.6821,11.7197,XPAR:BELI,2842
2000-03-28,11.7197,11.7197,11.7197,11.7197,XPAR:BELI,4130
2000-03-29,11.6821,11.7103,11.6821,11.7103,XPAR:BELI,495
2000-03-30,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,2973
2000-03-31,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,1681
2000-04-03,11.1661,11.2599,11.1661,11.2599,XPAR:BELI,1310
2000-04-04,10.3216,10.3216,10.3216,10.3216,XPAR:BELI,2024
2000-04-05,10.3216,10.3216,10.3216,10.3216,XPAR:BELI,618
2000-04-06,10.3309,10.3309,10.3216,10.3216,XPAR:BELI,596
2000-04-07,10.847000000000001,10.847000000000001,10.847000000000001,10.847000000000001,XPAR:BELI,10
2000-04-10,11.729000000000001,11.729000000000001,11.729000000000001,11.729000000000001,XPAR:BELI,13907
2000-04-11,12.0105,12.0105,11.9636,11.9636,XPAR:BELI,4599
2000-04-12,11.9636,12.0105,11.9636,12.0105,XPAR:BELI,2873
2000-04-13,11.8229,11.8229,11.8229,11.8229,XPAR:BELI,1321
2000-04-14,11.8229,11.8229,11.8229,11.8229,XPAR:BELI,1067
2000-04-17,11.5414,11.729000000000001,11.5414,11.729000000000001,XPAR:BELI,1603
2000-04-18,11.6352,11.6352,11.5414,11.5414,XPAR:BELI,698
2000-04-19,11.5414,11.5414,11.4476,11.4476,XPAR:BELI,912
2000-04-20,11.5414,11.5414,11.5414,11.5414,XPAR:BELI,927
2000-04-21,11.5414,11.5414,11.5414,11.5414,XPAR:BELI,0
2000-04-24,11.5414,11.5414,11.5414,11.5414,XPAR:BELI,0
2000-04-25,11.3537,11.5414,11.3537,11.5414,XPAR:BELI,1501
2000-04-26,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,3184
2000-04-27,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,985
2000-04-28,11.0722,11.0722,11.0722,11.0722,XPAR:BELI,159
2000-05-01,11.0722,11.0722,11.0722,11.0722,XPAR:BELI,0
2000-05-02,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,522
2000-05-03,11.0253,11.0253,11.0253,11.0253,XPAR:BELI,404
2000-05-04,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,7
2000-05-05,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,1849
2000-05-08,11.729000000000001,11.729000000000001,11.729000000000001,11.729000000000001,XPAR:BELI,2770
2000-05-09,11.2599,11.729000000000001,11.2599,11.729000000000001,XPAR:BELI,2238
2000-05-10,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,2060
2000-05-11,11.6352,11.6352,11.6352,11.6352,XPAR:BELI,799
2000-05-12,11.3068,11.4476,11.3068,11.4476,XPAR:BELI,1502
2000-05-15,11.4476,11.4476,11.4006,11.4006,XPAR:BELI,2962
2000-05-16,11.2599,11.4476,11.2599,11.4476,XPAR:BELI,1598
2000-05-17,11.5414,11.5414,11.4945,11.4945,XPAR:BELI,1079
2000-05-18,11.6352,11.6352,11.6352,11.6352,XPAR:BELI,628
2000-05-19,11.6352,11.6352,11.6352,11.6352,XPAR:BELI,106
2000-05-22,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,1122
2000-05-23,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,373
2000-05-24,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,997
2000-05-25,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,335
2000-05-26,11.2599,11.6165,11.2599,11.6165,XPAR:BELI,394
2000-05-29,11.0159,11.2505,11.0159,11.2505,XPAR:BELI,241
2000-05-30,10.9784,10.9784,10.9784,10.9784,XPAR:BELI,21
2000-05-31,10.9315,10.9784,10.9315,10.9784,XPAR:BELI,296
2000-06-01,11.2599,11.2599,11.2599,11.2599,XPAR:BELI,106
2000-06-02,10.9315,10.9315,10.9315,10.9315,XPAR:BELI,676
2000-06-05,10.7907,10.7907,10.7907,10.7907,XPAR:BELI,26
