Date,Close,High,Low,Open,Symbol,Volume
2000-01-04,4.24,4.24,4.24,4.24,XPAR:BERR,570
2000-01-05,4.24,4.24,4.24,4.24,XPAR:BERR,0
2000-01-06,3.57,3.57,3.57,3.57,XPAR:BERR,1700
2000-01-07,3.57,3.57,3.57,3.57,XPAR:BERR,500
2000-01-10,3.57,3.57,3.57,3.57,XPAR:BERR,0
2000-01-11,3.99,3.99,3.99,3.99,XPAR:BERR,100
2000-01-12,3.99,3.99,3.99,3.99,XPAR:BERR,0
2000-01-13,3.99,3.99,3.99,3.99,XPAR:BERR,0
2000-01-14,3.99,3.99,3.99,3.99,XPAR:BERR,0
2000-01-17,3.99,3.99,3.99,3.99,XPAR:BERR,0
2000-01-18,3.98,3.98,3.98,3.98,XPAR:BERR,400
2000-01-19,3.98,3.98,3.98,3.98,XPAR:BERR,0
2000-01-20,3.61,3.61,3.61,3.61,XPAR:BERR,100
2000-01-21,3.61,3.61,3.61,3.61,XPAR:BERR,300
2000-01-24,3.58,3.58,3.58,3.58,XPAR:BERR,600
2000-01-25,3.57,3.57,3.57,3.57,XPAR:BERR,400
2000-01-26,3.57,3.57,3.57,3.57,XPAR:BERR,0
2000-01-27,3.57,3.57,3.57,3.57,XPAR:BERR,500
2000-01-28,3.57,3.57,3.57,3.57,XPAR:BERR,0
2000-01-31,3.57,3.57,3.57,3.57,XPAR:BERR,0
2000-02-01,3.57,3.57,3.57,3.57,XPAR:BERR,0
2000-02-02,3.57,3.57,3.57,3.57,XPAR:BERR,0
2000-02-03,3.35,3.35,3.35,3.35,XPAR:BERR,500
2000-02-04,3.35,3.35,3.35,3.35,XPAR:BERR,0
2000-02-07,3.2,3.2,3.2,3.2,XPAR:BERR,400
2000-02-08,3.31,3.31,3.31,3.31,XPAR:BERR,200
2000-02-09,3.31,3.31,3.31,3.31,XPAR:BERR,0
2000-02-10,3.31,3.31,3.31,3.31,XPAR:BERR,0
2000-02-11,3.2,3.2,3.2,3.2,XPAR:BERR,1000
2000-02-14,3.2,3.2,3.2,3.2,XPAR:BERR,0
2000-02-15,3.11,3.11,3.11,3.11,XPAR:BERR,2500
2000-02-16,3.11,3.11,3.11,3.11,XPAR:BERR,0
2000-02-17,3.5,3.5,3.5,3.5,XPAR:BERR,100
2000-02-18,3.5,3.5,3.5,3.5,XPAR:BERR,0
2000-02-21,3.21,3.21,3.21,3.21,XPAR:BERR,500
2000-02-22,3.21,3.21,3.21,3.21,XPAR:BERR,0
2000-02-23,3.21,3.21,3.21,3.21,XPAR:BERR,0
2000-02-24,3.21,3.21,3.21,3.21,XPAR:BERR,0
2000-02-25,3.21,3.21,3.21,3.21,XPAR:BERR,0
2000-02-28,3.21,3.21,3.21,3.21,XPAR:BERR,1900
2000-02-29,3.21,3.21,3.21,3.21,XPAR:BERR,0
2000-03-01,3.21,3.21,3.21,3.21,XPAR:BERR,0
2000-03-02,3.21,3.21,3.21,3.21,XPAR:BERR,0
2000-03-03,3.15,3.15,3.15,3.15,XPAR:BERR,200
2000-03-06,3.16,3.16,3.16,3.16,XPAR:BERR,400
2000-03-07,3.16,3.16,3.16,3.16,XPAR:BERR,0
2000-03-08,3.16,3.16,3.16,3.16,XPAR:BERR,0
2000-03-09,3.51,3.51,3.51,3.51,XPAR:BERR,200
2000-03-10,3.51,3.51,3.51,3.51,XPAR:BERR,0
2000-03-13,3.51,3.51,3.51,3.51,XPAR:BERR,0
2000-03-14,4.1,4.1,4.1,4.1,XPAR:BERR,1800
2000-03-15,4.25,4.25,4.25,4.25,XPAR:BERR,100
2000-03-16,4.25,4.25,4.25,4.25,XPAR:BERR,0
2000-03-17,4.25,4.25,4.25,4.25,XPAR:BERR,0
2000-03-20,3.81,3.81,3.81,3.81,XPAR:BERR,1500
2000-03-21,3.81,3.81,3.81,3.81,XPAR:BERR,0
2000-03-22,3.81,3.81,3.81,3.81,XPAR:BERR,0
2000-03-23,3.9,3.9,3.9,3.9,XPAR:BERR,100
2000-03-24,3.71,3.71,3.71,3.71,XPAR:BERR,300
2000-03-27,3.71,3.71,3.71,3.71,XPAR:BERR,0
2000-03-28,3.71,3.71,3.71,3.71,XPAR:BERR,0
2000-03-29,3.7,3.7,3.7,3.7,XPAR:BERR,400
2000-03-30,3.7,3.7,3.7,3.7,XPAR:BERR,0
2000-03-31,3.7,3.7,3.7,3.7,XPAR:BERR,0
2000-04-03,3.9,3.9,3.9,3.9,XPAR:BERR,200
2000-04-04,3.71,3.71,3.71,3.71,XPAR:BERR,200
2000-04-05,3.71,3.71,3.71,3.71,XPAR:BERR,0
2000-04-06,3.61,3.72,3.61,3.72,XPAR:BERR,600
2000-04-07,3.61,3.72,3.61,3.72,XPAR:BERR,0
2000-04-10,3.61,3.61,3.61,3.61,XPAR:BERR,200
2000-04-11,3.51,3.51,3.51,3.51,XPAR:BERR,500
2000-04-12,3.51,3.51,3.51,3.51,XPAR:BERR,0
2000-04-13,3.51,3.51,3.51,3.51,XPAR:BERR,0
2000-04-14,3.41,3.41,3.41,3.41,XPAR:BERR,300
2000-04-17,3.41,3.41,3.41,3.41,XPAR:BERR,0
2000-04-18,3.41,3.41,3.41,3.41,XPAR:BERR,0
2000-04-19,3.41,3.41,3.41,3.41,XPAR:BERR,0
2000-04-20,3.4,3.4,3.4,3.4,XPAR:BERR,100
2000-04-21,3.4,3.4,3.4,3.4,XPAR:BERR,0
2000-04-24,3.4,3.4,3.4,3.4,XPAR:BERR,0
2000-04-25,3.4,3.4,3.4,3.4,XPAR:BERR,0
2000-04-26,3.4,3.4,3.4,3.4,XPAR:BERR,0
2000-04-27,3.8,3.8,3.8,3.8,XPAR:BERR,200
2000-04-28,3.8,3.8,3.8,3.8,XPAR:BERR,1600
2000-05-01,3.8,3.8,3.8,3.8,XPAR:BERR,0
2000-05-02,3.8,3.8,3.8,3.8,XPAR:BERR,0
2000-05-03,3.8,3.8,3.8,3.8,XPAR:BERR,0
2000-05-04,3.8,3.8,3.8,3.8,XPAR:BERR,0
2000-05-05,3.8,3.8,3.8,3.8,XPAR:BERR,0
2000-05-08,3.8,3.8,3.8,3.8,XPAR:BERR,0
2000-05-09,3.8,3.8,3.8,3.8,XPAR:BERR,0
2000-05-10,3.61,3.61,3.61,3.61,XPAR:BERR,1000
2000-05-11,3.61,3.61,3.61,3.61,XPAR:BERR,1400
2000-05-12,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-15,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-16,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-17,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-18,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-19,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-22,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-23,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-24,3.61,3.61,3.61,3.61,XPAR:BERR,300
2000-05-25,3.61,3.61,3.61,3.61,XPAR:BERR,100
2000-05-26,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-29,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-30,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-05-31,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-06-01,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-06-02,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-06-05,3.61,3.61,3.61,3.61,XPAR:BERR,0
2000-06-06,4.15,4.15,4.15,4.15,XPAR:BERR,20
2000-06-07,4.15,4.15,4.15,4.15,XPAR:BERR,0
2000-06-08,4.15,4.15,4.15,4.15,XPAR:BERR,0
2000-06-09,4.15,4.15,4.15,4.15,XPAR:BERR,0
2000-06-12,4.15,4.15,4.15,4.15,XPAR:BERR,0
2000-06-13,4.15,4.15,4.15,4.15,XPAR:BERR,0
2000-06-14,3.5,3.5,3.5,3.5,XPAR:BERR,3700
2000-06-15,3.5,3.5,3.5,3.5,XPAR:BERR,0
2000-06-16,3.5,3.5,3.5,3.5,XPAR:BERR,0
2000-06-19,3.5,3.5,3.5,3.5,XPAR:BERR,0
2000-06-20,3.5,3.5,3.5,3.5,XPAR:BERR,0
2000-06-21,3.5,3.5,3.5,3.5,XPAR:BERR,0
2000-06-22,3.5,3.5,3.5,3.5,XPAR:BERR,0
2000-06-23,3.5,3.5,3.5,3.5,XPAR:BERR,0
2000-06-26,3.5,3.5,3.5,3.5,XPAR:BERR,0
2000-06-27,4.15,4.15,4.15,4.15,XPAR:BERR,2600
2000-06-28,4.15,4.15,4.1,4.1,XPAR:BERR,500
2000-06-29,4.15,4.15,4.15,4.15,XPAR:BERR,80
2000-06-30,4.05,4.15,4.05,4.15,XPAR:BERR,100
2000-07-03,4.2,4.25,4.2,4.25,XPAR:BERR,1100
2000-07-04,4.5,4.5,4.3,4.3,XPAR:BERR,1000
2000-07-05,4.85,4.85,4.85,4.85,XPAR:BERR,1100
2000-07-06,4.89,4.9,4.89,4.9,XPAR:BERR,1300
2000-07-07,4.85,4.85,4.85,4.85,XPAR:BERR,4540
2000-07-10,4.85,4.85,4.85,4.85,XPAR:BERR,0
2000-07-11,4.85,4.85,4.85,4.85,XPAR:BERR,0
2000-07-12,4.5,4.5,4.5,4.5,XPAR:BERR,80
2000-07-13,4.5,4.5,4.5,4.5,XPAR:BERR,200
2000-07-14,4.5,4.5,4.5,4.5,XPAR:BERR,0
2000-07-17,4.5,4.5,4.5,4.5,XPAR:BERR,1000
2000-07-18,4.5,4.5,4.5,4.5,XPAR:BERR,0
2000-07-19,4.5,4.5,4.5,4.5,XPAR:BERR,0
2000-07-20,4.5,4.5,4.5,4.5,XPAR:BERR,100
2000-07-21,4.25,4.25,4.25,4.25,XPAR:BERR,500
2000-07-24,4.1,4.1,4.1,4.1,XPAR:BERR,1372
2000-07-25,4.1,4.1,4.1,4.1,XPAR:BERR,0
2000-07-26,4.0,4.0,4.0,4.0,XPAR:BERR,100
2000-07-27,4.2,4.2,4.0,4.0,XPAR:BERR,130
2000-07-28,4.2,4.2,4.0,4.0,XPAR:BERR,0
2000-07-31,4.0,4.0,4.0,4.0,XPAR:BERR,400
2000-08-01,4.0,4.0,4.0,4.0,XPAR:BERR,0
2000-08-02,4.0,4.0,4.0,4.0,XPAR:BERR,0
2000-08-03,4.0,4.0,4.0,4.0,XPAR:BERR,0
2000-08-04,4.18,4.18,4.18,4.18,XPAR:BERR,100
2000-08-07,4.18,4.18,4.18,4.18,XPAR:BERR,300
2000-08-08,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-09,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-10,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-11,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-14,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-15,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-16,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-17,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-18,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-21,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-22,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-23,4.18,4.18,4.18,4.18,XPAR:BERR,0
2000-08-24,3.75,3.75,3.75,3.75,XPAR:BERR,1200
2000-08-25,3.75,3.75,3.75,3.75,XPAR:BERR,0
2000-08-28,3.75,3.75,3.75,3.75,XPAR:BERR,0
2000-08-29,3.75,3.75,3.75,3.75,XPAR:BERR,0
2000-08-30,3.75,3.75,3.75,3.75,XPAR:BERR,0
2000-08-31,3.75,3.75,3.75,3.75,XPAR:BERR,0
2000-09-01,3.75,3.75,3.75,3.75,XPAR:BERR,0
2000-09-04,3.75,3.75,3.75,3.75,XPAR:BERR,0
2000-09-05,3.8,3.8,3.8,3.8,XPAR:BERR,300
2000-09-06,3.8,3.8,3.8,3.8,XPAR:BERR,2000
2000-09-07,3.8,3.8,3.8,3.8,XPAR:BERR,0
2000-09-08,3.8,3.8,3.8,3.8,XPAR:BERR,0
2000-09-11,3.8,3.8,3.8,3.8,XPAR:BERR,0
2000-09-12,3.8,3.8,3.8,3.8,XPAR:BERR,0
