Date,Close,High,Low,Open,Symbol,Volume
2013-10-30,20.96,20.96,16.5,16.55,XPAR:BLUE,884830
2013-10-31,18.63,23.98,18.63,22.75,XPAR:BLUE,365632
2013-11-01,20.55,20.55,18.5,18.63,XPAR:BLUE,72753
2013-11-04,21.29,21.49,20.11,21.28,XPAR:BLUE,105819
2013-11-05,22.0,22.75,21.5,21.98,XPAR:BLUE,124227
2013-11-06,22.0,22.13,21.88,22.0,XPAR:BLUE,60470
2013-11-07,22.6,22.64,22.0,22.64,XPAR:BLUE,72001
2013-11-08,22.02,22.54,22.0,22.49,XPAR:BLUE,53574
2013-11-11,22.45,22.5,22.0,22.01,XPAR:BLUE,18214
2013-11-12,22.1,22.5,22.0,22.47,XPAR:BLUE,17738
2013-11-13,21.47,22.21,21.3,22.21,XPAR:BLUE,140272
2013-11-14,21.71,21.98,21.6,21.98,XPAR:BLUE,63893
2013-11-15,21.11,21.87,21.0,21.68,XPAR:BLUE,11636
2013-11-18,20.19,21.3,20.0,21.3,XPAR:BLUE,28236
2013-11-19,19.25,20.19,19.25,20.19,XPAR:BLUE,34470
2013-11-20,18.76,19.2,18.76,19.2,XPAR:BLUE,24029
2013-11-21,18.94,19.87,18.6,18.76,XPAR:BLUE,31725
2013-11-22,19.22,20.2,19.1,19.5,XPAR:BLUE,21850
2013-11-25,19.8,20.0,19.5,19.67,XPAR:BLUE,8130
2013-11-26,19.46,20.3,19.3,20.0,XPAR:BLUE,26119
2013-11-27,19.5,19.98,19.2,19.98,XPAR:BLUE,5950
2013-11-28,19.5,19.6,19.12,19.2,XPAR:BLUE,6733
2013-11-29,19.55,20.4,19.43,19.95,XPAR:BLUE,16998
2013-12-02,19.28,20.13,19.2,20.0,XPAR:BLUE,18469
2013-12-03,19.01,19.55,19.0,19.55,XPAR:BLUE,11781
2013-12-04,18.51,19.45,18.51,19.11,XPAR:BLUE,19825
2013-12-05,18.47,18.96,18.4,18.96,XPAR:BLUE,25873
2013-12-06,18.8,19.0,18.5,18.65,XPAR:BLUE,16608
2013-12-09,19.1,19.5,19.1,19.5,XPAR:BLUE,7469
2013-12-10,19.14,19.49,19.1,19.49,XPAR:BLUE,9763
2013-12-11,18.9,19.3,18.9,19.14,XPAR:BLUE,8791
2013-12-12,19.23,19.4,18.91,19.19,XPAR:BLUE,24239
2013-12-13,18.5,19.0,18.42,19.0,XPAR:BLUE,18122
2013-12-16,18.28,18.51,18.28,18.5,XPAR:BLUE,14659
2013-12-17,18.26,18.65,18.2,18.48,XPAR:BLUE,37682
2013-12-18,18.3,18.47,18.3,18.36,XPAR:BLUE,6289
2013-12-19,18.32,19.01,18.25,19.01,XPAR:BLUE,8948
2013-12-20,18.45,18.55,18.27,18.49,XPAR:BLUE,8205
2013-12-23,18.25,18.45,18.25,18.3,XPAR:BLUE,7816
2013-12-24,18.32,18.41,18.25,18.3,XPAR:BLUE,7816
2013-12-25,18.32,18.32,18.32,18.32,XPAR:BLUE,0
2013-12-26,18.32,18.32,18.32,18.32,XPAR:BLUE,0
2013-12-27,18.5,18.74,18.41,18.74,XPAR:BLUE,4538
2013-12-30,19.68,19.68,18.54,18.6,XPAR:BLUE,11324
2013-12-31,19.21,19.7,19.06,19.7,XPAR:BLUE,2964
2014-01-01,19.21,19.21,19.21,19.21,XPAR:BLUE,0
2014-01-02,19.1,19.5,19.02,19.5,XPAR:BLUE,4516
2014-01-03,19.0,19.3,19.0,19.3,XPAR:BLUE,5554
2014-01-06,19.25,19.5,19.01,19.5,XPAR:BLUE,9336
2014-01-07,19.4,19.6,19.2,19.4,XPAR:BLUE,16164
2014-01-08,19.35,19.5,19.07,19.4,XPAR:BLUE,19931
2014-01-09,19.0,19.49,19.0,19.12,XPAR:BLUE,4872
2014-01-10,19.0,19.29,19.0,19.0,XPAR:BLUE,6796
2014-01-13,19.4,19.64,19.05,19.1,XPAR:BLUE,17556
2014-01-14,19.02,19.44,19.02,19.3,XPAR:BLUE,9829
2014-01-15,18.85,19.1,18.74,19.06,XPAR:BLUE,20687
2014-01-16,19.0,19.09,18.7,18.8,XPAR:BLUE,13631
2014-01-17,19.18,19.4,18.81,19.38,XPAR:BLUE,7588
2014-01-20,19.28,19.51,19.28,19.5,XPAR:BLUE,19858
2014-01-21,19.13,19.39,19.06,19.39,XPAR:BLUE,5412
2014-01-22,19.03,19.39,19.02,19.14,XPAR:BLUE,2723
2014-01-23,18.82,19.2,18.82,19.03,XPAR:BLUE,14457
2014-01-24,18.81,19.0,18.81,19.0,XPAR:BLUE,2990
2014-01-27,18.7,19.0,18.6,19.0,XPAR:BLUE,10600
2014-01-28,18.4,18.75,18.4,18.7,XPAR:BLUE,10549
2014-01-29,18.37,18.75,18.3,18.74,XPAR:BLUE,10604
2014-01-30,18.32,18.6,18.3,18.4,XPAR:BLUE,29286
2014-01-31,18.36,18.5,18.3,18.31,XPAR:BLUE,7413
2014-02-03,18.15,18.4,18.15,18.4,XPAR:BLUE,6641
2014-02-04,17.8,18.25,17.8,18.15,XPAR:BLUE,9185
2014-02-05,17.65,17.9,17.65,17.9,XPAR:BLUE,8862
2014-02-06,17.31,17.8,17.31,17.61,XPAR:BLUE,10750
