Date,Close,High,Low,Open,Symbol,Volume
2001-02-08,17.2,17.71,16.5,16.5,XPAR:BND,141214
2001-02-09,17.0,17.09,16.5,17.0,XPAR:BND,34001
2001-02-12,17.0,17.0,16.51,16.9,XPAR:BND,15620
2001-02-13,17.0,17.0,16.51,16.6,XPAR:BND,9528
2001-02-14,16.51,16.6,16.51,16.6,XPAR:BND,2799
2001-02-15,16.79,16.96,16.02,16.79,XPAR:BND,7378
2001-02-16,16.79,16.8,16.15,16.79,XPAR:BND,9753
2001-02-19,16.7,16.75,16.01,16.4,XPAR:BND,4576
2001-02-20,16.01,16.48,16.01,16.01,XPAR:BND,2666
2001-02-21,16.09,16.2,15.95,16.06,XPAR:BND,14397
2001-02-22,15.8,16.0,15.51,15.9,XPAR:BND,5569
2001-02-23,15.4,15.7,15.01,15.51,XPAR:BND,19564
2001-02-26,14.55,15.2,14.55,15.05,XPAR:BND,8481
2001-02-27,15.3,15.3,14.7,15.2,XPAR:BND,5919
2001-02-28,15.25,15.3,14.7,14.9,XPAR:BND,1170
2001-03-01,14.89,15.0,14.5,14.8,XPAR:BND,6080
2001-03-02,14.38,15.0,13.8,14.5,XPAR:BND,10488
2001-03-05,14.5,14.51,14.0,14.51,XPAR:BND,1731
2001-03-06,15.0,15.0,14.0,14.6,XPAR:BND,9375
2001-03-07,15.0,15.0,14.5,15.0,XPAR:BND,14787
2001-03-08,15.04,15.1,14.5,15.1,XPAR:BND,865
2001-03-09,14.8,15.04,14.5,15.04,XPAR:BND,5991
2001-03-12,14.2,14.95,14.2,14.95,XPAR:BND,3767
2001-03-13,14.2,14.84,13.9,14.0,XPAR:BND,2430
2001-03-14,14.2,14.84,13.9,14.0,XPAR:BND,0
2001-03-15,13.7,14.19,13.7,14.19,XPAR:BND,3513
2001-03-16,14.0,14.0,13.5,14.0,XPAR:BND,13995
2001-03-19,13.65,14.0,13.5,14.0,XPAR:BND,900
2001-03-20,13.65,14.0,13.5,14.0,XPAR:BND,8370
2001-03-21,13.45,14.0,13.0,13.01,XPAR:BND,3126
2001-03-22,12.79,13.45,12.72,13.45,XPAR:BND,3151
