Date,Close,High,Low,Open,Symbol,Volume
1991-01-03,7.1875,7.1875,7.1875,7.1875,XPAR:BOI,13664
1991-01-04,7.1875,7.1875,7.1875,7.1875,XPAR:BOI,0
1991-01-07,7.1875,7.1875,7.1875,7.1875,XPAR:BOI,0
1991-01-08,7.2375,7.2375,7.2375,7.2375,XPAR:BOI,7712
1991-01-09,7.2625,7.2625,7.2625,7.2625,XPAR:BOI,928
1991-01-10,7.425,7.425,7.425,7.425,XPAR:BOI,53984
1991-01-11,7.2625,7.2625,7.2625,7.2625,XPAR:BOI,704
1991-01-14,7.1625,7.1625,7.1625,7.1625,XPAR:BOI,11680
1991-01-15,7.2,7.2,7.2,7.2,XPAR:BOI,2464
1991-01-16,7.2,7.2,7.2,7.2,XPAR:BOI,0
1991-01-17,7.2,7.2,7.2,7.2,XPAR:BOI,0
1991-01-18,7.2,7.2,7.2,7.2,XPAR:BOI,0
1991-01-21,7.2,7.2,7.2,7.2,XPAR:BOI,0
1991-01-22,7.2,7.2,7.2,7.2,XPAR:BOI,0
1991-01-23,7.2,7.2,7.2,7.2,XPAR:BOI,0
1991-01-24,7.2375,7.2375,7.2375,7.2375,XPAR:BOI,6304
1991-01-25,7.2375,7.2375,7.2375,7.2375,XPAR:BOI,1152
1991-01-28,7.3,7.3,7.3,7.3,XPAR:BOI,1248
1991-01-29,7.425,7.425,7.425,7.425,XPAR:BOI,13344
1991-01-30,7.3,7.3,7.3,7.3,XPAR:BOI,2144
1991-01-31,7.325,7.325,7.325,7.325,XPAR:BOI,8992
1991-02-01,7.2625,7.2625,7.2625,7.2625,XPAR:BOI,10880
1991-02-04,7.4125,7.4125,7.4125,7.4125,XPAR:BOI,4832
1991-02-05,7.4,7.4,7.4,7.4,XPAR:BOI,44992
1991-02-06,7.275,7.275,7.275,7.275,XPAR:BOI,288
1991-02-07,7.375,7.375,7.375,7.375,XPAR:BOI,380800
1991-02-08,7.2625,7.2625,7.2625,7.2625,XPAR:BOI,672
1991-02-11,7.3375,7.3375,7.3375,7.3375,XPAR:BOI,36224
1991-02-12,7.375,7.375,7.375,7.375,XPAR:BOI,24928
1991-02-13,7.425,7.425,7.425,7.425,XPAR:BOI,207968
1991-02-14,7.525,7.525,7.525,7.525,XPAR:BOI,4352
1991-02-15,7.525,7.525,7.525,7.525,XPAR:BOI,0
1991-02-18,7.6,7.6,7.6,7.6,XPAR:BOI,3328
1991-02-19,7.5,7.5,7.5,7.5,XPAR:BOI,15552
1991-02-20,7.4125,7.4125,7.4125,7.4125,XPAR:BOI,1012480
1991-02-21,7.55,7.55,7.55,7.55,XPAR:BOI,384
1991-02-22,7.6,7.6,7.6,7.6,XPAR:BOI,86368
1991-02-25,7.45,7.45,7.45,7.45,XPAR:BOI,1664
1991-02-26,7.525,7.525,7.525,7.525,XPAR:BOI,2080
