Date,Close,High,Low,Open,Symbol,Volume
2007-10-24,9.5,9.6875,9.4125,9.575,XPAR:BVI,51517160
2007-10-25,9.5525,9.5575,9.475,9.5325,XPAR:BVI,5647280
2007-10-26,10.1,10.125,9.5575,9.5575,XPAR:BVI,5894124
2007-10-29,9.9875,10.3075,9.8,10.25,XPAR:BVI,2742188
2007-10-30,9.825,9.9375,9.7825,9.79,XPAR:BVI,2474416
2007-10-31,9.995,9.995,9.7025,9.895,XPAR:BVI,2360064
2007-11-01,10.0,10.0225,9.9,10.0,XPAR:BVI,1156176
2007-11-02,10.0075,10.0075,9.905,9.9975,XPAR:BVI,725840
2007-11-05,10.005,10.0375,9.98,10.0,XPAR:BVI,504908
2007-11-06,10.0775,10.2475,10.0,10.0,XPAR:BVI,1419308
2007-11-07,10.0,10.235,9.75,10.235,XPAR:BVI,2754708
2007-11-08,9.8875,9.995,9.745,9.995,XPAR:BVI,943936
2007-11-09,9.8375,10.0225,9.78,9.9625,XPAR:BVI,381296
2007-11-12,9.7725,9.825,9.6375,9.825,XPAR:BVI,847264
2007-11-13,9.75,9.8,9.75,9.75,XPAR:BVI,306576
2007-11-14,9.8125,9.8625,9.75,9.8,XPAR:BVI,558304
2007-11-15,9.6625,9.8475,9.6625,9.7525,XPAR:BVI,439284
2007-11-16,9.59,9.8475,9.5175,9.65,XPAR:BVI,1202664
2007-11-19,9.4025,9.615,9.4025,9.5,XPAR:BVI,933004
2007-11-20,9.2225,9.4,9.0,9.25,XPAR:BVI,2725228
2007-11-21,9.05,9.325,9.03,9.1875,XPAR:BVI,572464
2007-11-22,9.045,9.1375,8.95,9.1375,XPAR:BVI,1348072
2007-11-23,9.25,9.25,8.9275,9.025,XPAR:BVI,835036
2007-11-26,9.2925,9.425,9.2,9.2,XPAR:BVI,295508
2007-11-27,9.1775,9.29,9.0625,9.25,XPAR:BVI,554524
2007-11-28,9.5275,9.5275,9.1025,9.3625,XPAR:BVI,590740
2007-11-29,9.6275,9.7,9.33,9.33,XPAR:BVI,210332
2007-11-30,9.75,9.9,9.625,9.75,XPAR:BVI,788412
2007-12-03,9.625,9.7425,9.6,9.6025,XPAR:BVI,260963
2007-12-04,9.6625,9.735,9.5625,9.725,XPAR:BVI,579616
2007-12-05,9.6875,9.7375,9.2525,9.6,XPAR:BVI,452556
2007-12-06,9.7875,9.905,9.6875,9.88,XPAR:BVI,1168412
2007-12-07,10.045,10.25,9.7875,9.9,XPAR:BVI,1220652
2007-12-10,9.9375,10.125,9.575,10.125,XPAR:BVI,380688
2007-12-11,10.0125,10.2,9.975,10.0375,XPAR:BVI,491116
2007-12-12,10.025,10.195,9.875,9.9375,XPAR:BVI,569236
2007-12-13,10.0,10.06,9.755,9.755,XPAR:BVI,907944
2007-12-14,10.085,10.125,9.9425,10.06,XPAR:BVI,602156
2007-12-17,9.9325,9.995,9.755,9.9525,XPAR:BVI,928276
2007-12-18,10.1225,10.1225,9.72,10.0175,XPAR:BVI,803340
2007-12-19,9.64,10.06,9.625,9.79,XPAR:BVI,608464
2007-12-20,9.5275,9.6975,9.5,9.625,XPAR:BVI,308412
2007-12-21,10.04,10.04,9.5075,9.525,XPAR:BVI,342964
2007-12-24,9.68,9.99,9.65,9.79,XPAR:BVI,17952
2007-12-25,9.68,9.99,9.65,9.79,XPAR:BVI,0
2007-12-26,9.68,9.99,9.65,9.79,XPAR:BVI,0
2007-12-27,10.015,10.0225,9.6425,9.68,XPAR:BVI,285868
2007-12-28,10.0675,10.0675,9.75,9.9975,XPAR:BVI,161392
2007-12-31,10.125,10.125,9.7575,9.7575,XPAR:BVI,70428
2008-01-01,10.125,10.125,9.7575,9.7575,XPAR:BVI,0
2008-01-02,10.0,10.125,9.8,9.925,XPAR:BVI,235444
2008-01-03,9.565,10.0,9.53,9.8,XPAR:BVI,331076
2008-01-04,9.6375,9.985,9.5,9.75,XPAR:BVI,730264
2008-01-07,9.22,9.625,9.0175,9.575,XPAR:BVI,679960
2008-01-08,9.1925,9.4425,9.1925,9.325,XPAR:BVI,343596
2008-01-09,8.81,9.25,8.6525,9.125,XPAR:BVI,980456
2008-01-10,8.675,8.9625,8.3,8.925,XPAR:BVI,1264216
2008-01-11,8.565,8.925,8.4375,8.875,XPAR:BVI,1921580
2008-01-14,8.5,8.75,8.2525,8.4975,XPAR:BVI,1857008
2008-01-15,8.16,8.6225,8.1225,8.5025,XPAR:BVI,1940552
2008-01-16,7.955,8.1425,7.5275,7.5275,XPAR:BVI,2604724
2008-01-17,8.115,8.4375,7.9525,7.955,XPAR:BVI,1351356
2008-01-18,7.875,8.115,7.875,8.115,XPAR:BVI,1152744
2008-01-21,7.53,7.8775,7.53,7.7875,XPAR:BVI,899548
2008-01-22,8.025,8.2,6.8,6.99,XPAR:BVI,1097904
2008-01-23,8.125,8.5275,7.6575,8.37,XPAR:BVI,1123028
2008-01-24,8.5025,8.92,8.2125,8.2125,XPAR:BVI,930328
2008-01-25,8.4575,8.7225,8.03,8.03,XPAR:BVI,470336
2008-01-28,8.25,8.455,8.225,8.375,XPAR:BVI,282020
2008-01-29,8.2125,8.575,8.2,8.375,XPAR:BVI,649196
2008-01-30,8.0,8.4625,7.6725,8.2125,XPAR:BVI,912932
2008-01-31,8.1975,8.2825,7.975,8.25,XPAR:BVI,643152
2008-02-01,8.8025,8.9175,8.3225,8.3225,XPAR:BVI,380416
2008-02-04,9.0,9.235,8.41,8.8025,XPAR:BVI,603380
2008-02-05,8.8375,9.25,8.675,9.135,XPAR:BVI,925388
2008-02-06,8.98,8.98,8.575,8.6625,XPAR:BVI,416108
2008-02-07,8.825,9.115,8.6775,8.6775,XPAR:BVI,331164
2008-02-08,9.1475,9.2,8.795,8.795,XPAR:BVI,526460
2008-02-11,9.125,9.2,9.0025,9.125,XPAR:BVI,737788
2008-02-12,9.125,9.1825,9.025,9.125,XPAR:BVI,646868
2008-02-13,8.875,9.0375,8.775,9.025,XPAR:BVI,706332
2008-02-14,8.875,8.9875,8.875,8.925,XPAR:BVI,570048
2008-02-15,8.895,8.925,8.775,8.925,XPAR:BVI,480268
2008-02-18,9.0,9.125,8.895,8.8975,XPAR:BVI,251796
2008-02-19,9.1075,9.2275,8.965,9.1,XPAR:BVI,1001388
2008-02-20,9.125,9.2425,8.875,8.9525,XPAR:BVI,324428
2008-02-21,9.125,9.2525,8.95,9.0,XPAR:BVI,261436
2008-02-22,9.125,9.1275,8.9525,9.125,XPAR:BVI,276064
2008-02-25,9.25,9.2525,8.975,9.0,XPAR:BVI,511192
2008-02-26,9.1725,9.25,9.0625,9.245,XPAR:BVI,190628
2008-02-27,9.1675,9.2225,9.075,9.075,XPAR:BVI,277752
2008-02-28,9.0475,9.1875,8.9625,9.125,XPAR:BVI,187832
2008-02-29,8.9875,9.0425,8.75,8.96,XPAR:BVI,489772
2008-03-03,8.8375,8.8375,8.5025,8.825,XPAR:BVI,649880
2008-03-04,8.725,8.9125,8.6625,8.9125,XPAR:BVI,682828
2008-03-05,8.5775,8.7325,8.5,8.7125,XPAR:BVI,666900
2008-03-06,8.5,8.6125,8.465,8.575,XPAR:BVI,297172
2008-03-07,8.505,8.6225,8.375,8.39,XPAR:BVI,586816
2008-03-10,8.455,8.5375,8.4,8.5125,XPAR:BVI,283284
2008-03-11,8.725,8.725,8.375,8.475,XPAR:BVI,297388
2008-03-12,8.87,8.9925,8.6,8.6,XPAR:BVI,338872
2008-03-13,8.73,8.985,8.555,8.8,XPAR:BVI,1166536
2008-03-14,8.75,9.2025,8.6925,8.6925,XPAR:BVI,498064
2008-03-17,8.625,8.75,8.5,8.6125,XPAR:BVI,280976
2008-03-18,8.515,8.665,8.4375,8.665,XPAR:BVI,376828
2008-03-19,8.53,8.65,8.46,8.5,XPAR:BVI,678744
2008-03-20,8.72,8.8375,8.525,8.525,XPAR:BVI,698716
