Date,Close,High,Low,Open,Symbol,Volume
2000-07-04,1.2005,1.2005,1.2005,1.2005,XPAR:CBSM,400000000
2000-07-05,1.2005,1.2005,1.2005,1.2005,XPAR:CBSM,0
2000-07-06,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,400000000
2000-07-07,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-10,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-11,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-12,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-13,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-14,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-17,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-18,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-19,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-20,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-21,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-24,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-25,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-26,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-27,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-28,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-07-31,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-01,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-02,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-03,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-04,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-07,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-08,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-09,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-10,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-11,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-14,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-15,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-16,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-17,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-18,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-21,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-22,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-23,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-24,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-25,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-28,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-29,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-30,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-08-31,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-09-01,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-09-04,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-09-05,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-09-06,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-09-07,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-09-08,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-09-11,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
2000-09-12,1.3162,1.3162,1.3162,1.3162,XPAR:CBSM,0
