Date,Close,High,Low,Open,Symbol,Volume
2000-01-10,63.05,63.05,63.05,63.05,XPAR:CHAU,14
2000-01-11,63.05,63.05,63.05,63.05,XPAR:CHAU,0
2000-01-12,63.05,63.05,63.05,63.05,XPAR:CHAU,0
2000-01-13,63.05,63.05,63.05,63.05,XPAR:CHAU,0
2000-01-14,63.05,63.05,63.05,63.05,XPAR:CHAU,0
2000-01-17,68.2,68.2,68.2,68.2,XPAR:CHAU,10
2000-01-18,68.2,68.2,68.2,68.2,XPAR:CHAU,0
2000-01-19,68.2,68.2,68.2,68.2,XPAR:CHAU,0
2000-01-20,69.0,69.0,69.0,69.0,XPAR:CHAU,10
2000-01-21,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-01-24,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-01-25,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-01-26,69.0,69.0,69.0,69.0,XPAR:CHAU,60
2000-01-27,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-01-28,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-01-31,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-02-01,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-02-02,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-02-03,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-02-04,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-02-07,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-02-08,69.0,69.0,69.0,69.0,XPAR:CHAU,0
2000-02-09,60.15,60.15,60.15,60.15,XPAR:CHAU,40
2000-02-10,60.15,60.15,60.15,60.15,XPAR:CHAU,0
2000-02-11,60.15,60.15,60.15,60.15,XPAR:CHAU,50
2000-02-14,60.15,60.15,60.15,60.15,XPAR:CHAU,0
2000-02-15,60.15,60.15,60.15,60.15,XPAR:CHAU,0
2000-02-16,61.05,61.05,61.05,61.05,XPAR:CHAU,13
2000-02-17,61.05,61.05,61.05,61.05,XPAR:CHAU,0
2000-02-18,61.05,61.05,61.05,61.05,XPAR:CHAU,0
2000-02-21,61.05,61.05,61.05,61.05,XPAR:CHAU,35
2000-02-22,61.05,61.05,61.05,61.05,XPAR:CHAU,0
2000-02-23,61.05,61.05,61.05,61.05,XPAR:CHAU,40
2000-02-24,61.05,61.05,61.05,61.05,XPAR:CHAU,0
2000-02-25,61.05,61.05,61.05,61.05,XPAR:CHAU,0
2000-02-28,61.05,61.05,61.05,61.05,XPAR:CHAU,8
2000-02-29,61.05,61.05,61.05,61.05,XPAR:CHAU,0
2000-03-01,61.05,61.05,61.05,61.05,XPAR:CHAU,0
2000-03-02,61.05,61.05,61.05,61.05,XPAR:CHAU,0
2000-03-03,59.55,59.55,59.55,59.55,XPAR:CHAU,1
