Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,14.7,15.75,14.7,14.7,XPAR:CIB,6920
2000-01-04,14.2,14.97,14.2,14.7,XPAR:CIB,5328
2000-01-05,14.2,14.9,13.99,14.1,XPAR:CIB,6197
2000-01-06,14.2,14.6,14.1,14.45,XPAR:CIB,4525
2000-01-07,15.2,15.2,14.8,14.85,XPAR:CIB,1896
2000-01-10,14.6,15.59,14.5,15.59,XPAR:CIB,5639
2000-01-11,14.6,14.7,14.5,14.5,XPAR:CIB,5079
2000-01-12,15.33,15.33,14.6,14.6,XPAR:CIB,88098
2000-01-13,15.0,15.6,14.6,14.6,XPAR:CIB,5429
2000-01-14,15.0,15.45,14.8,15.45,XPAR:CIB,2087
2000-01-17,14.5,15.27,14.5,15.0,XPAR:CIB,8464
2000-01-18,14.1,14.9,14.1,14.15,XPAR:CIB,2165
2000-01-19,13.6,14.77,13.6,14.05,XPAR:CIB,11520
2000-01-20,12.92,13.56,12.92,13.5,XPAR:CIB,8809
2000-01-21,12.0,12.9,11.95,12.9,XPAR:CIB,7771
2000-01-24,12.0,12.6,11.98,12.6,XPAR:CIB,7741
2000-01-25,12.91,12.91,11.98,12.0,XPAR:CIB,29356
2000-01-26,12.63,13.0,12.51,12.9,XPAR:CIB,8254
2000-01-27,13.0,13.4,12.02,12.5,XPAR:CIB,5840
2000-01-28,14.25,14.3,13.7,14.0,XPAR:CIB,17750
2000-01-31,14.45,14.45,14.0,14.45,XPAR:CIB,11250
2000-02-01,14.45,14.9,14.0,14.9,XPAR:CIB,5275
2000-02-02,14.63,15.05,14.0,14.45,XPAR:CIB,12437
2000-02-03,15.15,15.25,14.5,14.64,XPAR:CIB,12115
2000-02-04,15.5,16.15,15.01,15.14,XPAR:CIB,21608
2000-02-07,16.22,16.65,15.5,15.9,XPAR:CIB,27837
2000-02-08,17.8,17.8,16.5,17.0,XPAR:CIB,13873
2000-02-09,19.1,19.5,18.0,18.0,XPAR:CIB,73145
2000-02-10,18.95,20.0,18.7,19.55,XPAR:CIB,68647
2000-02-11,17.97,18.85,17.12,18.85,XPAR:CIB,13423
2000-02-14,18.1,18.45,17.5,18.0,XPAR:CIB,28778
2000-02-15,17.0,18.1,17.0,18.1,XPAR:CIB,32116
2000-02-16,16.5,17.49,15.4,17.13,XPAR:CIB,59070
2000-02-17,16.55,17.3,16.31,16.5,XPAR:CIB,6883
2000-02-18,17.73,17.8,16.51,16.99,XPAR:CIB,9512
2000-02-21,17.62,18.0,16.8,17.75,XPAR:CIB,14991
2000-02-22,18.94,18.95,17.05,17.05,XPAR:CIB,20994
2000-02-23,18.25,18.75,17.61,18.75,XPAR:CIB,29478
2000-02-24,19.1,19.1,18.2,18.2,XPAR:CIB,33798
2000-02-25,18.15,19.1,18.15,19.1,XPAR:CIB,12007
2000-02-28,17.65,18.97,17.0,17.55,XPAR:CIB,10449
2000-02-29,18.08,18.92,18.0,18.49,XPAR:CIB,14746
2000-03-01,17.59,18.98,16.6,18.7,XPAR:CIB,44509
2000-03-02,17.2,17.5,17.0,17.15,XPAR:CIB,3541
2000-03-03,15.93,17.25,15.93,17.2,XPAR:CIB,13490
2000-03-06,15.88,16.49,14.77,16.1,XPAR:CIB,12278
2000-03-07,14.81,16.0,14.8,15.1,XPAR:CIB,7486
2000-03-08,15.0,15.0,14.5,14.8,XPAR:CIB,3365
2000-03-09,14.35,15.0,14.35,15.0,XPAR:CIB,5619
2000-03-10,14.6,14.6,14.1,14.5,XPAR:CIB,3460
2000-03-13,14.28,14.95,14.11,14.95,XPAR:CIB,4047
2000-03-14,14.51,14.95,14.15,14.27,XPAR:CIB,6640
2000-03-15,14.0,14.7,13.8,14.7,XPAR:CIB,7533
2000-03-16,12.65,13.95,12.65,13.5,XPAR:CIB,5571
2000-03-17,13.09,13.28,12.1,12.71,XPAR:CIB,13392
2000-03-20,13.79,13.84,13.0,13.54,XPAR:CIB,3329
2000-03-21,13.41,14.0,13.12,13.12,XPAR:CIB,6757
2000-03-22,12.9,13.4,12.81,13.21,XPAR:CIB,6558
2000-03-23,12.0,13.49,12.0,13.49,XPAR:CIB,6848
2000-03-24,12.0,12.0,10.85,11.51,XPAR:CIB,9403
2000-03-27,10.85,11.85,10.85,11.85,XPAR:CIB,11358
2000-03-28,11.09,11.15,10.31,10.85,XPAR:CIB,24292
2000-03-29,11.33,11.7,10.4,10.4,XPAR:CIB,5055
2000-03-30,10.82,11.5,10.81,11.5,XPAR:CIB,3208
2000-03-31,10.99,11.19,10.41,10.8,XPAR:CIB,2801
2000-04-03,10.5,11.5,10.5,11.5,XPAR:CIB,4164
2000-04-04,11.0,11.0,10.3,10.4,XPAR:CIB,4149
2000-04-05,10.5,11.0,10.0,11.0,XPAR:CIB,7839
2000-04-06,10.1,10.3,10.0,10.0,XPAR:CIB,3560
2000-04-07,9.6,10.6,9.5,10.5,XPAR:CIB,4795
2000-04-10,9.6,9.6,9.6,9.6,XPAR:CIB,0
2000-04-11,10.0,10.39,9.6,9.6,XPAR:CIB,8351
2000-04-12,9.5,10.0,9.5,10.0,XPAR:CIB,2855
2000-04-13,9.0,9.5,8.6,9.4,XPAR:CIB,5337
2000-04-14,8.76,9.45,8.5,8.6,XPAR:CIB,4347
2000-04-17,9.6,9.6,8.35,9.18,XPAR:CIB,8235
2000-04-18,9.6,9.6,9.6,9.6,XPAR:CIB,0
2000-04-19,10.58,10.58,10.33,10.33,XPAR:CIB,16477
2000-04-20,10.6,10.98,10.6,10.8,XPAR:CIB,2663
2000-04-21,10.6,10.6,10.6,10.6,XPAR:CIB,0
2000-04-24,10.6,10.6,10.6,10.6,XPAR:CIB,0
2000-04-25,10.45,10.6,10.0,10.6,XPAR:CIB,2263
2000-04-26,9.45,9.8,9.45,9.45,XPAR:CIB,5746
2000-04-27,9.45,9.45,9.45,9.45,XPAR:CIB,0
2000-04-28,8.1,8.5,8.0,8.45,XPAR:CIB,17721
2000-05-01,8.1,8.1,8.1,8.1,XPAR:CIB,0
2000-05-02,8.09,8.15,8.05,8.06,XPAR:CIB,5300
2000-05-03,8.1,8.48,8.0,8.1,XPAR:CIB,2915
2000-05-04,8.0,8.5,8.0,8.0,XPAR:CIB,4247
2000-05-05,7.67,8.0,7.6,7.6,XPAR:CIB,6669
2000-05-08,7.98,7.99,7.65,7.8,XPAR:CIB,2050
2000-05-09,7.5,8.0,7.23,7.6,XPAR:CIB,9579
2000-05-10,7.48,7.5,7.14,7.5,XPAR:CIB,6943
2000-05-11,7.2,7.8,7.11,7.59,XPAR:CIB,6442
2000-05-12,7.13,7.56,7.05,7.05,XPAR:CIB,3759
2000-05-15,7.18,7.18,6.8,6.8,XPAR:CIB,4642
2000-05-16,7.1,7.18,6.55,7.0,XPAR:CIB,8844
2000-05-17,7.06,7.06,6.69,6.7,XPAR:CIB,4977
2000-05-18,6.5,7.05,6.5,6.7,XPAR:CIB,3291
2000-05-19,6.0,6.0,5.89,5.9,XPAR:CIB,5431
2000-05-22,5.85,6.0,5.7,5.9,XPAR:CIB,1955
2000-05-23,5.96,5.96,5.3,5.3,XPAR:CIB,4980
