Date,Close,High,Low,Open,Symbol,Volume
2002-07-17,23.1,23.5,22.8,23.5,XPAR:CNF,7950
2002-07-18,23.0,23.1,22.68,23.1,XPAR:CNF,6725
2002-07-19,22.7,23.0,22.52,23.0,XPAR:CNF,3250
2002-07-22,22.28,22.7,22.28,22.7,XPAR:CNF,4300
2002-07-23,22.1,22.36,22.0,22.3,XPAR:CNF,12525
2002-07-24,20.2,22.1,19.0,22.1,XPAR:CNF,30475
2002-07-25,22.5,22.5,20.56,20.56,XPAR:CNF,21975
2002-07-26,22.8,22.8,22.4,22.6,XPAR:CNF,7750
2002-07-29,22.8,23.06,22.8,22.86,XPAR:CNF,5800
2002-07-30,22.9,22.98,22.46,22.68,XPAR:CNF,10425
2002-07-31,22.94,23.0,22.7,22.92,XPAR:CNF,21475
2002-08-01,23.18,23.2,22.8,23.2,XPAR:CNF,14225
2002-08-02,23.14,23.18,22.94,23.18,XPAR:CNF,4050
2002-08-05,23.14,23.14,22.76,23.0,XPAR:CNF,6875
2002-08-06,23.14,23.14,22.88,23.1,XPAR:CNF,10175
2002-08-07,23.16,23.24,22.62,23.24,XPAR:CNF,18850
2002-08-08,23.24,23.32,23.16,23.16,XPAR:CNF,7050
2002-08-09,23.56,23.56,23.36,23.36,XPAR:CNF,9900
2002-08-12,23.7,23.7,23.46,23.6,XPAR:CNF,7150
2002-08-13,23.72,23.72,23.6,23.6,XPAR:CNF,4925
2002-08-14,23.8,24.0,23.5,23.7,XPAR:CNF,17125
2002-08-15,23.8,23.8,23.8,23.8,XPAR:CNF,25
2002-08-16,24.0,24.1,23.7,23.8,XPAR:CNF,7475
2002-08-19,23.96,24.0,23.94,24.0,XPAR:CNF,2000
2002-08-20,23.7,23.8,23.7,23.8,XPAR:CNF,10725
2002-08-21,23.5,23.7,23.5,23.7,XPAR:CNF,11975
2002-08-22,23.6,23.7,23.5,23.6,XPAR:CNF,9700
2002-08-23,23.4,23.6,23.08,23.6,XPAR:CNF,23050
2002-08-26,23.4,23.4,23.08,23.4,XPAR:CNF,6125
2002-08-27,23.2,23.36,23.08,23.08,XPAR:CNF,9250
2002-08-28,23.14,23.2,23.08,23.2,XPAR:CNF,5750
2002-08-29,23.16,23.16,22.94,23.16,XPAR:CNF,12775
2002-08-30,23.16,23.36,23.06,23.06,XPAR:CNF,6925
2002-09-02,23.16,23.16,23.06,23.16,XPAR:CNF,1825
2002-09-03,23.2,23.2,23.04,23.06,XPAR:CNF,19600
2002-09-04,22.6,22.6,22.36,22.46,XPAR:CNF,26875
2002-09-05,22.68,22.7,22.16,22.6,XPAR:CNF,7275
2002-09-06,23.12,23.24,22.68,22.68,XPAR:CNF,16375
2002-09-09,23.36,23.36,23.12,23.12,XPAR:CNF,10050
2002-09-10,23.06,23.36,22.8,23.2,XPAR:CNF,13950
2002-09-11,23.32,23.32,23.06,23.06,XPAR:CNF,15650
2002-09-12,23.4,23.4,23.1,23.4,XPAR:CNF,7725
2002-09-13,23.4,23.6,23.36,23.5,XPAR:CNF,15525
2002-09-16,23.68,23.7,23.4,23.4,XPAR:CNF,81625
2002-09-17,23.66,23.68,23.48,23.64,XPAR:CNF,17725
2002-09-18,23.74,23.74,23.48,23.66,XPAR:CNF,18000
2002-09-19,23.7,23.74,23.5,23.7,XPAR:CNF,25775
2002-09-20,23.84,23.9,23.7,23.74,XPAR:CNF,24500
2002-09-23,23.7,23.9,23.7,23.9,XPAR:CNF,10350
2002-09-24,23.7,23.84,23.62,23.8,XPAR:CNF,21700
2002-09-25,23.84,23.88,23.7,23.7,XPAR:CNF,29725
2002-09-26,23.84,23.9,23.62,23.84,XPAR:CNF,32200
2002-09-27,23.84,23.9,23.64,23.8,XPAR:CNF,15450
2002-09-30,23.84,23.84,23.66,23.82,XPAR:CNF,26600
2002-10-01,23.82,23.86,23.5,23.8,XPAR:CNF,23750
2002-10-02,23.7,23.8,23.5,23.5,XPAR:CNF,19925
2002-10-03,23.8,23.84,23.6,23.76,XPAR:CNF,30325
2002-10-04,23.84,23.9,23.78,23.8,XPAR:CNF,22500
2002-10-07,23.8,23.8,23.8,23.8,XPAR:CNF,11025
2002-10-08,23.9,23.9,23.6,23.8,XPAR:CNF,15200
2002-10-09,23.86,23.9,23.7,23.78,XPAR:CNF,11200
2002-10-10,23.88,23.88,23.64,23.82,XPAR:CNF,24475
2002-10-11,23.88,23.88,23.8,23.88,XPAR:CNF,11100
2002-10-14,23.8,23.9,23.8,23.88,XPAR:CNF,17850
2002-10-15,23.86,23.86,23.8,23.8,XPAR:CNF,9325
2002-10-16,23.88,23.88,23.82,23.86,XPAR:CNF,14000
2002-10-17,23.98,23.98,23.82,23.9,XPAR:CNF,19575
2002-10-18,23.98,23.98,23.7,23.8,XPAR:CNF,8425
2002-10-21,23.9,23.98,23.9,23.98,XPAR:CNF,19125
2002-10-22,23.9,24.42,23.9,24.0,XPAR:CNF,16500
2002-10-23,23.8,24.0,23.8,23.9,XPAR:CNF,16975
2002-10-24,24.4,24.4,23.88,23.88,XPAR:CNF,25450
2002-10-25,24.4,24.4,24.2,24.38,XPAR:CNF,8024
2002-10-28,24.26,24.4,24.2,24.4,XPAR:CNF,4400
2002-10-29,24.0,24.26,24.0,24.26,XPAR:CNF,7775
2002-10-30,24.0,24.0,23.94,24.0,XPAR:CNF,3875
2002-10-31,24.0,24.1,23.86,23.86,XPAR:CNF,1300
2002-11-01,23.76,23.82,23.76,23.82,XPAR:CNF,500
2002-11-04,23.9,23.9,23.78,23.78,XPAR:CNF,5425
2002-11-05,23.9,23.92,23.76,23.9,XPAR:CNF,12925
2002-11-06,23.88,23.9,23.72,23.88,XPAR:CNF,11950
2002-11-07,23.8,23.88,23.68,23.68,XPAR:CNF,11375
2002-11-08,23.88,23.88,23.46,23.76,XPAR:CNF,7050
2002-11-11,23.8,23.88,23.8,23.88,XPAR:CNF,1325
2002-11-12,23.86,23.88,23.6,23.8,XPAR:CNF,10700
2002-11-13,23.6,23.88,23.14,23.88,XPAR:CNF,6125
2002-11-14,23.5,23.6,23.2,23.6,XPAR:CNF,3775
2002-11-15,23.5,23.52,23.4,23.52,XPAR:CNF,6000
2002-11-18,23.48,23.5,23.04,23.04,XPAR:CNF,8400
2002-11-19,23.36,23.48,23.04,23.48,XPAR:CNF,3775
2002-11-20,23.2,23.36,23.04,23.2,XPAR:CNF,8575
2002-11-21,23.4,23.48,23.24,23.24,XPAR:CNF,14950
2002-11-22,23.4,23.4,23.04,23.4,XPAR:CNF,10900
2002-11-25,23.2,23.2,23.04,23.2,XPAR:CNF,17075
2002-11-26,23.2,23.2,22.8,23.04,XPAR:CNF,7400
2002-11-27,23.1,23.26,23.1,23.2,XPAR:CNF,13300
2002-11-28,23.28,23.4,23.12,23.12,XPAR:CNF,11725
2002-11-29,23.6,23.6,23.22,23.22,XPAR:CNF,15525
2002-12-02,23.3,23.4,23.3,23.4,XPAR:CNF,12025
2002-12-03,23.5,23.6,23.22,23.22,XPAR:CNF,14700
2002-12-04,23.5,23.6,23.32,23.6,XPAR:CNF,16650
2002-12-05,23.38,23.6,23.32,23.4,XPAR:CNF,15050
2002-12-06,23.4,23.4,23.24,23.38,XPAR:CNF,14675
2002-12-09,23.4,23.4,23.2,23.32,XPAR:CNF,30025
2002-12-10,23.2,23.4,23.2,23.2,XPAR:CNF,8075
2002-12-11,23.2,23.2,23.1,23.2,XPAR:CNF,21075
2002-12-12,23.16,23.16,23.1,23.14,XPAR:CNF,32650
2002-12-13,23.1,23.12,23.08,23.1,XPAR:CNF,27875
2002-12-16,22.8,23.1,22.6,23.1,XPAR:CNF,27875
2002-12-17,22.76,22.8,22.0,22.44,XPAR:CNF,24400
2002-12-18,22.8,22.8,22.2,22.78,XPAR:CNF,27375
2002-12-19,22.64,22.8,22.4,22.4,XPAR:CNF,34550
2002-12-20,22.58,22.62,22.0,22.6,XPAR:CNF,49475
2002-12-23,22.4,22.4,22.2,22.2,XPAR:CNF,9825
2002-12-24,21.7,21.9,20.38,20.38,XPAR:CNF,4415
2002-12-25,21.7,21.9,20.38,20.38,XPAR:CNF,0
2002-12-26,21.7,21.9,20.38,20.38,XPAR:CNF,0
2002-12-27,22.4,22.44,21.8,22.04,XPAR:CNF,81475
2002-12-30,23.0,23.0,20.4,20.4,XPAR:CNF,51100
2002-12-31,23.1,23.1,22.78,23.1,XPAR:CNF,22650
2003-01-01,23.08,23.1,23.08,23.1,XPAR:CNF,0
2003-01-02,23.0,23.16,21.84,23.08,XPAR:CNF,15025
2003-01-03,22.98,23.0,22.2,23.0,XPAR:CNF,8950
2003-01-06,22.9,22.9,22.7,22.7,XPAR:CNF,1925
2003-01-07,22.64,22.9,22.2,22.7,XPAR:CNF,6550
2003-01-08,22.64,22.64,22.6,22.64,XPAR:CNF,2900
2003-01-09,22.6,22.6,22.08,22.42,XPAR:CNF,4300
2003-01-10,22.2,22.6,22.08,22.6,XPAR:CNF,7250
2003-01-13,21.8,21.8,21.8,21.8,XPAR:CNF,4275
2003-01-14,21.64,21.8,21.6,21.8,XPAR:CNF,12075
2003-01-15,21.6,21.64,21.4,21.64,XPAR:CNF,15625
2003-01-16,20.84,21.16,20.84,21.16,XPAR:CNF,17850
2003-01-17,21.36,21.36,20.72,20.8,XPAR:CNF,31625
2003-01-20,21.14,21.36,21.14,21.36,XPAR:CNF,7125
2003-01-21,21.4,21.56,20.5,21.16,XPAR:CNF,11300
2003-01-22,21.4,21.44,21.06,21.18,XPAR:CNF,4975
2003-01-23,21.0,21.28,20.44,21.28,XPAR:CNF,19900
2003-01-24,21.0,21.0,20.98,21.0,XPAR:CNF,12775
2003-01-27,20.98,20.98,20.8,20.8,XPAR:CNF,1300
2003-01-28,21.0,21.0,20.4,21.0,XPAR:CNF,27750
2003-01-29,21.18,21.2,20.82,21.14,XPAR:CNF,17050
2003-01-30,21.02,21.02,20.76,21.0,XPAR:CNF,17800
2003-01-31,21.02,21.02,20.8,21.02,XPAR:CNF,14550
2003-02-03,20.02,20.62,20.02,20.18,XPAR:CNF,31625
