Date,Close,High,Low,Open,Symbol,Volume
2015-02-02,5.49,7.4,5.49,7.4,XPAR:CNV,7055
2015-02-03,5.2,5.49,5.07,5.49,XPAR:CNV,4312
2015-02-04,5.0,5.2,5.0,5.2,XPAR:CNV,19954
2015-02-05,5.01,5.09,5.01,5.09,XPAR:CNV,1400
2015-02-06,5.4,5.4,5.1,5.1,XPAR:CNV,2580
2015-02-09,5.85,6.0,5.49,5.49,XPAR:CNV,8406
2015-02-10,5.5,5.98,5.5,5.98,XPAR:CNV,3180
2015-02-11,5.49,5.92,5.4,5.92,XPAR:CNV,9200
2015-02-12,5.44,5.5,5.4,5.5,XPAR:CNV,5926
2015-02-13,5.36,5.44,5.36,5.44,XPAR:CNV,206
2015-02-16,6.0,6.0,5.71,5.87,XPAR:CNV,23608
2015-02-17,6.54,6.56,6.29,6.56,XPAR:CNV,30311
2015-02-18,5.96,6.54,5.9,6.54,XPAR:CNV,14435
2015-02-19,5.64,5.95,5.56,5.92,XPAR:CNV,14337
2015-02-20,5.63,5.79,5.55,5.79,XPAR:CNV,5631
2015-02-23,5.7,5.89,5.66,5.89,XPAR:CNV,5660
2015-02-24,5.84,5.89,5.7,5.7,XPAR:CNV,2654
2015-02-25,5.75,5.84,5.7,5.84,XPAR:CNV,1375
2015-02-26,6.0,6.0,5.74,5.74,XPAR:CNV,4563
2015-02-27,5.81,6.14,5.81,6.01,XPAR:CNV,9139
2015-03-02,5.74,5.87,5.61,5.86,XPAR:CNV,11114
2015-03-03,5.55,5.75,5.52,5.74,XPAR:CNV,8724
2015-03-04,5.47,5.64,5.36,5.6,XPAR:CNV,12153
2015-03-05,5.49,5.57,5.31,5.47,XPAR:CNV,4015
2015-03-06,5.49,5.49,5.25,5.48,XPAR:CNV,13693
2015-03-09,5.48,5.49,5.23,5.49,XPAR:CNV,19521
2015-03-10,5.45,5.54,5.12,5.54,XPAR:CNV,4989
2015-03-11,5.49,5.49,5.45,5.45,XPAR:CNV,367
2015-03-12,5.4,5.5,5.3,5.5,XPAR:CNV,3319
2015-03-13,5.5,5.73,5.25,5.45,XPAR:CNV,13871
2015-03-16,5.5,5.68,5.35,5.68,XPAR:CNV,8160
2015-03-17,5.45,5.59,5.35,5.59,XPAR:CNV,15968
2015-03-18,5.41,5.59,5.28,5.45,XPAR:CNV,17256
2015-03-19,5.41,5.41,5.41,5.41,XPAR:CNV,1
2015-03-20,5.8,5.8,5.41,5.41,XPAR:CNV,4682
2015-03-23,5.89,6.0,5.65,5.79,XPAR:CNV,4756
2015-03-24,5.85,5.89,5.85,5.89,XPAR:CNV,301
2015-03-25,5.7,6.33,5.65,5.84,XPAR:CNV,8007
2015-03-26,5.55,5.7,5.55,5.7,XPAR:CNV,2071
2015-03-27,5.7,5.9,5.63,5.9,XPAR:CNV,2538
2015-03-30,5.88,5.9,5.53,5.7,XPAR:CNV,6001
2015-03-31,5.8,6.0,5.72,5.88,XPAR:CNV,1051
2015-04-01,5.78,5.8,5.78,5.8,XPAR:CNV,250
2015-04-02,5.81,5.82,5.81,5.81,XPAR:CNV,1000
2015-04-03,5.81,5.81,5.81,5.81,XPAR:CNV,0
2015-04-06,5.81,5.81,5.81,5.81,XPAR:CNV,0
2015-04-07,5.84,6.1,5.84,6.1,XPAR:CNV,8752
2015-04-08,5.84,5.85,5.84,5.85,XPAR:CNV,1273
2015-04-09,5.81,6.03,5.81,5.85,XPAR:CNV,561
2015-04-10,6.32,6.33,6.04,6.04,XPAR:CNV,11110
2015-04-13,6.0,6.55,6.0,6.33,XPAR:CNV,8411
