Date,Close,High,Low,Open,Symbol,Volume
2002-07-16,74.35,82.6,74.35,82.6,XPAR:CRAV,609
2002-07-17,81.2,81.2,81.2,81.2,XPAR:CRAV,316
2002-07-18,82.5,82.5,82.5,82.5,XPAR:CRAV,115
2002-07-19,82.4,82.5,82.4,82.5,XPAR:CRAV,132
2002-07-22,82.4,82.5,82.4,82.5,XPAR:CRAV,282
2002-07-23,82.35,82.4,82.35,82.4,XPAR:CRAV,114
2002-07-24,82.0,82.0,82.0,82.0,XPAR:CRAV,116
2002-07-25,80.0,82.0,80.0,82.0,XPAR:CRAV,282
2002-07-26,80.0,80.0,80.0,80.0,XPAR:CRAV,167
2002-07-29,82.0,82.0,80.0,80.0,XPAR:CRAV,64
2002-07-30,82.0,82.0,82.0,82.0,XPAR:CRAV,452
2002-07-31,81.15,81.15,81.15,81.15,XPAR:CRAV,96
2002-08-01,89.0,89.0,81.0,81.0,XPAR:CRAV,195
2002-08-02,81.0,81.0,81.0,81.0,XPAR:CRAV,282
2002-08-05,81.0,81.0,80.0,80.0,XPAR:CRAV,66
2002-08-06,73.7,73.7,73.7,73.7,XPAR:CRAV,38
2002-08-07,81.0,81.0,80.0,80.0,XPAR:CRAV,457
2002-08-08,80.45,80.45,80.45,80.45,XPAR:CRAV,5
2002-08-09,79.7,79.8,79.7,79.8,XPAR:CRAV,347
2002-08-12,79.0,79.0,79.0,79.0,XPAR:CRAV,244
2002-08-13,77.95,78.0,77.95,78.0,XPAR:CRAV,287
2002-08-14,77.8,77.8,77.8,77.8,XPAR:CRAV,393
2002-08-15,78.95,78.95,78.95,78.95,XPAR:CRAV,10
2002-08-16,77.5,77.5,76.0,76.0,XPAR:CRAV,2280
2002-08-19,77.5,77.5,77.5,77.5,XPAR:CRAV,27
2002-08-20,78.05,78.05,78.05,78.05,XPAR:CRAV,162
2002-08-21,76.0,78.1,76.0,78.1,XPAR:CRAV,1256
2002-08-22,76.0,76.0,76.0,76.0,XPAR:CRAV,1045
2002-08-23,77.0,77.0,77.0,77.0,XPAR:CRAV,1308
2002-08-26,79.0,79.0,79.0,79.0,XPAR:CRAV,278
2002-08-27,79.5,79.5,79.5,79.5,XPAR:CRAV,243
2002-08-28,81.7,81.7,81.7,81.7,XPAR:CRAV,326
2002-08-29,79.85,81.5,79.85,81.5,XPAR:CRAV,514
2002-08-30,80.6,80.6,79.0,79.0,XPAR:CRAV,114
2002-09-02,80.0,80.0,80.0,80.0,XPAR:CRAV,146
2002-09-03,79.5,79.5,79.45,79.45,XPAR:CRAV,124
2002-09-04,77.9,77.9,77.9,77.9,XPAR:CRAV,57
2002-09-05,79.0,79.0,79.0,79.0,XPAR:CRAV,195
2002-09-06,80.0,80.0,78.95,78.95,XPAR:CRAV,365
2002-09-09,80.0,80.0,80.0,80.0,XPAR:CRAV,44
2002-09-10,80.0,80.0,79.95,79.95,XPAR:CRAV,72
2002-09-11,80.5,80.55,80.5,80.55,XPAR:CRAV,442
2002-09-12,80.5,80.5,80.5,80.5,XPAR:CRAV,27
2002-09-13,79.5,80.0,79.5,80.0,XPAR:CRAV,218
2002-09-16,80.0,80.0,80.0,80.0,XPAR:CRAV,22
2002-09-17,79.95,79.95,79.95,79.95,XPAR:CRAV,142
2002-09-18,80.0,80.0,80.0,80.0,XPAR:CRAV,74
2002-09-19,79.0,79.5,79.0,79.5,XPAR:CRAV,74
2002-09-20,77.4,79.0,77.4,79.0,XPAR:CRAV,314
2002-09-23,77.9,78.95,77.9,78.95,XPAR:CRAV,48
