Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,19.55,20.5,19.55,20.5,XPAR:CROS,145
2000-01-04,19.0,19.0,19.0,19.0,XPAR:CROS,100
2000-01-05,19.3,19.3,19.3,19.3,XPAR:CROS,20
2000-01-06,19.3,19.3,19.3,19.3,XPAR:CROS,15
2000-01-07,19.3,19.3,19.3,19.3,XPAR:CROS,91
2000-01-10,19.67,19.67,19.3,19.3,XPAR:CROS,20
2000-01-11,18.0,18.0,18.0,18.0,XPAR:CROS,100
2000-01-12,19.67,19.67,18.9,18.9,XPAR:CROS,85
2000-01-13,19.67,19.67,19.67,19.67,XPAR:CROS,5
2000-01-14,19.67,19.67,19.67,19.67,XPAR:CROS,5
2000-01-17,19.5,19.5,19.5,19.5,XPAR:CROS,147
2000-01-18,19.5,19.5,19.5,19.5,XPAR:CROS,141
2000-01-19,18.55,18.55,18.55,18.55,XPAR:CROS,200
2000-01-20,19.01,19.01,19.0,19.0,XPAR:CROS,230
2000-01-21,19.01,19.01,19.01,19.01,XPAR:CROS,100
2000-01-24,19.0,19.0,19.0,19.0,XPAR:CROS,900
2000-01-25,18.95,18.95,18.95,18.95,XPAR:CROS,50
2000-01-26,19.0,19.0,19.0,19.0,XPAR:CROS,5
2000-01-27,19.4,19.4,19.4,19.4,XPAR:CROS,16
2000-01-28,19.35,19.35,18.43,18.43,XPAR:CROS,88
2000-01-31,19.5,19.5,19.5,19.5,XPAR:CROS,525
2000-02-01,18.0,18.55,18.0,18.55,XPAR:CROS,159
2000-02-02,18.5,18.5,18.5,18.5,XPAR:CROS,308
2000-02-03,17.76,18.5,17.76,18.5,XPAR:CROS,696
2000-02-04,18.4,18.4,17.53,17.53,XPAR:CROS,580
2000-02-07,18.0,18.0,18.0,18.0,XPAR:CROS,325
2000-02-08,17.0,17.0,17.0,17.0,XPAR:CROS,695
2000-02-09,17.0,17.0,17.0,17.0,XPAR:CROS,0
2000-02-10,16.5,17.0,16.5,17.0,XPAR:CROS,1840
2000-02-11,16.5,16.5,16.5,16.5,XPAR:CROS,1369
2000-02-14,16.8,17.32,16.8,17.32,XPAR:CROS,400
2000-02-15,16.75,16.75,16.1,16.1,XPAR:CROS,605
2000-02-16,17.1,17.1,17.0,17.0,XPAR:CROS,320
2000-02-17,17.0,17.0,17.0,17.0,XPAR:CROS,950
2000-02-18,17.0,17.0,17.0,17.0,XPAR:CROS,300
2000-02-21,16.6,16.6,16.6,16.6,XPAR:CROS,550
2000-02-22,17.0,17.0,17.0,17.0,XPAR:CROS,130
2000-02-23,16.15,16.15,16.15,16.15,XPAR:CROS,70
2000-02-24,16.15,16.15,16.15,16.15,XPAR:CROS,0
2000-02-25,16.15,16.15,16.15,16.15,XPAR:CROS,0
2000-02-28,16.5,16.5,16.5,16.5,XPAR:CROS,877
2000-02-29,16.5,16.5,16.5,16.5,XPAR:CROS,300
2000-03-01,16.61,16.61,16.61,16.61,XPAR:CROS,50
2000-03-02,16.66,16.66,16.66,16.66,XPAR:CROS,35
2000-03-03,16.66,16.66,16.66,16.66,XPAR:CROS,60
2000-03-06,16.7,16.7,16.7,16.7,XPAR:CROS,100
2000-03-07,16.65,16.65,16.65,16.65,XPAR:CROS,100
2000-03-08,16.7,16.7,16.7,16.7,XPAR:CROS,85
2000-03-09,16.65,16.65,16.65,16.65,XPAR:CROS,41
2000-03-10,16.5,16.5,16.5,16.5,XPAR:CROS,2010
