Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,68.5,68.5,68.5,68.5,XPAR:CRTO,110
2000-01-04,68.0,68.5,68.0,68.5,XPAR:CRTO,293
2000-01-05,68.3,68.3,68.3,68.3,XPAR:CRTO,338
2000-01-06,68.3,68.3,68.3,68.3,XPAR:CRTO,440
2000-01-07,68.4,68.45,68.4,68.45,XPAR:CRTO,442
2000-01-10,68.3,68.3,68.3,68.3,XPAR:CRTO,433
2000-01-11,68.4,68.4,68.0,68.0,XPAR:CRTO,1153
2000-01-12,68.0,68.0,68.0,68.0,XPAR:CRTO,390
2000-01-13,67.0,67.0,67.0,67.0,XPAR:CRTO,322
2000-01-14,66.8,66.8,66.8,66.8,XPAR:CRTO,341
2000-01-17,66.7,66.7,66.7,66.7,XPAR:CRTO,96
2000-01-18,67.0,67.0,67.0,67.0,XPAR:CRTO,531
2000-01-19,67.0,67.1,67.0,67.1,XPAR:CRTO,417
2000-01-20,67.1,67.1,67.0,67.0,XPAR:CRTO,345
2000-01-21,66.75,67.0,66.75,67.0,XPAR:CRTO,772
2000-01-24,66.7,66.7,66.7,66.7,XPAR:CRTO,405
2000-01-25,66.6,66.6,66.6,66.6,XPAR:CRTO,452
2000-01-26,66.4,66.4,66.4,66.4,XPAR:CRTO,110
2000-01-27,66.4,66.4,66.4,66.4,XPAR:CRTO,298
2000-01-28,66.8,66.8,66.45,66.45,XPAR:CRTO,394
2000-01-31,66.35,66.35,66.35,66.35,XPAR:CRTO,238
2000-02-01,66.0,66.0,66.0,66.0,XPAR:CRTO,506
2000-02-02,65.7,65.7,65.7,65.7,XPAR:CRTO,638
2000-02-03,65.5,65.5,65.3,65.3,XPAR:CRTO,259
2000-02-04,65.0,65.3,65.0,65.3,XPAR:CRTO,709
2000-02-07,65.1,65.1,65.0,65.0,XPAR:CRTO,552
2000-02-08,64.8,65.0,64.8,65.0,XPAR:CRTO,530
2000-02-09,64.4,64.5,64.4,64.5,XPAR:CRTO,532
2000-02-10,64.0,64.2,64.0,64.2,XPAR:CRTO,398
2000-02-11,64.2,64.2,64.2,64.2,XPAR:CRTO,728
2000-02-14,64.5,64.5,64.5,64.5,XPAR:CRTO,850
2000-02-15,64.0,64.5,64.0,64.5,XPAR:CRTO,606
2000-02-16,64.0,64.0,64.0,64.0,XPAR:CRTO,720
2000-02-17,64.0,64.0,64.0,64.0,XPAR:CRTO,220
2000-02-18,64.3,64.3,64.0,64.0,XPAR:CRTO,680
2000-02-21,64.0,64.0,64.0,64.0,XPAR:CRTO,332
2000-02-22,64.0,64.0,63.7,63.7,XPAR:CRTO,654
2000-02-23,64.0,64.0,64.0,64.0,XPAR:CRTO,379
2000-02-24,64.0,64.0,64.0,64.0,XPAR:CRTO,434
2000-02-25,64.0,64.4,64.0,64.4,XPAR:CRTO,418
2000-02-28,64.1,64.1,64.1,64.1,XPAR:CRTO,246
2000-02-29,64.15,64.2,64.15,64.2,XPAR:CRTO,508
2000-03-01,64.5,64.5,64.5,64.5,XPAR:CRTO,731
2000-03-02,64.8,64.8,64.8,64.8,XPAR:CRTO,474
2000-03-03,65.0,65.0,65.0,65.0,XPAR:CRTO,592
2000-03-06,65.5,65.5,65.5,65.5,XPAR:CRTO,878
2000-03-07,65.6,65.6,65.4,65.4,XPAR:CRTO,411
2000-03-08,66.0,66.0,66.0,66.0,XPAR:CRTO,274
2000-03-09,66.2,66.2,66.2,66.2,XPAR:CRTO,225
2000-03-10,67.0,67.0,66.05,66.05,XPAR:CRTO,924
2000-03-13,67.1,67.1,67.0,67.0,XPAR:CRTO,257
2000-03-14,67.3,67.3,67.2,67.2,XPAR:CRTO,610
2000-03-15,67.5,67.5,67.5,67.5,XPAR:CRTO,877
2000-03-16,67.5,67.6,67.5,67.6,XPAR:CRTO,499
2000-03-17,67.5,67.5,67.1,67.1,XPAR:CRTO,426
2000-03-20,67.8,67.8,67.8,67.8,XPAR:CRTO,531
2000-03-21,67.8,67.8,67.7,67.7,XPAR:CRTO,276
2000-03-22,67.5,67.9,67.5,67.9,XPAR:CRTO,633
2000-03-23,68.0,68.0,68.0,68.0,XPAR:CRTO,395
2000-03-24,67.4,67.45,67.4,67.45,XPAR:CRTO,467
2000-03-27,67.85,67.9,67.85,67.9,XPAR:CRTO,565
2000-03-28,67.85,67.85,67.8,67.8,XPAR:CRTO,273
