Date,Close,High,Low,Open,Symbol,Volume
2001-06-22,16.3,16.58,16.2,16.3,XPAR:DEC,12479474
2001-06-25,16.45,16.7,16.3,16.5,XPAR:DEC,4076359
2001-06-26,15.85,16.4,15.7,16.4,XPAR:DEC,3422307
2001-06-27,16.8,16.8,15.5,15.8,XPAR:DEC,1510720
2001-06-28,15.75,16.0,15.4,16.0,XPAR:DEC,2445382
2001-06-29,15.8,16.2,15.5,15.75,XPAR:DEC,546952
2001-07-02,15.9,17.2,15.8,17.2,XPAR:DEC,232527
2001-07-03,15.9,16.4,15.7,15.8,XPAR:DEC,217826
2001-07-04,16.13,16.25,15.8,15.9,XPAR:DEC,48974
2001-07-05,15.0,16.22,15.0,16.2,XPAR:DEC,422274
2001-07-06,13.65,15.13,13.51,15.0,XPAR:DEC,1937687
2001-07-09,14.3,14.6,13.8,14.0,XPAR:DEC,244851
2001-07-10,14.5,15.65,14.25,14.7,XPAR:DEC,231821
2001-07-11,14.7,15.1,14.3,14.77,XPAR:DEC,361409
2001-07-12,15.0,15.65,14.8,15.0,XPAR:DEC,448928
2001-07-13,15.0,15.65,14.8,15.0,XPAR:DEC,0
2001-07-16,14.9,15.0,14.8,15.0,XPAR:DEC,244462
2001-07-17,14.9,15.07,14.75,14.9,XPAR:DEC,316799
2001-07-18,14.3,15.0,14.3,15.0,XPAR:DEC,483778
2001-07-19,14.5,14.6,14.0,14.0,XPAR:DEC,187160
2001-07-20,14.15,14.75,14.05,14.42,XPAR:DEC,155155
2001-07-23,14.0,14.45,13.95,14.45,XPAR:DEC,244152
2001-07-24,14.0,14.04,13.95,14.0,XPAR:DEC,36378
2001-07-25,13.9,14.19,13.75,13.95,XPAR:DEC,291724
2001-07-26,13.5,13.99,13.5,13.85,XPAR:DEC,433567
2001-07-27,13.57,13.68,13.21,13.5,XPAR:DEC,604567
2001-07-30,13.9,14.2,13.6,13.7,XPAR:DEC,292531
2001-07-31,13.64,13.94,13.57,13.9,XPAR:DEC,545137
2001-08-01,14.17,14.2,13.6,13.9,XPAR:DEC,52025
2001-08-02,14.0,14.48,13.9,14.4,XPAR:DEC,392558
2001-08-03,14.0,15.08,13.7,14.0,XPAR:DEC,191529
2001-08-06,14.12,14.58,14.0,14.0,XPAR:DEC,294384
2001-08-07,14.5,14.59,14.18,14.18,XPAR:DEC,239535
2001-08-08,14.3,14.79,14.01,14.5,XPAR:DEC,661993
2001-08-09,13.95,14.2,13.92,14.0,XPAR:DEC,910011
2001-08-10,13.6,14.2,13.6,14.0,XPAR:DEC,296136
2001-08-13,13.75,14.3,13.7,14.3,XPAR:DEC,477380
2001-08-14,13.75,13.75,13.5,13.5,XPAR:DEC,76895
2001-08-15,13.51,13.75,13.5,13.51,XPAR:DEC,109302
2001-08-16,13.5,13.75,13.32,13.5,XPAR:DEC,99657
2001-08-17,13.0,13.59,13.0,13.5,XPAR:DEC,58865
2001-08-20,13.2,13.48,12.96,13.01,XPAR:DEC,152636
2001-08-21,13.3,13.4,13.11,13.15,XPAR:DEC,85601
2001-08-22,12.91,13.25,12.8,13.0,XPAR:DEC,180515
2001-08-23,13.0,13.0,12.9,12.9,XPAR:DEC,91381
2001-08-24,13.2,13.2,12.92,13.0,XPAR:DEC,81082
2001-08-27,13.0,13.1,12.93,13.0,XPAR:DEC,61220
2001-08-28,13.1,13.2,12.95,13.0,XPAR:DEC,402455
