Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,1.5437,1.5453,1.5437,1.5453,XPAR:DIM,7770
2000-01-04,1.53,1.5667,1.53,1.53,XPAR:DIM,50730
2000-01-05,1.53,1.53,1.53,1.53,XPAR:DIM,1320
2000-01-06,1.515,1.5453,1.4847,1.5453,XPAR:DIM,6270
2000-01-07,1.515,1.515,1.515,1.515,XPAR:DIM,2640
2000-01-10,1.509,1.515,1.509,1.515,XPAR:DIM,9420
2000-01-11,1.5423,1.5453,1.4847,1.4847,XPAR:DIM,17580
2000-01-12,1.5757,1.5757,1.53,1.53,XPAR:DIM,6600
2000-01-13,1.518,1.518,1.518,1.518,XPAR:DIM,1980
2000-01-14,1.6363,1.6363,1.5757,1.5757,XPAR:DIM,10530
2000-01-17,1.5757,1.5757,1.5757,1.5757,XPAR:DIM,3150
2000-01-18,1.5757,1.6363,1.5757,1.6363,XPAR:DIM,3300
2000-01-19,1.5633,1.6227,1.5633,1.6227,XPAR:DIM,336120
2000-01-20,1.621,1.6363,1.606,1.606,XPAR:DIM,18360
2000-01-21,1.5907,1.6363,1.5907,1.6363,XPAR:DIM,19890
2000-01-24,1.5453,1.5907,1.5453,1.5757,XPAR:DIM,8370
2000-01-25,1.524,1.5757,1.524,1.5757,XPAR:DIM,4290
2000-01-26,1.5757,1.5757,1.5453,1.5453,XPAR:DIM,2610
2000-01-27,1.5787,1.6363,1.5757,1.5757,XPAR:DIM,21870
2000-01-28,1.606,1.624,1.5757,1.5817,XPAR:DIM,59820
2000-01-31,1.6603,1.6603,1.5757,1.606,XPAR:DIM,11940
2000-02-01,1.6667,1.712,1.6667,1.712,XPAR:DIM,3360
2000-02-02,1.6667,1.6667,1.6667,1.6667,XPAR:DIM,24840
2000-02-03,1.6953,1.727,1.6817,1.6817,XPAR:DIM,20310
2000-02-04,1.7573,1.7877,1.6697,1.753,XPAR:DIM,26670
2000-02-07,1.7997,1.83,1.7573,1.7573,XPAR:DIM,16590
2000-02-08,1.7877,1.853,1.7877,1.7997,XPAR:DIM,36480
2000-02-09,1.909,1.909,1.853,1.853,XPAR:DIM,26280
2000-02-10,1.909,1.909,1.8573,1.903,XPAR:DIM,23820
2000-02-11,2.1043,2.1043,1.8787,1.903,XPAR:DIM,3058440
2000-02-14,2.318,2.318,2.1027,2.121,XPAR:DIM,51630
2000-02-15,2.3483,2.512,2.215,2.2693,XPAR:DIM,105210
2000-02-16,2.4543,2.4543,2.3423,2.424,XPAR:DIM,136530
2000-02-17,2.4453,2.4543,2.4027,2.4543,XPAR:DIM,106020
2000-02-18,2.4453,2.4453,2.421,2.424,XPAR:DIM,90840
2000-02-21,2.2727,2.3633,2.2163,2.327,XPAR:DIM,43200
2000-02-22,2.28,2.3223,2.121,2.121,XPAR:DIM,22080
2000-02-23,2.3937,2.3937,2.2877,2.2877,XPAR:DIM,37530
2000-02-24,2.4483,2.4483,2.3027,2.3027,XPAR:DIM,40530
2000-02-25,2.4483,2.4693,2.4043,2.424,XPAR:DIM,27150
2000-02-28,2.424,2.4693,2.333,2.4483,XPAR:DIM,63630
2000-02-29,2.421,2.4467,2.3543,2.439,XPAR:DIM,15540
2000-03-01,2.436,2.436,2.3787,2.421,XPAR:DIM,52620
2000-03-02,2.4330000000000003,2.439,2.4330000000000003,2.436,XPAR:DIM,14970
2000-03-03,2.4543,2.468,2.3407,2.424,XPAR:DIM,136500
2000-03-06,2.4847,2.4847,2.333,2.424,XPAR:DIM,32070
2000-03-07,2.318,2.4847,2.3027,2.4257,XPAR:DIM,15450
2000-03-08,2.424,2.424,2.212,2.3573,XPAR:DIM,13590
2000-03-09,2.3573,2.3603,2.3573,2.3603,XPAR:DIM,4080
2000-03-10,2.421,2.421,2.3603,2.3603,XPAR:DIM,3690
2000-03-13,2.3557,2.3557,2.3557,2.3557,XPAR:DIM,660
2000-03-14,2.2377,2.333,2.2377,2.333,XPAR:DIM,18660
2000-03-15,2.074,2.2423,2.074,2.2423,XPAR:DIM,6630
2000-03-16,1.909,1.909,1.909,1.909,XPAR:DIM,6600
2000-03-17,1.9393,1.9393,1.9393,1.9393,XPAR:DIM,4950
2000-03-20,1.9393,1.9693,1.9393,1.9693,XPAR:DIM,4200
2000-03-21,1.9393,1.9393,1.9393,1.9393,XPAR:DIM,2490
2000-03-22,1.9393,1.9423,1.9393,1.9423,XPAR:DIM,7260
2000-03-23,2.0603,2.0603,1.9453,1.9453,XPAR:DIM,12660
2000-03-24,2.1847,2.1847,1.9693,2.121,XPAR:DIM,14460
2000-03-27,2.3483,2.3483,2.186,2.186,XPAR:DIM,41340
2000-03-28,2.3543,2.3633,2.327,2.333,XPAR:DIM,90930
2000-03-29,2.3423,2.3633,2.3423,2.3633,XPAR:DIM,60570
2000-03-30,2.333,2.3483,2.333,2.3423,XPAR:DIM,31590
2000-03-31,2.2997,2.3027,2.218,2.3027,XPAR:DIM,41640
2000-04-03,2.2727,2.2997,2.2727,2.2877,XPAR:DIM,27600
2000-04-04,2.2573,2.2727,2.212,2.2603,XPAR:DIM,8970
2000-04-05,2.1513,2.212,2.1513,2.212,XPAR:DIM,25740
2000-04-06,2.1467,2.1467,2.0603,2.0907,XPAR:DIM,38760
2000-04-07,2.1573,2.2423,2.1467,2.1467,XPAR:DIM,7470
2000-04-10,2.212,2.2377,2.1513,2.2377,XPAR:DIM,20310
2000-04-11,2.212,2.212,2.1513,2.1543,XPAR:DIM,16500
2000-04-12,2.2423,2.2423,2.1513,2.212,XPAR:DIM,18090
2000-04-13,2.2393,2.2423,2.1513,2.2423,XPAR:DIM,3540
2000-04-14,2.1423,2.1513,2.121,2.1513,XPAR:DIM,44940
2000-04-17,2.0573,2.0907,1.9347,2.0907,XPAR:DIM,124470
2000-04-18,2.0603,2.0603,1.956,2.03,XPAR:DIM,20130
2000-04-19,2.0937,2.0937,1.9633,1.9633,XPAR:DIM,13650
2000-04-20,2.0937,2.0937,2.0937,2.0937,XPAR:DIM,30
2000-04-21,2.0937,2.0937,2.0937,2.0937,XPAR:DIM,0
2000-04-24,2.0937,2.0937,2.0937,2.0937,XPAR:DIM,0
2000-04-25,2.236,2.236,2.0603,2.0937,XPAR:DIM,5160
2000-04-26,2.212,2.212,2.1907,2.1907,XPAR:DIM,7830
2000-04-27,2.3787,2.3787,2.212,2.212,XPAR:DIM,92610
2000-04-28,2.3483,2.3633,2.2727,2.3633,XPAR:DIM,22020
2000-05-01,2.3483,2.3633,2.2727,2.3633,XPAR:DIM,0
2000-05-02,2.3483,2.3633,2.2727,2.3483,XPAR:DIM,11400
2000-05-03,2.3663,2.3663,2.3027,2.3483,XPAR:DIM,36570
2000-05-04,2.3907,2.3907,2.3347,2.3633,XPAR:DIM,17010
2000-05-05,2.3787,2.3877,2.333,2.3633,XPAR:DIM,6720
2000-05-08,2.3937,2.3937,2.3937,2.3937,XPAR:DIM,1320
2000-05-09,2.5133,2.5133,2.3103,2.3877,XPAR:DIM,38820
2000-05-10,2.424,2.5133,2.3937,2.3937,XPAR:DIM,9540
2000-05-11,2.4090000000000003,2.4090000000000003,2.318,2.4090000000000003,XPAR:DIM,10740
2000-05-12,2.4090000000000003,2.4090000000000003,2.3513,2.4090000000000003,XPAR:DIM,2160
2000-05-15,2.4633,2.489,2.421,2.421,XPAR:DIM,92730
2000-05-16,2.5133,2.515,2.4847,2.509,XPAR:DIM,42000
2000-05-17,2.5423,2.5423,2.4937,2.4937,XPAR:DIM,87480
2000-05-18,2.5453,2.5907,2.509,2.5453,XPAR:DIM,120900
2000-05-19,2.5847,2.5847,2.53,2.53,XPAR:DIM,9780
2000-05-22,2.6633,2.6663,2.6057,2.636,XPAR:DIM,212940
2000-05-23,2.6603,2.6633,2.636,2.6633,XPAR:DIM,29250
2000-05-24,2.6633,2.6663,2.5453,2.6573,XPAR:DIM,85110
2000-05-25,2.662,2.6633,2.636,2.6633,XPAR:DIM,11760
2000-05-26,2.6663,2.6663,2.6633,2.6663,XPAR:DIM,8640
2000-05-29,2.6513,2.6663,2.6513,2.6663,XPAR:DIM,3150
2000-05-30,2.6663,2.6663,2.633,2.6663,XPAR:DIM,11790
2000-05-31,2.6663,2.6663,2.536,2.6663,XPAR:DIM,13050
2000-06-01,2.5753,2.6663,2.5423,2.6663,XPAR:DIM,10290
2000-06-02,2.6937,2.7043,2.4847,2.4847,XPAR:DIM,26700
2000-06-05,2.727,2.7877,2.727,2.727,XPAR:DIM,41640
2000-06-06,2.718,2.7877,2.718,2.7877,XPAR:DIM,16410
2000-06-07,2.6983,2.7877,2.6983,2.7573,XPAR:DIM,18210
2000-06-08,2.7877,2.7877,2.7723,2.7817,XPAR:DIM,16170
2000-06-09,2.8787,2.8787,2.7877,2.7877,XPAR:DIM,54360
2000-06-12,2.8787,2.8787,2.7877,2.7877,XPAR:DIM,0
2000-06-13,2.8513,2.8787,2.8347,2.8347,XPAR:DIM,11610
2000-06-14,2.824,2.8787,2.818,2.8787,XPAR:DIM,8970
2000-06-15,2.8483,2.8633,2.821,2.824,XPAR:DIM,37620
2000-06-16,2.8483,2.8483,2.818,2.818,XPAR:DIM,4050
2000-06-19,2.8787,2.8787,2.8043,2.8483,XPAR:DIM,83490
2000-06-20,2.833,2.8483,2.818,2.8483,XPAR:DIM,1440
2000-06-21,2.833,2.833,2.818,2.833,XPAR:DIM,1020
2000-06-22,2.833,2.833,2.818,2.833,XPAR:DIM,41880
2000-06-23,2.7877,2.833,2.712,2.833,XPAR:DIM,6570
2000-06-26,2.7877,2.7877,2.6663,2.7877,XPAR:DIM,4560
2000-06-27,2.8027,2.8027,2.7877,2.7877,XPAR:DIM,16680
2000-06-28,2.7997,2.7997,2.6817,2.7997,XPAR:DIM,73260
2000-06-29,2.7573,2.7573,2.6603,2.6663,XPAR:DIM,11670
2000-06-30,2.727,2.727,2.6603,2.6603,XPAR:DIM,3960
2000-07-03,2.6543,2.727,2.6057,2.727,XPAR:DIM,5640
2000-07-04,2.5907,2.6057,2.4847,2.6057,XPAR:DIM,21870
2000-07-05,2.5753,2.5753,2.5453,2.5753,XPAR:DIM,9570
2000-07-06,2.4543,2.4997,2.4467,2.4847,XPAR:DIM,127380
2000-07-07,2.333,2.4543,2.333,2.4543,XPAR:DIM,14310
2000-07-10,2.2377,2.2727,2.212,2.2727,XPAR:DIM,17820
2000-07-11,2.3937,2.3937,2.2727,2.2727,XPAR:DIM,119370
2000-07-12,2.3937,2.3937,2.3027,2.3937,XPAR:DIM,23070
2000-07-13,2.339,2.424,2.339,2.424,XPAR:DIM,198540
2000-07-14,2.339,2.424,2.339,2.424,XPAR:DIM,0
