Date,Close,High,Low,Open,Symbol,Volume
2004-02-26,12.41,12.41,12.41,12.41,XPAR:DIREN,2000
2004-02-27,14.6,14.6,14.6,14.6,XPAR:DIREN,11500
2004-03-01,14.6,14.6,14.6,14.6,XPAR:DIREN,0
2004-03-02,14.6,14.6,14.6,14.6,XPAR:DIREN,0
2004-03-03,13.14,13.14,13.14,13.14,XPAR:DIREN,13300
2004-03-04,13.0,13.0,13.0,13.0,XPAR:DIREN,13600
2004-03-05,13.0,13.0,13.0,13.0,XPAR:DIREN,7600
2004-03-08,12.84,12.84,12.84,12.84,XPAR:DIREN,10500
2004-03-09,12.39,12.39,12.39,12.39,XPAR:DIREN,4300
2004-03-10,11.9,11.9,11.9,11.9,XPAR:DIREN,8200
2004-03-11,11.5,11.5,11.5,11.5,XPAR:DIREN,2900
2004-03-12,11.1,11.1,11.1,11.1,XPAR:DIREN,2300
2004-03-15,10.99,10.99,10.99,10.99,XPAR:DIREN,1400
2004-03-16,10.45,10.45,10.45,10.45,XPAR:DIREN,2800
2004-03-17,10.85,10.85,10.85,10.85,XPAR:DIREN,200
2004-03-18,10.5,10.5,10.5,10.5,XPAR:DIREN,2500
2004-03-19,10.25,10.25,10.25,10.25,XPAR:DIREN,2100
2004-03-22,9.5,9.5,9.5,9.5,XPAR:DIREN,500
2004-03-23,9.5,9.5,9.5,9.5,XPAR:DIREN,1400
2004-03-24,9.27,9.27,9.27,9.27,XPAR:DIREN,600
2004-03-25,9.0,9.0,9.0,9.0,XPAR:DIREN,1700
2004-03-26,8.99,8.99,8.99,8.99,XPAR:DIREN,3900
2004-03-29,9.49,9.49,9.49,9.49,XPAR:DIREN,3400
2004-03-30,9.99,9.99,9.99,9.99,XPAR:DIREN,7800
2004-03-31,10.97,10.97,10.97,10.97,XPAR:DIREN,3300
2004-04-01,10.7,10.7,10.7,10.7,XPAR:DIREN,3700
2004-04-02,10.69,10.69,10.69,10.69,XPAR:DIREN,3100
2004-04-05,10.5,10.5,10.5,10.5,XPAR:DIREN,1400
2004-04-06,10.52,10.52,10.52,10.52,XPAR:DIREN,2200
2004-04-07,10.51,10.51,10.51,10.51,XPAR:DIREN,2300
2004-04-08,10.48,10.48,10.48,10.48,XPAR:DIREN,1300
2004-04-09,10.48,10.48,10.48,10.48,XPAR:DIREN,0
2004-04-12,10.48,10.48,10.48,10.48,XPAR:DIREN,0
2004-04-13,10.3,10.3,10.3,10.3,XPAR:DIREN,1700
2004-04-14,10.22,10.22,10.22,10.22,XPAR:DIREN,300
2004-04-15,10.5,10.5,10.5,10.5,XPAR:DIREN,700
2004-04-16,10.6,10.6,10.6,10.6,XPAR:DIREN,300
2004-04-19,11.0,11.0,11.0,11.0,XPAR:DIREN,2200
2004-04-20,10.45,10.45,10.45,10.45,XPAR:DIREN,5100
2004-04-21,11.48,11.48,11.48,11.48,XPAR:DIREN,2200
2004-04-22,12.24,12.24,12.24,12.24,XPAR:DIREN,900
2004-04-23,12.25,12.25,12.25,12.25,XPAR:DIREN,2200
2004-04-26,12.0,12.0,12.0,12.0,XPAR:DIREN,2500
2004-04-27,12.0,12.0,12.0,12.0,XPAR:DIREN,400
2004-04-28,12.02,12.02,12.02,12.02,XPAR:DIREN,4700
2004-04-29,12.39,12.39,12.39,12.39,XPAR:DIREN,1300
2004-04-30,12.39,12.39,12.39,12.39,XPAR:DIREN,500
2004-05-03,12.4,12.4,12.4,12.4,XPAR:DIREN,1100
2004-05-04,12.4,12.4,12.4,12.4,XPAR:DIREN,1400
2004-05-05,12.0,12.0,12.0,12.0,XPAR:DIREN,600
2004-05-06,11.62,11.62,11.62,11.62,XPAR:DIREN,800
2004-05-07,11.95,11.95,11.95,11.95,XPAR:DIREN,100
2004-05-10,12.0,12.0,12.0,12.0,XPAR:DIREN,600
2004-05-11,12.0,12.0,12.0,12.0,XPAR:DIREN,500
2004-05-12,12.0,12.0,12.0,12.0,XPAR:DIREN,800
2004-05-13,11.9,11.9,11.9,11.9,XPAR:DIREN,300
2004-05-14,11.99,11.99,11.99,11.99,XPAR:DIREN,1000
2004-05-17,11.98,11.98,11.98,11.98,XPAR:DIREN,400
2004-05-18,11.85,11.85,11.85,11.85,XPAR:DIREN,300
2004-05-19,11.85,11.85,11.85,11.85,XPAR:DIREN,500
2004-05-20,11.85,11.85,11.85,11.85,XPAR:DIREN,500
2004-05-21,11.75,11.75,11.75,11.75,XPAR:DIREN,600
2004-05-24,11.9,11.9,11.9,11.9,XPAR:DIREN,100
2004-05-25,11.9,11.9,11.9,11.9,XPAR:DIREN,300
2004-05-26,12.0,12.0,12.0,12.0,XPAR:DIREN,84
2004-05-27,11.85,11.85,11.85,11.85,XPAR:DIREN,1300
2004-05-28,11.68,11.68,11.68,11.68,XPAR:DIREN,1000
2004-05-31,11.99,11.99,11.99,11.99,XPAR:DIREN,100
2004-06-01,10.8,10.8,10.8,10.8,XPAR:DIREN,800
2004-06-02,11.2,11.69,11.2,11.69,XPAR:DIREN,0
2004-06-03,11.88,11.88,11.88,11.88,XPAR:DIREN,600
2004-06-04,11.95,11.95,11.95,11.95,XPAR:DIREN,50
2004-06-07,11.89,11.89,11.89,11.89,XPAR:DIREN,100
2004-06-08,11.9,11.9,11.9,11.9,XPAR:DIREN,600
2004-06-09,11.9,11.9,11.9,11.9,XPAR:DIREN,300
2004-06-10,11.8,11.8,11.8,11.8,XPAR:DIREN,1800
2004-06-11,11.9,11.9,11.9,11.9,XPAR:DIREN,2600
2004-06-14,11.79,11.79,11.79,11.79,XPAR:DIREN,3700
2004-06-15,11.85,11.85,11.85,11.85,XPAR:DIREN,1200
2004-06-16,12.2,12.2,12.2,12.2,XPAR:DIREN,3400
2004-06-17,12.05,12.05,12.05,12.05,XPAR:DIREN,4700
2004-06-18,12.1,12.1,12.1,12.1,XPAR:DIREN,2700
2004-06-21,12.29,12.29,12.29,12.29,XPAR:DIREN,3300
2004-06-22,12.29,12.29,12.29,12.29,XPAR:DIREN,1400
2004-06-23,12.3,12.3,12.3,12.3,XPAR:DIREN,1300
2004-06-24,12.5,12.5,12.5,12.5,XPAR:DIREN,5700
2004-06-25,12.6,12.6,12.6,12.6,XPAR:DIREN,2200
2004-06-28,12.7,12.7,12.7,12.7,XPAR:DIREN,7300
