Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,5.5125,5.5125,5.5125,5.5125,XPAR:DLTA,20
2000-01-04,5.375,5.5,5.375,5.5,XPAR:DLTA,1048
2000-01-05,5.375,5.45,5.375,5.45,XPAR:DLTA,1860
2000-01-06,5.375,5.375,5.375,5.375,XPAR:DLTA,1400
2000-01-07,5.375,5.45,5.375,5.45,XPAR:DLTA,520
2000-01-10,5.45,5.45,5.45,5.45,XPAR:DLTA,160
2000-01-11,5.375,5.375,5.375,5.375,XPAR:DLTA,2500
2000-01-12,5.25,5.25,5.25,5.25,XPAR:DLTA,3840
2000-01-13,4.9775,4.9775,4.9775,4.9775,XPAR:DLTA,2248
2000-01-14,5.0,5.0,4.7775,4.7775,XPAR:DLTA,1260
2000-01-17,5.0,5.0,5.0,5.0,XPAR:DLTA,2100
2000-01-18,4.75,4.75,4.75,4.75,XPAR:DLTA,100
2000-01-19,4.75,4.75,4.75,4.75,XPAR:DLTA,900
2000-01-20,4.875,4.875,4.875,4.875,XPAR:DLTA,40
2000-01-21,4.875,4.875,4.875,4.875,XPAR:DLTA,40
2000-01-24,4.75,4.75,4.75,4.75,XPAR:DLTA,200
2000-01-25,4.75,4.75,4.75,4.75,XPAR:DLTA,1060
2000-01-26,4.85,4.85,4.85,4.85,XPAR:DLTA,40
2000-01-27,5.0,5.0,5.0,5.0,XPAR:DLTA,40
2000-01-28,4.75,4.75,4.75,4.75,XPAR:DLTA,3980
2000-01-31,4.8,4.8,4.775,4.775,XPAR:DLTA,24
2000-02-01,5.0,5.0,5.0,5.0,XPAR:DLTA,520
2000-02-02,5.0,5.0,5.0,5.0,XPAR:DLTA,100
2000-02-03,5.0,5.0,5.0,5.0,XPAR:DLTA,12
2000-02-04,5.0,5.0,4.9975,4.9975,XPAR:DLTA,820
2000-02-07,5.0,5.0,5.0,5.0,XPAR:DLTA,80
2000-02-08,5.0,5.0,5.0,5.0,XPAR:DLTA,60
2000-02-09,5.0,5.0,5.0,5.0,XPAR:DLTA,312
2000-02-10,4.9925,5.0,4.9925,5.0,XPAR:DLTA,280
2000-02-11,5.0,5.0,5.0,5.0,XPAR:DLTA,2300
2000-02-14,5.0,5.0,5.0,5.0,XPAR:DLTA,4284
2000-02-15,4.5125,4.5125,4.5125,4.5125,XPAR:DLTA,3000
2000-02-16,4.75,4.75,4.525,4.525,XPAR:DLTA,2804
2000-02-17,4.95,4.95,4.875,4.875,XPAR:DLTA,520
2000-02-18,4.88,4.88,4.88,4.88,XPAR:DLTA,600
2000-02-21,5.3625,5.3625,5.3625,5.3625,XPAR:DLTA,14272
2000-02-22,5.2,5.2,5.2,5.2,XPAR:DLTA,2920
2000-02-23,5.125,5.1875,5.125,5.1875,XPAR:DLTA,4460
2000-02-24,5.025,5.125,5.025,5.125,XPAR:DLTA,9560
2000-02-25,5.025,5.025,5.025,5.025,XPAR:DLTA,8960
2000-02-28,5.0,5.05,5.0,5.05,XPAR:DLTA,5256
2000-02-29,4.975,4.975,4.975,4.975,XPAR:DLTA,760
2000-03-01,4.6375,4.75,4.6375,4.75,XPAR:DLTA,1952
2000-03-02,4.625,4.625,4.625,4.625,XPAR:DLTA,9508
2000-03-03,4.6875,4.7,4.6875,4.7,XPAR:DLTA,9360
2000-03-06,4.675,4.675,4.675,4.675,XPAR:DLTA,20468
2000-03-07,4.75,4.75,4.75,4.75,XPAR:DLTA,600
2000-03-08,4.625,4.625,4.625,4.625,XPAR:DLTA,4624
2000-03-09,4.5,4.5,4.5,4.5,XPAR:DLTA,5280
2000-03-10,4.5,4.5,4.5,4.5,XPAR:DLTA,2200
2000-03-13,4.625,4.625,4.5,4.5,XPAR:DLTA,360
2000-03-14,4.5,4.5,4.5,4.5,XPAR:DLTA,800
2000-03-15,4.3375,4.3375,4.3,4.3,XPAR:DLTA,1240
2000-03-16,4.34,4.34,4.34,4.34,XPAR:DLTA,20
2000-03-17,4.45,4.45,4.45,4.45,XPAR:DLTA,24
