Date,Close,High,Low,Open,Symbol,Volume
2004-07-12,9.4,9.4,8.95,9.1,XPAR:ECASA,29705
2004-07-13,9.3,9.39,9.25,9.39,XPAR:ECASA,24325
2004-07-14,9.25,9.25,9.08,9.25,XPAR:ECASA,10795
2004-07-15,9.0,9.2,8.9,9.2,XPAR:ECASA,12971
2004-07-16,8.56,9.0,8.5,9.0,XPAR:ECASA,9535
2004-07-19,8.6,8.75,8.6,8.75,XPAR:ECASA,3022
2004-07-20,8.9,9.0,8.6,8.6,XPAR:ECASA,6526
2004-07-21,8.95,9.0,8.95,9.0,XPAR:ECASA,2050
2004-07-22,8.95,8.95,8.75,8.95,XPAR:ECASA,975
2004-07-23,8.95,8.95,8.6,8.95,XPAR:ECASA,3456
2004-07-26,8.7,8.85,8.7,8.85,XPAR:ECASA,50
2004-07-27,8.85,8.85,8.85,8.85,XPAR:ECASA,55
2004-07-28,8.85,8.85,8.65,8.66,XPAR:ECASA,438
2004-07-29,8.75,8.85,8.6,8.85,XPAR:ECASA,2256
2004-07-30,8.85,8.85,8.65,8.85,XPAR:ECASA,1110
2004-08-02,8.6,9.0,8.6,9.0,XPAR:ECASA,1305
2004-08-03,8.8,8.85,8.6,8.85,XPAR:ECASA,395
2004-08-04,8.8,8.84,8.6,8.84,XPAR:ECASA,1606
2004-08-05,8.85,8.85,8.83,8.83,XPAR:ECASA,782
2004-08-06,8.67,8.85,8.67,8.85,XPAR:ECASA,201
2004-08-09,8.85,8.85,8.85,8.85,XPAR:ECASA,30
2004-08-10,8.85,8.85,8.65,8.65,XPAR:ECASA,102
2004-08-11,8.65,8.65,8.55,8.65,XPAR:ECASA,351
2004-08-12,8.45,8.53,8.45,8.53,XPAR:ECASA,820
2004-08-13,8.49,8.49,8.49,8.49,XPAR:ECASA,1
2004-08-16,8.34,8.34,8.02,8.03,XPAR:ECASA,2250
2004-08-17,8.29,8.29,8.02,8.29,XPAR:ECASA,250
2004-08-18,8.24,8.24,8.24,8.24,XPAR:ECASA,300
2004-08-19,8.3,8.3,8.25,8.25,XPAR:ECASA,1000
2004-08-20,8.3,8.3,8.3,8.3,XPAR:ECASA,1700
2004-08-23,8.3,8.3,8.3,8.3,XPAR:ECASA,111
2004-08-24,8.29,8.3,8.1,8.2,XPAR:ECASA,561
2004-08-25,8.3,8.3,8.25,8.25,XPAR:ECASA,1301
2004-08-26,8.3,8.4,8.25,8.25,XPAR:ECASA,3500
2004-08-27,8.3,8.3,8.15,8.3,XPAR:ECASA,630
2004-08-30,8.3,8.3,8.11,8.2,XPAR:ECASA,770
2004-08-31,8.5,8.5,8.3,8.3,XPAR:ECASA,5380
2004-09-01,8.6,8.98,8.6,8.98,XPAR:ECASA,724
2004-09-02,8.72,8.72,8.65,8.72,XPAR:ECASA,700
2004-09-03,8.75,8.75,8.6,8.6,XPAR:ECASA,2016
2004-09-06,8.63,8.8,8.61,8.7,XPAR:ECASA,3180
2004-09-07,8.7,8.8,8.65,8.65,XPAR:ECASA,3700
2004-09-08,8.81,8.81,8.7,8.8,XPAR:ECASA,1580
2004-09-09,8.75,8.75,8.67,8.67,XPAR:ECASA,1200
2004-09-10,8.74,8.74,8.74,8.74,XPAR:ECASA,260
2004-09-13,8.9,8.9,8.9,8.9,XPAR:ECASA,20
2004-09-14,8.8,8.8,8.8,8.8,XPAR:ECASA,50
2004-09-15,8.88,8.88,8.67,8.67,XPAR:ECASA,400
2004-09-16,8.74,8.74,8.6,8.62,XPAR:ECASA,1226
2004-09-17,8.5,8.7,8.5,8.7,XPAR:ECASA,304
2004-09-20,8.5,8.5,8.5,8.5,XPAR:ECASA,870
2004-09-21,8.5,8.5,8.11,8.5,XPAR:ECASA,527
2004-09-22,8.49,8.49,8.49,8.49,XPAR:ECASA,1
2004-09-23,8.6,8.7,8.45,8.49,XPAR:ECASA,4629
2004-09-24,8.5,8.69,8.26,8.69,XPAR:ECASA,1273
2004-09-27,8.89,8.89,8.66,8.7,XPAR:ECASA,10599
2004-09-28,8.84,8.84,8.72,8.79,XPAR:ECASA,2480
2004-09-29,8.98,9.0,8.61,8.83,XPAR:ECASA,33532
2004-09-30,8.99,8.99,8.85,8.85,XPAR:ECASA,1570
2004-10-01,8.89,8.89,8.75,8.75,XPAR:ECASA,2560
2004-10-04,8.99,8.99,8.85,8.89,XPAR:ECASA,1334
2004-10-05,8.89,8.97,8.82,8.97,XPAR:ECASA,2668
2004-10-06,8.88,8.88,8.88,8.88,XPAR:ECASA,230
2004-10-07,8.89,8.89,8.85,8.85,XPAR:ECASA,500
2004-10-08,8.88,8.88,8.88,8.88,XPAR:ECASA,512
2004-10-11,8.75,8.82,8.75,8.82,XPAR:ECASA,2762
2004-10-12,8.79,8.79,8.6,8.7,XPAR:ECASA,3187
2004-10-13,8.6,8.78,8.6,8.78,XPAR:ECASA,1093
2004-10-14,8.54,8.7,8.2,8.6,XPAR:ECASA,4048
2004-10-15,8.59,8.65,8.05,8.65,XPAR:ECASA,1684
2004-10-18,8.58,8.62,8.56,8.6,XPAR:ECASA,14105
2004-10-19,9.0,9.0,8.4,8.55,XPAR:ECASA,45568
2004-10-20,9.38,9.38,9.0,9.05,XPAR:ECASA,13340
2004-10-21,9.36,9.38,9.35,9.35,XPAR:ECASA,1435
2004-10-22,9.34,9.35,9.0,9.35,XPAR:ECASA,8362
2004-10-25,9.2,9.29,9.05,9.29,XPAR:ECASA,9423
2004-10-26,9.2,9.2,8.95,9.2,XPAR:ECASA,3813
2004-10-27,9.23,9.23,9.1,9.1,XPAR:ECASA,3750
2004-10-28,9.2,9.23,9.2,9.23,XPAR:ECASA,427
2004-10-29,9.2,9.3,9.16,9.2,XPAR:ECASA,23343
2004-11-01,9.32,9.34,9.3,9.34,XPAR:ECASA,850
2004-11-02,9.28,9.34,9.12,9.34,XPAR:ECASA,479
2004-11-03,9.36,9.36,9.25,9.28,XPAR:ECASA,10069
2004-11-04,9.3,9.3,9.15,9.3,XPAR:ECASA,1905
2004-11-05,9.3,9.3,9.25,9.28,XPAR:ECASA,815
2004-11-08,9.38,9.43,9.3,9.3,XPAR:ECASA,8075
2004-11-09,9.3,9.34,9.3,9.34,XPAR:ECASA,5860
2004-11-10,9.6,9.65,9.37,9.39,XPAR:ECASA,21167
2004-11-11,9.5,9.5,9.45,9.45,XPAR:ECASA,1613
2004-11-12,9.45,9.6,9.45,9.6,XPAR:ECASA,1732
2004-11-15,9.59,9.6,9.5,9.6,XPAR:ECASA,3029
2004-11-16,9.55,9.59,9.5,9.59,XPAR:ECASA,900
2004-11-17,9.55,9.59,9.5,9.55,XPAR:ECASA,1963
2004-11-18,9.69,9.69,9.5,9.59,XPAR:ECASA,25576
2004-11-19,9.58,9.69,9.55,9.69,XPAR:ECASA,4682
2004-11-22,9.7,9.7,9.5,9.69,XPAR:ECASA,5157
2004-11-23,9.69,9.74,9.65,9.74,XPAR:ECASA,3095
2004-11-24,9.74,9.74,9.6,9.68,XPAR:ECASA,1427
2004-11-25,9.69,9.69,9.6,9.6,XPAR:ECASA,1290
2004-11-26,9.68,9.68,9.58,9.58,XPAR:ECASA,1327
2004-11-29,9.6,9.6,9.16,9.6,XPAR:ECASA,5212
2004-11-30,9.4,9.6,9.4,9.6,XPAR:ECASA,600
2004-12-01,9.58,9.58,9.3,9.5,XPAR:ECASA,578
2004-12-02,9.6,9.6,9.4,9.4,XPAR:ECASA,950
2004-12-03,9.5,9.5,9.5,9.5,XPAR:ECASA,200
2004-12-06,9.5,9.6,9.5,9.6,XPAR:ECASA,596
2004-12-07,9.75,9.8,9.45,9.5,XPAR:ECASA,19949
2004-12-08,9.7,9.75,9.6,9.7,XPAR:ECASA,7257
2004-12-09,9.79,9.79,9.55,9.7,XPAR:ECASA,3150
2004-12-10,9.56,9.79,9.56,9.61,XPAR:ECASA,11700
2004-12-13,9.6,9.8,9.59,9.6,XPAR:ECASA,6432
2004-12-14,9.6,9.65,9.5,9.6,XPAR:ECASA,9049
2004-12-15,9.65,9.69,9.51,9.6,XPAR:ECASA,6484
2004-12-16,9.79,9.79,9.6,9.65,XPAR:ECASA,12691
2004-12-17,10.05,10.2,9.79,9.79,XPAR:ECASA,53904
2004-12-20,10.9,11.35,10.71,10.8,XPAR:ECASA,44189
2004-12-21,10.6,10.89,10.6,10.89,XPAR:ECASA,3420
2004-12-22,10.5,10.64,10.32,10.6,XPAR:ECASA,7524
2004-12-23,10.6,10.6,10.3,10.55,XPAR:ECASA,8254
2004-12-24,10.41,10.8,10.31,10.31,XPAR:ECASA,945
2004-12-27,10.7,10.79,10.45,10.79,XPAR:ECASA,5318
2004-12-28,10.58,10.78,10.5,10.69,XPAR:ECASA,9972
2004-12-29,10.5,10.79,10.5,10.65,XPAR:ECASA,10321
2004-12-30,10.89,10.89,10.54,10.59,XPAR:ECASA,7676
2004-12-31,11.0,11.0,10.76,10.89,XPAR:ECASA,25976
2005-01-03,10.9,11.05,10.79,11.05,XPAR:ECASA,17444
2005-01-04,10.67,10.98,10.67,10.97,XPAR:ECASA,11849
2005-01-05,10.89,10.89,10.75,10.85,XPAR:ECASA,4669
2005-01-06,10.85,11.0,10.85,10.95,XPAR:ECASA,27577
2005-01-07,10.71,10.97,10.59,10.97,XPAR:ECASA,14380
2005-01-10,11.9,11.9,10.91,10.99,XPAR:ECASA,31621
2005-01-11,12.05,12.5,12.0,12.08,XPAR:ECASA,34111
2005-01-12,9.35,10.0,9.06,9.8,XPAR:ECASA,275938
2005-01-13,9.63,9.77,9.43,9.68,XPAR:ECASA,74233
2005-01-14,10.09,10.24,9.6,9.77,XPAR:ECASA,104164
2005-01-17,10.14,10.22,10.05,10.2,XPAR:ECASA,32836
2005-01-18,10.02,10.12,10.0,10.12,XPAR:ECASA,16365
2005-01-19,9.95,10.13,9.77,10.12,XPAR:ECASA,33979
2005-01-20,9.86,9.99,9.75,9.99,XPAR:ECASA,12801
2005-01-21,9.7,9.9,9.55,9.75,XPAR:ECASA,28097
2005-01-24,9.6,9.68,9.54,9.6,XPAR:ECASA,11403
2005-01-25,9.75,9.84,9.6,9.6,XPAR:ECASA,11448
2005-01-26,9.63,9.8,9.57,9.75,XPAR:ECASA,14894
2005-01-27,9.64,9.64,9.51,9.64,XPAR:ECASA,14407
2005-01-28,9.75,9.8,9.6,9.6,XPAR:ECASA,8212
2005-01-31,9.7,9.79,9.6,9.79,XPAR:ECASA,11165
2005-02-01,9.75,9.75,9.61,9.72,XPAR:ECASA,11596
2005-02-02,9.7,9.72,9.67,9.7,XPAR:ECASA,7149
2005-02-03,9.67,9.72,9.66,9.7,XPAR:ECASA,5426
2005-02-04,9.67,9.7,9.61,9.66,XPAR:ECASA,6412
2005-02-07,9.6,9.7,9.51,9.7,XPAR:ECASA,19244
2005-02-08,9.71,9.75,9.62,9.62,XPAR:ECASA,38093
2005-02-09,9.75,9.76,9.71,9.75,XPAR:ECASA,12187
2005-02-10,9.69,9.69,9.5,9.63,XPAR:ECASA,30918
2005-02-11,9.73,9.75,9.62,9.7,XPAR:ECASA,21720
2005-02-14,9.97,9.97,9.72,9.74,XPAR:ECASA,33265
2005-02-15,10.24,10.29,9.99,9.99,XPAR:ECASA,29230
2005-02-16,10.3,10.3,10.12,10.25,XPAR:ECASA,18088
2005-02-17,10.35,10.36,10.25,10.35,XPAR:ECASA,11797
