Date,Close,High,Low,Open,Symbol,Volume
2010-07-01,14.8,14.935,13.0,13.0,XPAR:EDEN,16304873
2010-07-02,14.8,14.935,13.0,13.0,XPAR:EDEN,16304873
2010-07-05,13.61,14.925,13.59,14.27,XPAR:EDEN,6494607
2010-07-06,13.85,14.465,13.64,13.87,XPAR:EDEN,1429400
2010-07-07,14.0,14.3,13.2,13.8,XPAR:EDEN,1569733
2010-07-08,13.75,14.185,13.605,13.675,XPAR:EDEN,973969
2010-07-09,13.92,14.2,13.89,13.975,XPAR:EDEN,675494
2010-07-12,13.98,14.13,13.75,13.875,XPAR:EDEN,911893
2010-07-13,13.92,14.07,13.85,14.07,XPAR:EDEN,648854
2010-07-14,13.9,14.1,13.815,14.005,XPAR:EDEN,445701
2010-07-15,13.735,13.915,13.375,13.895,XPAR:EDEN,770857
2010-07-16,13.12,13.79,13.12,13.79,XPAR:EDEN,901017
2010-07-19,13.3,13.67,13.2,13.24,XPAR:EDEN,982589
2010-07-20,13.995,14.09,13.505,13.505,XPAR:EDEN,1018898
2010-07-21,14.0,14.24,13.9,14.2,XPAR:EDEN,728443
2010-07-22,14.015,14.085,13.75,14.0,XPAR:EDEN,385509
2010-07-23,13.55,14.12,13.55,13.7,XPAR:EDEN,428497
2010-07-26,13.52,13.64,13.5,13.5,XPAR:EDEN,736524
2010-07-27,13.69,13.835,13.5,13.505,XPAR:EDEN,610179
2010-07-28,13.585,13.795,13.51,13.525,XPAR:EDEN,414535
2010-07-29,13.5,13.695,13.5,13.57,XPAR:EDEN,311049
2010-07-30,13.5,13.6,13.5,13.5,XPAR:EDEN,568487
2010-08-02,13.625,13.82,13.45,13.5,XPAR:EDEN,489517
2010-08-03,13.5,13.65,13.26,13.53,XPAR:EDEN,432282
2010-08-04,13.61,13.61,13.355,13.37,XPAR:EDEN,414597
2010-08-05,13.36,13.785,13.32,13.645,XPAR:EDEN,591565
2010-08-06,13.32,13.45,13.25,13.45,XPAR:EDEN,415419
2010-08-09,13.21,13.35,13.15,13.285,XPAR:EDEN,337020
2010-08-10,13.14,13.305,13.1,13.2,XPAR:EDEN,225758
2010-08-11,13.025,13.17,13.0,13.1,XPAR:EDEN,815047
2010-08-12,13.03,13.13,13.01,13.01,XPAR:EDEN,320913
2010-08-13,13.365,13.485,13.055,13.065,XPAR:EDEN,286293
2010-08-16,13.2,13.345,13.045,13.345,XPAR:EDEN,380041
2010-08-17,13.325,13.33,13.115,13.2,XPAR:EDEN,354614
2010-08-18,13.365,13.63,13.15,13.2,XPAR:EDEN,364637
2010-08-19,13.66,13.835,13.38,13.38,XPAR:EDEN,295871
2010-08-20,13.97,14.0,13.69,13.75,XPAR:EDEN,521271
2010-08-23,13.875,14.02,13.7,14.0,XPAR:EDEN,429718
2010-08-24,13.81,13.815,13.555,13.73,XPAR:EDEN,328574
2010-08-25,13.58,13.93,13.15,13.8,XPAR:EDEN,729660
2010-08-26,13.68,13.695,13.33,13.55,XPAR:EDEN,444034
2010-08-27,13.675,13.81,13.465,13.54,XPAR:EDEN,214391
2010-08-30,13.76,13.9,13.585,13.65,XPAR:EDEN,192864
2010-08-31,13.6,13.76,13.5,13.76,XPAR:EDEN,453881
