Date,Close,High,Low,Open,Symbol,Volume
2000-05-02,57.05,58.6,55.5,58.5,XPAR:ELE,370640
2000-05-03,57.2,58.1,55.75,55.8,XPAR:ELE,151335
2000-05-04,58.0,58.45,56.0,57.2,XPAR:ELE,147857
2000-05-05,58.0,58.25,57.0,57.0,XPAR:ELE,106750
2000-05-08,57.4,58.5,55.5,58.5,XPAR:ELE,108618
2000-05-09,56.0,57.95,55.5,57.0,XPAR:ELE,34829
2000-05-10,54.0,55.75,53.0,53.0,XPAR:ELE,36727
2000-05-11,52.9,54.45,52.05,53.05,XPAR:ELE,24230
2000-05-12,55.0,55.0,52.2,52.5,XPAR:ELE,65127
2000-05-15,55.0,56.25,54.9,56.0,XPAR:ELE,18968
2000-05-16,54.5,55.0,53.7,55.0,XPAR:ELE,15709
2000-05-17,54.0,54.5,53.5,54.5,XPAR:ELE,18213
2000-05-18,56.0,57.0,54.2,54.5,XPAR:ELE,84517
2000-05-19,56.0,56.4,55.65,56.0,XPAR:ELE,71565
2000-05-22,54.6,55.8,53.0,53.5,XPAR:ELE,21950
2000-05-23,53.0,54.25,52.6,53.0,XPAR:ELE,10390
2000-05-24,53.5,53.5,50.1,52.6,XPAR:ELE,91109
2000-05-25,53.5,56.05,52.8,55.0,XPAR:ELE,29996
2000-05-26,53.4,54.5,53.35,54.0,XPAR:ELE,52195
2000-05-29,54.0,54.1,53.4,53.4,XPAR:ELE,6822
2000-05-30,54.4,54.4,53.15,53.4,XPAR:ELE,12234
2000-05-31,52.5,54.0,52.0,54.0,XPAR:ELE,40113
2000-06-01,51.6,52.5,51.0,52.0,XPAR:ELE,11999
2000-06-02,51.3,52.0,51.15,51.85,XPAR:ELE,7682
2000-06-05,52.0,52.65,51.6,51.8,XPAR:ELE,25267
2000-06-06,52.0,52.85,51.85,52.85,XPAR:ELE,22705
2000-06-07,53.15,54.0,52.0,52.0,XPAR:ELE,28780
2000-06-08,54.0,54.35,52.1,52.1,XPAR:ELE,50137
2000-06-09,54.0,54.0,52.85,52.85,XPAR:ELE,15332
2000-06-12,54.0,54.0,54.0,54.0,XPAR:ELE,0
2000-06-13,54.7,54.7,53.5,54.0,XPAR:ELE,30783
2000-06-14,54.5,54.9,53.5,53.5,XPAR:ELE,27524
2000-06-15,53.1,54.5,53.1,54.0,XPAR:ELE,51200
2000-06-16,52.9,54.0,52.9,53.3,XPAR:ELE,59638
2000-06-19,52.9,53.35,52.2,52.25,XPAR:ELE,9474
2000-06-20,52.9,53.0,52.4,52.4,XPAR:ELE,42444
2000-06-21,52.0,53.5,51.85,53.2,XPAR:ELE,92365
2000-06-22,51.4,51.75,48.5,51.5,XPAR:ELE,73417
2000-06-23,49.0,50.8,47.6,48.5,XPAR:ELE,32484
2000-06-26,50.0,51.7,48.5,49.0,XPAR:ELE,52125
2000-06-27,51.0,53.0,49.8,50.0,XPAR:ELE,40630
2000-06-28,50.5,51.95,50.35,51.05,XPAR:ELE,6114
2000-06-29,50.0,51.3,49.5,50.2,XPAR:ELE,10356
2000-06-30,49.99,50.0,49.4,50.0,XPAR:ELE,7062
2000-07-03,48.0,53.0,47.1,51.0,XPAR:ELE,40123
2000-07-04,48.0,50.6,47.4,50.0,XPAR:ELE,52394
2000-07-05,48.24,48.7,48.0,48.0,XPAR:ELE,94736
2000-07-06,49.0,49.25,47.45,48.0,XPAR:ELE,101567
2000-07-07,52.0,52.0,49.0,49.5,XPAR:ELE,37104
2000-07-10,52.9,52.9,50.7,52.0,XPAR:ELE,23567
2000-07-11,54.5,54.5,51.0,51.0,XPAR:ELE,34409
2000-07-12,54.0,55.0,53.5,53.5,XPAR:ELE,63449
2000-07-13,54.0,54.0,52.35,53.5,XPAR:ELE,60692
2000-07-14,54.0,54.0,54.0,54.0,XPAR:ELE,0
2000-07-17,54.5,54.5,51.65,51.65,XPAR:ELE,6525
2000-07-18,54.0,54.5,52.6,53.2,XPAR:ELE,23674
2000-07-19,53.5,54.0,53.15,54.0,XPAR:ELE,24688
2000-07-20,54.0,54.0,53.0,53.0,XPAR:ELE,25789
