Date,Close,High,Low,Open,Symbol,Volume
2000-03-27,5.2792,5.2792,5.2792,5.2792,XPAR:EMG,297962
2000-03-28,5.2294,5.2294,5.2294,5.2294,XPAR:EMG,7858
2000-03-29,5.0601,5.0601,5.0601,5.0601,XPAR:EMG,6421
2000-03-30,5.08,5.08,5.08,5.08,XPAR:EMG,5461
2000-03-31,5.1796,5.1796,5.1796,5.1796,XPAR:EMG,768
2000-04-03,5.4685,5.4685,5.4685,5.4685,XPAR:EMG,1626
2000-04-04,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,1281
2000-04-05,5.1995,5.1995,5.1995,5.1995,XPAR:EMG,602
2000-04-06,5.08,5.08,5.08,5.08,XPAR:EMG,1198
2000-04-07,5.4286,5.4286,5.4286,5.4286,XPAR:EMG,60
2000-04-10,5.3688,5.3688,5.3688,5.3688,XPAR:EMG,572
2000-04-11,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,210
2000-04-12,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,742
2000-04-13,5.3688,5.3688,5.3688,5.3688,XPAR:EMG,200
2000-04-14,5.319,5.319,5.319,5.319,XPAR:EMG,140
2000-04-17,5.0999,5.0999,5.0999,5.0999,XPAR:EMG,261
2000-04-18,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,720
2000-04-19,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,275
2000-04-20,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,1160
2000-04-21,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,0
2000-04-24,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,0
2000-04-25,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,961
2000-04-26,5.08,5.08,5.08,5.08,XPAR:EMG,100
2000-04-27,5.0302,5.0302,5.0302,5.0302,XPAR:EMG,100
2000-04-28,5.2792,5.2792,5.2792,5.2792,XPAR:EMG,41
2000-05-01,5.2792,5.2792,5.2792,5.2792,XPAR:EMG,0
2000-05-02,5.08,5.08,5.08,5.08,XPAR:EMG,262
2000-05-03,5.329,5.329,5.329,5.329,XPAR:EMG,10
2000-05-04,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,1096
2000-05-05,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,1
2000-05-08,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,60
2000-05-09,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,0
2000-05-10,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,108
2000-05-11,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,2
2000-05-12,5.3589,5.3589,5.3589,5.3589,XPAR:EMG,60
2000-05-15,5.3389999999999995,5.3389999999999995,5.3389999999999995,5.3389999999999995,XPAR:EMG,1
2000-05-16,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,501
2000-05-17,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,2
2000-05-18,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,1
2000-05-19,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,50
2000-05-22,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,45
2000-05-23,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,25
2000-05-24,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,210
2000-05-25,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,1
2000-05-26,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,1
2000-05-29,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,1
2000-05-30,5.3589,5.3589,5.3589,5.3589,XPAR:EMG,100
2000-05-31,5.3788,5.3788,5.3788,5.3788,XPAR:EMG,803
2000-06-01,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,301
2000-06-02,4.9704,4.9704,4.9704,4.9704,XPAR:EMG,1
2000-06-05,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,1
2000-06-06,4.9804,4.9804,4.9804,4.9804,XPAR:EMG,1
