Date,Close,High,Low,Open,Symbol,Volume
2000-07-06,21.01,21.01,19.1,19.1,XPAR:EOS,69541
2000-07-07,19.5,21.01,19.5,21.01,XPAR:EOS,38073
2000-07-10,19.0,19.0,18.6,18.6,XPAR:EOS,14071
2000-07-11,19.0,19.0,19.0,19.0,XPAR:EOS,11918
2000-07-12,20.2,20.2,20.0,20.0,XPAR:EOS,9595
2000-07-13,21.5,21.84,21.5,21.84,XPAR:EOS,3917
2000-07-14,21.5,21.5,21.5,21.5,XPAR:EOS,0
2000-07-17,20.8,21.9,20.8,21.9,XPAR:EOS,1769
2000-07-18,21.0,21.49,21.0,21.49,XPAR:EOS,8759
2000-07-19,20.0,20.6,20.0,20.6,XPAR:EOS,1310
2000-07-20,19.95,19.99,19.95,19.99,XPAR:EOS,1400
2000-07-21,19.9,19.9,19.51,19.51,XPAR:EOS,280
2000-07-24,20.0,20.0,19.51,19.51,XPAR:EOS,2810
2000-07-25,21.0,21.0,20.0,20.0,XPAR:EOS,12135
2000-07-26,22.9,22.9,21.51,21.51,XPAR:EOS,3484
2000-07-27,22.85,22.9,22.85,22.9,XPAR:EOS,926
2000-07-28,21.6,22.0,21.6,22.0,XPAR:EOS,790
2000-07-31,22.0,22.0,22.0,22.0,XPAR:EOS,680
2000-08-01,21.95,21.99,21.95,21.99,XPAR:EOS,240
2000-08-02,20.0,21.95,20.0,21.95,XPAR:EOS,260
2000-08-03,20.0,21.5,20.0,21.5,XPAR:EOS,110
2000-08-04,20.0,21.5,20.0,21.5,XPAR:EOS,60
2000-08-07,20.9,20.9,20.9,20.9,XPAR:EOS,110
2000-08-08,21.0,21.0,20.15,20.15,XPAR:EOS,614
2000-08-09,21.0,21.0,21.0,21.0,XPAR:EOS,315
2000-08-10,21.02,21.02,21.0,21.0,XPAR:EOS,125
2000-08-11,21.5,21.5,21.05,21.05,XPAR:EOS,615
2000-08-14,22.5,22.5,22.0,22.0,XPAR:EOS,1114
2000-08-15,23.42,23.42,23.0,23.0,XPAR:EOS,431
2000-08-16,24.05,24.5,24.05,24.5,XPAR:EOS,1800
2000-08-17,26.0,26.0,25.95,25.95,XPAR:EOS,3921
2000-08-18,28.4,28.5,28.4,28.5,XPAR:EOS,570
2000-08-21,25.05,28.25,25.05,28.25,XPAR:EOS,2166
2000-08-22,27.0,27.0,25.1,25.1,XPAR:EOS,105
2000-08-23,27.94,28.0,27.94,28.0,XPAR:EOS,931
2000-08-24,27.99,27.99,27.99,27.99,XPAR:EOS,344
2000-08-25,27.99,27.99,25.2,25.2,XPAR:EOS,1640
2000-08-28,26.6,26.6,26.5,26.5,XPAR:EOS,1570
2000-08-29,26.71,26.71,26.6,26.6,XPAR:EOS,690
2000-08-30,28.0,28.0,27.5,27.5,XPAR:EOS,2968
2000-08-31,27.4,27.4,27.0,27.0,XPAR:EOS,751
2000-09-01,27.5,27.5,26.8,26.8,XPAR:EOS,2024
2000-09-04,28.0,28.0,28.0,28.0,XPAR:EOS,3524
2000-09-05,29.05,29.05,28.98,28.98,XPAR:EOS,1838
2000-09-06,29.0,29.05,29.0,29.05,XPAR:EOS,6432
2000-09-07,27.7,29.0,27.7,29.0,XPAR:EOS,3835
2000-09-08,28.0,28.0,28.0,28.0,XPAR:EOS,932
2000-09-11,29.15,29.15,28.5,28.5,XPAR:EOS,8748
2000-09-12,32.55,32.55,32.55,32.55,XPAR:EOS,4518
2000-09-13,31.0,31.0,31.0,31.0,XPAR:EOS,929
2000-09-14,30.9,31.05,30.9,31.05,XPAR:EOS,1544
2000-09-15,30.0,30.0,30.0,30.0,XPAR:EOS,610
2000-09-18,29.9,30.0,29.9,30.0,XPAR:EOS,337
2000-09-19,24.5,27.05,24.5,27.05,XPAR:EOS,1103
2000-09-20,26.0,26.9,26.0,26.9,XPAR:EOS,1887
2000-09-21,24.0,25.0,24.0,25.0,XPAR:EOS,1067
2000-09-22,23.0,23.0,18.6,18.6,XPAR:EOS,1449
2000-09-25,26.0,26.0,23.0,23.0,XPAR:EOS,580
2000-09-26,24.0,24.0,24.0,24.0,XPAR:EOS,265
2000-09-27,25.0,25.0,21.6,21.6,XPAR:EOS,945
2000-09-28,24.5,24.5,24.5,24.5,XPAR:EOS,555
2000-09-29,25.0,25.0,24.0,24.0,XPAR:EOS,749
2000-10-02,26.0,26.0,24.99,24.99,XPAR:EOS,165
2000-10-03,27.0,27.0,27.0,27.0,XPAR:EOS,1000
2000-10-04,26.2,27.0,26.2,27.0,XPAR:EOS,191
2000-10-05,26.0,26.0,26.0,26.0,XPAR:EOS,215
2000-10-06,25.39,26.0,25.39,26.0,XPAR:EOS,258
2000-10-09,24.99,25.39,24.99,25.39,XPAR:EOS,101
2000-10-10,21.0,23.5,21.0,23.5,XPAR:EOS,395
2000-10-11,20.0,21.0,20.0,21.0,XPAR:EOS,620
2000-10-12,21.0,21.0,19.5,19.5,XPAR:EOS,324
2000-10-13,20.01,20.01,20.0,20.0,XPAR:EOS,666
2000-10-16,22.0,22.0,21.2,21.2,XPAR:EOS,1152
2000-10-17,21.0,21.1,21.0,21.1,XPAR:EOS,121
2000-10-18,20.0,20.0,20.0,20.0,XPAR:EOS,336
2000-10-19,20.0,20.0,20.0,20.0,XPAR:EOS,515
2000-10-20,21.0,21.0,20.1,20.1,XPAR:EOS,212
2000-10-23,22.0,22.0,22.0,22.0,XPAR:EOS,557
2000-10-24,21.0,21.0,21.0,21.0,XPAR:EOS,566
2000-10-25,20.0,21.01,20.0,21.01,XPAR:EOS,440
2000-10-26,22.0,22.0,20.0,20.0,XPAR:EOS,649
2000-10-27,22.0,22.8,22.0,22.8,XPAR:EOS,505
2000-10-30,23.1,23.1,23.0,23.0,XPAR:EOS,470
2000-10-31,23.5,24.0,23.5,24.0,XPAR:EOS,1291
2000-11-01,23.5,23.5,23.5,23.5,XPAR:EOS,247
2000-11-02,23.2,23.2,23.2,23.2,XPAR:EOS,456
2000-11-03,23.2,24.95,23.2,24.95,XPAR:EOS,739
2000-11-06,24.2,24.2,24.2,24.2,XPAR:EOS,73
2000-11-07,24.2,24.2,24.2,24.2,XPAR:EOS,5
2000-11-08,23.06,23.06,23.05,23.05,XPAR:EOS,255
2000-11-09,23.0,23.06,23.0,23.06,XPAR:EOS,475
2000-11-10,22.7,24.1,22.7,24.1,XPAR:EOS,639
2000-11-13,21.9,22.5,21.9,22.5,XPAR:EOS,1479
2000-11-14,21.0,21.9,21.0,21.9,XPAR:EOS,1705
2000-11-15,21.1,21.1,21.01,21.01,XPAR:EOS,540
2000-11-16,20.9,23.2,20.9,23.2,XPAR:EOS,205
2000-11-17,21.0,21.01,21.0,21.01,XPAR:EOS,225
2000-11-20,22.0,22.01,22.0,22.01,XPAR:EOS,200
2000-11-21,19.0,19.0,19.0,19.0,XPAR:EOS,460
2000-11-22,13.48,18.0,13.48,18.0,XPAR:EOS,4500
2000-11-23,13.4,13.4,13.35,13.35,XPAR:EOS,4700
2000-11-24,12.55,13.0,12.55,13.0,XPAR:EOS,4500
2000-11-27,11.21,12.4,11.21,12.4,XPAR:EOS,1100
2000-11-28,11.02,11.05,11.02,11.05,XPAR:EOS,400
2000-11-29,13.1,13.1,13.0,13.0,XPAR:EOS,1500
2000-11-30,14.0,14.0,13.0,13.0,XPAR:EOS,1000
2000-12-01,14.5,14.5,14.0,14.0,XPAR:EOS,500
2000-12-04,15.0,15.95,15.0,15.95,XPAR:EOS,300
2000-12-05,17.0,17.0,15.5,15.5,XPAR:EOS,2200
2000-12-06,15.8,17.0,15.8,17.0,XPAR:EOS,400
2000-12-07,15.8,17.0,15.8,17.0,XPAR:EOS,0
2000-12-08,15.8,17.0,15.8,17.0,XPAR:EOS,0
2000-12-11,15.8,17.0,15.8,17.0,XPAR:EOS,0
2000-12-12,15.8,17.0,15.8,17.0,XPAR:EOS,0
2000-12-13,15.8,17.0,15.8,17.0,XPAR:EOS,0
2000-12-14,14.4,14.4,14.0,14.0,XPAR:EOS,400
2000-12-15,14.4,14.4,14.0,14.0,XPAR:EOS,0
2000-12-18,13.8,14.2,13.8,14.2,XPAR:EOS,100
2000-12-19,13.8,14.2,13.8,14.2,XPAR:EOS,0
2000-12-20,13.8,14.2,13.8,14.2,XPAR:EOS,0
2000-12-21,12.71,12.71,12.6,12.6,XPAR:EOS,100
2000-12-22,11.5,12.71,11.5,12.71,XPAR:EOS,1600
2000-12-25,11.5,12.71,11.5,12.71,XPAR:EOS,0
2000-12-26,11.5,12.71,11.5,12.71,XPAR:EOS,0
2000-12-27,11.38,11.38,10.35,10.35,XPAR:EOS,1800
2000-12-28,11.5,11.5,10.4,10.4,XPAR:EOS,200
2000-12-29,11.5,11.5,10.4,10.4,XPAR:EOS,0
2001-01-01,11.5,11.5,10.4,10.4,XPAR:EOS,0
2001-01-02,9.88,9.88,9.0,9.0,XPAR:EOS,956
2001-01-03,9.0,9.11,9.0,9.11,XPAR:EOS,1454
2001-01-04,9.5,9.5,9.4,9.4,XPAR:EOS,1092
2001-01-05,8.98,9.4,8.98,9.4,XPAR:EOS,580
2001-01-08,8.0,8.0,8.0,8.0,XPAR:EOS,1075
2001-01-09,8.0,8.0,7.99,7.99,XPAR:EOS,2200
2001-01-10,7.99,8.0,7.99,8.0,XPAR:EOS,725
2001-01-11,7.95,7.98,7.95,7.98,XPAR:EOS,570
2001-01-12,8.4,8.4,8.07,8.07,XPAR:EOS,2260
2001-01-15,10.5,10.5,9.2,9.2,XPAR:EOS,1302
2001-01-16,10.7,10.7,10.7,10.7,XPAR:EOS,968
2001-01-17,10.6,10.6,10.5,10.5,XPAR:EOS,145
2001-01-18,10.0,10.45,10.0,10.45,XPAR:EOS,2630
2001-01-19,10.0,10.0,10.0,10.0,XPAR:EOS,200
2001-01-22,10.0,10.0,10.0,10.0,XPAR:EOS,5030
2001-01-23,9.04,9.08,9.04,9.08,XPAR:EOS,770
2001-01-24,9.04,9.08,9.04,9.08,XPAR:EOS,0
2001-01-25,8.5,8.5,8.5,8.5,XPAR:EOS,2238
2001-01-26,8.5,8.5,8.5,8.5,XPAR:EOS,0
