Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,55.7,57.2,55.55,57.2,XPAR:ERA,1770
2000-01-04,55.35,56.5,54.6,56.4,XPAR:ERA,32264
2000-01-05,57.6,58.55,55.0,55.1,XPAR:ERA,32195
2000-01-06,61.75,61.75,57.2,57.2,XPAR:ERA,31923
2000-01-07,60.9,61.5,58.0,58.0,XPAR:ERA,14760
2000-01-10,58.5,60.5,58.5,59.9,XPAR:ERA,7645
2000-01-11,57.25,60.2,57.1,59.3,XPAR:ERA,7336
2000-01-12,56.1,57.95,55.8,57.95,XPAR:ERA,8133
2000-01-13,58.5,58.5,57.1,57.2,XPAR:ERA,4150
2000-01-14,57.2,58.7,57.2,58.5,XPAR:ERA,4327
2000-01-17,57.4,58.7,57.2,57.2,XPAR:ERA,5060
2000-01-18,57.05,58.0,56.5,57.2,XPAR:ERA,21637
2000-01-19,57.9,57.9,56.0,56.0,XPAR:ERA,17551
2000-01-20,57.05,58.0,56.6,56.6,XPAR:ERA,8040
2000-01-21,56.2,58.0,56.0,56.0,XPAR:ERA,11724
2000-01-24,56.0,56.0,55.0,55.0,XPAR:ERA,8335
2000-01-25,56.2,57.0,55.5,55.5,XPAR:ERA,3662
2000-01-26,57.0,58.0,55.5,55.5,XPAR:ERA,4810
2000-01-27,57.5,58.6,57.0,57.5,XPAR:ERA,20608
2000-01-28,57.5,58.0,57.0,57.5,XPAR:ERA,20542
2000-01-31,56.7,57.9,56.2,56.2,XPAR:ERA,2071
2000-02-01,56.9,58.45,56.1,56.7,XPAR:ERA,63882
2000-02-02,53.5,57.0,52.8,56.15,XPAR:ERA,8003
2000-02-03,54.5,55.85,53.15,53.15,XPAR:ERA,4609
2000-02-04,54.0,54.3,52.3,52.3,XPAR:ERA,4492
2000-02-07,52.6,54.1,52.0,52.8,XPAR:ERA,12893
2000-02-08,51.1,53.0,51.1,53.0,XPAR:ERA,10887
2000-02-09,49.0,51.0,46.2,51.0,XPAR:ERA,138146
2000-02-10,48.4,48.99,47.6,47.6,XPAR:ERA,26858
2000-02-11,52.0,52.0,48.0,49.5,XPAR:ERA,14613
2000-02-14,50.3,51.0,48.2,48.2,XPAR:ERA,32378
2000-02-15,51.5,52.0,51.0,51.45,XPAR:ERA,9392
2000-02-16,52.8,52.8,51.5,51.75,XPAR:ERA,10755
2000-02-17,53.1,53.8,52.4,52.8,XPAR:ERA,20904
2000-02-18,54.9,55.0,53.0,53.0,XPAR:ERA,13501
2000-02-21,56.0,57.0,53.8,55.0,XPAR:ERA,9832
2000-02-22,56.4,58.5,55.6,56.0,XPAR:ERA,48876
2000-02-23,58.7,60.0,57.0,60.0,XPAR:ERA,43384
2000-02-24,56.5,58.7,56.5,58.2,XPAR:ERA,6145
2000-02-25,57.0,58.0,56.4,56.4,XPAR:ERA,2504
2000-02-28,57.4,57.7,56.6,56.6,XPAR:ERA,4173
2000-02-29,56.9,57.2,56.65,57.2,XPAR:ERA,5623
2000-03-01,56.25,56.95,56.0,56.45,XPAR:ERA,91685
2000-03-02,55.8,56.5,55.0,55.0,XPAR:ERA,13244
2000-03-03,54.5,55.7,54.0,55.1,XPAR:ERA,47034
2000-03-06,55.2,55.2,54.0,54.0,XPAR:ERA,3661
2000-03-07,52.9,54.0,52.5,53.1,XPAR:ERA,8392
2000-03-08,51.0,52.9,51.0,52.9,XPAR:ERA,10836
2000-03-09,48.9,51.0,48.9,50.1,XPAR:ERA,36831
2000-03-10,49.33,50.8,49.0,50.8,XPAR:ERA,10572
2000-03-13,49.34,49.99,49.34,49.35,XPAR:ERA,7408
2000-03-14,49.97,50.0,49.5,50.0,XPAR:ERA,5472
2000-03-15,49.7,50.0,49.5,50.0,XPAR:ERA,6511
2000-03-16,51.0,51.0,49.9,50.0,XPAR:ERA,24169
2000-03-17,49.9,52.0,49.9,52.0,XPAR:ERA,17407
2000-03-20,49.9,51.0,49.33,50.0,XPAR:ERA,18071
2000-03-21,49.6,50.0,48.81,50.0,XPAR:ERA,7405
2000-03-22,50.0,50.0,48.8,48.8,XPAR:ERA,6657
2000-03-23,50.0,50.0,49.0,49.0,XPAR:ERA,2569
2000-03-24,51.2,51.2,48.4,48.4,XPAR:ERA,7661
2000-03-27,51.0,52.0,50.0,52.0,XPAR:ERA,6081
2000-03-28,50.95,51.0,50.0,51.0,XPAR:ERA,9024
2000-03-29,51.9,51.95,50.2,50.2,XPAR:ERA,1586
2000-03-30,51.0,53.0,51.0,53.0,XPAR:ERA,3355
2000-03-31,53.2,53.3,50.5,50.5,XPAR:ERA,3184
2000-04-03,53.15,53.15,52.2,53.0,XPAR:ERA,1260
2000-04-04,56.7,57.1,51.0,53.5,XPAR:ERA,18929
2000-04-05,56.4,56.6,55.25,55.5,XPAR:ERA,6734
2000-04-06,56.5,56.5,55.2,55.55,XPAR:ERA,3784
2000-04-07,57.2,57.2,53.05,53.05,XPAR:ERA,2820
2000-04-10,57.2,58.0,57.0,57.0,XPAR:ERA,25498
2000-04-11,57.6,58.1,57.5,58.1,XPAR:ERA,5125
2000-04-12,58.7,58.7,57.6,57.75,XPAR:ERA,5350
2000-04-13,57.95,58.0,52.0,57.1,XPAR:ERA,3859
2000-04-14,56.8,57.1,53.0,57.1,XPAR:ERA,4186
2000-04-17,53.7,54.8,50.1,50.1,XPAR:ERA,5955
2000-04-18,51.5,53.7,51.0,53.0,XPAR:ERA,5451
2000-04-19,50.85,51.0,50.0,50.7,XPAR:ERA,4799
2000-04-20,53.0,53.9,50.8,50.8,XPAR:ERA,2222
2000-04-21,53.0,53.0,53.0,53.0,XPAR:ERA,0
2000-04-24,53.0,53.0,53.0,53.0,XPAR:ERA,0
2000-04-25,54.5,54.9,52.4,54.9,XPAR:ERA,4113
2000-04-26,53.6,55.0,53.45,53.8,XPAR:ERA,4730
2000-04-27,52.6,53.75,52.0,53.2,XPAR:ERA,1030
2000-04-28,52.25,53.0,51.5,51.6,XPAR:ERA,3883
2000-05-01,52.25,52.25,52.25,52.25,XPAR:ERA,0
2000-05-02,53.2,53.9,51.5,51.5,XPAR:ERA,2485
2000-05-03,52.5,53.35,52.5,53.0,XPAR:ERA,53453
2000-05-04,52.0,52.9,52.0,52.85,XPAR:ERA,20792
2000-05-05,52.0,52.5,52.0,52.0,XPAR:ERA,2543
2000-05-08,52.15,52.6,52.05,52.55,XPAR:ERA,341
2000-05-09,51.55,53.0,51.55,53.0,XPAR:ERA,1506
2000-05-10,52.15,53.0,51.5,51.5,XPAR:ERA,10545
2000-05-11,52.15,52.15,51.5,51.5,XPAR:ERA,1257
2000-05-12,53.7,54.15,52.8,53.05,XPAR:ERA,5296
2000-05-15,53.45,54.5,53.1,53.15,XPAR:ERA,2063
2000-05-16,53.0,53.55,53.0,53.4,XPAR:ERA,3841
2000-05-17,53.0,54.15,53.0,53.0,XPAR:ERA,2099
2000-05-18,51.5,53.35,51.5,53.0,XPAR:ERA,3464
2000-05-19,50.4,51.0,50.2,51.0,XPAR:ERA,57306
2000-05-22,49.5,50.35,49.09,50.15,XPAR:ERA,8207
2000-05-23,49.6,50.0,49.1,49.1,XPAR:ERA,103493
2000-05-24,49.55,50.0,49.55,50.0,XPAR:ERA,89244
2000-05-25,49.8,52.7,49.8,52.7,XPAR:ERA,3681
2000-05-26,50.3,51.0,49.7,49.7,XPAR:ERA,188278
2000-05-29,50.2,52.0,50.2,52.0,XPAR:ERA,6785
2000-05-30,50.0,51.6,49.9,50.0,XPAR:ERA,11211
2000-05-31,50.5,51.8,50.0,51.8,XPAR:ERA,9803
2000-06-01,51.25,51.3,50.8,50.8,XPAR:ERA,1572
2000-06-02,51.7,52.0,51.15,51.5,XPAR:ERA,2703
2000-06-05,50.4,51.7,50.0,51.7,XPAR:ERA,278117
2000-06-06,49.21,49.6,49.2,49.5,XPAR:ERA,5430
2000-06-07,50.3,50.4,49.72,50.0,XPAR:ERA,1610
2000-06-08,50.0,50.0,49.2,49.2,XPAR:ERA,3901
2000-06-09,49.7,50.0,49.4,50.0,XPAR:ERA,550
2000-06-12,49.7,49.7,49.7,49.7,XPAR:ERA,0
2000-06-13,48.1,49.95,48.1,49.7,XPAR:ERA,107009
2000-06-14,48.1,48.5,47.85,48.1,XPAR:ERA,84768
2000-06-15,46.98,48.0,46.6,48.0,XPAR:ERA,16093
2000-06-16,47.2,47.51,46.4,46.5,XPAR:ERA,4117
2000-06-19,46.5,48.0,46.5,47.51,XPAR:ERA,8685
2000-06-20,45.05,46.89,44.5,46.89,XPAR:ERA,17185
2000-06-21,45.99,45.99,45.2,45.36,XPAR:ERA,3957
2000-06-22,45.54,47.0,45.5,47.0,XPAR:ERA,4351
2000-06-23,45.32,46.1,45.15,46.0,XPAR:ERA,3325
2000-06-26,46.85,46.89,46.0,46.15,XPAR:ERA,1576
2000-06-27,46.3,46.66,46.3,46.5,XPAR:ERA,2562
2000-06-28,46.2,46.7,45.35,46.36,XPAR:ERA,52573
2000-06-29,44.66,45.25,44.51,45.25,XPAR:ERA,14611
2000-06-30,44.5,44.86,44.29,44.71,XPAR:ERA,53256
2000-07-03,45.0,45.0,44.26,45.0,XPAR:ERA,1931
2000-07-04,44.7,45.0,44.4,45.0,XPAR:ERA,1720
2000-07-05,44.61,45.0,44.05,44.21,XPAR:ERA,1318
2000-07-06,43.4,44.57,43.2,44.3,XPAR:ERA,57940
2000-07-07,43.25,44.0,43.1,43.1,XPAR:ERA,6275
2000-07-10,43.9,44.2,43.14,43.25,XPAR:ERA,4306
2000-07-11,44.06,44.06,43.14,43.14,XPAR:ERA,3329
2000-07-12,44.05,44.53,44.05,44.21,XPAR:ERA,2046
2000-07-13,44.0,45.0,43.25,44.0,XPAR:ERA,1932
2000-07-14,44.0,44.0,44.0,44.0,XPAR:ERA,0
2000-07-17,44.75,45.0,43.4,43.4,XPAR:ERA,2086
2000-07-18,44.9,44.9,44.05,44.5,XPAR:ERA,2623
2000-07-19,43.5,45.0,43.16,44.5,XPAR:ERA,23040
2000-07-20,44.4,44.7,43.16,43.16,XPAR:ERA,13408
2000-07-21,44.95,45.0,43.14,43.14,XPAR:ERA,23021
2000-07-24,43.0,45.0,43.0,45.0,XPAR:ERA,22479
2000-07-25,43.98,44.3,43.5,44.3,XPAR:ERA,850
2000-07-26,43.5,43.9,43.5,43.8,XPAR:ERA,6266
2000-07-27,44.19,44.48,43.57,44.48,XPAR:ERA,1048
2000-07-28,43.61,43.66,43.41,43.55,XPAR:ERA,3866
2000-07-31,43.5,44.6,43.5,43.5,XPAR:ERA,30840
2000-08-01,43.6,44.7,43.5,43.5,XPAR:ERA,2666
2000-08-02,44.0,44.68,44.0,44.4,XPAR:ERA,907
2000-08-03,43.6,44.75,43.5,44.0,XPAR:ERA,3204
2000-08-04,44.0,44.0,43.41,43.6,XPAR:ERA,2966
2000-08-07,43.77,44.48,43.5,44.16,XPAR:ERA,1818
2000-08-08,44.0,44.0,43.14,43.5,XPAR:ERA,84117
2000-08-09,43.5,44.39,43.5,44.39,XPAR:ERA,25247
2000-08-10,43.52,44.2,43.52,44.2,XPAR:ERA,1681
2000-08-11,44.69,44.69,43.5,44.49,XPAR:ERA,28700
2000-08-14,43.6,44.73,43.6,44.69,XPAR:ERA,5277
2000-08-15,43.62,44.34,43.62,43.9,XPAR:ERA,2862
2000-08-16,44.29,44.3,43.7,44.3,XPAR:ERA,7555
2000-08-17,43.5,44.28,43.5,44.0,XPAR:ERA,7998
2000-08-18,43.5,44.15,43.21,43.21,XPAR:ERA,1262
2000-08-21,44.0,44.6,43.55,44.28,XPAR:ERA,5691
2000-08-22,44.74,44.74,43.7,43.7,XPAR:ERA,26875
2000-08-23,46.7,48.0,44.0,44.8,XPAR:ERA,18969
2000-08-24,46.15,46.6,45.6,46.6,XPAR:ERA,5146
2000-08-25,47.1,48.0,46.5,46.8,XPAR:ERA,1377
2000-08-28,47.6,48.1,47.2,48.0,XPAR:ERA,4759
2000-08-29,47.4,47.9,47.1,47.9,XPAR:ERA,836
2000-08-30,45.31,47.1,45.1,47.1,XPAR:ERA,4326
2000-08-31,46.75,47.0,46.0,47.0,XPAR:ERA,1816
2000-09-01,46.7,47.0,46.69,47.0,XPAR:ERA,2676
2000-09-04,47.65,47.8,47.1,47.5,XPAR:ERA,4393
2000-09-05,47.3,47.3,47.1,47.3,XPAR:ERA,1232
2000-09-06,47.8,48.0,47.25,47.9,XPAR:ERA,2786
2000-09-07,48.1,48.1,47.1,48.0,XPAR:ERA,1958
2000-09-08,48.1,48.1,47.7,47.9,XPAR:ERA,3593
2000-09-11,49.4,49.49,48.6,48.6,XPAR:ERA,7123
2000-09-12,50.35,50.6,48.6,49.1,XPAR:ERA,7121
2000-09-13,49.2,50.4,49.0,50.35,XPAR:ERA,1863
2000-09-14,49.65,51.0,48.5,48.55,XPAR:ERA,6831
2000-09-15,50.0,50.8,49.5,50.0,XPAR:ERA,7283
2000-09-18,49.55,50.75,49.55,50.5,XPAR:ERA,6039
2000-09-19,47.05,49.9,47.0,49.5,XPAR:ERA,8560
2000-09-20,47.49,47.85,47.05,47.1,XPAR:ERA,4747
