Date,Close,High,Low,Open,Symbol,Volume
1997-10-27,1.87,1.87,1.87,1.87,XPAR:ERF,8771000
1997-10-28,1.76,1.76,1.76,1.76,XPAR:ERF,2058700
1997-10-29,1.83,1.83,1.83,1.83,XPAR:ERF,1896200
1997-10-30,2.0,2.0,2.0,2.0,XPAR:ERF,890100
1997-10-31,2.08,2.08,2.08,2.08,XPAR:ERF,1073700
1997-11-03,2.23,2.23,2.22,2.22,XPAR:ERF,796000
1997-11-04,2.34,2.34,2.34,2.34,XPAR:ERF,811200
1997-11-05,2.41,2.41,2.41,2.41,XPAR:ERF,974600
1997-11-06,2.31,2.31,2.31,2.31,XPAR:ERF,494600
1997-11-07,2.3,2.3,2.3,2.3,XPAR:ERF,525300
1997-11-10,2.3,2.3,2.3,2.3,XPAR:ERF,0
1997-11-11,2.3,2.3,2.3,2.3,XPAR:ERF,0
1997-11-12,2.2,2.2,2.2,2.2,XPAR:ERF,496400
1997-11-13,2.19,2.19,2.19,2.19,XPAR:ERF,156600
1997-11-14,2.14,2.14,2.14,2.14,XPAR:ERF,149800
1997-11-17,2.27,2.27,2.27,2.27,XPAR:ERF,115600
1997-11-18,2.29,2.29,2.28,2.28,XPAR:ERF,219600
1997-11-19,2.32,2.32,2.32,2.32,XPAR:ERF,155400
1997-11-20,2.37,2.37,2.37,2.37,XPAR:ERF,107600
1997-11-21,2.42,2.42,2.42,2.42,XPAR:ERF,120800
1997-11-24,2.42,2.42,2.42,2.42,XPAR:ERF,90500
1997-11-25,2.39,2.39,2.39,2.39,XPAR:ERF,87000
1997-11-26,2.39,2.39,2.39,2.39,XPAR:ERF,53500
1997-11-27,2.34,2.34,2.34,2.34,XPAR:ERF,86100
1997-11-28,2.38,2.38,2.38,2.38,XPAR:ERF,23600
1997-12-01,2.31,2.31,2.31,2.31,XPAR:ERF,35100
1997-12-02,2.13,2.13,2.13,2.13,XPAR:ERF,179600
1997-12-03,2.13,2.13,2.13,2.13,XPAR:ERF,296000
1997-12-04,2.2,2.2,2.2,2.2,XPAR:ERF,84000
1997-12-05,2.27,2.27,2.27,2.27,XPAR:ERF,207900
1997-12-08,2.33,2.33,2.33,2.33,XPAR:ERF,409200
1997-12-09,2.33,2.33,2.33,2.33,XPAR:ERF,333100
1997-12-10,2.33,2.33,2.33,2.33,XPAR:ERF,122500
1997-12-11,2.33,2.33,2.33,2.33,XPAR:ERF,397100
1997-12-12,2.33,2.33,2.33,2.33,XPAR:ERF,248300
1997-12-15,2.49,2.49,2.49,2.49,XPAR:ERF,84900
1997-12-16,2.74,2.74,2.74,2.74,XPAR:ERF,222400
1997-12-17,2.68,2.68,2.68,2.68,XPAR:ERF,182500
1997-12-18,2.63,2.63,2.63,2.63,XPAR:ERF,159200
1997-12-19,2.63,2.63,2.63,2.63,XPAR:ERF,135400
1997-12-22,2.63,2.63,2.63,2.63,XPAR:ERF,463000
1997-12-23,2.63,2.63,2.63,2.63,XPAR:ERF,429300
1997-12-24,2.63,2.63,2.63,2.63,XPAR:ERF,22700
1997-12-25,2.63,2.63,2.63,2.63,XPAR:ERF,0
1997-12-26,2.63,2.63,2.63,2.63,XPAR:ERF,27500
1997-12-29,2.63,2.63,2.63,2.63,XPAR:ERF,66700
1997-12-30,2.63,2.63,2.63,2.63,XPAR:ERF,103100
1997-12-31,2.63,2.63,2.63,2.63,XPAR:ERF,88500
1998-01-01,2.63,2.63,2.63,2.63,XPAR:ERF,0
1998-01-02,2.63,2.63,2.63,2.63,XPAR:ERF,52600
1998-01-05,2.63,2.63,2.63,2.63,XPAR:ERF,93900
1998-01-06,2.56,2.56,2.56,2.56,XPAR:ERF,70500
1998-01-07,2.34,2.34,2.34,2.34,XPAR:ERF,274100
1998-01-08,2.37,2.37,2.37,2.37,XPAR:ERF,119000
1998-01-09,2.51,2.51,2.51,2.51,XPAR:ERF,31700
1998-01-12,2.49,2.49,2.49,2.49,XPAR:ERF,41400
1998-01-13,2.56,2.56,2.56,2.56,XPAR:ERF,21400
1998-01-14,2.93,2.93,2.93,2.93,XPAR:ERF,190000
1998-01-15,2.9,2.9,2.9,2.9,XPAR:ERF,105700
1998-01-16,2.91,2.91,2.91,2.91,XPAR:ERF,156200
1998-01-19,2.93,2.93,2.93,2.93,XPAR:ERF,99600
1998-01-20,2.88,2.88,2.88,2.88,XPAR:ERF,69900
1998-01-21,2.78,2.78,2.78,2.78,XPAR:ERF,1002100
1998-01-22,2.78,2.78,2.78,2.78,XPAR:ERF,6800
1998-01-23,2.78,2.78,2.78,2.78,XPAR:ERF,46600
1998-01-26,2.78,2.78,2.78,2.78,XPAR:ERF,77000
1998-01-27,2.63,2.63,2.63,2.63,XPAR:ERF,218300
1998-01-28,2.75,2.75,2.75,2.75,XPAR:ERF,110100
1998-01-29,2.75,2.75,2.75,2.75,XPAR:ERF,138000
1998-01-30,2.78,2.78,2.78,2.78,XPAR:ERF,99000
1998-02-02,2.75,2.75,2.75,2.75,XPAR:ERF,44300
1998-02-03,2.75,2.75,2.75,2.75,XPAR:ERF,191600
1998-02-04,2.75,2.75,2.75,2.75,XPAR:ERF,295600
1998-02-05,2.74,2.75,2.74,2.75,XPAR:ERF,16500
1998-02-06,2.75,2.75,2.74,2.75,XPAR:ERF,723100
1998-02-09,2.71,2.71,2.71,2.71,XPAR:ERF,21200
1998-02-10,2.71,2.71,2.71,2.71,XPAR:ERF,178100
1998-02-11,2.78,2.78,2.74,2.74,XPAR:ERF,290800
1998-02-12,2.78,2.78,2.76,2.76,XPAR:ERF,251900
1998-02-13,2.99,2.99,2.78,2.78,XPAR:ERF,1392200
1998-02-16,3.06,3.07,3.06,3.07,XPAR:ERF,29500
1998-02-17,3.04,3.06,3.04,3.06,XPAR:ERF,55200
1998-02-18,3.0,3.04,3.0,3.04,XPAR:ERF,87100
1998-02-19,2.85,3.0,2.85,3.0,XPAR:ERF,49700
1998-02-20,2.99,3.0,2.99,3.0,XPAR:ERF,79000
1998-02-23,2.88,2.99,2.88,2.99,XPAR:ERF,58400
1998-02-24,2.93,2.93,2.93,2.93,XPAR:ERF,97400
1998-02-25,3.0,3.0,2.99,2.99,XPAR:ERF,136200
1998-02-26,3.07,3.07,3.04,3.04,XPAR:ERF,288500
1998-02-27,3.04,3.04,3.0,3.0,XPAR:ERF,160900
1998-03-02,3.26,3.26,3.22,3.22,XPAR:ERF,158000
1998-03-03,3.45,3.45,3.29,3.29,XPAR:ERF,85000
1998-03-04,4.01,4.01,3.66,3.66,XPAR:ERF,318600
1998-03-05,4.46,4.46,4.39,4.39,XPAR:ERF,503900
1998-03-06,4.46,4.46,4.46,4.46,XPAR:ERF,347700
1998-03-09,4.46,4.46,4.46,4.46,XPAR:ERF,201400
1998-03-10,4.1,4.46,4.1,4.46,XPAR:ERF,172600
1998-03-11,4.46,4.46,4.16,4.16,XPAR:ERF,69800
1998-03-12,4.36,4.36,4.33,4.33,XPAR:ERF,621100
1998-03-13,4.41,4.41,4.36,4.36,XPAR:ERF,153400
1998-03-16,5.24,5.24,4.54,4.68,XPAR:ERF,549300
1998-03-17,5.78,5.78,5.39,5.69,XPAR:ERF,443500
1998-03-18,5.71,5.71,5.42,5.42,XPAR:ERF,305900
1998-03-19,5.71,5.71,5.71,5.71,XPAR:ERF,123500
1998-03-20,5.69,5.69,5.69,5.69,XPAR:ERF,32500
1998-03-23,5.4,5.43,5.4,5.43,XPAR:ERF,217600
1998-03-24,5.27,5.3,5.27,5.3,XPAR:ERF,180000
