Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,85.0,85.0,85.0,85.0,XPAR:EXAC,25
2000-01-04,85.0,85.0,85.0,85.0,XPAR:EXAC,0
2000-01-05,85.2,85.2,85.2,85.2,XPAR:EXAC,20
2000-01-06,85.2,85.2,85.2,85.2,XPAR:EXAC,0
2000-01-07,85.2,85.2,85.2,85.2,XPAR:EXAC,0
2000-01-10,93.5,93.5,93.5,93.5,XPAR:EXAC,88
2000-01-11,85.0,85.0,85.0,85.0,XPAR:EXAC,80
2000-01-12,88.0,88.0,88.0,88.0,XPAR:EXAC,19
2000-01-13,83.6,83.6,83.6,83.6,XPAR:EXAC,20
2000-01-14,83.6,83.6,83.6,83.6,XPAR:EXAC,0
2000-01-17,85.0,85.0,82.0,82.0,XPAR:EXAC,100
2000-01-18,86.0,86.0,85.0,85.0,XPAR:EXAC,65
2000-01-19,87.0,87.0,87.0,87.0,XPAR:EXAC,50
2000-01-20,88.0,88.0,88.0,88.0,XPAR:EXAC,31
2000-01-21,87.0,87.0,87.0,87.0,XPAR:EXAC,25
2000-01-24,87.0,87.0,87.0,87.0,XPAR:EXAC,0
2000-01-25,87.0,87.0,87.0,87.0,XPAR:EXAC,0
2000-01-26,87.1,87.1,87.1,87.1,XPAR:EXAC,10
2000-01-27,90.0,90.0,90.0,90.0,XPAR:EXAC,9
2000-01-28,88.0,89.0,88.0,89.0,XPAR:EXAC,35
2000-01-31,88.0,88.0,88.0,88.0,XPAR:EXAC,19
2000-02-01,90.0,90.0,90.0,90.0,XPAR:EXAC,39
2000-02-02,90.5,90.5,90.5,90.5,XPAR:EXAC,300
2000-02-03,90.5,90.5,90.5,90.5,XPAR:EXAC,6
2000-02-04,90.0,90.0,90.0,90.0,XPAR:EXAC,46
2000-02-07,89.9,89.9,89.9,89.9,XPAR:EXAC,27
2000-02-08,85.0,85.0,85.0,85.0,XPAR:EXAC,63
2000-02-09,91.6,91.6,89.25,89.25,XPAR:EXAC,100
2000-02-10,91.6,91.6,89.25,89.25,XPAR:EXAC,0
2000-02-11,92.5,92.5,91.5,91.5,XPAR:EXAC,300
2000-02-14,91.0,91.0,91.0,91.0,XPAR:EXAC,50
2000-02-15,85.2,85.2,85.2,85.2,XPAR:EXAC,15
2000-02-16,85.2,85.2,85.2,85.2,XPAR:EXAC,3
2000-02-17,83.5,83.5,83.5,83.5,XPAR:EXAC,52
2000-02-18,83.5,83.5,83.5,83.5,XPAR:EXAC,20
2000-02-21,85.2,85.2,85.2,85.2,XPAR:EXAC,52
2000-02-22,89.9,89.9,89.9,89.9,XPAR:EXAC,86
2000-02-23,89.0,89.0,89.0,89.0,XPAR:EXAC,5
2000-02-24,89.0,89.0,89.0,89.0,XPAR:EXAC,0
2000-02-25,83.0,83.0,83.0,83.0,XPAR:EXAC,20
2000-02-28,83.0,83.0,82.8,82.8,XPAR:EXAC,100
2000-02-29,82.0,82.6,82.0,82.6,XPAR:EXAC,64
2000-03-01,82.0,82.6,82.0,82.6,XPAR:EXAC,0
2000-03-02,82.0,82.6,82.0,82.6,XPAR:EXAC,0
2000-03-03,82.0,82.0,82.0,82.0,XPAR:EXAC,100
2000-03-06,82.0,82.0,82.0,82.0,XPAR:EXAC,0
2000-03-07,80.0,80.0,80.0,80.0,XPAR:EXAC,10
2000-03-08,77.8,79.0,77.8,79.0,XPAR:EXAC,27
2000-03-09,76.0,76.0,76.0,76.0,XPAR:EXAC,43
2000-03-10,77.0,77.0,77.0,77.0,XPAR:EXAC,27
2000-03-13,78.1,78.1,78.0,78.0,XPAR:EXAC,250
2000-03-14,80.0,80.0,80.0,80.0,XPAR:EXAC,40
2000-03-15,78.1,78.1,78.1,78.1,XPAR:EXAC,6
2000-03-16,78.0,78.0,78.0,78.0,XPAR:EXAC,15
