Date,Close,High,Low,Open,Symbol,Volume
2000-01-06,80.0,80.0,80.0,80.0,XPAR:FAYE,4
2000-01-07,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-10,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-11,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-12,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-13,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-14,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-17,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-18,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-19,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-20,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-21,80.0,80.0,80.0,80.0,XPAR:FAYE,0
2000-01-24,78.0,78.0,78.0,78.0,XPAR:FAYE,15
2000-01-25,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-01-26,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-01-27,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-01-28,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-01-31,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-01,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-02,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-03,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-04,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-07,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-08,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-09,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-10,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-11,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-14,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-15,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-16,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-17,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-18,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-21,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-22,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-23,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-24,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-25,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-28,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-02-29,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-03-01,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-03-02,78.0,78.0,78.0,78.0,XPAR:FAYE,0
2000-03-03,80.05,80.05,80.05,80.05,XPAR:FAYE,44
2000-03-06,80.05,80.05,80.05,80.05,XPAR:FAYE,0
2000-03-07,80.05,80.05,80.05,80.05,XPAR:FAYE,0
2000-03-08,80.05,80.05,80.05,80.05,XPAR:FAYE,0
2000-03-09,80.05,80.05,80.05,80.05,XPAR:FAYE,0
2000-03-10,80.05,80.05,80.05,80.05,XPAR:FAYE,0
2000-03-13,80.05,80.05,80.05,80.05,XPAR:FAYE,0
2000-03-14,80.05,80.05,80.05,80.05,XPAR:FAYE,0
2000-03-15,80.05,80.05,80.05,80.05,XPAR:FAYE,0
2000-03-16,80.05,80.05,80.05,80.05,XPAR:FAYE,0
2000-03-17,80.05,80.05,80.05,80.05,XPAR:FAYE,0
2000-03-20,48.0,48.0,48.0,48.0,XPAR:FAYE,30
2000-03-21,48.0,48.0,48.0,48.0,XPAR:FAYE,0
2000-03-22,48.0,48.0,48.0,48.0,XPAR:FAYE,0
2000-03-23,48.0,48.0,48.0,48.0,XPAR:FAYE,0
2000-03-24,49.1,49.1,49.1,49.1,XPAR:FAYE,70
2000-03-27,49.1,49.1,49.1,49.1,XPAR:FAYE,0
2000-03-28,49.1,49.1,49.1,49.1,XPAR:FAYE,0
2000-03-29,49.1,49.1,49.1,49.1,XPAR:FAYE,0
2000-03-30,72.0,72.0,72.0,72.0,XPAR:FAYE,14
2000-03-31,72.0,72.0,72.0,72.0,XPAR:FAYE,6
2000-04-03,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-04,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-05,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-06,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-07,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-10,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-11,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-12,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-13,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-14,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-17,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-18,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-19,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-20,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-21,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-24,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-25,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-26,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-27,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-04-28,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-05-01,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-05-02,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-05-03,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-05-04,72.0,72.0,72.0,72.0,XPAR:FAYE,0
2000-05-05,41.06,41.06,41.06,41.06,XPAR:FAYE,16
2000-05-08,41.06,41.06,41.06,41.06,XPAR:FAYE,0
2000-05-09,39.1,39.1,39.1,39.1,XPAR:FAYE,6
2000-05-10,39.1,39.1,39.1,39.1,XPAR:FAYE,0
2000-05-11,39.1,39.1,39.1,39.1,XPAR:FAYE,0
2000-05-12,39.1,39.1,39.1,39.1,XPAR:FAYE,0
2000-05-15,39.1,39.1,39.1,39.1,XPAR:FAYE,0
2000-05-16,39.1,39.1,39.1,39.1,XPAR:FAYE,0
2000-05-17,39.1,39.1,39.1,39.1,XPAR:FAYE,0
2000-05-18,43.1,43.1,43.1,43.1,XPAR:FAYE,8
2000-05-19,43.1,43.1,43.1,43.1,XPAR:FAYE,0
2000-05-22,43.1,43.1,43.1,43.1,XPAR:FAYE,0
2000-05-23,41.0,41.0,41.0,41.0,XPAR:FAYE,14
2000-05-24,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-05-25,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-05-26,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-05-29,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-05-30,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-05-31,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-01,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-02,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-05,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-06,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-07,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-08,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-09,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-12,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-13,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-14,41.0,41.0,41.0,41.0,XPAR:FAYE,0
2000-06-15,41.02,41.02,41.02,41.02,XPAR:FAYE,24
2000-06-16,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-06-19,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-06-20,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-06-21,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-06-22,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-06-23,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-06-26,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-06-27,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-06-28,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-06-29,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-06-30,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-03,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-04,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-05,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-06,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-07,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-10,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-11,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-12,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-13,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-14,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-17,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-18,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-19,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-20,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-21,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-24,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-25,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-26,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-27,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-28,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-07-31,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-01,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-02,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-03,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-04,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-07,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-08,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-09,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-10,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-11,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-14,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-15,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-16,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-17,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-18,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-21,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-22,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-23,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-24,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-25,41.02,41.02,41.02,41.02,XPAR:FAYE,0
2000-08-28,66.6,66.6,66.6,66.6,XPAR:FAYE,202
2000-08-29,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-08-30,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-08-31,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-01,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-04,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-05,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-06,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-07,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-08,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-11,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-12,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-13,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-14,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-15,66.6,66.6,66.6,66.6,XPAR:FAYE,0
2000-09-18,41.92,41.92,41.92,41.92,XPAR:FAYE,321
2000-09-19,44.02,44.02,44.02,44.02,XPAR:FAYE,11
2000-09-20,46.22,46.22,46.22,46.22,XPAR:FAYE,8
2000-09-21,45.0,45.0,45.0,45.0,XPAR:FAYE,30
2000-09-22,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2000-09-25,45.74,45.74,45.74,45.74,XPAR:FAYE,2
2000-09-26,45.74,45.74,45.74,45.74,XPAR:FAYE,0
2000-09-27,45.74,45.74,45.74,45.74,XPAR:FAYE,0
2000-09-28,45.74,45.74,45.74,45.74,XPAR:FAYE,0
2000-09-29,45.74,45.74,45.74,45.74,XPAR:FAYE,0
2000-10-02,45.74,45.74,45.74,45.74,XPAR:FAYE,0
2000-10-03,45.74,45.74,45.74,45.74,XPAR:FAYE,0
2000-10-04,45.74,45.74,45.74,45.74,XPAR:FAYE,0
2000-10-05,45.74,45.74,45.74,45.74,XPAR:FAYE,0
2000-10-06,45.74,45.74,45.74,45.74,XPAR:FAYE,0
2000-10-09,45.74,45.74,45.74,45.74,XPAR:FAYE,0
2000-10-10,55.5,55.5,55.5,55.5,XPAR:FAYE,2
2000-10-11,55.5,55.5,55.5,55.5,XPAR:FAYE,0
2000-10-12,55.5,55.5,55.5,55.5,XPAR:FAYE,10
2000-10-13,55.5,55.5,55.5,55.5,XPAR:FAYE,0
2000-10-16,54.0,54.0,54.0,54.0,XPAR:FAYE,10
2000-10-17,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-10-18,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-10-19,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-10-20,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-10-23,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-10-24,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-10-25,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-10-26,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-10-27,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-10-30,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-10-31,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-11-01,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-11-02,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-11-03,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-11-06,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-11-07,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-11-08,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-11-09,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-11-10,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-11-13,54.0,54.0,54.0,54.0,XPAR:FAYE,0
2000-11-14,41.4,41.4,41.4,41.4,XPAR:FAYE,60
2000-11-15,41.4,41.4,41.4,41.4,XPAR:FAYE,0
2000-11-16,39.0,39.0,39.0,39.0,XPAR:FAYE,30
2000-11-17,37.05,37.05,37.05,37.05,XPAR:FAYE,30
2000-11-20,35.2,35.2,35.2,35.2,XPAR:FAYE,65
2000-11-21,34.0,34.0,34.0,34.0,XPAR:FAYE,58
2000-11-22,32.3,32.3,32.3,32.3,XPAR:FAYE,116
2000-11-23,32.3,32.3,32.3,32.3,XPAR:FAYE,0
2000-11-24,32.3,32.3,32.3,32.3,XPAR:FAYE,0
2000-11-27,32.0,32.0,32.0,32.0,XPAR:FAYE,8
2000-11-28,31.7,31.7,31.7,31.7,XPAR:FAYE,58
2000-11-29,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-11-30,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-01,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-04,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-05,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-06,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-07,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-08,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-11,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-12,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-13,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-14,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-15,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-18,31.7,31.7,31.7,31.7,XPAR:FAYE,0
2000-12-19,32.0,32.0,32.0,32.0,XPAR:FAYE,13
2000-12-20,32.01,32.01,32.0,32.0,XPAR:FAYE,528
2000-12-21,32.01,32.01,32.0,32.0,XPAR:FAYE,0
2000-12-22,32.01,32.01,32.0,32.0,XPAR:FAYE,0
2000-12-25,32.01,32.01,32.0,32.0,XPAR:FAYE,0
2000-12-26,32.01,32.01,32.0,32.0,XPAR:FAYE,0
2000-12-27,32.01,32.01,32.01,32.01,XPAR:FAYE,47
2000-12-28,32.01,32.01,32.01,32.01,XPAR:FAYE,0
2000-12-29,30.41,30.41,30.41,30.41,XPAR:FAYE,41
2001-01-01,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-02,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-03,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-04,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-05,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-08,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-09,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-10,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-11,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-12,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-15,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-16,30.41,30.41,30.41,30.41,XPAR:FAYE,0
2001-01-17,30.0,30.0,30.0,30.0,XPAR:FAYE,30
2001-01-18,30.0,30.0,30.0,30.0,XPAR:FAYE,0
2001-01-19,30.0,30.0,30.0,30.0,XPAR:FAYE,0
2001-01-22,30.0,30.0,30.0,30.0,XPAR:FAYE,0
2001-01-23,30.0,30.0,30.0,30.0,XPAR:FAYE,0
2001-01-24,30.0,30.0,30.0,30.0,XPAR:FAYE,0
2001-01-25,30.0,30.0,30.0,30.0,XPAR:FAYE,0
2001-01-26,30.0,30.0,30.0,30.0,XPAR:FAYE,0
2001-01-29,30.0,30.0,30.0,30.0,XPAR:FAYE,0
2001-01-30,30.0,30.0,30.0,30.0,XPAR:FAYE,0
2001-01-31,32.11,32.11,32.11,32.11,XPAR:FAYE,30
2001-02-01,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-02,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-05,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-06,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-07,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-08,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-09,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-12,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-13,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-14,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-15,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-16,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-19,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-20,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-21,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-22,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-23,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-26,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-27,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-02-28,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-03-01,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-03-02,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-03-05,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-03-06,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-03-07,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-03-08,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-03-09,32.11,32.11,32.11,32.11,XPAR:FAYE,0
2001-03-12,35.0,35.0,35.0,35.0,XPAR:FAYE,11
2001-03-13,35.0,35.0,35.0,35.0,XPAR:FAYE,0
2001-03-14,35.0,35.0,35.0,35.0,XPAR:FAYE,0
2001-03-15,38.8,38.8,38.8,38.8,XPAR:FAYE,68
2001-03-16,38.8,38.8,38.8,38.8,XPAR:FAYE,0
2001-03-19,38.8,38.8,38.8,38.8,XPAR:FAYE,0
2001-03-20,38.8,38.8,38.8,38.8,XPAR:FAYE,0
2001-03-21,35.0,35.0,35.0,35.0,XPAR:FAYE,10
2001-03-22,35.0,35.0,35.0,35.0,XPAR:FAYE,0
2001-03-23,35.0,35.0,35.0,35.0,XPAR:FAYE,0
2001-03-26,35.0,35.0,35.0,35.0,XPAR:FAYE,0
2001-03-27,35.0,35.0,35.0,35.0,XPAR:FAYE,0
2001-03-28,38.99,39.0,38.99,39.0,XPAR:FAYE,50
2001-03-29,40.93,40.93,40.93,40.93,XPAR:FAYE,10
2001-03-30,40.93,40.93,40.93,40.93,XPAR:FAYE,0
2001-04-02,41.0,41.0,41.0,41.0,XPAR:FAYE,30
2001-04-03,41.0,41.0,41.0,41.0,XPAR:FAYE,22
2001-04-04,41.0,41.0,41.0,41.0,XPAR:FAYE,20
2001-04-05,43.0,43.0,43.0,43.0,XPAR:FAYE,10
2001-04-06,45.0,45.0,45.0,45.0,XPAR:FAYE,8
2001-04-09,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-10,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-11,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-12,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-13,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-16,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-17,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-18,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-19,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-20,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-23,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-24,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-25,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-26,45.0,45.0,45.0,45.0,XPAR:FAYE,0
2001-04-27,45.0,45.0,45.0,45.0,XPAR:FAYE,30
2001-04-30,45.0,45.0,45.0,45.0,XPAR:FAYE,0
