Date,Close,High,Low,Open,Symbol,Volume
2000-01-24,1.4,1.4,1.4,1.4,XPAR:FIPP,23
2000-01-25,1.4,1.4,1.4,1.4,XPAR:FIPP,0
2000-01-26,1.4,1.4,1.4,1.4,XPAR:FIPP,0
2000-01-27,1.4,1.4,1.4,1.4,XPAR:FIPP,0
2000-01-28,1.4,1.4,1.4,1.4,XPAR:FIPP,0
2000-01-31,1.4783,1.4783,1.4783,1.4783,XPAR:FIPP,184
2000-02-01,1.4783,1.4783,1.4783,1.4783,XPAR:FIPP,0
2000-02-02,1.4783,1.4783,1.4783,1.4783,XPAR:FIPP,0
2000-02-03,1.4783,1.4783,1.4783,1.4783,XPAR:FIPP,0
2000-02-04,1.4783,1.4783,1.4783,1.4783,XPAR:FIPP,0
2000-02-07,1.4348,1.4348,1.4348,1.4348,XPAR:FIPP,460
2000-02-08,1.4348,1.4348,1.4348,1.4348,XPAR:FIPP,0
2000-02-09,1.4348,1.4348,1.4348,1.4348,XPAR:FIPP,0
2000-02-10,1.4348,1.4348,1.4348,1.4348,XPAR:FIPP,0
2000-02-11,1.4348,1.4348,1.4348,1.4348,XPAR:FIPP,0
2000-02-14,1.4348,1.4348,1.4348,1.4348,XPAR:FIPP,0
2000-02-15,1.4352,1.4352,1.4352,1.4352,XPAR:FIPP,230
2000-02-16,1.4783,1.4783,1.4783,1.4783,XPAR:FIPP,2300
2000-02-17,1.4783,1.4783,1.4783,1.4783,XPAR:FIPP,0
2000-02-18,1.4783,1.4783,1.4783,1.4783,XPAR:FIPP,0
2000-02-21,1.4348,1.4348,1.4348,1.4348,XPAR:FIPP,2277
2000-02-22,1.4348,1.4348,1.4348,1.4348,XPAR:FIPP,0
2000-02-23,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,23
2000-02-24,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,0
2000-02-25,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,0
2000-02-28,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,0
2000-02-29,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,0
2000-03-01,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,0
2000-03-02,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,0
2000-03-03,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,0
2000-03-06,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,0
2000-03-07,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,0
2000-03-08,1.3913,1.3913,1.3913,1.3913,XPAR:FIPP,0
2000-03-09,1.5652,1.5652,1.5652,1.5652,XPAR:FIPP,23
