Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,7.7368,7.8955,7.6714,7.6714,XPAR:FLO,31842
2000-01-04,7.8261,7.836,7.5385,7.7368,XPAR:FLO,11971
2000-01-05,7.7349,7.7368,7.4631,7.6317,XPAR:FLO,25330
2000-01-06,7.6377,7.6377,7.5087,7.5484,XPAR:FLO,21988
2000-01-07,7.5385,7.7170000000000005,7.3798,7.3798,XPAR:FLO,30738
2000-01-10,7.5781,7.7468,7.5385,7.7468,XPAR:FLO,3674
2000-01-11,7.8757,7.8757,7.6377,7.8162,XPAR:FLO,163967
2000-01-12,7.7964,7.9154,7.6972,7.8955,XPAR:FLO,28294
2000-01-13,7.7765,7.8955,7.6972,7.6972,XPAR:FLO,33138
2000-01-14,7.7269,7.836,7.6952,7.6952,XPAR:FLO,6331
2000-01-17,7.836,7.836,7.7368,7.7468,XPAR:FLO,11125
2000-01-18,7.836,7.836,7.7567,7.8162,XPAR:FLO,3644
2000-01-19,7.836,7.9352,7.7567,7.7567,XPAR:FLO,46435
2000-01-20,7.7765,7.8757,7.7765,7.7765,XPAR:FLO,10641
2000-01-21,7.7765,7.9253,7.6972,7.7765,XPAR:FLO,92942
2000-01-24,7.7368,7.7468,7.6178,7.7368,XPAR:FLO,10419
2000-01-25,7.6377,7.7368,7.5781,7.7368,XPAR:FLO,82689
2000-01-26,7.5781,7.7170000000000005,7.5781,7.5781,XPAR:FLO,5766
2000-01-27,7.6674,7.7011,7.5484,7.5781,XPAR:FLO,68378
2000-01-28,7.6575,7.7765,7.6377,7.7765,XPAR:FLO,14991
2000-01-31,7.7170000000000005,7.7170000000000005,7.5920000000000005,7.6178,XPAR:FLO,24654
2000-02-01,7.6972,7.7170000000000005,7.1814,7.6377,XPAR:FLO,4052
2000-02-02,7.1933,7.5385,7.1814,7.5385,XPAR:FLO,2434
2000-02-03,7.3401,7.5385,7.2012,7.5385,XPAR:FLO,8438
2000-02-04,7.4393,7.4393,7.0703,7.2449,XPAR:FLO,25320
2000-02-07,7.3996,7.4393,6.983,7.0683,XPAR:FLO,13378
2000-02-08,7.3401,7.4789,7.0425,7.3401,XPAR:FLO,10116
2000-02-09,7.0227,7.3401,7.0227,7.2409,XPAR:FLO,5408
2000-02-10,7.3381,7.3381,6.9632,7.0227,XPAR:FLO,4682
2000-02-11,7.1417,7.1417,6.9036,7.1417,XPAR:FLO,7914
2000-02-14,6.9136,7.1417,6.9136,7.1417,XPAR:FLO,9965
2000-02-15,6.5664,7.102,6.5664,7.0425,XPAR:FLO,13282
2000-02-16,6.8243,6.8441,6.5466,6.5466,XPAR:FLO,14910
2000-02-17,6.9413,7.0326,6.61,6.8243,XPAR:FLO,7677
2000-02-18,6.9334,6.9433,6.6061,6.7648,XPAR:FLO,6754
2000-02-21,6.4474,6.9235,6.4474,6.7449,XPAR:FLO,13998
2000-02-22,6.7449,6.7449,6.1498,6.4474,XPAR:FLO,6341
2000-02-23,6.7449,6.7449,6.4275,6.4275,XPAR:FLO,3362
2000-02-24,6.7449,6.9433,6.4771,6.4771,XPAR:FLO,9486
2000-02-25,6.9433,6.9433,6.7648,6.7648,XPAR:FLO,14744
2000-02-28,6.9532,7.1397,6.9433,7.0425,XPAR:FLO,3130
2000-02-29,7.0128,7.2409,6.9632,6.9632,XPAR:FLO,9159
2000-03-01,6.8878,7.2409,6.8878,6.983,XPAR:FLO,6825
2000-03-02,7.102,7.102,6.8441,6.8838,XPAR:FLO,9764
2000-03-03,7.2706,7.2706,6.864,7.1417,XPAR:FLO,10288
2000-03-06,6.9433,7.0425,6.5962,7.0425,XPAR:FLO,36319
2000-03-07,6.9433,6.9433,6.6497,6.6497,XPAR:FLO,21171
2000-03-08,6.9374,6.9433,6.7053,6.9433,XPAR:FLO,6961
2000-03-09,6.9374,6.9394,6.6755,6.7053,XPAR:FLO,3921
2000-03-10,6.9235,6.9235,6.7092,6.7092,XPAR:FLO,6477
2000-03-13,6.9235,6.9235,6.6894,6.7449,XPAR:FLO,5847
2000-03-14,6.7449,6.7449,6.6854,6.7053,XPAR:FLO,4017
2000-03-15,6.7449,6.7449,6.6854,6.6874,XPAR:FLO,8095
2000-03-16,6.7469,7.0425,6.6874,6.7449,XPAR:FLO,19281
2000-03-17,6.9433,7.1417,6.7668,6.9433,XPAR:FLO,14608
2000-03-20,6.9433,6.9433,6.8005,6.9433,XPAR:FLO,6225
2000-03-21,6.9235,6.9235,6.7767,6.7846,XPAR:FLO,9874
2000-03-22,6.7529,6.9195,6.7529,6.7846,XPAR:FLO,3110
2000-03-23,6.9235,6.9235,6.7846,6.9116,XPAR:FLO,8312
2000-03-24,6.9632,7.0425,6.8144,6.9235,XPAR:FLO,26388
2000-03-27,7.3103,7.3103,7.1417,7.2587,XPAR:FLO,177098
2000-03-28,7.4789,7.6377,7.4393,7.4393,XPAR:FLO,86112
2000-03-29,7.6277,7.6277,7.3936,7.5087,XPAR:FLO,55020
2000-03-30,7.6178,7.6773,7.3401,7.6773,XPAR:FLO,21917
2000-03-31,7.5781,7.6377,7.4789,7.6377,XPAR:FLO,25400
2000-04-03,7.5484,7.9154,7.3599,7.7368,XPAR:FLO,6134
2000-04-04,7.0425,7.5583,6.8441,7.5583,XPAR:FLO,14890
2000-04-05,6.7449,6.9433,6.7449,6.9433,XPAR:FLO,9481
2000-04-06,6.7449,6.9433,6.6457,6.7053,XPAR:FLO,20783
2000-04-07,6.7846,6.9235,6.6815,6.8441,XPAR:FLO,13393
2000-04-10,6.8878,6.8878,6.6457,6.6953,XPAR:FLO,5040
2000-04-11,6.5466,6.6457,6.487,6.6457,XPAR:FLO,19452
2000-04-12,6.5466,6.5466,6.3581,6.5466,XPAR:FLO,21892
2000-04-13,6.5466,6.5466,6.249,6.3482,XPAR:FLO,49092
2000-04-14,6.5426,6.5426,6.2589,6.3898,XPAR:FLO,6583
2000-04-17,6.7251,6.735,6.1498,6.3482,XPAR:FLO,15253
2000-04-18,6.5862,6.7846,6.4573,6.5664,XPAR:FLO,15979
2000-04-19,6.7311,6.9036,6.5862,6.5862,XPAR:FLO,37881
2000-04-20,7.2389,7.3202,6.7271,6.7449,XPAR:FLO,83662
2000-04-21,7.2389,7.2389,7.2389,7.2389,XPAR:FLO,0
2000-04-24,7.2389,7.2389,7.2389,7.2389,XPAR:FLO,0
2000-04-25,7.1814,7.3798,7.0445,7.3798,XPAR:FLO,51814
2000-04-26,7.1516,7.3103,7.1457,7.2726,XPAR:FLO,11941
2000-04-27,7.2905,7.3004,7.1715,7.3004,XPAR:FLO,6618
2000-04-28,7.2211,7.3758,7.1715,7.3202,XPAR:FLO,34070
2000-05-01,7.2211,7.2211,7.2211,7.2211,XPAR:FLO,0
2000-05-02,7.3401,7.3421,7.1457,7.2409,XPAR:FLO,13448
2000-05-03,7.3798,7.4789,7.2409,7.4155,XPAR:FLO,25541
2000-05-04,7.3401,7.3401,7.2211,7.3401,XPAR:FLO,14114
