Date,Close,High,Low,Open,Symbol,Volume
2000-01-04,2.08,2.08,2.08,2.08,XPAR:FPG,15959
2000-01-05,1.875,1.875,1.875,1.875,XPAR:FPG,16488
2000-01-06,2.06,2.06,2.06,2.06,XPAR:FPG,10644
2000-01-07,2.22,2.22,2.22,2.22,XPAR:FPG,22312
2000-01-10,2.22,2.22,2.22,2.22,XPAR:FPG,0
2000-01-11,2.68,2.68,2.68,2.68,XPAR:FPG,28384
2000-01-12,2.68,2.68,2.68,2.68,XPAR:FPG,0
2000-01-13,3.17,3.17,3.17,3.17,XPAR:FPG,25996
2000-01-14,3.17,3.17,3.17,3.17,XPAR:FPG,0
2000-01-17,3.66,3.66,3.66,3.66,XPAR:FPG,20152
2000-01-18,3.47,3.47,3.47,3.47,XPAR:FPG,22864
2000-01-19,3.12,3.12,3.12,3.12,XPAR:FPG,34432
2000-01-20,3.24,3.24,3.24,3.24,XPAR:FPG,17520
2000-01-21,3.16,3.16,3.16,3.16,XPAR:FPG,7835
2000-01-24,3.125,3.125,3.125,3.125,XPAR:FPG,29980
2000-01-25,3.17,3.17,3.17,3.17,XPAR:FPG,31204
2000-01-26,3.48,3.48,3.48,3.48,XPAR:FPG,59236
2000-01-27,3.825,3.825,3.825,3.825,XPAR:FPG,35896
2000-01-28,3.825,3.825,3.825,3.825,XPAR:FPG,0
2000-01-31,4.615,4.615,4.615,4.615,XPAR:FPG,93116
2000-02-01,4.615,4.615,4.615,4.615,XPAR:FPG,0
2000-02-02,4.615,4.615,4.615,4.615,XPAR:FPG,0
2000-02-03,6.13,6.13,6.13,6.13,XPAR:FPG,267820
2000-02-04,6.745,6.745,6.745,6.745,XPAR:FPG,126000
2000-02-07,6.745,6.745,6.745,6.745,XPAR:FPG,79580
2000-02-08,6.99,6.99,6.99,6.99,XPAR:FPG,98660
2000-02-09,7.165,7.165,7.165,7.165,XPAR:FPG,66392
2000-02-10,7.165,7.165,7.165,7.165,XPAR:FPG,23140
2000-02-11,7.165,7.165,7.165,7.165,XPAR:FPG,0
2000-02-14,7.165,7.165,7.165,7.165,XPAR:FPG,0
2000-02-15,9.53,9.53,9.53,9.53,XPAR:FPG,162196
2000-02-16,10.48,10.48,10.48,10.48,XPAR:FPG,99560
2000-02-17,10.415,10.415,10.415,10.415,XPAR:FPG,47668
2000-02-18,10.0,10.0,10.0,10.0,XPAR:FPG,29464
2000-02-21,10.0,10.0,10.0,10.0,XPAR:FPG,31503
2000-02-22,9.98,9.98,9.98,9.98,XPAR:FPG,31084
2000-02-23,9.98,9.98,9.98,9.98,XPAR:FPG,20560
2000-02-24,9.0,9.0,9.0,9.0,XPAR:FPG,2458
2000-02-25,9.0,9.0,9.0,9.0,XPAR:FPG,12240
2000-02-28,9.75,9.75,9.75,9.75,XPAR:FPG,12576
2000-02-29,10.41,10.41,10.41,10.41,XPAR:FPG,31444
2000-03-01,10.33,10.33,10.33,10.33,XPAR:FPG,29800
