Date,Close,High,Low,Open,Symbol,Volume
2000-12-15,184.0,184.0,184.0,184.0,XPAR:GDMS,68
2000-12-18,184.0,184.0,184.0,184.0,XPAR:GDMS,0
2000-12-19,183.5,183.5,175.0,175.0,XPAR:GDMS,6
2000-12-20,183.5,183.5,175.0,175.0,XPAR:GDMS,0
2000-12-21,155.5,155.5,155.5,155.5,XPAR:GDMS,15
2000-12-22,155.5,155.5,155.5,155.5,XPAR:GDMS,0
2000-12-25,155.5,155.5,155.5,155.5,XPAR:GDMS,0
2000-12-26,155.5,155.5,155.5,155.5,XPAR:GDMS,0
2000-12-27,155.5,155.5,155.5,155.5,XPAR:GDMS,0
2000-12-28,155.5,155.5,155.5,155.5,XPAR:GDMS,10
2000-12-29,155.5,155.5,155.5,155.5,XPAR:GDMS,0
2001-01-01,155.5,155.5,155.5,155.5,XPAR:GDMS,0
2001-01-02,155.5,155.5,155.5,155.5,XPAR:GDMS,0
2001-01-03,155.5,155.5,155.5,155.5,XPAR:GDMS,0
2001-01-04,155.5,155.5,155.5,155.5,XPAR:GDMS,0
2001-01-05,170.1,170.1,170.1,170.1,XPAR:GDMS,18
2001-01-08,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-09,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-10,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-11,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-12,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-15,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-16,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-17,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-18,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-19,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-22,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-23,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-24,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-25,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-26,170.1,170.1,170.1,170.1,XPAR:GDMS,0
2001-01-29,162.0,162.0,162.0,162.0,XPAR:GDMS,10
2001-01-30,162.0,162.0,162.0,162.0,XPAR:GDMS,0
2001-01-31,162.0,162.0,162.0,162.0,XPAR:GDMS,0
2001-02-01,162.0,162.0,162.0,162.0,XPAR:GDMS,0
2001-02-02,162.0,162.0,162.0,162.0,XPAR:GDMS,0
2001-02-05,156.0,156.0,156.0,156.0,XPAR:GDMS,5
2001-02-06,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-07,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-08,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-09,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-12,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-13,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-14,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-15,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-16,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-19,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-20,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-21,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-22,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-23,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-26,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-27,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-02-28,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-01,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-02,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-05,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-06,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-07,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-08,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-09,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-12,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-13,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-14,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-15,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-16,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-19,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-20,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-21,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-22,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-23,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-26,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-27,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-28,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-29,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-03-30,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-04-02,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-04-03,156.0,156.0,156.0,156.0,XPAR:GDMS,0
2001-04-04,179.4,179.4,179.4,179.4,XPAR:GDMS,19
2001-04-05,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-06,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-09,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-10,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-11,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-12,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-13,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-16,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-17,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-18,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-19,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-20,179.4,179.4,179.4,179.4,XPAR:GDMS,0
2001-04-23,197.0,197.0,197.0,197.0,XPAR:GDMS,13
2001-04-24,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-04-25,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-04-26,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-04-27,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-04-30,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-01,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-02,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-03,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-04,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-07,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-08,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-09,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-10,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-11,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-14,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-15,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-16,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-17,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-18,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-21,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-22,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-23,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-24,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-25,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-28,197.0,197.0,197.0,197.0,XPAR:GDMS,0
2001-05-29,196.9,196.9,196.9,196.9,XPAR:GDMS,50
2001-05-30,196.9,196.9,196.9,196.9,XPAR:GDMS,0
2001-05-31,196.9,196.9,196.9,196.9,XPAR:GDMS,0
2001-06-01,196.9,196.9,196.9,196.9,XPAR:GDMS,0
2001-06-04,196.9,196.9,196.9,196.9,XPAR:GDMS,0
2001-06-05,196.9,196.9,196.9,196.9,XPAR:GDMS,0
2001-06-06,196.9,196.9,196.9,196.9,XPAR:GDMS,0
2001-06-07,196.9,196.9,196.9,196.9,XPAR:GDMS,0
2001-06-08,196.9,196.9,196.9,196.9,XPAR:GDMS,0
2001-06-11,196.9,196.9,196.9,196.9,XPAR:GDMS,0
2001-06-12,196.9,196.9,196.9,196.9,XPAR:GDMS,0
