Date,Close,High,Low,Open,Symbol,Volume
2007-08-02,6.7,6.8,6.1,6.1,XPAR:GENX,1183
2007-08-03,6.34,6.7,6.34,6.7,XPAR:GENX,1913
2007-08-06,6.6,6.78,6.2,6.2,XPAR:GENX,3648
2007-08-07,6.58,6.58,6.3,6.45,XPAR:GENX,4502
2007-08-08,6.25,6.56,6.22,6.56,XPAR:GENX,5010
2007-08-09,6.32,6.38,6.2,6.2,XPAR:GENX,2749
2007-08-10,5.85,6.33,5.61,6.32,XPAR:GENX,20498
2007-08-13,6.0,6.15,5.86,5.86,XPAR:GENX,12542
2007-08-14,5.84,6.0,5.84,5.97,XPAR:GENX,6582
2007-08-15,5.7,5.83,5.61,5.83,XPAR:GENX,7489
2007-08-16,5.27,5.63,5.15,5.6,XPAR:GENX,27411
2007-08-17,5.14,5.4,4.92,5.01,XPAR:GENX,29072
2007-08-20,5.37,5.39,5.15,5.39,XPAR:GENX,2466
2007-08-21,5.37,5.4,5.12,5.4,XPAR:GENX,7377
2007-08-22,5.57,5.57,5.39,5.39,XPAR:GENX,6326
2007-08-23,5.52,5.75,5.52,5.68,XPAR:GENX,5238
2007-08-24,5.64,5.7,5.5,5.68,XPAR:GENX,2561
2007-08-27,5.58,5.75,5.53,5.7,XPAR:GENX,6102
2007-08-28,5.5,5.53,5.25,5.53,XPAR:GENX,11702
2007-08-29,5.3,5.42,5.16,5.16,XPAR:GENX,12763
2007-08-30,5.3,5.45,5.3,5.39,XPAR:GENX,9916
2007-08-31,5.4,5.48,5.3,5.3,XPAR:GENX,11907
2007-09-03,5.49,5.5,5.16,5.5,XPAR:GENX,10817
2007-09-04,5.35,5.47,5.3,5.47,XPAR:GENX,4518
2007-09-05,5.29,5.38,5.29,5.31,XPAR:GENX,3120
2007-09-06,5.25,5.37,5.18,5.3,XPAR:GENX,4960
2007-09-07,5.0,5.2,5.0,5.2,XPAR:GENX,22183
2007-09-10,4.8,4.98,4.62,4.62,XPAR:GENX,18583
2007-09-11,4.98,4.98,4.65,4.8,XPAR:GENX,15928
2007-09-12,4.98,4.99,4.9,4.9,XPAR:GENX,4283
2007-09-13,4.96,4.96,4.72,4.9,XPAR:GENX,20256
2007-09-14,4.9,4.94,4.76,4.83,XPAR:GENX,14690
2007-09-17,4.6,4.83,4.55,4.8,XPAR:GENX,40690
2007-09-18,4.48,4.49,4.0,4.3,XPAR:GENX,39715
2007-09-19,5.07,5.41,5.03,5.1,XPAR:GENX,69889
2007-09-20,5.07,5.29,5.07,5.22,XPAR:GENX,31565
2007-09-21,5.1,5.18,5.05,5.18,XPAR:GENX,21750
2007-09-24,5.0,5.01,4.94,5.01,XPAR:GENX,17518
2007-09-25,5.0,5.0,4.92,4.95,XPAR:GENX,8197
2007-09-26,5.0,5.05,4.9,4.93,XPAR:GENX,12949
2007-09-27,4.9,4.97,4.7,4.84,XPAR:GENX,9691
2007-09-28,4.75,4.86,4.71,4.8,XPAR:GENX,10830
2007-10-01,4.8,4.8,4.65,4.7,XPAR:GENX,17095
2007-10-02,4.78,4.9,4.7,4.75,XPAR:GENX,35053
2007-10-03,4.77,4.8,4.69,4.78,XPAR:GENX,19285
2007-10-04,4.74,4.8,4.7,4.76,XPAR:GENX,10870
2007-10-05,4.76,4.8,4.7,4.7,XPAR:GENX,8666
2007-10-08,4.79,4.79,4.71,4.75,XPAR:GENX,6167
2007-10-09,4.8,4.8,4.74,4.79,XPAR:GENX,6729
2007-10-10,4.77,4.88,4.73,4.79,XPAR:GENX,15071
2007-10-11,4.83,4.83,4.78,4.78,XPAR:GENX,7800
2007-10-12,4.82,4.82,4.74,4.8,XPAR:GENX,29713
2007-10-15,4.78,4.84,4.77,4.84,XPAR:GENX,6198
2007-10-16,4.8,4.8,4.73,4.76,XPAR:GENX,4384
2007-10-17,4.6,4.74,4.53,4.73,XPAR:GENX,76134
2007-10-18,4.8,4.8,4.6,4.6,XPAR:GENX,11324
2007-10-19,4.98,5.0,4.7,4.72,XPAR:GENX,20826
2007-10-22,4.98,4.98,4.83,4.95,XPAR:GENX,14987
2007-10-23,5.4,5.45,4.98,4.98,XPAR:GENX,58138
2007-10-24,5.4,5.6,5.07,5.4,XPAR:GENX,26495
2007-10-25,5.6,5.78,5.42,5.44,XPAR:GENX,18185
2007-10-26,5.47,5.75,5.45,5.63,XPAR:GENX,10476
2007-10-29,5.57,5.6,5.47,5.47,XPAR:GENX,6769
2007-10-30,5.6,5.6,5.53,5.53,XPAR:GENX,8566
2007-10-31,5.58,5.62,5.31,5.6,XPAR:GENX,20170
2007-11-01,5.26,5.57,5.13,5.57,XPAR:GENX,24892
2007-11-02,5.19,5.2,5.05,5.2,XPAR:GENX,12436
2007-11-05,5.0,5.18,4.84,5.0,XPAR:GENX,22627
2007-11-06,4.97,4.98,4.88,4.97,XPAR:GENX,7264
2007-11-07,4.9,4.97,4.82,4.97,XPAR:GENX,9370
2007-11-08,4.8,4.89,4.75,4.89,XPAR:GENX,21989
2007-11-09,4.6,4.78,4.51,4.72,XPAR:GENX,25071
2007-11-12,4.59,4.68,4.31,4.68,XPAR:GENX,13979
2007-11-13,4.59,4.59,4.3,4.5,XPAR:GENX,16351
2007-11-14,4.7,4.7,4.6,4.6,XPAR:GENX,8949
2007-11-15,4.62,4.68,4.55,4.56,XPAR:GENX,1484
2007-11-16,4.5,4.67,4.41,4.62,XPAR:GENX,8344
2007-11-19,4.4,4.65,4.32,4.65,XPAR:GENX,10265
2007-11-20,4.38,4.5,4.32,4.36,XPAR:GENX,12408
