Date,Close,High,Low,Open,Symbol,Volume
2007-07-02,9.0,15.4,8.4,15.0,XPAR:GET,6663371
2007-07-03,7.6,8.6,7.4,8.6,XPAR:GET,2475828
2007-07-04,7.6,8.0,7.4,7.6,XPAR:GET,26161
2007-07-05,7.6,7.8,7.4,7.8,XPAR:GET,496671
2007-07-06,7.2,7.6,6.8,7.4,XPAR:GET,1455115
2007-07-09,6.8,7.4,6.8,7.2,XPAR:GET,895698
2007-07-10,7.4,7.4,6.8,7.0,XPAR:GET,790843
2007-07-11,8.2,8.4,7.2,7.4,XPAR:GET,2487040
2007-07-12,7.8,8.2,7.6,8.2,XPAR:GET,939719
2007-07-13,8.0,8.2,7.6,8.0,XPAR:GET,452410
2007-07-16,8.0,8.2,8.0,8.2,XPAR:GET,238358
2007-07-17,8.0,8.2,8.0,8.0,XPAR:GET,243745
2007-07-18,7.8,8.2,7.8,8.0,XPAR:GET,321854
2007-07-19,7.8,8.0,7.6,7.8,XPAR:GET,1340920
2007-07-20,7.6,7.8,7.6,7.6,XPAR:GET,263768
2007-07-23,7.4,7.8,7.4,7.6,XPAR:GET,423163
2007-07-24,7.6,7.6,7.4,7.6,XPAR:GET,151793
2007-07-25,7.4,7.6,7.2,7.6,XPAR:GET,530664
2007-07-26,7.4,7.4,7.2,7.4,XPAR:GET,403092
2007-07-27,7.0,7.4,7.0,7.2,XPAR:GET,388504
2007-07-30,7.2,7.4,7.0,7.2,XPAR:GET,571128
2007-07-31,7.0,7.2,6.8,7.2,XPAR:GET,371680
2007-08-01,7.0,7.2,6.8,6.8,XPAR:GET,631897
2007-08-02,6.8,7.2,6.8,7.0,XPAR:GET,180291
2007-08-03,7.0,7.2,6.8,7.0,XPAR:GET,179021
2007-08-06,6.6,7.0,6.4,7.0,XPAR:GET,1542190
2007-08-07,5.6,6.8,5.6,6.6,XPAR:GET,1297937
2007-08-08,6.0,6.2,5.6,5.8,XPAR:GET,825426
2007-08-09,6.2,6.2,6.0,6.2,XPAR:GET,178899
2007-08-10,5.8,6.2,5.6,6.0,XPAR:GET,529441
2007-08-13,5.8,6.0,5.8,5.8,XPAR:GET,111033
2007-08-14,5.6,6.0,5.6,6.0,XPAR:GET,230173
2007-08-15,5.8,5.8,5.6,5.6,XPAR:GET,67980
2007-08-16,5.8,5.8,5.4,5.6,XPAR:GET,453131
2007-08-17,6.0,6.0,5.4,5.6,XPAR:GET,386264
2007-08-20,6.2,6.4,6.0,6.0,XPAR:GET,396187
2007-08-21,6.0,6.2,6.0,6.2,XPAR:GET,44700
2007-08-22,6.2,6.4,6.0,6.0,XPAR:GET,447709
2007-08-23,6.2,6.4,6.0,6.2,XPAR:GET,443975
2007-08-24,6.4,6.6,6.2,6.2,XPAR:GET,384374
2007-08-27,7.0,7.0,6.4,6.6,XPAR:GET,567225
2007-08-28,6.8,7.0,6.6,7.0,XPAR:GET,317853
2007-08-29,7.0,7.0,6.6,6.6,XPAR:GET,319476
2007-08-30,6.6,7.2,6.6,7.2,XPAR:GET,424318
2007-08-31,6.8,7.2,6.4,6.6,XPAR:GET,536616
2007-09-03,7.4,7.6,7.0,7.2,XPAR:GET,1249919
2007-09-04,7.4,7.4,7.2,7.4,XPAR:GET,6363
2007-09-05,7.6,7.8,7.2,7.4,XPAR:GET,1076553
2007-09-06,7.6,7.8,7.6,7.8,XPAR:GET,492545
2007-09-07,7.4,8.0,7.4,7.6,XPAR:GET,1170791
2007-09-10,7.4,7.6,7.2,7.4,XPAR:GET,9255
2007-09-11,7.6,7.6,7.2,7.4,XPAR:GET,176914
2007-09-12,7.2,7.6,7.2,7.4,XPAR:GET,354653
2007-09-13,7.4,7.6,7.2,7.4,XPAR:GET,386551
