Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,26.89,26.9,26.89,26.9,XPAR:GIRO,1300
2000-01-04,25.1,25.1,25.1,25.1,XPAR:GIRO,900
2000-01-05,24.89,25.14,24.89,25.14,XPAR:GIRO,600
2000-01-06,25.0,25.0,24.89,24.89,XPAR:GIRO,700
2000-01-07,26.0,26.0,25.61,25.61,XPAR:GIRO,1100
2000-01-10,26.0,26.0,25.61,25.61,XPAR:GIRO,0
2000-01-11,26.0,26.0,25.61,25.61,XPAR:GIRO,0
2000-01-12,31.17,32.8,31.17,32.8,XPAR:GIRO,29300
2000-01-13,31.0,31.2,31.0,31.2,XPAR:GIRO,8700
2000-01-14,30.79,30.85,30.79,30.85,XPAR:GIRO,3700
2000-01-17,30.79,30.85,30.79,30.85,XPAR:GIRO,0
2000-01-18,36.0,36.0,36.0,36.0,XPAR:GIRO,19300
2000-01-19,36.0,36.3,36.0,36.3,XPAR:GIRO,10600
2000-01-20,36.0,36.6,36.0,36.6,XPAR:GIRO,4600
2000-01-21,36.0,36.0,36.0,36.0,XPAR:GIRO,3600
2000-01-24,35.0,35.0,35.0,35.0,XPAR:GIRO,8100
2000-01-25,34.0,34.4,34.0,34.4,XPAR:GIRO,2800
2000-01-26,33.5,33.9,33.5,33.9,XPAR:GIRO,3600
2000-01-27,33.0,34.0,33.0,34.0,XPAR:GIRO,3400
2000-01-28,34.5,34.5,34.5,34.5,XPAR:GIRO,800
2000-01-31,33.0,34.5,33.0,34.5,XPAR:GIRO,2600
2000-02-01,33.0,33.0,33.0,33.0,XPAR:GIRO,500
2000-02-02,35.0,35.0,35.0,35.0,XPAR:GIRO,900
2000-02-03,34.0,34.1,34.0,34.1,XPAR:GIRO,300
2000-02-04,33.99,33.99,33.0,33.0,XPAR:GIRO,600
2000-02-07,33.99,33.99,33.5,33.5,XPAR:GIRO,800
2000-02-08,33.0,33.0,33.0,33.0,XPAR:GIRO,1000
2000-02-09,32.9,32.9,32.9,32.9,XPAR:GIRO,500
2000-02-10,32.0,32.0,32.0,32.0,XPAR:GIRO,900
2000-02-11,31.1,31.5,31.1,31.5,XPAR:GIRO,800
2000-02-14,31.0,31.0,31.0,31.0,XPAR:GIRO,1800
2000-02-15,30.2,31.0,30.2,31.0,XPAR:GIRO,3000
2000-02-16,30.0,30.0,30.0,30.0,XPAR:GIRO,1400
2000-02-17,30.0,31.0,30.0,31.0,XPAR:GIRO,600
2000-02-18,31.1,31.1,31.1,31.1,XPAR:GIRO,200
2000-02-21,30.0,30.0,30.0,30.0,XPAR:GIRO,700
2000-02-22,29.75,30.0,29.75,30.0,XPAR:GIRO,1100
2000-02-23,29.1,29.57,29.1,29.57,XPAR:GIRO,200
2000-02-24,29.25,29.25,29.12,29.12,XPAR:GIRO,500
2000-02-25,29.5,29.5,29.25,29.25,XPAR:GIRO,900
2000-02-28,29.5,29.5,29.25,29.25,XPAR:GIRO,0
2000-02-29,34.0,34.0,33.9,33.9,XPAR:GIRO,5800
2000-03-01,35.0,35.0,34.0,34.0,XPAR:GIRO,1800
2000-03-02,34.9,35.0,34.9,35.0,XPAR:GIRO,1400
2000-03-03,33.9,33.95,33.9,33.95,XPAR:GIRO,1600
2000-03-06,33.0,33.0,33.0,33.0,XPAR:GIRO,2100
2000-03-07,32.0,32.0,32.0,32.0,XPAR:GIRO,500
2000-03-08,31.4,31.4,31.4,31.4,XPAR:GIRO,100
2000-03-09,31.5,31.5,31.5,31.5,XPAR:GIRO,400
2000-03-10,31.5,31.5,31.5,31.5,XPAR:GIRO,200
2000-03-13,31.5,31.7,31.5,31.7,XPAR:GIRO,759
2000-03-14,31.0,31.35,31.0,31.35,XPAR:GIRO,300
2000-03-15,31.0,31.0,31.0,31.0,XPAR:GIRO,500
2000-03-16,30.48,30.95,30.48,30.95,XPAR:GIRO,700
2000-03-17,30.5,30.5,30.5,30.5,XPAR:GIRO,200
2000-03-20,30.09,30.47,30.09,30.47,XPAR:GIRO,800
2000-03-21,30.8,30.8,30.1,30.1,XPAR:GIRO,300
2000-03-22,31.0,31.0,31.0,31.0,XPAR:GIRO,200
2000-03-23,30.95,30.95,30.95,30.95,XPAR:GIRO,300
2000-03-24,31.0,31.0,31.0,31.0,XPAR:GIRO,3200
2000-03-27,30.45,30.45,30.45,30.45,XPAR:GIRO,400
2000-03-28,31.0,31.0,31.0,31.0,XPAR:GIRO,700
2000-03-29,30.9,30.9,30.21,30.21,XPAR:GIRO,200
2000-03-30,31.0,31.0,30.89,30.89,XPAR:GIRO,600
2000-03-31,30.0,31.0,30.0,31.0,XPAR:GIRO,800
2000-04-03,28.6,29.0,28.6,29.0,XPAR:GIRO,600
2000-04-04,28.7,28.9,28.7,28.9,XPAR:GIRO,1300
2000-04-05,28.5,29.0,28.5,29.0,XPAR:GIRO,700
2000-04-06,30.1,30.1,30.1,30.1,XPAR:GIRO,200
2000-04-07,30.1,30.1,30.1,30.1,XPAR:GIRO,300
