Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,10.95,10.95,10.5,10.5,XPAR:GRVO,176
2000-01-04,10.95,10.95,10.95,10.95,XPAR:GRVO,60
2000-01-05,10.5,10.5,10.5,10.5,XPAR:GRVO,320
2000-01-06,10.5,10.5,10.5,10.5,XPAR:GRVO,100
2000-01-07,10.5,10.5,10.5,10.5,XPAR:GRVO,968
2000-01-10,10.25,10.25,10.25,10.25,XPAR:GRVO,140
2000-01-11,10.5,10.5,10.25,10.25,XPAR:GRVO,700
2000-01-12,9.75,10.0,9.75,10.0,XPAR:GRVO,460
2000-01-13,10.6,10.6,10.22,10.22,XPAR:GRVO,1116
2000-01-14,10.5,10.5,10.25,10.25,XPAR:GRVO,622
2000-01-17,10.45,10.45,10.45,10.45,XPAR:GRVO,220
2000-01-18,10.0,10.4,10.0,10.4,XPAR:GRVO,1436
2000-01-19,9.5,9.5,9.5,9.5,XPAR:GRVO,522
2000-01-20,10.0,10.0,9.63,9.63,XPAR:GRVO,200
2000-01-21,10.0,10.5,10.0,10.5,XPAR:GRVO,262
2000-01-24,9.65,9.65,9.65,9.65,XPAR:GRVO,1016
2000-01-25,9.26,9.65,9.26,9.65,XPAR:GRVO,726
2000-01-26,9.72,9.72,9.72,9.72,XPAR:GRVO,400
2000-01-27,9.55,9.55,9.5,9.5,XPAR:GRVO,280
2000-01-28,9.55,9.55,9.55,9.55,XPAR:GRVO,100
2000-01-31,9.05,9.49,9.05,9.49,XPAR:GRVO,576
2000-02-01,9.5,9.5,9.05,9.05,XPAR:GRVO,450
2000-02-02,9.25,9.25,9.25,9.25,XPAR:GRVO,572
2000-02-03,9.0,9.0,9.0,9.0,XPAR:GRVO,458
2000-02-04,9.45,9.45,9.45,9.45,XPAR:GRVO,1050
2000-02-07,9.92,9.92,9.92,9.92,XPAR:GRVO,990
2000-02-08,9.5,9.5,9.5,9.5,XPAR:GRVO,260
2000-02-09,9.96,9.96,9.96,9.96,XPAR:GRVO,160
2000-02-10,9.48,9.5,9.48,9.5,XPAR:GRVO,560
2000-02-11,8.56,8.56,8.56,8.56,XPAR:GRVO,1184
2000-02-14,8.25,8.5,8.25,8.5,XPAR:GRVO,484
2000-02-15,7.99,7.99,7.92,7.92,XPAR:GRVO,1430
2000-02-16,8.4,8.4,8.0,8.0,XPAR:GRVO,300
2000-02-17,8.5,8.8,8.5,8.8,XPAR:GRVO,670
2000-02-18,8.94,8.94,8.94,8.94,XPAR:GRVO,900
2000-02-21,9.1,9.1,8.76,8.76,XPAR:GRVO,560
2000-02-22,9.2,9.2,9.1,9.1,XPAR:GRVO,172
2000-02-23,9.25,9.5,9.25,9.5,XPAR:GRVO,226
2000-02-24,9.05,9.5,9.05,9.5,XPAR:GRVO,540
2000-02-25,8.99,8.99,8.6,8.6,XPAR:GRVO,782
2000-02-28,8.6,8.6,8.6,8.6,XPAR:GRVO,636
2000-02-29,8.73,8.73,8.72,8.72,XPAR:GRVO,454
