Date,Close,High,Low,Open,Symbol,Volume
2001-02-15,15.3,15.3,15.3,15.3,XPAR:HDP,23471
2001-02-16,14.3,14.54,14.3,14.54,XPAR:HDP,17902
2001-02-19,14.75,14.85,14.75,14.85,XPAR:HDP,545
2001-02-20,14.7,14.75,14.7,14.75,XPAR:HDP,1473
2001-02-21,14.4,14.45,14.4,14.45,XPAR:HDP,300
2001-02-22,14.3,14.3,14.0,14.0,XPAR:HDP,10568
2001-02-23,13.55,13.6,13.55,13.6,XPAR:HDP,4462
2001-02-26,14.15,14.15,14.15,14.15,XPAR:HDP,860
2001-02-27,14.15,14.15,14.15,14.15,XPAR:HDP,990
2001-02-28,13.8,14.15,13.8,14.15,XPAR:HDP,335
2001-03-01,14.0,14.0,13.8,13.8,XPAR:HDP,363
2001-03-02,14.0,14.0,14.0,14.0,XPAR:HDP,119
2001-03-05,14.0,14.0,13.8,13.8,XPAR:HDP,1304
2001-03-06,13.6,14.0,13.6,14.0,XPAR:HDP,1637
2001-03-07,13.0,13.6,13.0,13.6,XPAR:HDP,2486
2001-03-08,13.5,13.5,13.5,13.5,XPAR:HDP,720
2001-03-09,13.5,13.5,13.5,13.5,XPAR:HDP,1048
2001-03-12,13.3,13.3,12.95,12.95,XPAR:HDP,880
2001-03-13,13.0,13.0,13.0,13.0,XPAR:HDP,308
2001-03-14,13.0,13.0,13.0,13.0,XPAR:HDP,0
2001-03-15,12.9,12.9,12.9,12.9,XPAR:HDP,946
2001-03-16,13.5,13.5,13.0,13.0,XPAR:HDP,1794
2001-03-19,13.8,13.8,13.5,13.5,XPAR:HDP,1764
2001-03-20,13.2,13.51,13.2,13.51,XPAR:HDP,10561
2001-03-21,13.4,13.6,13.4,13.6,XPAR:HDP,6830
2001-03-22,13.5,13.5,13.05,13.05,XPAR:HDP,2501
2001-03-23,13.0,13.0,13.0,13.0,XPAR:HDP,2952
2001-03-26,13.0,13.0,13.0,13.0,XPAR:HDP,1583
2001-03-27,13.0,13.0,13.0,13.0,XPAR:HDP,1845
2001-03-28,12.8,13.0,12.8,13.0,XPAR:HDP,1510
2001-03-29,13.0,13.0,12.81,12.81,XPAR:HDP,2201
2001-03-30,13.9,13.9,13.9,13.9,XPAR:HDP,480
2001-04-02,13.21,13.5,13.21,13.5,XPAR:HDP,0
2001-04-03,13.2,13.2,13.2,13.2,XPAR:HDP,300
2001-04-04,13.5,13.5,13.2,13.2,XPAR:HDP,605
2001-04-05,12.95,12.95,12.94,12.94,XPAR:HDP,1100
2001-04-06,13.0,13.05,13.0,13.05,XPAR:HDP,1884
2001-04-09,13.09,13.09,13.09,13.09,XPAR:HDP,201
2001-04-10,13.1,13.1,12.95,12.95,XPAR:HDP,304
2001-04-11,13.1,13.1,13.08,13.08,XPAR:HDP,180
2001-04-12,13.1,13.1,13.1,13.1,XPAR:HDP,270
2001-04-13,13.1,13.1,13.1,13.1,XPAR:HDP,0
2001-04-16,13.1,13.1,13.1,13.1,XPAR:HDP,0
2001-04-17,13.4,13.4,13.2,13.2,XPAR:HDP,1416
2001-04-18,13.4,13.4,13.3,13.3,XPAR:HDP,230
2001-04-19,13.3,13.3,13.3,13.3,XPAR:HDP,1073
2001-04-20,13.3,13.3,13.3,13.3,XPAR:HDP,327
2001-04-23,13.3,13.3,13.3,13.3,XPAR:HDP,50
2001-04-24,13.3,13.3,13.3,13.3,XPAR:HDP,3159
2001-04-25,13.2,13.25,13.2,13.25,XPAR:HDP,1973
2001-04-26,13.2,13.2,13.2,13.2,XPAR:HDP,50
2001-04-27,13.0,13.0,13.0,13.0,XPAR:HDP,4150
2001-04-30,13.28,13.28,13.15,13.15,XPAR:HDP,210
2001-05-01,13.28,13.28,13.15,13.15,XPAR:HDP,0
2001-05-02,13.0,13.8,13.0,13.8,XPAR:HDP,1320
2001-05-03,12.5,12.5,11.7,11.7,XPAR:HDP,2701
2001-05-04,13.1,13.1,13.1,13.1,XPAR:HDP,641
2001-05-07,13.1,13.1,13.1,13.1,XPAR:HDP,0
2001-05-08,13.0,13.0,13.0,13.0,XPAR:HDP,50
2001-05-09,13.0,13.05,13.0,13.05,XPAR:HDP,620
2001-05-10,13.0,13.0,12.99,12.99,XPAR:HDP,2200
2001-05-11,13.0,13.0,12.99,12.99,XPAR:HDP,0
2001-05-14,12.5,13.0,12.5,13.0,XPAR:HDP,1345
2001-05-15,12.97,12.97,12.5,12.5,XPAR:HDP,1512
2001-05-16,12.97,12.97,12.6,12.6,XPAR:HDP,320
2001-05-17,12.97,12.97,12.97,12.97,XPAR:HDP,151
2001-05-18,12.97,12.97,12.65,12.65,XPAR:HDP,140
2001-05-21,12.6,12.98,12.6,12.98,XPAR:HDP,1000
2001-05-22,12.97,12.97,12.6,12.6,XPAR:HDP,60
2001-05-23,12.5,12.71,12.5,12.71,XPAR:HDP,2050
2001-05-24,12.55,12.55,12.55,12.55,XPAR:HDP,50
2001-05-25,12.7,12.7,12.5,12.5,XPAR:HDP,1155
2001-05-28,12.93,12.93,12.93,12.93,XPAR:HDP,760
2001-05-29,12.98,12.98,12.98,12.98,XPAR:HDP,565
2001-05-30,12.99,12.99,12.98,12.98,XPAR:HDP,683
2001-05-31,12.7,12.99,12.7,12.99,XPAR:HDP,716
2001-06-01,12.9,12.9,12.7,12.7,XPAR:HDP,204
2001-06-04,12.9,12.9,12.7,12.7,XPAR:HDP,0
2001-06-05,12.9,12.9,12.9,12.9,XPAR:HDP,1013
2001-06-06,12.88,12.88,12.88,12.88,XPAR:HDP,1695
2001-06-07,12.7,12.75,12.7,12.75,XPAR:HDP,262
2001-06-08,12.7,12.7,12.7,12.7,XPAR:HDP,455
2001-06-11,12.7,12.7,12.7,12.7,XPAR:HDP,265
2001-06-12,12.85,12.85,12.7,12.7,XPAR:HDP,75
2001-06-13,12.7,12.7,12.7,12.7,XPAR:HDP,155
2001-06-14,12.8,12.8,12.7,12.7,XPAR:HDP,1052
2001-06-15,12.31,12.31,11.52,11.52,XPAR:HDP,4661
2001-06-18,12.24,12.24,12.24,12.24,XPAR:HDP,55
2001-06-19,12.19,12.19,11.8,11.8,XPAR:HDP,1313
2001-06-20,12.95,12.95,12.2,12.2,XPAR:HDP,3746
2001-06-21,12.3,12.8,12.3,12.8,XPAR:HDP,185
2001-06-22,12.3,12.3,12.3,12.3,XPAR:HDP,347
2001-06-25,12.0,12.0,12.0,12.0,XPAR:HDP,2620
2001-06-26,10.51,11.5,10.51,11.5,XPAR:HDP,9615
2001-06-27,11.45,11.45,11.0,11.0,XPAR:HDP,3059
2001-06-28,11.5,11.5,11.05,11.05,XPAR:HDP,7252
