Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,34.0,35.69,33.4,33.35,XPAR:HO,601985
2000-01-04,33.75,35.95,33.1,35.95,XPAR:HO,435639
2000-01-05,32.0,34.6,32.0,33.6,XPAR:HO,429936
2000-01-06,33.16,33.4,32.6,33.0,XPAR:HO,178098
2000-01-07,35.05,35.12,33.35,33.5,XPAR:HO,506661
2000-01-10,35.2,35.49,34.7,35.5,XPAR:HO,201905
2000-01-11,35.0,35.19,33.75,35.19,XPAR:HO,205261
2000-01-12,34.89,35.14,33.55,33.55,XPAR:HO,186958
2000-01-13,34.0,36.75,34.0,36.0,XPAR:HO,519684
2000-01-14,37.4,39.2,35.11,35.3,XPAR:HO,1503820
2000-01-17,40.0,40.4,38.32,39.2,XPAR:HO,881719
2000-01-18,37.7,39.9,37.5,39.64,XPAR:HO,433995
2000-01-19,39.1,39.84,37.35,38.65,XPAR:HO,619911
2000-01-20,38.1,38.66,37.51,38.12,XPAR:HO,351989
2000-01-21,37.1,37.83,36.8,37.83,XPAR:HO,173013
2000-01-24,36.0,37.45,36.0,36.7,XPAR:HO,316017
2000-01-25,36.4,37.45,35.02,35.3,XPAR:HO,219837
2000-01-26,37.35,37.35,36.0,36.35,XPAR:HO,188960
2000-01-27,39.0,39.0,37.45,38.0,XPAR:HO,298121
2000-01-28,38.9,39.25,37.55,39.14,XPAR:HO,359722
2000-01-31,38.0,38.59,37.5,38.55,XPAR:HO,214528
2000-02-01,38.0,38.48,37.35,37.35,XPAR:HO,177333
2000-02-02,45.4,45.5,38.25,38.9,XPAR:HO,1341204
2000-02-03,49.95,51.3,44.1,44.8,XPAR:HO,1181509
2000-02-04,50.0,52.0,49.5,49.95,XPAR:HO,602524
2000-02-07,51.0,52.6,49.38,50.8,XPAR:HO,572402
2000-02-08,49.81,52.1,49.3,51.0,XPAR:HO,405303
2000-02-09,45.93,50.15,45.93,50.0,XPAR:HO,345053
2000-02-10,46.9,46.9,43.5,46.0,XPAR:HO,602277
2000-02-11,45.99,47.6,44.1,46.9,XPAR:HO,293178
2000-02-14,44.88,45.98,44.0,45.99,XPAR:HO,214979
2000-02-15,44.0,46.49,44.0,44.51,XPAR:HO,326138
2000-02-16,42.0,44.98,40.0,45.0,XPAR:HO,374577
2000-02-17,42.6,43.0,40.26,40.25,XPAR:HO,430474
2000-02-18,39.51,43.8,39.15,43.1,XPAR:HO,281700
2000-02-21,39.5,39.5,37.0,38.7,XPAR:HO,212721
2000-02-22,40.0,40.45,38.05,39.5,XPAR:HO,224011
2000-02-23,42.96,42.96,40.5,41.0,XPAR:HO,237710
2000-02-24,42.5,44.2,41.5,44.1,XPAR:HO,181685
2000-02-25,42.04,43.25,42.04,42.5,XPAR:HO,905425
2000-02-28,41.0,42.7,41.0,42.04,XPAR:HO,292221
