Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,6.2,6.3,6.2,6.3,XPAR:HOP,906
2000-01-04,6.0,6.05,6.0,6.05,XPAR:HOP,1242
2000-01-05,5.85,5.85,5.85,5.85,XPAR:HOP,1186
2000-01-06,5.76,5.86,5.76,5.86,XPAR:HOP,610
2000-01-07,5.76,6.0,5.76,6.0,XPAR:HOP,954
2000-01-10,6.0,6.0,6.0,6.0,XPAR:HOP,1110
2000-01-11,6.03,6.04,6.03,6.04,XPAR:HOP,430
2000-01-12,6.02,6.02,6.01,6.01,XPAR:HOP,310
2000-01-13,6.02,6.02,6.02,6.02,XPAR:HOP,700
2000-01-14,6.11,6.11,6.03,6.03,XPAR:HOP,593
2000-01-17,6.3,6.3,6.3,6.3,XPAR:HOP,1480
2000-01-18,6.4,6.58,6.4,6.58,XPAR:HOP,4572
2000-01-19,6.6,6.6,6.56,6.56,XPAR:HOP,2398
2000-01-20,6.9,6.9,6.63,6.63,XPAR:HOP,2801
2000-01-21,6.9,6.9,6.89,6.89,XPAR:HOP,1687
2000-01-24,7.0,7.0,7.0,7.0,XPAR:HOP,2515
2000-01-25,7.1,7.1,7.0,7.0,XPAR:HOP,5167
2000-01-26,7.1,7.13,7.1,7.13,XPAR:HOP,3096
2000-01-27,7.0,7.0,7.0,7.0,XPAR:HOP,300
2000-01-28,7.0,7.0,7.0,7.0,XPAR:HOP,1399
2000-01-31,7.01,7.01,7.0,7.0,XPAR:HOP,2847
2000-02-01,7.0,7.0,7.0,7.0,XPAR:HOP,2054
2000-02-02,7.0,7.0,7.0,7.0,XPAR:HOP,0
2000-02-03,7.0,7.0,7.0,7.0,XPAR:HOP,0
2000-02-04,8.91,8.91,8.91,8.91,XPAR:HOP,10882
2000-02-07,8.91,8.91,8.91,8.91,XPAR:HOP,0
2000-02-08,10.81,10.81,10.81,10.81,XPAR:HOP,23700
2000-02-09,10.81,10.81,10.81,10.81,XPAR:HOP,0
2000-02-10,12.5,12.5,12.5,12.5,XPAR:HOP,16520
2000-02-11,13.45,13.45,13.45,13.45,XPAR:HOP,6120
2000-02-14,13.45,13.45,13.45,13.45,XPAR:HOP,0
2000-02-15,13.45,13.45,13.45,13.45,XPAR:HOP,0
2000-02-16,17.98,17.98,17.98,17.98,XPAR:HOP,25147
2000-02-17,16.7,16.7,16.7,16.7,XPAR:HOP,7552
2000-02-18,16.8,16.9,16.8,16.9,XPAR:HOP,5321
2000-02-21,16.8,16.9,16.8,16.9,XPAR:HOP,0
2000-02-22,16.8,16.9,16.8,16.9,XPAR:HOP,0
2000-02-23,13.75,13.75,13.5,13.5,XPAR:HOP,16665
2000-02-24,13.0,13.45,13.0,13.45,XPAR:HOP,3650
2000-02-25,12.56,13.0,12.56,13.0,XPAR:HOP,4536
2000-02-28,13.18,13.18,13.18,13.18,XPAR:HOP,2677
2000-02-29,14.3,14.3,14.3,14.3,XPAR:HOP,5131
2000-03-01,15.01,15.01,15.01,15.01,XPAR:HOP,5128
2000-03-02,16.5,16.5,16.5,16.5,XPAR:HOP,4983
2000-03-03,16.0,16.49,16.0,16.49,XPAR:HOP,5806
2000-03-06,15.0,15.0,15.0,15.0,XPAR:HOP,2727
2000-03-07,14.96,14.96,14.96,14.96,XPAR:HOP,3066
2000-03-08,14.22,14.22,14.22,14.22,XPAR:HOP,5606
2000-03-09,15.0,15.0,14.93,14.93,XPAR:HOP,2649
2000-03-10,15.0,15.0,15.0,15.0,XPAR:HOP,4214
2000-03-13,14.8,14.8,14.8,14.8,XPAR:HOP,2981
2000-03-14,14.0,14.0,14.0,14.0,XPAR:HOP,3823
2000-03-15,13.0,13.0,13.0,13.0,XPAR:HOP,1882
2000-03-16,12.5,12.8,12.5,12.8,XPAR:HOP,1302
2000-03-17,12.8,12.8,12.8,12.8,XPAR:HOP,1830
2000-03-20,12.1,12.7,12.1,12.7,XPAR:HOP,1696
2000-03-21,11.37,11.37,11.37,11.37,XPAR:HOP,2030
2000-03-22,12.12,12.12,11.55,11.55,XPAR:HOP,3929
2000-03-23,11.9,12.12,11.9,12.12,XPAR:HOP,1656
2000-03-24,11.5,11.5,11.5,11.5,XPAR:HOP,1077
2000-03-27,10.9,10.9,10.9,10.9,XPAR:HOP,1079
2000-03-28,10.9,10.9,10.9,10.9,XPAR:HOP,1410
2000-03-29,11.0,11.0,10.5,10.5,XPAR:HOP,1789
2000-03-30,10.5,11.0,10.5,11.0,XPAR:HOP,2341
2000-03-31,10.5,10.5,10.0,10.0,XPAR:HOP,1789
2000-04-03,9.49,9.49,9.49,9.49,XPAR:HOP,1380
2000-04-04,8.65,8.65,8.65,8.65,XPAR:HOP,1399
2000-04-05,8.45,8.45,8.45,8.45,XPAR:HOP,2897
2000-04-06,8.03,8.03,8.03,8.03,XPAR:HOP,3540
2000-04-07,8.75,8.75,8.75,8.75,XPAR:HOP,1710
2000-04-10,9.2,9.2,9.2,9.2,XPAR:HOP,1638
2000-04-11,8.95,8.95,8.95,8.95,XPAR:HOP,4897
2000-04-12,8.8,8.9,8.8,8.9,XPAR:HOP,3235
2000-04-13,8.49,8.49,8.49,8.49,XPAR:HOP,750
2000-04-14,8.75,8.75,8.75,8.75,XPAR:HOP,650
2000-04-17,7.91,7.91,7.91,7.91,XPAR:HOP,9874
2000-04-18,8.1,8.29,8.1,8.29,XPAR:HOP,1391
2000-04-19,8.4,8.4,8.4,8.4,XPAR:HOP,680
2000-04-20,8.45,8.45,8.45,8.45,XPAR:HOP,1121
2000-04-21,8.45,8.45,8.45,8.45,XPAR:HOP,0
2000-04-24,8.45,8.45,8.45,8.45,XPAR:HOP,0
2000-04-25,8.4,8.5,8.4,8.5,XPAR:HOP,285
2000-04-26,8.38,8.38,8.38,8.38,XPAR:HOP,135
2000-04-27,8.0,8.0,8.0,8.0,XPAR:HOP,301
2000-04-28,8.2,8.2,7.88,7.88,XPAR:HOP,789
2000-05-01,8.2,8.2,7.88,7.88,XPAR:HOP,0
2000-05-02,8.51,8.51,8.2,8.2,XPAR:HOP,868
2000-05-03,8.1,8.5,8.1,8.5,XPAR:HOP,2032
2000-05-04,8.5,8.5,8.5,8.5,XPAR:HOP,590
2000-05-05,8.1,8.4,8.1,8.4,XPAR:HOP,766
2000-05-08,8.5,8.5,8.5,8.5,XPAR:HOP,484
2000-05-09,8.45,8.5,8.45,8.5,XPAR:HOP,970
2000-05-10,8.1,8.45,8.1,8.45,XPAR:HOP,1465
2000-05-11,8.0,8.0,8.0,8.0,XPAR:HOP,2215
2000-05-12,8.0,8.2,8.0,8.2,XPAR:HOP,2250
2000-05-15,8.45,8.45,8.2,8.2,XPAR:HOP,250
2000-05-16,8.1,8.1,8.1,8.1,XPAR:HOP,250
2000-05-17,8.08,8.08,8.08,8.08,XPAR:HOP,485
2000-05-18,8.0,8.0,8.0,8.0,XPAR:HOP,4315
2000-05-19,8.09,8.09,8.05,8.05,XPAR:HOP,1100
2000-05-22,8.09,8.09,8.09,8.09,XPAR:HOP,1251
2000-05-23,7.88,7.94,7.88,7.94,XPAR:HOP,2722
2000-05-24,7.8,7.8,7.8,7.8,XPAR:HOP,180
2000-05-25,7.04,7.04,7.04,7.04,XPAR:HOP,250
2000-05-26,7.08,7.08,7.08,7.08,XPAR:HOP,400
2000-05-29,7.43,7.43,7.43,7.43,XPAR:HOP,110
2000-05-30,7.51,7.51,7.51,7.51,XPAR:HOP,160
2000-05-31,7.52,7.52,7.52,7.52,XPAR:HOP,301
2000-06-01,7.76,7.76,7.76,7.76,XPAR:HOP,10
2000-06-02,7.75,7.75,7.75,7.75,XPAR:HOP,174
2000-06-05,7.75,7.75,7.75,7.75,XPAR:HOP,200
2000-06-06,7.76,7.76,7.76,7.76,XPAR:HOP,10
2000-06-07,7.77,7.77,7.77,7.77,XPAR:HOP,5
2000-06-08,7.77,7.8,7.77,7.8,XPAR:HOP,781
2000-06-09,7.95,7.95,7.8,7.8,XPAR:HOP,395
2000-06-12,7.95,7.95,7.8,7.8,XPAR:HOP,0
2000-06-13,7.8,8.02,7.8,8.02,XPAR:HOP,1084
2000-06-14,7.79,7.79,7.79,7.79,XPAR:HOP,200
2000-06-15,8.0,8.0,8.0,8.0,XPAR:HOP,615
2000-06-16,8.35,8.35,8.35,8.35,XPAR:HOP,500
2000-06-19,7.94,7.94,7.94,7.94,XPAR:HOP,24
2000-06-20,7.9,7.9,7.9,7.9,XPAR:HOP,201
2000-06-21,7.8,7.8,7.76,7.76,XPAR:HOP,651
2000-06-22,7.65,7.65,7.65,7.65,XPAR:HOP,1436
2000-06-23,7.81,7.9,7.81,7.9,XPAR:HOP,450
2000-06-26,7.9,7.9,7.83,7.83,XPAR:HOP,141
2000-06-27,7.92,7.92,7.92,7.92,XPAR:HOP,1
2000-06-28,8.0,8.0,7.92,7.92,XPAR:HOP,271
2000-06-29,8.0,8.0,8.0,8.0,XPAR:HOP,315
2000-06-30,7.9,8.02,7.9,8.02,XPAR:HOP,1414
2000-07-03,7.8,7.8,7.8,7.8,XPAR:HOP,738
2000-07-04,7.8,7.8,7.8,7.8,XPAR:HOP,753
2000-07-05,7.95,7.95,7.8,7.8,XPAR:HOP,1615
2000-07-06,7.55,7.81,7.55,7.81,XPAR:HOP,134
2000-07-07,7.56,7.57,7.56,7.57,XPAR:HOP,11
2000-07-10,7.56,7.56,7.56,7.56,XPAR:HOP,230
2000-07-11,7.56,7.56,7.56,7.56,XPAR:HOP,100
2000-07-12,7.57,7.57,7.57,7.57,XPAR:HOP,24
2000-07-13,7.57,7.57,7.57,7.57,XPAR:HOP,109
2000-07-14,7.57,7.57,7.57,7.57,XPAR:HOP,0
2000-07-17,7.56,7.56,7.56,7.56,XPAR:HOP,510
2000-07-18,7.57,7.57,7.57,7.57,XPAR:HOP,25
2000-07-19,7.7,7.7,7.57,7.57,XPAR:HOP,201
2000-07-20,7.82,7.82,7.8,7.8,XPAR:HOP,907
2000-07-21,7.8,7.8,7.7,7.7,XPAR:HOP,1420
2000-07-24,7.6,7.6,7.6,7.6,XPAR:HOP,974
2000-07-25,7.6,7.6,7.6,7.6,XPAR:HOP,4560
2000-07-26,7.6,7.6,7.56,7.56,XPAR:HOP,598
2000-07-27,7.6,7.6,7.56,7.56,XPAR:HOP,0
2000-07-28,7.6,7.6,7.6,7.6,XPAR:HOP,1030
2000-07-31,7.56,7.56,7.56,7.56,XPAR:HOP,202
2000-08-01,7.5,7.5,7.5,7.5,XPAR:HOP,572
2000-08-02,7.49,7.49,7.49,7.49,XPAR:HOP,10
2000-08-03,7.45,7.45,7.45,7.45,XPAR:HOP,50
2000-08-04,7.55,7.55,7.45,7.45,XPAR:HOP,833
2000-08-07,7.5,7.56,7.5,7.56,XPAR:HOP,260
2000-08-08,7.49,7.49,7.49,7.49,XPAR:HOP,8
2000-08-09,7.74,7.74,7.74,7.74,XPAR:HOP,707
2000-08-10,7.74,7.74,7.74,7.74,XPAR:HOP,10
2000-08-11,7.5,7.5,7.5,7.5,XPAR:HOP,184
2000-08-14,7.5,7.5,7.5,7.5,XPAR:HOP,8
2000-08-15,7.5,7.5,7.5,7.5,XPAR:HOP,10
2000-08-16,7.5,7.5,7.5,7.5,XPAR:HOP,58
2000-08-17,7.5,7.5,7.5,7.5,XPAR:HOP,5
2000-08-18,7.5,7.5,7.5,7.5,XPAR:HOP,7
2000-08-21,7.3,7.3,7.3,7.3,XPAR:HOP,240
2000-08-22,7.3,7.3,7.3,7.3,XPAR:HOP,21
2000-08-23,6.8,7.1,6.8,7.1,XPAR:HOP,437
2000-08-24,6.8,6.81,6.8,6.81,XPAR:HOP,68
2000-08-25,6.81,6.81,6.81,6.81,XPAR:HOP,15
2000-08-28,6.8,6.8,6.8,6.8,XPAR:HOP,107
2000-08-29,7.0,7.0,6.8,6.8,XPAR:HOP,205
2000-08-30,6.99,6.99,6.99,6.99,XPAR:HOP,620
2000-08-31,6.91,6.91,6.9,6.9,XPAR:HOP,52
2000-09-01,6.91,6.91,6.91,6.91,XPAR:HOP,22
2000-09-04,7.03,7.03,7.03,7.03,XPAR:HOP,442
2000-09-05,7.0,7.0,7.0,7.0,XPAR:HOP,415
2000-09-06,7.01,7.01,7.01,7.01,XPAR:HOP,563
2000-09-07,7.01,7.01,7.01,7.01,XPAR:HOP,7
2000-09-08,7.0,7.0,7.0,7.0,XPAR:HOP,460
2000-09-11,6.9,6.9,6.9,6.9,XPAR:HOP,200
2000-09-12,6.89,6.89,6.89,6.89,XPAR:HOP,7
2000-09-13,6.89,6.89,6.89,6.89,XPAR:HOP,10
2000-09-14,7.1,7.1,7.09,7.09,XPAR:HOP,163
2000-09-15,7.1,7.1,7.1,7.1,XPAR:HOP,60
2000-09-18,6.5,6.8,6.5,6.8,XPAR:HOP,484
2000-09-19,6.55,6.56,6.55,6.56,XPAR:HOP,205
2000-09-20,6.56,6.56,6.56,6.56,XPAR:HOP,10
2000-09-21,6.56,6.56,6.55,6.55,XPAR:HOP,229
2000-09-22,6.56,6.56,6.56,6.56,XPAR:HOP,5
2000-09-25,6.55,6.55,6.55,6.55,XPAR:HOP,200
2000-09-26,6.56,6.56,6.56,6.56,XPAR:HOP,8
2000-09-27,6.6,6.6,6.6,6.6,XPAR:HOP,50
2000-09-28,6.6,6.6,6.6,6.6,XPAR:HOP,60
2000-09-29,6.65,6.66,6.65,6.66,XPAR:HOP,11
2000-10-02,6.8,6.8,6.8,6.8,XPAR:HOP,424
2000-10-03,7.0,7.0,6.81,6.81,XPAR:HOP,228
2000-10-04,7.55,7.55,7.55,7.55,XPAR:HOP,135
2000-10-05,8.15,8.15,7.91,7.91,XPAR:HOP,153
2000-10-06,8.95,8.95,8.95,8.95,XPAR:HOP,500
2000-10-09,8.84,8.84,8.84,8.84,XPAR:HOP,596
2000-10-10,8.15,8.15,8.15,8.15,XPAR:HOP,220
2000-10-11,7.95,7.95,7.95,7.95,XPAR:HOP,142
2000-10-12,7.55,7.55,7.55,7.55,XPAR:HOP,109
2000-10-13,7.5,7.5,7.5,7.5,XPAR:HOP,163
2000-10-16,7.0,7.0,7.0,7.0,XPAR:HOP,369
