Date,Close,High,Low,Open,Symbol,Volume
1992-07-20,3.6,3.625,3.475,3.5,XPAR:ING,14200
1992-07-21,3.5,3.6,3.5,3.525,XPAR:ING,8000
1992-07-22,3.45,3.575,3.45,3.5,XPAR:ING,15600
1992-07-23,3.4,3.5,3.4,3.45,XPAR:ING,94800
1992-07-24,3.5,3.5,3.35,3.5,XPAR:ING,19800
1992-07-27,3.5,3.6,3.275,3.6,XPAR:ING,43400
1992-07-28,3.4,3.5,3.4,3.5,XPAR:ING,28400
1992-07-29,3.4,3.475,3.35,3.4,XPAR:ING,37200
1992-07-30,3.475,3.475,3.375,3.425,XPAR:ING,11600
1992-07-31,3.3,3.35,3.25,3.325,XPAR:ING,12800
1992-08-03,3.3,3.35,3.3,3.35,XPAR:ING,4400
1992-08-04,3.425,3.425,3.3,3.3,XPAR:ING,3800
1992-08-05,3.425,3.425,3.325,3.325,XPAR:ING,6800
1992-08-06,3.425,3.425,3.35,3.35,XPAR:ING,2800
1992-08-07,3.4,3.4,3.325,3.35,XPAR:ING,18400
1992-08-10,3.4,3.4,3.35,3.4,XPAR:ING,7200
1992-08-11,3.4,3.4,3.325,3.35,XPAR:ING,5400
1992-08-12,3.35,3.4,3.35,3.4,XPAR:ING,4600
1992-08-13,3.325,3.4,3.3,3.325,XPAR:ING,5000
1992-08-14,3.4,3.4,3.275,3.3,XPAR:ING,21000
1992-08-17,3.425,3.425,3.25,3.25,XPAR:ING,11200
1992-08-18,3.4,3.425,3.275,3.35,XPAR:ING,12000
1992-08-19,3.4,3.4,3.325,3.4,XPAR:ING,12000
1992-08-20,3.35,3.35,3.25,3.35,XPAR:ING,5200
1992-08-21,3.4,3.4,3.25,3.25,XPAR:ING,20400
1992-08-24,3.35,3.4,3.225,3.4,XPAR:ING,41800
1992-08-25,3.275,3.35,3.25,3.35,XPAR:ING,3000
1992-08-26,3.275,3.3,3.15,3.3,XPAR:ING,36000
1992-08-27,3.325,3.325,3.2,3.2,XPAR:ING,8400
1992-08-28,3.325,3.325,3.2,3.2,XPAR:ING,18000
1992-08-31,3.25,3.35,3.25,3.325,XPAR:ING,2600
1992-09-01,3.325,3.325,3.25,3.25,XPAR:ING,12400
1992-09-02,3.3,3.3,3.2,3.3,XPAR:ING,7800
1992-09-03,3.3,3.3,3.25,3.25,XPAR:ING,7000
1992-09-04,3.35,3.35,3.25,3.3,XPAR:ING,12600
1992-09-07,3.25,3.325,3.25,3.25,XPAR:ING,20400
1992-09-08,3.2,3.25,3.2,3.225,XPAR:ING,13000
1992-09-09,3.25,3.275,3.175,3.2,XPAR:ING,16000
1992-09-10,3.125,3.2,3.125,3.2,XPAR:ING,9000
1992-09-11,3.2,3.2,3.125,3.125,XPAR:ING,14600
1992-09-14,3.275,3.3,3.25,3.25,XPAR:ING,50400
1992-09-15,3.325,3.325,3.2,3.325,XPAR:ING,9600
1992-09-16,3.15,3.3,3.15,3.3,XPAR:ING,8200
1992-09-17,3.15,3.3,3.15,3.175,XPAR:ING,22200
1992-09-18,3.275,3.3,3.175,3.175,XPAR:ING,9600
1992-09-21,3.15,3.275,3.15,3.15,XPAR:ING,13000
