Date,Close,High,Low,Open,Symbol,Volume
2016-06-13,25.8,32.0,24.99,29.5,XPAR:LFDE,95887
2016-06-14,23.39,25.79,23.1,25.79,XPAR:LFDE,5630
2016-06-15,22.94,23.33,22.54,23.25,XPAR:LFDE,3861
2016-06-16,23.19,23.69,22.7,23.01,XPAR:LFDE,1016
2016-06-17,23.14,23.16,22.47,23.0,XPAR:LFDE,2868
2016-06-20,22.73,23.75,22.71,23.75,XPAR:LFDE,405
2016-06-21,21.5,22.91,21.48,22.8,XPAR:LFDE,3259
2016-06-22,21.4,22.0,20.79,21.41,XPAR:LFDE,5373
2016-06-23,22.5,22.5,21.3,21.4,XPAR:LFDE,3738
2016-06-24,22.0,22.5,20.5,20.5,XPAR:LFDE,2073
2016-06-27,20.5,22.6,20.5,22.5,XPAR:LFDE,1554
2016-06-28,21.05,21.9,20.99,21.9,XPAR:LFDE,364
2016-06-29,21.4,21.45,21.0,21.0,XPAR:LFDE,314
2016-06-30,21.0,21.39,21.0,21.0,XPAR:LFDE,179
2016-07-01,21.3,21.3,21.0,21.01,XPAR:LFDE,4458
2016-07-04,22.49,22.49,21.5,21.5,XPAR:LFDE,1016
2016-07-05,21.35,22.43,21.0,22.43,XPAR:LFDE,1484
2016-07-06,21.2,21.95,21.0,21.95,XPAR:LFDE,1863
2016-07-07,22.33,22.34,22.0,22.34,XPAR:LFDE,1175
2016-07-08,22.25,22.33,22.25,22.32,XPAR:LFDE,248
2016-07-11,22.26,22.27,22.26,22.27,XPAR:LFDE,8
2016-07-12,22.1,22.27,21.63,22.27,XPAR:LFDE,61
2016-07-13,22.79,22.8,22.72,22.8,XPAR:LFDE,150
2016-07-14,22.6,22.79,22.18,22.79,XPAR:LFDE,63
2016-07-15,22.8,22.8,22.5,22.6,XPAR:LFDE,39
2016-07-18,22.85,22.94,22.01,22.8,XPAR:LFDE,161
2016-07-19,22.92,22.95,22.85,22.95,XPAR:LFDE,91
2016-07-20,22.9,22.92,22.0,22.92,XPAR:LFDE,293
2016-07-21,22.97,23.0,22.01,23.0,XPAR:LFDE,37
2016-07-22,22.98,22.98,22.01,22.97,XPAR:LFDE,91
2016-07-25,23.1,23.5,23.0,23.5,XPAR:LFDE,46
2016-07-26,22.99,23.28,22.35,23.15,XPAR:LFDE,609
2016-07-27,23.05,23.44,22.5,22.99,XPAR:LFDE,224
2016-07-28,23.0,23.05,23.0,23.05,XPAR:LFDE,4
2016-07-29,23.0,23.39,23.0,23.01,XPAR:LFDE,14
2016-08-01,23.05,23.05,23.0,23.01,XPAR:LFDE,29
2016-08-02,22.4,23.15,22.4,23.05,XPAR:LFDE,606
2016-08-03,23.14,23.14,22.01,22.4,XPAR:LFDE,48
2016-08-04,23.15,23.15,22.01,23.14,XPAR:LFDE,92
2016-08-05,22.65,23.15,22.11,23.14,XPAR:LFDE,62
2016-08-08,22.01,23.15,22.0,23.15,XPAR:LFDE,240
2016-08-09,22.0,22.01,22.0,22.01,XPAR:LFDE,3
2016-08-10,22.95,22.95,22.0,22.0,XPAR:LFDE,98
2016-08-11,23.1,23.1,23.0,23.0,XPAR:LFDE,189
2016-08-12,23.09,23.09,23.09,23.09,XPAR:LFDE,1
2016-08-15,23.09,23.09,23.09,23.09,XPAR:LFDE,1
2016-08-16,22.0,23.04,22.0,23.04,XPAR:LFDE,266
2016-08-17,22.0,22.1,22.0,22.0,XPAR:LFDE,225
2016-08-18,23.0,23.0,22.0,22.01,XPAR:LFDE,46
2016-08-19,22.52,23.05,22.0,23.0,XPAR:LFDE,57
2016-08-22,22.5,23.1,22.5,23.1,XPAR:LFDE,196
2016-08-23,22.5,22.51,22.5,22.51,XPAR:LFDE,3
2016-08-24,22.5,22.51,22.0,22.51,XPAR:LFDE,257
2016-08-25,22.5,22.75,22.2,22.5,XPAR:LFDE,115
2016-08-26,22.48,22.49,22.0,22.49,XPAR:LFDE,255
2016-08-29,22.48,22.48,22.0,22.48,XPAR:LFDE,33
2016-08-30,22.38,22.48,22.0,22.48,XPAR:LFDE,381
2016-08-31,22.0,22.3,22.0,22.3,XPAR:LFDE,152
2016-09-01,22.5,22.99,21.67,22.99,XPAR:LFDE,1245
2016-09-02,22.4,22.4,21.41,22.39,XPAR:LFDE,15
2016-09-05,21.45,22.39,21.41,22.39,XPAR:LFDE,149
2016-09-06,21.0,22.01,21.0,22.01,XPAR:LFDE,544
2016-09-07,21.02,21.81,21.01,21.01,XPAR:LFDE,339
2016-09-08,21.01,21.81,21.01,21.02,XPAR:LFDE,400
2016-09-09,20.51,22.0,20.51,21.02,XPAR:LFDE,781
2016-09-12,20.03,20.72,20.03,20.51,XPAR:LFDE,360
2016-09-13,19.9,20.02,19.9,20.01,XPAR:LFDE,786
2016-09-14,19.7,19.91,19.02,19.91,XPAR:LFDE,691
2016-09-15,18.89,19.69,18.12,19.69,XPAR:LFDE,569
2016-09-16,18.0,18.69,17.22,18.69,XPAR:LFDE,891
2016-09-19,17.98,18.0,17.0,18.0,XPAR:LFDE,365
2016-09-20,18.0,18.1,16.7,17.49,XPAR:LFDE,5167
2016-09-21,18.0,18.4,17.2,18.0,XPAR:LFDE,1918
2016-09-22,17.79,18.01,17.2,18.01,XPAR:LFDE,446
2016-09-23,17.79,17.79,17.79,17.79,XPAR:LFDE,1
2016-09-26,16.6,18.0,16.6,18.0,XPAR:LFDE,500
2016-09-27,15.74,16.89,15.0,16.79,XPAR:LFDE,1431
2016-09-28,16.5,16.79,15.55,16.01,XPAR:LFDE,674
2016-09-29,16.64,16.65,15.13,16.5,XPAR:LFDE,300
2016-09-30,16.39,16.39,16.39,16.39,XPAR:LFDE,1
2016-10-03,16.35,16.35,15.99,15.99,XPAR:LFDE,166
