Date,Close,High,Low,Open,Symbol,Volume
2006-06-07,10.52,10.85,10.05,10.3,XPAR:LNA,39003
2006-06-08,10.2,10.53,10.2,10.53,XPAR:LNA,21465
2006-06-09,10.2,10.3,10.09,10.25,XPAR:LNA,43190
2006-06-12,10.05,10.25,10.05,10.2,XPAR:LNA,14989
2006-06-13,9.8,10.06,9.8,10.06,XPAR:LNA,33862
2006-06-14,9.88,10.0,9.75,9.75,XPAR:LNA,3915
2006-06-15,9.88,10.0,9.75,9.75,XPAR:LNA,0
2006-06-16,9.88,10.0,9.75,9.75,XPAR:LNA,0
2006-06-19,10.05,10.09,9.98,10.05,XPAR:LNA,4678
2006-06-20,9.98,10.08,9.98,10.0,XPAR:LNA,4516
2006-06-21,9.9,10.0,9.9,10.0,XPAR:LNA,2781
2006-06-22,9.8,9.9,9.75,9.9,XPAR:LNA,7693
2006-06-23,9.27,9.83,9.27,9.8,XPAR:LNA,6340
2006-06-26,9.56,9.99,9.29,9.29,XPAR:LNA,5615
2006-06-27,9.69,9.98,9.66,9.98,XPAR:LNA,1554
2006-06-28,9.93,9.95,9.8,9.95,XPAR:LNA,901
2006-06-29,9.97,9.98,9.85,9.95,XPAR:LNA,1101
2006-06-30,9.9,9.99,9.9,9.98,XPAR:LNA,3139
2006-07-03,9.9,9.93,9.9,9.9,XPAR:LNA,303
2006-07-04,10.0,10.0,9.9,9.9,XPAR:LNA,766
2006-07-05,10.0,10.0,9.9,9.9,XPAR:LNA,85
2006-07-06,9.98,10.0,9.68,10.0,XPAR:LNA,497
2006-07-07,10.0,10.0,9.8,9.98,XPAR:LNA,2730
2006-07-10,10.4,10.5,10.22,10.3,XPAR:LNA,8578
2006-07-11,10.95,11.4,10.85,11.1,XPAR:LNA,15349
2006-07-12,11.08,11.17,11.05,11.1,XPAR:LNA,18901
2006-07-13,11.75,12.0,11.11,11.12,XPAR:LNA,5037
2006-07-14,13.22,14.12,12.56,12.92,XPAR:LNA,10183
2006-07-17,11.85,13.18,11.3,13.18,XPAR:LNA,14333
2006-07-18,11.5,11.85,11.3,11.85,XPAR:LNA,5159
2006-07-19,11.5,11.75,11.3,11.75,XPAR:LNA,2502
2006-07-20,12.0,12.08,11.7,11.7,XPAR:LNA,7435
2006-07-21,11.95,12.0,11.85,12.0,XPAR:LNA,961
2006-07-24,11.95,12.0,11.76,12.0,XPAR:LNA,1380
2006-07-25,12.0,12.05,11.9,12.0,XPAR:LNA,33321
2006-07-26,12.0,12.5,11.9,12.09,XPAR:LNA,20896
2006-07-27,12.0,12.1,11.9,12.0,XPAR:LNA,12088
2006-07-28,11.98,12.0,11.77,12.0,XPAR:LNA,6420
2006-07-31,11.96,12.4,11.95,12.0,XPAR:LNA,13353
2006-08-01,11.95,12.1,11.95,12.0,XPAR:LNA,10587
2006-08-02,11.97,12.0,11.95,11.95,XPAR:LNA,1057
2006-08-03,12.0,12.1,11.9,12.0,XPAR:LNA,3653
2006-08-04,12.0,12.0,11.9,12.0,XPAR:LNA,2706
